Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4206.6 at 2012-01-10T16:41:00. Report at Tuesday, January 10, 2012. Processed Wednesday at 2012-01-11T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.20,3.00,4.04,3.95,ONT,1300 Smiles,4.00,+5,24,3.90,3.95,15.50,f,1.56,.24,3.88,24.20,16.5,,
.08,.041,-,-,TQH,3Q Hldgs,.08,-,-,-,-,-,,-,-.05,-,1.84,4.3,,
.083,.028,-,-,AYI,A1 Invest & Res,.04,-,-,-,-,-,,-,.01,-,-.94,-,,
.066,.02,-,-,AAY,AACL Hldgs,.035,-,-,-,-,-,,-,-,-,.22,15.9,,
.725,.007,.01,.01,AAQ,AAQ Hldgs,.01,+.1,1000,.009,.01,-,,-,-,-,-.30,-,,
2.45,1.78,1.935,1.915,ABP,Abacus Prop stp,1.915,-,3254,1.915,1.93,16.50,,.28,2.76,8.62,4.66,41.1,,
1.345,.98,1.04,1.01,ALR,Aberdeen Leaders,1.01,-,266,1.015,1.04,9.50,f,.34,1.04,9.41,3.24,31.2,,
.60,.48,-,-,AKG,Academies A'asia,.60,-,-,-,-,4.00,f,1.35,.09,6.67,5.40,11.1,,
4.30,2.49,2.99,2.92,ACR,Acrux,2.93,-4,5260,2.91,2.98,-,,-,-,-,34.73,8.4,,
.085,.018,-,-,ACW,Actinogen,.05,-,-,-,-,-,,-,.02,-,-1.66,-,,
.01,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,-,-,ACU,Acuvax,.001,-,-,-,-,-,,-,-,-,-.05,-,,
.37,.18,-,-,ADA,Adacel Tech,.25,-,-,.24,.30,-,,-,.09,-,-3.60,-,,
.25,.125,-,-,AAU,Adcorp Aust,.17,-,-,-,-,2.00,f,1.15,.09,11.76,2.29,7.4,,
.002,.001,-,-,ABN,AdEffective,.001,-,-,-,-,-,,-,-,-,-.02,-,,
3.514,2.22,2.92,2.87,ABC,Adelaide Brighton,2.90,+4,10295,2.89,2.91,16.50,f,1.38,1.17,5.69,22.80,12.7,,
.09,.05,-,-,ADQ,ADG Global Supply,.057,-,-,.058,.062,-,,-,.04,-,.47,12.1,,
.034,.016,.019,.019,ABV,Adv Braking Tech,.019,-.1,7,.018,.019,-,,-,.01,-,.06,31.7,,
.36,.15,-,-,AMT,Adv Surg Dsgn & Mnft,.19,-,-,-,-,-,,-,.11,-,-9.25,-,,
1.20,.605,.67,.67,ASW,Advanced Share Reg,.67,-.5,10,.635,.68,3.85,f,1.08,.13,5.75,4.17,16.1,,
.30,.155,.225,.225,AEI,Aeris Environmental,.225,-.5,20,.225,.235,-,,-,.02,-,-2.16,-,,
.002,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,.03,3.3,,
.032,.011,.014,.013,AGX,Agenix,.014,-.1,1040,.014,.015,-,,-,-,-,-.40,-,,
15.79,12.50,14.85,14.60,AGK,AGL Energy,14.78,+7,11114,14.50,14.87,60.00,f,2.04,6.95,4.06,122.40,12.1,,
.20,.13,-,-,AGJ,Agricultural Land unt,.155,-,-,-,-,2.45,,1.09,.36,15.81,2.68,5.8,,
2.30,1.90,-,-,AHC,AHC,2.21,-,-,2.21,-,10.00,,.35,4.95,4.52,3.45,64.1,,
18.26,11.87,12.83,12.83,ENY,All 200 Energy etf unt,12.83,+2,2,12.86,12.94,-,,-,-,-,-,-,,
4.87,3.55,-,-,FIN,All 200 Financials etf unt,4.22,-,-,3.77,4.32,-,,-,-,-,-,-,,
5.54,4.34,-,-,FIX,All 200 Fin-x-A-REIT etf unt,4.80,-,-,4.48,5.14,-,,-,-,-,-,-,,
3.90,3.00,-,-,IDD,All 200 Industrials etf unt,3.50,-,-,3.23,3.72,-,,-,-,-,-,-,,
6.42,4.33,4.50,4.50,RSR,All 200 Resources etf unt,4.50,-,17,4.51,4.55,-,,-,-,-,-,-,,
5.58,3.75,-,-,MAM,All 300 Metals & Mining etf unt,3.80,-,-,3.63,4.17,-,,-,-,-,-,-,,
.60,.185,.54,.51,AGI,Ainsworth Game Tech,.53,-1,955,.515,.535,-,,-,.09,-,8.00,6.6,,
1.175,.66,.70,.67,AIZ,Air New Zealand,.68,-1,208,.67,.68,3.90,,1.51,1.03,5.74,5.87,11.6,,
.08,.035,-,-,AIG,Aircruising Aust,.079,-,-,-,-,-,,-,-.16,-,-5.00,-,,
