Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4363.7 at 2012-02-08T16:38:36. Report at Wednesday, February 8, 2012. Processed Thursday at 2012-02-09T12:20:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
4.20,3.00,,,ONT,1300 Smiles,,,4.03,,,,,15.50,f,1.56,.24,3.85,24.20,16.7,,
.08,.041,,,TQH,3Q Hldgs,,,.08,,,.065,.075,,,,-.05,,1.84,4.3,,
.077,.028,,,AYI,A1 Invest & Res,,,.04,,,,,,,,.01,,-.94,,,
.066,.02,,,AAY,AACL Hldgs,,,.035,,,,,,,,,,.22,15.9,,
.022,.007,.009,.007,AAQ,AAQ Hldgs,,,.008,,22300,.007,.008,,,,,,-.30,,,
2.45,1.78,1.86,1.83,ABP,Abacus Prop stp,,6657,1.845,+1.5,28188,1.84,1.85,16.50,,.28,2.76,8.94,4.66,39.6,,
1.345,.98,1.07,1.07,ALR,Aberdeen Leaders,,9973,1.07,+3,1,1.07,1.10,9.50,f,.37,1.00,8.88,3.48,30.7,,
.60,.48,,,AKG,Academies A'asia,20c,,.60,,,,,4.00,f,1.35,.09,6.67,5.39,11.1,,
4.30,2.49,3.55,3.48,ACR,Acrux,,,3.55,+9,3698,3.52,3.55,,,,,,34.73,10.2,,
.085,.018,,,ACW,Actinogen,,,.05,,,.051,.055,,,,.02,,-1.66,,,
.01,.001,,,ACWO,  opt aug12,,,.001,,,,,,,,,,,,,
.015,.001,,,ACWOA,  opt sep15,,,.003,,,,,,,,,,,,,
.003,.001,,,ACU,Acuvax,,4004,.001,,20010,.001,.002,,,,,,-.05,,,
.36,.18,,,ADA,Adacel Tech,,6451,.24,,,,,,,,.09,,-3.60,,,
.25,.125,,,AAU,Adcorp Aust,,6459,.17,,50,.165,.18,2.00,f,1.15,.09,11.76,2.29,7.4,,
.002,.001,,,ABN,AdEffective,20c,,.001,,,,,,,,,,-.02,,,
3.514,2.22,3.09,3.02,ABC,Adelaide Brighton,50c,2007,3.07,+2,8471,3.06,3.10,16.50,f,1.38,1.17,5.37,22.80,13.5,,
.09,.05,,,ADQ,ADG Global Supply,20c,,.069,,,,,,,,.04,,.47,14.7,,
.032,.016,,,ABV,Adv Braking Tech,,,.018,,,,,,,,.01,,.06,30.0,,
.36,.15,,,AMT,Adv Surg Dsgn & Mnft,,,.22,,,,,,,,.11,,-9.25,,,
1.18,.605,,,ASW,Advanced Share Reg,,,.655,,,.655,.68,3.85,f,1.08,.13,5.88,4.17,15.7,,
.30,.155,,,AEI,Aeris Environmental,20c,3885,.21,,,,,,,,.02,,-2.16,,,
.002,.001,,,AFT,AFT Corp,50c,8808,.001,,,,,,,,,,.03,3.3,,
.032,.011,,,AGX,Agenix,20c,6252,.012,,,.013,.014,,,,,,-.40,,,
15.79,12.50,14.34,14.14,AGK,AGL Energy,,,14.18,-14,10813,14.18,14.20,60.00,f,2.04,6.95,4.23,122.40,11.6,,
.20,.13,.19,.19,AGJ,Agricultural Land unt,,,.19,,33,.16,.19,2.45,,1.09,.36,12.89,2.68,7.1,,
2.30,1.90,,,AHC,AHC,50c,2043,2.20,,,,,10.00,,.35,4.95,4.55,3.45,63.8,,
18.26,11.87,13.91,13.74,ENY,All 200 Energy etf unt,,,13.91,+16,7,13.40,14.00,,p,,,,,,,
4.87,3.55,,,FIN,All 200 Financials etf unt,,,4.15,,,4.02,4.20,,p,,,,,,,
5.54,4.34,,,FIX,All 200 Fin-x-A-REIT etf unt,,,4.75,,,4.70,4.81,,p,,,,,,,
3.85,3.00,,,IDD,All 200 Industrials etf unt,,,3.50,,,3.59,3.62,,p,,,,,,,
6.42,4.33,,,RSR,All 200 Resources etf unt,,,4.89,,,4.87,4.90,,p,,,,,,,
5.58,3.75,4.15,4.15,MAM,All 300 Metals & Mining etf unt,,,4.15,-2,95,4.14,4.17,,p,,,,,,,
.69,.185,.66,.64,AGI,Ainsworth Game Tech,20c,9155,.66,+1,648,.63,.66,,,,.09,,8.00,8.3,,
1.075,.66,.725,.705,AIZ,Air New Zealand,,3471,.72,-.5,150,.705,.72,3.90,,1.51,1.03,5.42,5.87,12.3,,
.08,.035,,,AIG,Aircruising Aust,50c,2049,.079,,,,,,,,-.16,,-5.00,,,
2.47,1.005,1.31,1.29,AJL,AJ Lucas Grp,,3350,1.30,-1.5,192,1.28,1.30,,,,.95,,-17.50,,,
.86,.25,.41,.38,ACL,Alchemia,,,.38,-3,15507,.38,.39,,,,.01,,-7.00,,,
18.99,10.47,11.39,10.47,AAI,Alcoa Inc cdi,,7935,10.50,-89,18,9.12,11.42,9.57,,2.47,,.91,23.62,44.5,,
2.15,1.72,1.985,1.95,LEP,ALE Prop Grp stp,,,1.975,+1.5,641,1.955,1.985,19.75,,1.65,2.22,10.00,32.49,6.1,,
3.554,.995,1.41,1.36,ALS,Alesco Corp,,9054,1.37,-4,5176,1.36,1.40,10.00,f,2.13,.83,7.30,21.32,6.4,,
.14,.06,,,AJX,Alexium Int'l,20c,,.085,,,,,,,,-.01,,-2.37,,,
.63,.29,.41,.385,AEB,Algae.Tec,,,.39,-1.5,4813,.38,.39,,,,,,,,,
2.09,1.59,,,AQZ,Alliance Aviation,,,2.05,,,2.02,2.04,,,,,,,,,
.095,.026,.029,.027,AHZ,Allied Healthcare,,,.029,,4646,.027,.03,,,,.01,,-.70,,,
.30,.095,.175,.155,AZG,Allmine Grp,,,.17,+1.5,15869,.17,.175,,,,,,,,,
.63,.391,,,AIQ,Alternative Invest unt,,,.50,,,.495,.53,,,,.85,,-16.06,,,
.18,.082,,,ALU,Altium,20c,7808,.15,,,.15,.20,,,,,,-6.80,,,
.155,.09,.13,.13,AMA,AMA Grp,,,.13,-.5,5950,.13,.135,1.00,f,4.37,.05,7.69,4.37,3.0,,
6.41,5.10,5.99,5.91,AHD,Amalgamated Hldgs,50c,2044,5.99,,61,5.99,6.00,37.00,f,2.37,5.07,6.18,87.70,6.8,,
.355,.205,,,AMO,Ambertech,,,.25,,,,,.50,,.80,.55,2.00,.40,62.5,,
.36,.13,,,AMB,Ambition Grp,20c,6315,.13,,,.11,.145,,,,.17,,2.71,4.8,,
99.15,95.478,,,AKY,AMCB Fund No 5,,,99.15,,,,,,f,,,,,,,
58.13,53.627,58.13,58.13,AKX,AMCB Fund No 4,,,58.13,,,55.00,58.13,,f,,,,,,,
.70,.60,.69,.68,AMH,AMCIL,,7224,.68,-1,5047,.68,.695,3.50,,1.12,.74,5.15,3.93,17.3,,
.90,.567,.89,.87,AMM,Amcom Telco,25c,7897,.87,-1,3009,.87,.875,3.60,f,1.00,.19,4.14,3.59,24.2,,
7.54,5.87,7.04,6.91,AMC,Amcor,,2066,6.93,-6,70312,6.90,6.98,35.00,,.83,1.37,5.05,29.10,23.8,,
5.82,3.61,4.38,4.31,AMP,AMP,,6580,4.33,+1,97276,4.33,4.36,30.00,p,1.05,.97,6.93,31.40,13.8,,
.835,.60,.635,.625,AGF,AMP Capital China unt,,,.635,+1.5,1279,.625,.635,2.59,,4.98,.88,4.08,12.90,4.9,,
.12,.04,.05,.05,ANQ,AnaeCo,,,.05,+1,1000,.045,.05,,,,-.04,,-6.20,,,
.001,.001,,,ANQOA,  opt may12,,,.001,,,,,,,,,,,,,
.042,.016,.029,.029,ALT,Analytica,,2812,.029,+.1,1175,.028,.029,,,,,,-.05,,,
.009,.001,,,ALTO,  opt sep12,,,.005,,,,,,,,,,,,,
.005,.001,,,ALTOA,  opt jun13,,,.004,,,,,,,,,,,,,
.31,.005,,,AEK,Anatolia Energy,,,.12,,,,,,,,,,-1.78,,,
.013,.004,.006,.006,AYG,Anittel Grp,25c,,.006,-.1,18904,.006,.007,,,,-.01,,-1.46,,,
15.36,11.82,15.20,14.67,ANN,Ansell,,2332,14.84,-11,5909,14.60,15.07,33.00,,2.80,2.44,2.22,92.40,16.1,,
.038,.012,,,ANO,Antaria,,,.013,,,,,,,,.01,,-1.03,,,
.105,.054,.079,.074,ADO,Anteo Diagnostics,20c,,.079,+.5,26253,.077,.079,,,,.01,,-.33,,,
.039,.006,.02,.019,ANP,Antisense Therapeutic,,9226,.019,-.1,66349,.019,.02,,,,,,-.24,,,
.027,.002,.011,.009,ANPO,  opt jul12,,9366,.01,-.1,23100,.01,.013,,,,,,,,,
25.96,17.63,21.73,21.36,ANZ,ANZ Banking Grp,,2078,21.61,+25,149708,21.61,21.62,140.00,f,1.49,11.44,6.48,208.20,10.4,,
13.00,9.20,12.40,12.10,APE,AP Eagers,,2081,12.40,+29,137,12.10,12.40,69.00,f,1.66,7.93,5.56,114.80,10.8,,
.03,.005,,,APP,APA Fin Services,,,.008,,,,,,,,.01,,-.09,,,
4.92,3.53,4.78,4.68,APA,APA Grp stp,20c,7620,4.71,,18793,4.65,4.75,34.40,,.57,1.51,7.30,19.70,23.9,,
.031,.001,.003,.003,AEZ,APN European Ret stp,,,.003,,1600,.003,.004,,,,-.17,,-24.25,,,
1.795,.695,.825,.805,APN,APN News & Media,40c,2085,.81,-.5,8276,.805,.82,10.50,f,,-.63,12.96,-7.00,,,
.24,.125,.13,.13,APD,APN Prop Grp,,,.13,,150,.13,.14,1.25,,,.20,9.62,-3.88,,,
8.68,6.65,8.48,8.41,ARP,ARB Corp,50c,2094,8.45,,519,8.43,8.45,23.00,f,2.27,1.63,2.72,52.23,16.2,,
1.59,1.005,1.09,1.055,AAD,Ardent Leisure Grp stp,,,1.085,+3,9791,1.08,1.10,11.50,,1.00,.90,10.60,11.51,9.4,,
6.59,4.75,5.50,5.40,ARG,Argo Invest,$1,2090,5.50,+6,2583,5.46,5.50,26.00,f,1.04,5.40,4.73,27.10,20.3,,
.38,.27,,,ARA,Ariadne Aust,,2087,.38,,,,,2.00,,1.97,.35,5.26,3.94,9.6,,
3.54,1.88,2.52,2.48,ALL,Aristocrat Leisure,,3800,2.51,+3,9251,2.48,2.53,4.00,,2.48,.17,1.59,9.90,25.4,,
.076,.038,,,AIK,Armidale Invest,,,.075,,,,,,,,.10,,8.83,.8,,
.015,.004,,,AEM,Artist & Entertain,,,.009,,,,,,,,,,-.38,,,
.073,.01,.038,.038,AKW,Arturus Capital,50c,,.038,,60,.03,.042,,,,-.10,,-19.55,,,
4.89,1.33,4.70,4.65,AIO,Asciano,,,4.69,+4,29785,4.67,4.69,6.00,f,3.00,,1.28,18.00,26.1,,
.155,.087,.155,.14,AFA,ASF Grp,20c,,.155,,795,.135,.155,,,,.03,,-.53,,,
1.21,.75,.84,.825,ASZ,ASG Grp,,8909,.83,,6102,.825,.83,7.50,f,1.29,,9.04,9.67,8.6,,
.16,.08,,,AJJ,Asia Liver Trans,,,.10,,,,,.30,,2.23,.01,3.00,.67,14.9,,
1.10,.85,,,AUF,Asian Masters Fund,,,.89,,,.91,.95,1.00,f,,.82,1.12,-.41,,,
.18,.07,,,AKF,ASK Funding,20c,,.145,,,,,,,,.21,,-16.90,,,
.49,.355,.49,.46,APZ,Aspen Grp stp,,8600,.49,+1.5,9281,.475,.49,4.20,,.73,.67,8.57,3.08,15.9,,
.14,.079,,,ASP,Aspermont,20c,7538,.14,,,,,,,,,,.07,200.0,,
1.25,.48,,,AIR,Astivita Renewables,,,.535,,,,,8.00,f,1.83,.56,14.95,14.62,3.7,,
