Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4347.0 at 2012-03-21T16:39:44. Report at Wednesday, March 21, 2012. Processed Thursday at 2012-03-22T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
5.50,3.00,4.90,4.90,ONT,1300 Smiles,4.90,-,21,4.95,4.99,16.60,f,1.57,.55,3.39,26.01,18.8,,
.08,.041,-,-,TQH,3Q Hldgs,.068,-,-,-,-,-,,-,-.05,-,1.79,3.8,,
.065,.011,.011,.011,AYI,A1 Invest & Res,.011,-.1,7500,.011,.017,-,,-,.02,-,.03,36.7,,
.066,.02,.035,.035,AAY,AACL Hldgs,.035,+.5,2500,.036,.035,-,,-,.01,-,1.65,2.1,,
.017,.006,.006,.006,AAQ,AAQ Hldgs,.006,-,9537,.006,.007,-,,-,-,-,-.21,-,,
2.45,1.78,2.00,1.92,ABP,Abacus Prop stp,1.99,+7,15626,1.975,2.00,16.50,,.15,2.43,8.29,2.52,79.0,,
1.30,.98,1.08,1.065,ALR,Aberdeen Leaders,1.065,-1.5,124,1.065,1.08,9.50,f,.37,1.05,8.92,3.48,30.6,,
.60,.50,-,-,AKG,Academies A'asia,.60,-,-,-,-,4.00,f,1.35,.09,6.67,5.39,11.1,,
4.30,2.49,3.97,3.86,ACR,Acrux,3.87,-11,9407,3.85,3.87,-,,-,.16,-,2.73,141.8,,
.069,.018,.023,.022,ACW,Actinogen,.022,-.4,339,.023,.032,-,,-,.01,-,-2.30,-,,
.01,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.003,-,-,-,-,-,,-,-,-,-,-,,
.003,.001,.001,.001,ACU,Acuvax,.001,-,280,.001,.002,-,,-,-,-,-.03,-,,
.36,.18,.315,.315,ADA,Adacel Tech,.315,-,147,.315,.34,-,,-,.13,-,.80,39.4,,
.25,.125,.18,.18,AAU,Adcorp Aust,.18,-,1661,.175,.185,2.00,f,1.16,.07,11.11,2.31,7.8,,
.044,.001,.015,.015,ABN,AdEffective,.015,-,2000,.015,.016,-,,-,-,-,-,-,,
.001,.001,.001,.001,ABNR,  rts 23mar,.001,-,3000,-,.001,-,,-,-,-,-,-,,
3.39,2.22,2.93,2.86,ABC,Adelaide Brighton,2.90,+2,17905,2.88,2.91,16.50,f,1.41,1.22,5.69,23.30,12.4,,
.09,.05,-,-,ADQ,ADG Global Supply,.066,-,-,-,-,-,,-,.04,-,.65,10.2,,
.03,.016,.018,.017,ABV,Adv Braking Tech,.018,+.2,10000,.017,.018,-,,-,.01,-,-.02,-,,
.30,.15,-,-,AMT,Adv Surg Dsgn & Mnft,.24,-,-,-,-,-,,-,.10,-,-6.28,-,,
.93,.605,-,-,ASW,Advanced Share Reg,.71,-,-,-,-,3.85,f,1.15,.13,5.42,4.42,16.1,,
.30,.155,.215,.215,AEI,Aeris Environmental,.215,-,11,.215,.23,-,,-,-.02,-,-1.88,-,,
.002,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,.02,5.0,,
.022,.01,-,-,AGX,Agenix,.01,-,200,.01,.011,-,,-,-,-,-.27,-,,
15.79,12.50,14.60,14.44,AGK,AGL Energy,14.54,-4,12413,14.53,14.59,60.00,f,1.58,6.98,4.13,94.90,15.3,,
.20,.13,-,-,AGJ,Agricultural Land unt,.16,-,-,-,-,1.49,,-,.33,9.31,-1.01,-,,
2.30,1.90,-,-,AHC,AHC,2.20,-,-,-,-,10.00,,-,4.92,4.55,-6.74,-,,
18.26,11.87,-,-,ENY,All 200 Energy etf unt,14.20,-,-,14.09,14.16,-,p,-,-,-,-,-,,
4.70,3.55,-,-,FIN,All 200 Financials etf unt,4.15,-,-,4.12,4.15,-,p,-,-,-,-,-,,
5.45,4.34,4.93,4.93,FIX,All 200 Fin-x-A-REIT etf unt,4.93,+8,15,4.91,4.94,-,p,-,-,-,-,-,,
3.86,3.00,-,-,IDD,All 200 Industrials etf unt,3.86,-,-,3.78,3.81,-,p,-,-,-,-,-,,
6.42,4.33,4.66,4.66,RSR,All 200 Resources etf unt,4.66,-6,5,4.64,4.67,-,p,-,-,-,-,-,,
5.58,3.75,-,-,MAM,All 300 Metals & Mining etf unt,3.92,-,-,3.85,3.88,-,p,-,-,-,-,-,,
1.59,.225,1.59,1.53,AGI,Ainsworth Game Tech,1.56,+5,3966,1.56,1.575,-,,-,.23,-,21.81,7.2,,
.96,.655,-,-,AIZ,Air New Zealand,.69,-,-,-,-,3.01,,.54,1.07,4.36,1.62,42.6,,
.08,.035,-,-,AIG,Aircruising Aust,.079,-,-,-,-,-,,-,-.19,-,-4.88,-,,
1.95,1.005,1.15,1.12,AJL,AJ Lucas Grp,1.125,-1.5,653,1.13,1.15,-,,-,.86,-,-9.40,-,,
.86,.25,.48,.47,ACL,Alchemia,.48,-,1599,.475,.48,-,,-,.06,-,-6.40,-,,
18.99,9.00,-,-,AAI,Alcoa Inc cdi,9.45,-,-,6.60,11.33,9.57,,2.47,-,1.01,23.62,40.0,,
2.15,1.72,2.01,2.00,LEP,ALE Prop Grp stp,2.00,+1.5,42,2.00,2.02,17.75,,.39,2.14,8.88,6.98,28.7,,
3.300,.995,1.57,1.53,ALS,Alesco Corp,1.53,-3,274,1.53,1.57,10.00,f,2.13,.83,6.54,21.32,7.2,,
.14,.06,-,-,AJX,Alexium Int'l,.09,-,-,.091,.095,-,,-,-.02,-,-1.99,-,,
.63,.29,.405,.385,AEB,Algae.Tec,.405,+1.5,2370,.39,.405,-,,-,-,-,-1.00,-,,
.06,.035,.06,.055,AEBO,  opt jan14,.06,+1,1825,.05,.06,-,,-,-,-,-,-,,
2.17,1.59,2.15,2.15,AQZ,Alliance Aviation,2.15,+10,9,2.00,2.17,-,,-,-,-,-,-,,
.084,.026,.031,.03,AHZ,Allied Healthcare,.031,+.1,6288,.03,.031,-,,-,.01,-,-.72,-,,
.275,.095,.20,.195,AZG,Allmine Grp,.195,-.5,22897,.19,.195,-,,-,.07,-,2.00,9.8,,
.63,.391,-,-,AIQ,Alternative Invest unt,.51,-,-,.51,.53,-,,-,.65,-,-.07,-,,
.30,.082,.21,.21,ALU,Altium,.21,-,100,.215,.24,-,,-,-.06,-,-9.76,-,,
.155,.09,.15,.145,AMA,AMA Grp,.15,+1,2361,.145,.15,1.00,,3.28,-.04,6.67,3.28,4.6,,
6.20,5.10,6.07,6.07,AHD,Amalgamated Hldgs,6.07,-,13,6.07,6.08,37.00,f,1.59,5.19,6.10,58.80,10.3,,
.355,.205,.25,.25,AMO,Ambertech,.25,-,100,.25,.30,.50,,-,.55,2.00,-2.45,-,,
.33,.12,.17,.17,AMB,Ambition Grp,.17,-,796,.165,.18,-,,-,.19,-,2.03,8.4,,
99.45,95.478,-,-,AKY,AMCB Fund No 5,99.45,-,-,-,-,-,f,-,.99,-,270.00,36.8,,
30.957,28.138,-,-,AKX,AMCB Fund No 4,30.00,-,-,-,-,135.00,f,1.85,58.10,4.50,250.00,12.0,,
.715,.60,.705,.705,AMH,AMCIL,.705,-1,682,.705,.71,3.50,,1.12,.77,4.96,3.93,17.9,,
1.10,.588,1.07,1.065,AMM,Amcom Telco,1.07,-,1974,1.065,1.07,4.80,f,2.76,.32,4.49,13.23,8.1,,
7.54,5.87,7.075,6.97,AMC,Amcor,7.03,+6,31140,7.00,7.07,36.00,,.76,1.20,5.12,27.40,25.7,,
5.82,3.61,4.28,4.21,AMP,AMP,4.26,-,117959,4.24,4.27,29.00,p,.91,.89,6.81,26.30,16.2,,
.82,.60,.70,.695,AGF,AMP Capital China unt,.70,+.5,176,.685,.71,2.05,,-,.82,2.93,-14.40,-,,
.115,.04,.049,.048,ANQ,AnaeCo,.048,+.5,1079,.044,.048,-,,-,-.03,-,-5.30,-,,
.001,.001,-,-,ANQOA,  opt may12,.001,-,-,-,-,-,,-,-,-,-,-,,
.040,.016,-,-,ALT,Analytica,.025,-,-,.024,.026,-,,-,-,-,-.23,-,,
.009,.001,-,-,ALTO,  opt sep12,.004,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,-,-,ALTOA,  opt jun13,.002,-,-,.002,.004,-,,-,-,-,-,-,,
.009,.004,-,-,AYG,Anittel Grp,.005,-,-,-,-,-,,-,-.01,-,-.47,-,,
15.36,11.82,14.71,14.46,ANN,Ansell,14.61,-,5540,14.47,14.90,34.00,,2.74,2.31,2.33,93.30,15.7,,
.038,.012,-,-,ANO,Antaria,.016,-,-,-,-,-,,-,.01,-,-.88,-,,
.105,.054,.083,.08,ADO,Anteo Diagnostics,.08,-.2,7637,.08,.082,-,,-,-,-,-.35,-,,
.039,.006,.023,.023,ANP,Antisense Therapeutic,.023,+.1,11691,.024,.02,-,,-,-,-,-.29,-,,
.027,.002,-,-,ANPO,  opt jul12,.012,-,-,-,-,-,,-,-,-,-,-,,
24.49,17.63,22.68,22.38,ANZ,ANZ Banking Grp,22.42,-11,56545,22.41,22.55,140.00,f,1.49,11.44,6.24,208.20,10.8,,
13.85,9.20,13.76,13.76,APE,AP Eagers,13.76,-9,2,13.76,13.90,80.00,f,1.60,8.37,5.81,127.70,10.8,,
.025,.005,-,-,APP,APA Fin Services,.008,-,-,-,-,-,,-,.02,-,-.08,-,,
5.34,3.53,4.95,4.85,APA,APA Grp stp,4.93,+10,20719,4.84,4.94,34.90,,.50,1.64,7.08,17.30,28.5,,
.018,.001,-,-,AEZ,APN European Ret stp,.001,-,-,-,-,-,,-,-.20,-,-23.10,-,,
1.64,.695,.95,.875,APN,APN News & Media,.94,-1,11090,.90,.945,8.50,p,-,-.57,9.04,-7.30,-,,
.205,.125,.135,.125,APD,APN Prop Grp,.125,-4.5,650,.135,.16,1.25,f,1.07,.19,10.00,1.34,9.3,,
8.89,6.65,8.89,8.56,ARP,ARB Corp,8.88,+8,215,8.78,8.88,24.00,f,2.19,1.75,2.70,52.63,16.9,,
1.59,1.005,1.13,1.12,AAD,Ardent Leisure Grp stp,1.125,-.5,18526,1.115,1.13,11.50,,.90,.92,10.22,10.32,10.9,,
6.25,4.75,5.14,5.10,ARG,Argo Invest,5.12,+1,2199,5.11,5.14,26.00,f,1.04,5.40,5.08,27.10,18.9,,
.38,.29,.365,.36,ARA,Ariadne Aust,.36,-.5,275,.36,.375,2.00,,1.64,.34,5.56,3.29,10.9,,
3.30,1.88,2.99,2.91,ALL,Aristocrat Leisure,2.94,-1,12953,2.91,2.95,6.50,,1.89,.26,2.21,12.30,23.9,,
.076,.04,-,-,AIK,Armidale Invest,.071,-,-,-,-,-,,-,.10,-,9.52,.7,,
.015,.004,.014,.01,AEM,Artist & Entertain,.011,-.2,29580,.011,.012,-,,-,-,-,-.25,-,,
.068,.01,-,-,AKW,Arturus Capital,.018,-,-,-,-,-,,-,-.10,-,-19.55,-,,
4.97,1.33,4.84,4.74,AIO,Asciano,4.77,-9,54726,4.76,4.78,6.50,f,2.57,.51,1.36,16.70,28.6,,
.195,.087,.16,.16,AFA,ASF Grp,.16,+.5,300,.16,.165,-,,-,.11,-,7.97,2.0,,
1.12,.75,.83,.82,ASZ,ASG Grp,.82,-1.5,2673,.82,.835,7.50,f,1.31,-,9.15,9.81,8.4,,
.16,.08,-,-,AJJ,Asia Liver Trans,.09,-,-,-,-,.30,,2.23,.01,3.33,.67,13.4,,
1.08,.85,.91,.91,AUF,Asian Masters Fund,.91,-1,297,.91,.945,3.00,,-,.85,3.30,-.42,-,,
.15,.07,-,-,AKF,ASK Funding,.15,-,-,-,-,-,,-,.21,-,-17.03,-,,
.51,.355,.49,.485,APZ,Aspen Grp stp,.485,-.5,6518,.485,.49,4.20,,.88,.68,8.66,3.68,13.2,,
.14,.079,-,-,ASP,Aspermont,.11,-,-,-,-,-,,-,-,-,.44,25.0,,
1.25,.30,.38,.38,AIR,Astivita Renewables,.38,-,106,.38,.415,4.00,,1.65,.54,10.53,6.60,5.8,,
3.18,1.885,2.48,2.22,AJA,Astro Japan Prop Grp stp,2.40,+18,605,2.35,2.65,30.00,,-,4.78,12.50,-65.64,-,,
3.25,2.42,2.80,2.70,ATR,Astron,2.70,-15,276,2.70,2.84,-,,-,3.26,-,-.07,-,,
35.76,25.83,31.46,31.04,ASX,ASX,31.39,+15,7323,31.24,31.45,185.80,f,1.09,3.91,5.92,203.20,15.4,,
.165,.062,-,-,ACG,Atcor Medical,.065,-,-,-,-,-,,-,.02,-,-1.94,-,,
.127,.050,.054,.054,ATP,Atlas Southsea Pearl,.054,+.2,1334,.052,.054,-,,-,.14,-,.39,13.8,,
1.96,1.60,1.91,1.89,AIA,Auckland Airport,1.91,+3,265,1.91,1.93,7.07,,.86,1.42,3.70,6.09,31.4,,
9.65,4.20,-,-,AKP,Audio Pixels,6.00,-,-,6.00,6.30,-,,-,.16,-,-12.77,-,,
5.38,4.68,-,-,AUP,Aurora Prop unt,4.98,-,-,-,-,42.60,,-,4.71,8.55,-,-,,
1.15,1.10,1.115,1.11,ABW,Aurora Absolute Return ord unt,1.11,-1,629,1.11,1.12,9.01,,.84,1.10,8.12,7.61,14.6,,
1.20,.50,-,-,AFV,Aurora Funds,.50,-,-,-,-,-,,-,-,-,-45.95,-,,
1.21,1.035,-,-,AIB,Aurora Global Inc Tr unt,1.08,-,-,-,-,11.67,,-,.91,10.81,-.06,-,,
1.04,.85,-,-,AOD,Aurora Sandringham unt,.94,-,-,.935,.94,5.80,,-,.91,6.17,-4.33,-,,
1.75,1.36,-,-,AQF,Aust Gov Index Fund,1.56,-,-,1.49,1.60,8.50,f,.72,1.50,5.45,6.10,25.6,,
1.65,1.31,1.61,1.60,AZF,AUS Social Infr Fund unt,1.60,-5,876,1.61,1.68,13.80,,.56,2.32,8.63,7.73,20.7,,
4.30,2.52,4.30,4.10,ASL,Ausdrill,4.23,+2,19028,4.21,4.29,13.00,f,2.41,2.19,3.07,31.35,13.5,,
4.72,1.91,4.52,4.30,AAX,Ausenco,4.37,-15,4569,4.30,4.42,12.90,p,1.67,.61,2.95,21.50,20.3,,
1.705,1.245,1.385,1.345,AAC,Aust Agriculture,1.35,-1,5113,1.35,1.385,-,,-,2.15,-,3.60,37.5,,
.003,.001,-,-,AAK,Aust China Hldgs,.001,-,-,-,-,-,,-,.02,-,.03,3.3,,
.001,.001,-,-,AAKO,  opt dec13,.001,-,-,-,-,-,,-,-,-,-,-,,
1.015,.76,1.00,.995,AEU,Aust Education unt,.995,-.5,1112,.995,1.01,8.95,,1.07,1.20,8.99,9.60,10.4,,
6.70,5.74,-,-,AYF,Aust Enhanced unt,6.22,-,-,6.22,6.27,48.75,p,.20,6.40,7.84,9.90,62.8,,
24.03,18.40,-,-,AEF,Aust Ethical,19.00,-,-,18.50,20.00,125.00,f,.86,6.70,6.58,108.09,17.6,,
4.87,3.82,4.19,4.15,AFI,Aust Foundation,4.15,-2,2922,4.14,4.17,21.00,f,1.10,3.81,5.06,23.02,18.0,,
2.29,1.62,2.20,2.12,AIX,Aust Infrastructure Fd unt,2.16,-2,20403,2.15,2.20,10.00,p,3.11,2.92,4.63,31.08,6.9,,
1.31,1.005,1.20,1.20,ALF,Aust Leaders Fund,1.20,-,303,1.19,1.20,11.00,f,-,1.26,9.17,-7.00,-,,
.325,.205,.265,.265,API,Aust Pharmaceutical,.265,-,6885,.26,.27,2.50,,-,.74,9.43,-4.80,-,,
.62,.445,-,-,APK,Aust Power & Gas,.50,-,-,-,-,.50,,-,.02,1.00,-4.96,-,,
7.00,5.10,5.80,5.78,AUI,Aust United Invest,5.78,-2,53,5.75,5.78,27.50,f,1.12,6.17,4.76,30.80,18.8,,
.37,.22,.35,.345,AVG,Aust Vintage,.345,-2,817,.34,.345,2.50,,1.36,1.01,7.25,3.40,10.1,,
3.28,1.60,1.815,1.79,ASB,Austal,1.80,+.5,627,1.80,1.815,6.00,,.43,-,3.33,2.59,69.5,,
1.485,.865,1.485,1.48,AUN,Austar United,1.485,+.5,117100,1.48,1.485,-,,-,-.13,-,9.40,15.8,,
6.75,5.75,6.50,6.49,AUB,Austbrokers Hldgs,6.50,+1,2521,6.50,6.65,26.50,f,1.65,1.43,4.08,43.67,14.9,,
5.45,3.14,5.00,4.91,ANG,Austin Engineer,4.96,-6,253,4.96,5.00,12.00,f,2.62,.47,2.42,31.47,15.8,,
.15,.087,-,-,ACK,Austock Grp,.115,-,-,.08,.11,-,,-,.10,-,-10.02,-,,
3.20,2.17,2.66,2.57,ALZ,Australand Prop stp,2.65,-,7370,2.61,2.65,21.50,,1.13,3.46,8.11,24.40,10.9,,
.065,.005,-,-,AIY,Authorised Invest,.01,-,-,.007,.01,-,,-,.01,-,-.71,-,,
.016,.01,-,-,AIYO,  opt feb13,.01,-,-,-,-,-,,-,-,-,-,-,,
.053,.011,.025,.025,AIE,Autodom,.025,-,917,.022,.025,-,,-,.03,-,-5.35,-,,
2.80,1.565,2.34,2.30,AHE,Automotive Hldgs,2.34,-,1631,2.26,2.34,17.00,f,.71,.96,7.26,11.99,19.5,,
.08,.027,-,-,AVX,Avexa,.029,-,-,.029,.031,-,,-,.03,-,-.37,-,,
.25,.095,.235,.215,AVH,Avita Medical,.225,-.5,4201,.215,.225,-,,-,.05,-,-1.89,-,,
.55,.33,.36,.35,AVJ,AVJennings,.35,-4.5,1204,.34,.40,2.00,f,1.03,1.09,5.71,2.06,17.0,,
.041,.024,-,-,AXI,Axiom Prop,.032,-,-,.03,.037,-,,-,.04,-,-.82,-,,
.04,.026,.033,.033,AZV,Azure Healthcare,.033,-.2,501,.033,.035,-,,-,.03,-,-7.29,-,,
10.00,6.46,7.31,7.25,BOQ,Bank of Qld,7.28,+1,7622,7.25,7.30,54.00,f,1.24,7.95,7.42,67.10,10.8,,
8.60,.006,.48,.45,BEC,Becton Property stp,.48,+3,50,.45,.48,-,,-,-,-,-958.10,-,,
1.91,1.60,1.70,1.685,BGA,Bega Cheese,1.70,-1,503,1.685,1.70,3.00,f,3.04,1.52,1.76,9.11,18.7,,
.935,.52,.56,.54,BFG,Bell Financial Grp,.56,+2,194,.54,.56,3.00,f,1.00,.21,5.36,3.00,18.7,,
9.87,7.40,7.63,7.53,BEN,Bendigo & Adelaide Bk,7.54,-6,9184,7.53,7.54,60.00,f,.99,-,7.96,59.30,12.7,,
.045,.013,.02,.019,BLT,Benitec,.019,-,35466,.019,.02,-,,-,-,-,-.67,-,,
.012,.002,-,-,BLTO,  opt apr14,.005,-,-,-,-,-,,-,-,-,-,-,,
.019,.005,.007,.007,BLTOB,  opt dec13,.007,-,2909,.007,.008,-,,-,-,-,-,-,,
.205,.124,.205,.20,BEL,Bentley Capital,.20,-.5,711,.20,.205,1.00,,-,.27,5.00,-7.95,-,,
.60,.40,.43,.43,BER,Berklee,.43,-,16,.43,.48,2.00,,-,1.07,4.65,-32.60,-,,
12.26,11.16,-,-,QAG,BetaShares Agriculture etf unt,12.20,-,-,12.00,12.20,-,,-,-,-,-,-,,
18.08,16.08,-,-,QCB,BetaShares Commods etf unt,17.94,-,-,17.67,17.81,-,,-,-,-,-,-,,
