Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4373.7 at 2012-04-10T16:38:39. Report at Tuesday, April 10, 2012. Processed Wednesday at 2012-04-11T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
5.50,3.00,4.98,4.90,ONT,1300 Smiles,4.90,-,15,4.90,4.95,16.60,f,1.57,.55,3.39,26.01,18.8,,
.08,.041,-,-,TQH,3Q Hldgs,.068,-,-,-,-,-,,-,-.05,-,1.79,3.8,,
.06,.01,.012,.01,AYI,A1 Invest & Res,.01,-.2,20000,.01,.012,-,,-,.02,-,.03,33.3,,
.066,.02,.037,.035,AAY,AACL Hldgs,.035,-,1459,.035,.042,-,,-,.01,-,1.65,2.1,,
.017,.005,.006,.005,AAQ,AAQ Hldgs,.006,-,20620,.005,.006,-,,-,-,-,-.21,-,,
2.34,1.78,2.01,1.98,ABP,Abacus Prop stp,2.00,-,7249,1.99,2.01,16.50,,.15,2.43,8.25,2.52,79.4,,
1.295,.98,1.06,1.06,ALR,Aberdeen Leaders,1.06,-2,150,1.07,1.09,9.50,f,.37,1.07,8.96,3.48,30.5,,
.60,.50,-,-,AKG,Academies A'asia,.60,-,-,.42,.55,4.00,f,1.35,.09,6.67,5.39,11.1,,
4.30,2.59,3.98,3.88,ACR,Acrux,3.95,-2,6225,3.93,4.01,-,,-,.16,-,2.73,144.7,,
.069,.018,-,-,ACW,Actinogen,.023,-,-,-,-,-,,-,.01,-,-2.30,-,,
.01,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,-,-,,-,-,-,-,-,,
.003,.001,.001,.001,ACU,Acuvax,.001,-,3650,.001,.002,-,,-,-,-,-.03,-,,
.36,.18,.36,.35,ADA,Adacel Tech,.35,-1,29,.35,.36,-,,-,.13,-,.80,43.7,,
.20,.125,.185,.18,AAU,Adcorp Aust,.18,-,1287,.175,.19,2.00,f,1.16,.07,11.11,2.31,7.8,,
.044,.001,.01,.01,ABN,AdEffective,.01,-.3,22524,.009,.012,-,,-,-,-,-,-,,
3.39,2.22,2.90,2.84,ABC,Adelaide Brighton,2.85,-2,25842,2.84,2.88,16.50,f,1.41,1.22,5.79,23.30,12.2,,
.09,.05,.08,.075,ADQ,ADG Global Supply,.08,+.2,295,.072,.08,-,,-,.04,-,.65,12.3,,
.029,.016,.022,.022,ABV,Adv Braking Tech,.022,-,5000,.021,.023,-,,-,.01,-,-.02,-,,
.30,.15,-,-,AMT,Adv Surg Dsgn & Mnft,.24,-,-,-,-,-,,-,.10,-,-6.28,-,,
