Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4430.3 at 2012-04-23T16:40:41. Report at Monday, April 23, 2012. Processed Tuesday at 2012-04-24T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
5.50,3.00,5.00,4.94,ONT,1300 Smiles,5.00,+25,229,4.98,5.00,16.60,f,1.57,.55,3.32,26.01,19.2,,
.08,.041,-,-,TQH,3Q Hldgs,.068,-,-,.05,.15,-,,-,-.05,-,1.79,3.8,,
.06,.008,.008,.008,AYI,A1 Invest & Res,.008,-.1,1000,.008,.009,-,,-,.02,-,.03,26.7,,
.066,.02,-,-,AAY,AACL Hldgs,.03,-,-,-,-,-,,-,.01,-,1.65,1.8,,
.017,.005,.005,.005,AAQ,AAQ Hldgs,.005,-,1182,.004,.005,-,,-,-,-,-.21,-,,
2.34,1.78,2.06,2.02,ABP,Abacus Prop stp,2.03,-1,4245,2.03,2.07,16.50,,.15,2.43,8.13,2.52,80.6,,
1.29,.98,1.10,1.09,ALR,Aberdeen Leaders,1.10,+2,270,1.09,1.10,9.50,f,.37,1.07,8.64,3.48,31.6,,
.60,.44,.45,.44,AKG,Academies A'asia,.44,-16,250,.425,.45,4.00,f,1.35,.09,9.09,5.39,8.2,,
4.30,2.59,3.97,3.935,ACR,Acrux,3.96,+1,5278,3.90,3.97,-,,-,.16,-,2.73,145.1,,
.062,.018,-,-,ACW,Actinogen,.029,-,-,-,-,-,,-,.01,-,-2.30,-,,
.01,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,-,-,,-,-,-,-,-,,
.003,.001,.001,.001,ACU,Acuvax,.001,-,100,.001,.002,-,,-,-,-,-.03,-,,
.36,.18,.355,.355,ADA,Adacel Tech,.355,-.5,184,.24,.355,-,,-,.13,-,.80,44.4,,
.20,.125,.20,.19,AAU,Adcorp Aust,.19,-,533,.19,.20,2.00,f,1.16,.07,10.53,2.31,8.2,,
.044,.001,-,-,ABN,AdEffective,.01,-,-,.008,.012,-,,-,-,-,-,-,,
.003,.003,-,-,ABNO,  opt jun14,.003,-,-,-,-,-,,-,-,-,-,-,,
3.28,2.22,3.00,2.93,ABC,Adelaide Brighton,2.95,-4,9093,2.93,2.95,16.50,f,1.41,1.22,5.59,23.30,12.7,,
.09,.05,.075,.075,ADQ,ADG Global Supply,.075,-.5,505,.072,.08,-,,-,.04,-,.65,11.5,,
.029,.016,-,-,ABV,Adv Braking Tech,.021,-,-,-,-,-,,-,.01,-,-.02,-,,
.30,.15,-,-,AMT,Adv Surg Dsgn & Mnft,.24,-,-,.12,.18,-,,-,.10,-,-6.28,-,,
.90,.605,.74,.74,ASW,Advanced Share Reg,.74,-2,30,.72,.74,3.85,f,1.15,.13,5.20,4.42,16.7,,
.30,.155,-,-,AEI,Aeris Environmental,.26,-,-,.205,.25,-,,-,-.02,-,-1.88,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,.02,5.0,,
.02,.01,.013,.01,AGX,Agenix,.01,-.1,18300,.01,.011,-,,-,-,-,-.27,-,,
15.79,12.50,14.79,14.72,AGK,AGL Energy,14.77,-3,5054,14.73,14.77,60.00,f,1.58,6.98,4.06,94.90,15.6,,
.20,.13,-,-,AGJ,Agricultural Land unt,.145,-,-,-,-,1.49,,-,.33,10.28,-1.01,-,,
2.30,1.90,-,-,AHC,AHC,2.20,-,-,-,-,10.00,,-,4.92,4.55,-6.74,-,,
17.41,11.87,-,-,ENY,All 200 Energy etf unt,14.27,-,-,12.75,14.50,-,p,-,-,-,-,-,,
4.70,3.55,-,-,FIN,All 200 Financials etf unt,4.21,-,-,3.85,4.72,-,p,-,-,-,-,-,,
5.39,4.34,-,-,FIX,All 200 Fin-x-A-REIT etf unt,5.00,-,-,4.60,5.11,-,p,-,-,-,-,-,,
3.86,3.00,3.75,3.75,IDD,All 200 Industrials etf unt,3.75,-1,20,3.37,3.90,-,p,-,-,-,-,-,,
6.30,4.33,-,-,RSR,All 200 Resources etf unt,4.55,-,-,4.20,5.16,-,p,-,-,-,-,-,,
5.26,3.75,-,-,MAM,All 300 Metals & Mining etf unt,3.88,-,-,3.49,4.28,-,p,-,-,-,-,-,,
1.78,.225,-,-,AGI,Ainsworth Game Tech,1.565,-,-,1.54,1.535,-,,-,.23,-,21.81,7.2,,
.96,.655,.695,.685,AIZ,Air New Zealand,.695,+1.5,91,.685,.695,3.01,,.54,1.07,4.33,1.62,42.9,,
.08,.04,-,-,AIG,Aircruising Aust,.079,-,-,-,-,-,,-,-.19,-,-4.88,-,,
1.75,1.005,1.09,1.085,AJL,AJ Lucas Grp,1.085,+.5,1226,1.08,1.10,-,,-,.86,-,-9.40,-,,
.86,.25,.52,.50,ACL,Alchemia,.505,-.5,2195,.50,.505,-,,-,.06,-,-6.40,-,,
16.40,9.00,-,-,AAI,Alcoa Inc cdi,9.10,-,-,8.50,11.00,9.57,,2.47,-,1.05,23.62,38.5,,
2.15,1.72,2.06,2.04,LEP,ALE Prop Grp stp,2.06,+1,2532,2.05,2.07,17.75,,.39,2.14,8.62,6.98,29.5,,
3.28,.995,1.55,1.50,ALS,Alesco Corp,1.50,-1,262,1.50,1.545,10.00,f,2.13,.83,6.67,21.32,7.0,,
.13,.06,.09,.082,AJX,Alexium Int'l,.09,+.6,11000,.086,.09,-,,-,-.02,-,-1.99,-,,
.63,.29,.40,.385,AEB,Algae.Tec,.40,-,1965,.395,.40,-,,-,-,-,-1.00,-,,
.11,.035,.11,.10,AEBO,  opt jan14,.10,+.1,1300,.10,.12,-,,-,-,-,-,-,,
2.36,1.59,2.23,2.23,AQZ,Alliance Aviation,2.23,+3,54,2.23,2.28,-,,-,-,-,-,-,,
.084,.026,.029,.029,AHZ,Allied Healthcare,.029,-.1,8150,.029,.03,-,,-,.01,-,-.72,-,,
.275,.095,.19,.175,AZG,Allmine Grp,.18,-1.5,13921,.175,.18,-,,-,.07,-,2.00,9.0,,
.63,.391,.53,.53,AIQ,Alternative Invest unt,.53,-1,30,.525,.545,-,,-,.65,-,-.07,-,,
.30,.082,-,-,ALU,Altium,.25,-,-,.26,.28,-,,-,-.06,-,-9.76,-,,
.155,.09,.15,.145,AMA,AMA Grp,.145,-,1325,.145,.15,1.00,,3.28,-.04,6.90,3.28,4.4,,
6.50,5.10,6.48,6.31,AHD,Amalgamated Hldgs,6.33,-7,1049,6.32,6.47,37.00,f,1.59,5.19,5.85,58.80,10.8,,
.325,.205,.27,.27,AMO,Ambertech,.27,-,250,.255,.27,.50,,-,.55,1.85,-2.45,-,,
.305,.12,-,-,AMB,Ambition Grp,.20,-,-,.16,.19,-,,-,.19,-,2.03,9.9,,
84.592,81.214,-,-,AKY,AMCB Fund No 5,99.45,-,-,-,-,230.00,f,1.17,82.85,2.31,270.00,36.8,,
30.957,28.138,29.98,29.98,AKX,AMCB Fund No 4,29.98,-,2,29.98,29.98,135.00,f,1.85,29.59,4.50,250.00,12.0,,
.74,.60,-,-,AMH,AMCIL,.74,-,30,.735,.74,3.50,,1.12,.80,4.73,3.93,18.8,,
1.14,.196,1.10,1.075,AMM,Amcom Telco,1.09,+1.5,902,1.085,1.10,4.80,f,2.76,.32,4.40,13.23,8.2,,
7.68,5.87,7.54,7.45,AMC,Amcor,7.47,-3,15608,7.42,7.52,36.00,,.76,1.20,4.82,27.40,27.3,,
5.68,3.61,4.27,4.24,AMP,AMP,4.25,-,37639,4.24,4.26,29.00,p,.91,.89,6.82,26.30,16.2,,
.79,.60,.695,.69,AGF,AMP Capital China unt,.69,-.5,1506,.68,.70,2.05,,-,.88,2.97,-14.40,-,,
.092,.04,.048,.048,ANQ,AnaeCo,.048,-,399,.04,.048,-,,-,-.03,-,-5.30,-,,
.001,.001,-,-,ANQOA,  opt may12,.001,-,-,-,-,-,,-,-,-,-,-,,
.040,.016,-,-,ALT,Analytica,.024,-,-,-,-,-,,-,-,-,-.23,-,,
.009,.001,-,-,ALTO,  opt sep12,.003,-,-,.003,.005,-,,-,-,-,-,-,,
.005,.001,-,-,ALTOA,  opt jun13,.003,-,-,-,-,-,,-,-,-,-,-,,
.009,.004,.006,.006,AYG,Anittel Grp,.006,+.1,4000,.005,.006,-,,-,-.01,-,-.47,-,,
