Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4494.5 at 2012-05-03T16:41:57. Report at Thursday, May 3, 2012. Processed Friday at 2012-05-04T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
5.50,3.00,5.15,5.15,ONT,1300 Smiles,5.15,-4,23,5.06,5.15,16.60,f,1.57,.55,3.22,26.01,19.8,,
.08,.041,-,-,TQH,3Q Hldgs,.068,-,-,.06,.15,-,,-,-.05,-,1.79,3.8,,
.06,.008,-,-,AYI,A1 Invest & Res,.011,-,-,-,-,-,,-,.02,-,.03,36.7,,
.066,.02,.035,.032,AAY,AACL Hldgs,.035,+.4,5141,.031,.035,-,,-,.01,-,1.65,2.1,,
.017,.004,.004,.004,AAQ,AAQ Hldgs,.004,-.1,7500,.004,.005,-,,-,-,-,-.21,-,,
2.34,1.78,2.10,2.05,ABP,Abacus Prop stp,2.09,-,7468,2.07,2.09,16.50,,.15,2.43,7.89,2.52,82.9,,
1.255,.98,1.12,1.12,ALR,Aberdeen Leaders,1.12,-,204,1.12,1.14,9.50,f,.37,1.10,8.48,3.48,32.2,,
.60,.44,-,-,AKG,Academies A'asia,.45,-,-,.46,.70,4.00,f,1.35,.09,8.89,5.39,8.3,,
4.30,2.59,4.21,4.05,ACR,Acrux,4.15,+10,46158,4.12,4.16,-,,-,.16,-,2.73,152.0,,
.06,.018,-,-,ACW,Actinogen,.037,-,-,-,-,-,,-,.01,-,-2.30,-,,
.01,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,-,-,,-,-,-,-,-,,
.003,.001,-,-,ACU,Acuvax,.001,-,-,-,-,-,,-,-,-,-.03,-,,
.375,.18,.375,.375,ADA,Adacel Tech,.375,+1,40,.375,.405,-,,-,.13,-,.80,46.9,,
.205,.125,.195,.19,AAU,Adcorp Aust,.195,+1,105,.19,.23,2.00,f,1.16,.07,10.26,2.31,8.4,,
.044,.001,-,-,ABN,AdEffective,.01,-,-,.01,.013,-,,-,-,-,-,-,,
.003,.003,-,-,ABNO,  opt jun14,.003,-,-,-,-,-,,-,-,-,-,-,,
3.27,2.22,3.20,3.10,ABC,Adelaide Brighton,3.14,+1,14917,3.11,3.15,16.50,f,1.41,1.22,5.25,23.30,13.5,,
.09,.05,-,-,ADQ,ADG Global Supply,.075,-,-,.072,.08,-,,-,.04,-,.65,11.5,,
.027,.016,.021,.021,ABV,Adv Braking Tech,.021,-.2,3350,.019,.02,-,,-,.01,-,-.02,-,,
.30,.145,.15,.145,AMT,Adv Surg Dsgn & Mnft,.145,-2.5,50,.145,.25,-,,-,.10,-,-6.28,-,,
.90,.605,.72,.68,ASW,Advanced Share Reg,.72,-,339,.68,.72,3.85,f,1.15,.13,5.35,4.42,16.3,,
.30,.155,.22,.22,AEI,Aeris Environmental,.22,-2,500,.22,.23,-,,-,-.02,-,-1.88,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,.02,5.0,,
.02,.009,.009,.009,AGX,Agenix,.009,-,3235,.009,.011,-,,-,-,-,-.27,-,,
15.79,12.50,15.00,14.80,AGK,AGL Energy,14.80,-16,11630,14.78,14.90,60.00,f,1.58,6.98,4.05,94.90,15.6,,
.20,.13,.165,.165,AGJ,Agricultural Land unt,.165,+2.5,600,.14,.165,1.49,,-,.33,9.03,-1.01,-,,
2.30,1.90,-,-,AHC,AHC,2.20,-,-,2.20,2.29,10.00,,-,4.92,4.55,-6.74,-,,
16.78,11.87,14.32,14.30,ENY,All 200 Energy etf unt,14.32,+29,29,14.00,14.50,-,p,-,-,-,-,-,,
4.65,3.55,-,-,FIN,All 200 Financials etf unt,4.21,-,-,4.20,4.40,-,p,-,-,-,-,-,,
5.39,4.34,5.00,5.00,FIX,All 200 Fin-x-A-REIT etf unt,5.00,-19,-,5.00,5.23,-,p,-,-,-,-,-,,
3.86,3.00,-,-,IDD,All 200 Industrials etf unt,3.75,-,-,3.70,4.00,-,p,-,-,-,-,-,,
5.91,4.33,-,-,RSR,All 200 Resources etf unt,4.69,-,-,4.50,4.72,-,p,-,-,-,-,-,,
5.08,3.75,3.91,3.91,MAM,All 300 Metals & Mining etf unt,3.91,+8,2,3.70,4.00,-,p,-,-,-,-,-,,
1.985,.28,1.97,1.895,AGI,Ainsworth Game Tech,1.94,+2,4671,1.91,1.94,-,,-,.23,-,21.81,8.9,,
.96,.655,-,-,AIZ,Air New Zealand,.705,-,-,.685,.705,3.01,,.54,1.07,4.27,1.62,43.5,,
.08,.04,-,-,AIG,Aircruising Aust,.079,-,-,-,-,-,,-,-.19,-,-4.88,-,,
1.685,1.005,1.06,1.04,AJL,AJ Lucas Grp,1.05,-1,528,1.04,1.05,-,,-,.86,-,-9.40,-,,
.86,.25,.51,.49,ACL,Alchemia,.49,-3,4287,.485,.49,-,,-,.06,-,-6.40,-,,
16.40,9.00,-,-,AAI,Alcoa Inc cdi,9.50,-,-,9.50,10.49,9.57,,2.47,-,1.01,23.62,40.2,,
2.20,1.72,2.20,2.13,LEP,ALE Prop Grp stp,2.16,+3,1224,2.14,2.18,17.75,,.39,2.14,8.22,6.98,30.9,,
3.222,.995,2.05,2.01,ALS,Alesco Corp,2.02,+1,16474,2.02,2.04,10.00,f,2.13,.83,4.95,21.32,9.5,,
.12,.06,.10,.097,AJX,Alexium Int'l,.097,-.3,3739,.097,.105,-,,-,-.02,-,-1.99,-,,
.63,.29,.40,.40,AEB,Algae.Tec,.40,-,226,.40,.41,-,,-,-,-,-1.00,-,,
.11,.035,-,-,AEBO,  opt jan14,.09,-,-,-,-,-,,-,-,-,-,-,,
2.36,1.59,2.30,2.30,AQZ,Alliance Aviation,2.30,+2,11,2.28,2.30,-,,-,-,-,-,-,,
.084,.025,.027,.027,AHZ,Allied Healthcare,.027,-.1,13500,.026,.028,-,,-,.01,-,-.72,-,,
.275,.095,.18,.17,AZG,Allmine Grp,.17,-,6515,.165,.175,-,,-,.07,-,2.00,8.5,,
.63,.391,.54,.54,AIQ,Alternative Invest unt,.54,-,8,.54,.565,-,,-,.70,-,-.07,-,,
.40,.082,.35,.35,ALU,Altium,.35,-,305,.315,.35,-,,-,-.06,-,-9.76,-,,
.155,.09,.145,.145,AMA,AMA Grp,.145,+.5,50,.14,.145,1.00,,3.28,-.04,6.90,3.28,4.4,,
6.50,5.10,6.40,6.38,AHD,Amalgamated Hldgs,6.40,+2,97,6.38,6.40,37.00,f,1.59,5.19,5.78,58.80,10.9,,
.31,.205,-,-,AMO,Ambertech,.27,-,-,-,-,.50,,-,.55,1.85,-2.45,-,,
.305,.12,-,-,AMB,Ambition Grp,.165,-,-,-,-,-,,-,.19,-,2.03,8.1,,
84.592,81.214,-,-,AKY,AMCB Fund No 5,83.45,-,-,-,-,230.00,f,1.17,82.85,2.76,270.00,30.9,,
30.957,28.138,-,-,AKX,AMCB Fund No 4,29.98,-,-,-,-,135.00,f,1.85,29.59,4.50,250.00,12.0,,
.76,.60,.76,.75,AMH,AMCIL,.76,+1,293,.74,.76,3.50,,1.12,.80,4.61,3.93,19.3,,
1.14,.196,1.135,1.10,AMM,Amcom Telco,1.135,+3,3759,1.10,1.14,4.80,f,2.76,.32,4.23,13.23,8.6,,
7.73,5.87,7.67,7.58,AMC,Amcor,7.61,-6,30308,7.56,7.61,36.00,,.76,1.20,4.73,27.40,27.8,,
5.36,3.61,4.35,4.30,AMP,AMP,4.30,-,83921,4.30,4.34,29.00,p,.91,.89,6.74,26.30,16.3,,
.79,.60,.695,.68,AGF,AMP Capital China unt,.695,+1,2757,.69,.695,2.05,,-,.88,2.95,-14.40,-,,
.092,.04,.05,.05,ANQ,AnaeCo,.05,-,650,.048,.05,-,,-,-.03,-,-5.30,-,,
.001,.001,-,-,ANQOA,  opt may12,.001,-,-,-,-,-,,-,-,-,-,-,,
.040,.016,.023,.023,ALT,Analytica,.023,-.1,9715,.023,.024,-,,-,-,-,-.23,-,,
.009,.001,-,-,ALTO,  opt sep12,.004,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,-,-,ALTOA,  opt jun13,.003,-,-,-,-,-,,-,-,-,-,-,,
.009,.004,.005,.005,AYG,Anittel Grp,.005,-,64095,.005,.006,-,,-,-.01,-,-.47,-,,
15.36,11.82,14.95,14.54,ANN,Ansell,14.56,-9,9824,14.50,14.90,34.00,,2.74,2.31,2.34,93.30,15.6,,
.038,.012,.012,.012,ANO,Antaria,.012,-,3000,.012,.013,-,,-,.01,-,-.88,-,,
.105,.054,.079,.077,ADO,Anteo Diagnostics,.077,-.1,13290,.076,.077,-,,-,-,-,-.35,-,,
.039,.006,.016,.014,ANP,Antisense Therapeutic,.015,-,265573,.014,.015,-,,-,-,-,-.29,-,,
.027,.002,.006,.005,ANPO,  opt jul12,.005,-.1,27889,.005,.006,-,,-,-,-,-,-,,
24.05,17.63,23.75,23.56,ANZ,ANZ Banking Grp,23.64,-16,101646,23.63,23.67,142.00,f,1.47,11.44,6.01,208.20,11.4,,
14.80,9.20,14.80,14.78,APE,AP Eagers,14.80,+8,48,14.41,14.80,80.00,f,1.60,8.37,5.41,127.70,11.6,,
.017,.005,-,-,APP,APA Fin Services,.008,-,-,-,-,-,,-,.02,-,-.08,-,,
5.34,3.53,4.92,4.88,APA,APA Grp stp,4.90,+5,73071,4.89,4.91,34.90,,.50,1.64,7.12,17.30,28.3,,
.013,.001,-,-,AEZ,APN European Ret stp,.001,-,-,-,-,-,,-,-.20,-,-23.10,-,,
1.485,.695,.84,.80,APN,APN News & Media,.81,-3,31590,.81,.825,8.50,p,-,-.57,10.49,-7.30,-,,
.20,.125,.155,.155,APD,APN Prop Grp,.155,+.5,488,.155,.16,1.25,f,1.07,.19,8.06,1.34,11.6,,
9.65,6.65,9.61,9.52,ARP,ARB Corp,9.61,+3,146,9.51,9.65,24.00,f,2.19,1.75,2.50,52.63,18.3,,
1.59,1.005,1.305,1.27,AAD,Ardent Leisure Grp stp,1.295,+2,48675,1.285,1.305,11.50,,.90,.92,8.88,10.32,12.5,,
6.04,4.75,5.37,5.30,ARG,Argo Invest,5.31,-2,2881,5.31,5.33,26.00,f,1.04,5.59,4.90,27.10,19.6,,
.38,.29,-,-,ARA,Ariadne Aust,.36,-,-,-,-,2.00,,1.64,.34,5.56,3.29,10.9,,
3.25,1.88,3.15,3.05,ALL,Aristocrat Leisure,3.14,+7,39077,3.11,3.15,6.50,,1.89,.26,2.07,12.30,25.5,,
.076,.05,-,-,AIK,Armidale Invest,.05,-,-,-,-,-,,-,.10,-,9.52,.5,,
.018,.004,.013,.012,AEM,Artist & Entertain,.012,-.1,5024,.012,.013,-,,-,-,-,-.25,-,,
5.145,3.99,4.82,4.74,AIO,Asciano,4.79,+4,32535,4.78,4.83,6.50,f,2.57,.51,1.36,16.70,28.7,,
.195,.10,.18,.18,AFA,ASF Grp,.18,-.5,710,.18,.185,-,,-,.11,-,7.97,2.3,,
1.055,.75,.95,.915,ASZ,ASG Grp,.94,+3,7291,.935,.945,7.50,f,1.31,-,7.98,9.81,9.6,,
.149,.08,.11,.11,AJJ,Asia Liver Trans,.11,-,288,.083,.15,.30,,2.63,.01,2.73,.79,13.9,,
