Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4111.5 at 2012-06-13T16:40:36. Report at Wednesday, June 13, 2012. Processed Thursday at 2012-06-14T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
5.70,3.00,5.70,5.49,ONT,1300 Smiles,5.70,+25,166,5.45,5.69,16.60,f,1.57,.55,2.91,26.01,21.9,,
.08,.041,-,-,TQH,3Q Hldgs,.08,-,-,.054,.08,-,,-,-.05,-,1.79,4.5,,
.06,.006,-,-,AYI,A1 Invest & Res,.008,-,-,-,-,-,,-,.02,-,.03,26.7,,
.066,.02,-,-,AAY,AACL Hldgs,.022,-,-,-,-,-,,-,.01,-,1.65,1.3,,
.017,.004,-,-,AAQ,AAQ Hldgs,.005,-,-,-,-,-,,-,-,-,-.21,-,,
2.34,1.78,1.97,1.90,ABP,Abacus Prop stp,1.90,-6.5,4989,1.90,1.915,16.50,,.15,2.43,8.68,2.52,75.4,,
1.22,.98,-,-,ALR,Aberdeen Leaders,1.08,-,-,1.05,1.08,9.50,f,.37,1.11,8.80,3.48,31.0,,
.60,.44,-,-,AKG,Academies A'asia,.46,-,-,-,-,4.00,f,1.35,.09,8.70,5.39,8.5,,
4.47,2.59,4.44,4.40,ACR,Acrux,4.41,-2,10496,4.40,4.41,-,,-,.16,-,2.73,161.5,,
.06,.018,-,-,ACW,Actinogen,.029,-,-,-,-,-,,-,.01,-,-2.30,-,,
.01,.001,-,-,ACWO,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.015,.001,-,-,ACWOA,  opt sep15,.001,-,-,.002,.006,-,,-,-,-,-,-,,
.002,.001,-,-,ACU,Acuvax,.001,-,-,-,-,-,,-,-,-,-.03,-,,
.43,.18,-,-,ADA,Adacel Tech,.37,-,-,.30,.37,-,,-,.13,-,.80,46.3,,
.205,.125,-,-,AAU,Adcorp Aust,.17,-,-,.18,.20,2.00,f,1.16,.07,11.76,2.31,7.4,,
.044,.001,.013,.012,ABN,AdEffective,.012,-.1,546,.012,.013,-,,-,-,-,-,-,,
.003,.002,-,-,ABNO,  opt jun14,.003,-,-,-,-,-,,-,-,-,-,-,,
3.27,2.22,3.03,2.96,ABC,Adelaide Brighton,2.99,-1,14411,2.98,2.99,16.50,f,1.41,1.22,5.52,23.30,12.8,,
.09,.05,.06,.06,ADQ,ADG Global Supply,.06,-.5,1420,.06,.07,-,,-,.04,-,.65,9.2,,
.027,.016,.018,.016,ABV,Adv Braking Tech,.018,+.1,19800,.016,.018,-,,-,.01,-,-.02,-,,
.25,.145,-,-,AMT,Adv Surg Dsgn & Mnft,.145,-,-,-,-,-,,-,.10,-,-6.28,-,,
.90,.605,.655,.655,ASW,Advanced Share Reg,.655,+.5,26,.66,.705,3.85,f,1.15,.13,5.88,4.42,14.8,,
.30,.155,-,-,AEI,Aeris Environmental,.165,-,-,-,-,-,,-,-.02,-,-1.88,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,.02,5.0,,
.02,.004,-,-,AGX,Agenix,.005,-,-,-,-,-,,-,-,-,-.27,-,,
15.45,12.101,15.31,14.99,AGK,AGL Energy,15.22,+15,19159,15.22,15.23,60.00,f,1.58,6.98,3.94,94.90,16.0,,
3.85,2.84,-,-,AGKR,  rts forus,3.47,-,-,-,-,-,,-,-,-,-,-,,
.20,.13,.145,.145,AGJ,Agricultural Land unt,.145,-2,54,.145,.16,1.49,,-,.33,10.28,-1.01,-,,
2.30,2.00,-,-,AHC,AHC,2.20,-,-,-,-,10.00,,-,4.92,4.55,-6.74,-,,
15.47,11.87,-,-,ENY,All 200 Energy etf unt,12.43,-,-,12.41,13.72,-,p,-,-,-,-,-,,
4.47,3.55,-,-,FIN,All 200 Financials etf unt,4.15,-,-,4.05,4.14,-,p,-,-,-,-,-,,
5.19,4.34,-,-,FIX,All 200 Fin-x-A-REIT etf unt,4.90,-,-,4.79,4.86,-,p,-,-,-,-,-,,
3.86,3.00,-,-,IDD,All 200 Industrials etf unt,3.38,-,-,2.97,3.65,-,p,-,-,-,-,-,,
5.70,4.01,4.07,4.07,RSR,All 200 Resources etf unt,4.07,-2,850,3.65,4.46,-,p,-,-,-,-,-,,
5.04,3.31,3.31,3.31,MAM,All 300 Metals & Mining etf unt,3.31,-11,63,2.90,3.67,-,p,-,-,-,-,-,,
1.99,.315,1.90,1.75,AGI,Ainsworth Game Tech,1.87,+7,9348,1.865,1.895,-,,-,.23,-,21.81,8.6,,
.96,.65,.66,.655,AIZ,Air New Zealand,.655,-1.5,18,.655,.67,3.01,,.54,1.07,4.60,1.62,40.4,,
.08,.079,-,-,AIG,Aircruising Aust,.079,-,-,.079,.12,-,,-,-.19,-,-4.88,-,,
1.50,.87,.945,.935,AJL,AJ Lucas Grp,.94,+1,142,.935,1.045,-,,-,.86,-,-9.40,-,,
.86,.25,.43,.425,ACL,Alchemia,.43,+.5,2872,.43,.44,-,,-,.06,-,-6.40,-,,
16.34,8.50,-,-,AAI,Alcoa Inc cdi,8.50,-,-,6.01,10.79,9.67,,8.95,-,1.14,86.58,9.8,,
2.20,1.72,2.18,2.17,LEP,ALE Prop Grp stp,2.17,-,2630,2.17,2.18,17.75,,.39,2.14,8.18,6.98,31.1,,
2.879,.995,2.04,2.01,ALS,Alesco Corp,2.03,-,3305,2.02,2.03,10.00,f,2.13,.83,4.93,21.32,9.5,,
.12,.06,.094,.085,AJX,Alexium Int'l,.085,-.4,1881,.085,.091,-,,-,-.02,-,-1.99,-,,
.63,.29,.35,.34,AEB,Algae.Tec,.35,-,270,.34,.35,-,,-,-,-,-1.00,-,,
.11,.035,-,-,AEBO,  opt jan14,.065,-,-,.075,.09,-,,-,-,-,-,-,,
2.36,1.59,-,-,AQZ,Alliance Aviation,2.25,-,-,1.75,2.20,-,,-,-,-,-,-,,
.084,.019,-,-,AHZ,Allied Healthcare,.02,-,-,-,-,-,,-,.01,-,-.72,-,,
.275,.095,.155,.15,AZG,Allmine Grp,.155,+.5,1220,.15,.155,-,,-,.07,-,2.00,7.8,,
.458,.284,.395,.39,AIQ,Alternative Invest unt,.39,+.5,2837,.39,.395,-,,-,.69,-,-.07,-,,
.40,.082,.35,.35,ALU,Altium,.35,-,28,.35,.375,-,,-,-.06,-,-9.76,-,,
.155,.09,.14,.14,AMA,AMA Grp,.14,-.5,400,.14,.15,1.00,,3.28,-.04,7.14,3.28,4.3,,
6.60,5.10,6.59,6.40,AHD,Amalgamated Hldgs,6.46,+6,300,6.40,6.59,37.00,f,1.59,5.19,5.73,58.80,11.0,,
.31,.205,.22,.22,AMO,Ambertech,.22,-,25,.22,.23,.50,,-,.55,2.27,-2.45,-,,
.26,.12,-,-,AMB,Ambition Grp,.18,-,-,.18,.205,-,,-,.19,-,2.03,8.9,,
84.592,81.214,-,-,AKY,AMCB Fund No 5,83.40,-,-,-,-,230.00,f,1.17,83.11,2.76,270.00,30.9,,
30.957,28.138,-,-,AKX,AMCB Fund No 4,29.86,-,-,-,-,135.00,f,1.85,29.61,4.52,250.00,11.9,,
.76,.60,.70,.70,AMH,AMCIL,.70,-2,10,.70,.72,3.50,,1.12,.82,5.00,3.93,17.8,,
1.15,.196,1.095,1.07,AMM,Amcom Telco,1.085,+3,919,1.08,1.085,4.80,f,2.76,.32,4.42,13.23,8.2,,
7.80,5.87,7.63,7.52,AMC,Amcor,7.56,+3,31355,7.55,7.56,36.00,,.76,1.20,4.76,27.40,27.6,,
4.98,3.61,3.93,3.80,AMP,AMP,3.82,-9,73571,3.81,3.82,29.00,p,.91,.89,7.59,26.30,14.5,,
.79,.60,.685,.675,AGF,AMP Capital China unt,.675,+.5,847,.675,.68,2.05,,-,.88,3.04,-14.40,-,,
.083,.04,.05,.05,ANQ,AnaeCo,.05,-,500,.048,.05,-,,-,-.03,-,-5.30,-,,
.038,.016,-,-,ALT,Analytica,.022,-,-,-,-,-,,-,-,-,-.23,-,,
.009,.001,-,-,ALTO,  opt sep12,.001,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,-,-,ALTOA,  opt jun13,.002,-,-,-,-,-,,-,-,-,-,-,,
.009,.004,-,-,AYG,Anittel Grp,.006,-,-,-,-,-,,-,-.01,-,-.47,-,,
15.36,11.82,14.07,13.45,ANN,Ansell,13.58,-46,15245,13.57,13.58,34.00,,2.74,2.31,2.50,93.30,14.6,,
.038,.008,.011,.011,ANO,Antaria,.011,+.3,900,.009,.011,-,,-,.01,-,-.88,-,,
.093,.054,.068,.064,ADO,Anteo Diagnostics,.064,-.4,3724,.064,.066,-,,-,-,-,-.35,-,,
.039,.006,.019,.017,ANP,Antisense Therapeutic,.019,+.2,351669,.018,.019,-,,-,-,-,-.29,-,,
.027,.002,.008,.008,ANPO,  opt jul12,.008,+.1,10000,.007,.009,-,,-,-,-,-,-,,
24.05,17.63,21.90,21.48,ANZ,ANZ Banking Grp,21.57,-20,58804,21.56,21.57,142.00,f,1.51,-,6.58,214.80,10.0,,
3.31,1.84,-,-,APE,AP Eagers,3.30,-,-,3.05,3.17,16.00,f,1.60,1.67,4.85,25.54,12.9,,
.017,.005,-,-,APP,APA Fin Services,.008,-,-,.008,.015,-,,-,.02,-,-.08,-,,
5.34,3.53,5.195,5.055,APA,APA Grp stp,5.16,+7,31974,5.15,5.16,34.90,,.50,1.64,6.76,17.30,29.8,,
.01,.001,-,-,AEZ,APN European Ret stp,.001,-,-,-,-,-,,-,-.20,-,-23.10,-,,
1.35,.675,.73,.70,APN,APN News & Media,.73,+3,16743,.725,.73,8.50,p,-,-.57,11.64,-7.30,-,,
.20,.125,.165,.16,APD,APN Prop Grp,.16,-,496,.15,.165,1.25,f,1.07,.19,7.81,1.34,11.9,,
9.65,6.65,8.75,8.51,ARP,ARB Corp,8.64,-8,650,8.64,8.68,24.00,f,2.19,1.75,2.78,52.63,16.4,,
1.385,1.005,1.28,1.26,AAD,Ardent Leisure Grp stp,1.27,-1,4006,1.265,1.27,11.50,,.90,.92,9.06,10.32,12.3,,
5.92,4.75,5.10,5.04,ARG,Argo Invest,5.05,-5,1081,5.05,5.08,26.00,f,1.04,5.80,5.15,27.10,18.6,,
.38,.29,.335,.335,ARA,Ariadne Aust,.335,-,100,.33,.34,2.00,,1.64,.34,5.97,3.29,10.2,,
3.25,1.88,2.96,2.88,ALL,Aristocrat Leisure,2.96,+6,10461,2.95,2.96,6.50,,1.89,.26,2.20,12.30,24.1,,
.076,.045,-,-,AIK,Armidale Invest,.045,-,-,-,-,-,,-,.07,-,9.52,.5,,
.018,.004,.012,.012,AEM,Artist & Entertain,.012,-,10296,.011,.012,-,,-,-,-,-.25,-,,
5.145,3.99,4.38,4.30,AIO,Asciano,4.36,+1,35999,4.35,4.36,6.50,f,2.57,.51,1.49,16.70,26.1,,
.195,.10,.195,.19,AFA,ASF Grp,.195,+.5,1524,.195,.20,-,,-,.11,-,7.97,2.4,,
1.055,.75,.885,.875,ASZ,ASG Grp,.885,+1,14589,.88,.89,7.50,f,1.31,-,8.47,9.81,9.0,,
.125,.08,.11,.11,AJJ,Asia Liver Trans,.11,-,1000,.11,.115,.30,,2.63,.01,2.73,.79,13.9,,
1.05,.85,.87,.87,AUF,Asian Masters Fund,.87,-1,92,.87,.90,3.00,,-,.88,3.45,-.42,-,,
.16,.07,-,-,AKF,ASK Funding,.155,-,-,.15,.155,-,,-,.21,-,-17.03,-,,
.51,.355,.445,.44,APZ,Aspen Grp stp,.445,+.5,1300,.435,.445,4.20,,.88,.68,9.44,3.68,12.1,,
