Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4510.1 at 2012-10-12T16:45:37. Report at Friday, October 12, 2012. Processed Saturday at 2012-10-13T01:00:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.54,3.55,5.39,5.30,ONT,1300 Smiles,5.30,-6,38,5.30,5.39,17.80,f,1.49,.59,3.36,26.60,19.9,,
.08,.052,.08,.08,TQH,3Q Hldgs,.08,+1,300,.08,.09,-,,-,-.04,-,1.47,5.4,,
.05,.006,-,-,AYI,A1 Invest & Res,.008,-,-,.005,.008,-,,-,.02,-,-1.20,-,,
.05,.02,.022,.022,AAY,AACL Hldgs,.022,-,2141,.022,.025,-,,-,-.03,-,-3.11,-,,
.017,.003,.009,.007,AAQ,AAQ Hldgs,.009,+.2,54895,.009,.01,-,,-,-,-,-.16,-,,
2.13,1.80,2.07,2.04,ABP,Abacus Prop stp,2.05,-1,5207,2.04,2.07,16.50,,.13,2.34,8.05,2.11,97.2,,
1.125,.975,1.04,1.03,ALR,Aberdeen Leaders,1.03,-1,181,1.03,1.04,9.50,f,.31,1.07,9.22,2.98,34.6,,
.80,.44,-,-,AKG,Academies A'asia,.80,-,-,-,-,4.50,f,1.40,.10,5.63,6.30,12.7,,
4.77,2.59,3.60,3.48,ACR,Acrux,3.60,+12,14623,3.58,3.60,8.00,,.56,.17,2.22,4.44,81.1,,
.06,.018,-,-,ACW,Actinogen,.027,-,-,-,-,-,,-,-,-,-2.12,-,,
.003,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,-,-,,-,-,-,-,-,,
.002,.001,-,-,ACU,Acuvax,.001,-,-,-,-,-,,-,-,-,-.02,-,,
.43,.20,-,-,ADA,Adacel Tech,.385,-,-,-,-,-,,-,.14,-,5.40,7.1,,
.22,.13,.15,.13,AAU,Adcorp Aust,.14,-1,1054,.13,.14,1.75,f,1.47,.09,12.50,2.57,5.4,,
.044,.001,-,-,ABN,AdEffective,.01,-,-,.006,.015,-,,-,-,-,-1.35,-,,
.004,.002,.004,.004,ABNO,  opt jun14,.004,-,1500,.003,.005,-,,-,-,-,-,-,,
3.40,2.73,3.12,3.07,ABC,Adelaide Brighton,3.10,-,8909,3.08,3.10,16.50,f,1.47,1.23,5.32,24.20,12.8,,
.08,.05,.059,.059,ADQ,ADG Global Supply,.059,-,180,.053,.059,-,,-,.05,-,.79,7.5,,
.026,.013,-,-,ABV,Adv Braking Tech,.018,-,-,-,-,-,,-,.01,-,-.01,-,,
.25,.105,-,-,AMT,Adv Surg Dsgn & Mnft,.105,-,-,-,-,-,,-,.11,-,-.49,-,,
.76,.605,-,-,ASW,Advanced Share Reg,.71,-,-,-,-,3.70,f,1.01,.14,5.21,3.73,19.0,,
.30,.13,-,-,AEI,Aeris Environmental,.16,-,-,.15,.165,-,,-,-.02,-,-1.23,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,-,-,,-,-,-,-,-,,
.016,.002,-,-,AGX,Agenix,.003,-,-,-,-,-,,-,-,-,-.20,-,,
16.01,13.031,15.15,14.97,AGK,AGL Energy,15.00,-2,9879,15.00,15.01,61.00,f,.39,7.26,4.07,23.80,63.0,,
.19,.12,-,-,AGJ,Agricultural Land unt,.135,-,-,-,-,3.18,,-,.21,23.56,-10.73,-,,
2.30,2.00,-,-,AHC,AHC,2.05,-,-,-,-,-,,-,4.90,-,-4.64,-,,
14.60,11.50,-,-,ENY,All 200 Energy etf unt,12.76,-,-,12.68,12.88,-,,-,-,-,-,-,,
4.78,3.962,-,-,FIN,All 200 Financials etf unt,4.78,-,-,4.75,4.83,-,,-,-,-,-,-,,
5.56,4.62,-,-,FIX,All 200 Fin-x-A-REIT etf unt,5.56,-,-,4.90,5.77,-,,-,-,-,-,-,,
3.86,3.18,-,-,IDD,All 200 Industrials etf unt,3.37,-,-,3.37,3.43,-,,-,-,-,-,-,,
5.09,3.51,-,-,RSR,All 200 Resources etf unt,4.19,-,-,4.17,4.35,-,,-,-,-,-,-,,
4.38,3.01,3.37,3.37,MAM,All 300 Metals & Mining etf unt,3.37,-3,67,3.48,3.55,-,,-,-,-,-,-,,
2.75,.335,2.65,2.53,AGI,Ainsworth Game Tech,2.64,+9,4083,2.61,2.64,-,,-,.36,-,23.00,11.5,,
1.04,.65,1.00,.99,AIZ,Air New Zealand,.99,-,158,.99,1.00,3.64,,1.40,1.16,3.68,5.09,19.4,,
.08,.079,-,-,AIG,Aircruising Aust,.079,-,-,-,-,-,,-,-.21,-,-5.37,-,,
1.50,.495,.825,.80,AJL,AJ Lucas Grp,.825,-4,335,.825,.895,-,,-,.45,-,-133.20,-,,
.615,.25,.595,.585,ACL,Alchemia,.59,+.5,1163,.585,.595,-,,-,.03,-,-6.20,-,,
11.39,8.00,-,-,AAI,Alcoa Inc cdi,8.50,-,-,8.28,9.99,9.83,,8.81,-,1.16,86.58,9.8,,
2.23,1.90,2.20,2.15,LEP,ALE Prop Grp stp,2.20,+2,2887,2.19,2.20,16.00,,-,1.95,7.27,-10.70,-,,
2.03,.947,1.95,1.94,ALS,Alesco Corp,1.95,+1,1804,1.945,1.95,8.00,f,-,.75,4.10,-14.72,-,,
.115,.059,-,-,AJX,Alexium Int'l,.073,-,-,-,-,-,,-,-.01,-,-2.11,-,,
.63,.29,.305,.30,AEB,Algae.Tec,.30,-1,300,.305,.31,-,,-,-,-,-2.51,-,,
.12,.035,-,-,AEBO,  opt jan14,.09,-,-,-,-,-,,-,-,-,-,-,,
2.36,1.59,-,-,AQZ,Alliance Aviation,2.00,-,-,-,-,5.60,f,4.35,1.15,2.80,24.38,8.2,,
.052,.015,.025,.024,AHZ,Allied Healthcare,.025,+.1,10304,.024,.026,-,,-,.01,-,-1.51,-,,
.23,.095,.115,.11,AZG,Allmine Grp,.115,+.5,4541,.11,.115,-,,-,-,-,5.00,2.3,,
