Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4591.8 at 2012-12-12T16:40:35. Report at Wednesday, December 12, 2012. Processed Thursday at 2012-12-13T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.54,3.80,5.05,5.05,ONT,1300 Smiles,5.05,-4,182,5.05,5.07,17.80,f,1.49,.59,3.52,26.60,19.0,,
.099,.052,-,-,TQH,3Q Hldgs,.09,-,-,.09,.10,-,,-,-.04,-,1.47,6.1,,
.04,.004,-,-,AYI,A1 Invest & Res,.004,-,-,.003,.005,-,,-,.02,-,-1.20,-,,
.041,.02,-,-,AAY,AACL Hldgs,.02,-,-,.016,.02,-,,-,-.03,-,-3.11,-,,
.011,.003,-,-,AAQ,AAQ Hldgs,.005,-,-,.004,.005,-,,-,-,-,-.16,-,,
2.13,1.80,2.07,2.035,ABP,Abacus Prop stp,2.07,+2,5826,2.04,2.07,16.50,,.13,2.34,7.97,2.11,98.1,,
1.125,.975,1.10,1.08,ALR,Aberdeen Leaders,1.08,-1,466,1.08,1.09,9.50,f,.31,1.08,8.80,2.98,36.2,,
.80,.44,-,-,AKG,Academies A'asia,.72,-,24400,.68,.745,4.50,f,1.40,.10,6.25,6.30,11.4,,
4.77,2.59,2.94,2.82,ACR,Acrux,2.92,+8,3204,2.91,2.93,8.00,,.56,.17,2.74,4.44,65.8,,
.052,.015,-,-,ACW,Actinogen,.015,-,-,.005,.015,-,,-,-,-,-2.12,-,,
.003,.001,-,-,ACWOA,  opt sep15,.001,-,-,.001,.002,-,,-,-,-,-,-,,
.002,.001,-,-,ACU,Acuvax,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.43,.20,-,-,ADA,Adacel Tech,.385,-,-,.385,.395,-,,-,.14,-,5.40,7.1,,
.22,.10,.12,.12,AAU,Adcorp Aust,.12,-,353,.11,.12,1.75,f,1.47,.09,14.58,2.57,4.7,,
.044,.001,-,-,ABN,AdEffective,.011,-,-,.012,.013,-,,-,-,-,-1.35,-,,
.005,.002,-,-,ABNO,  opt jun14,.004,-,-,.003,.004,-,,-,-,-,-,-,,
3.40,2.80,3.135,3.05,ABC,Adelaide Brighton,3.05,-2,39888,3.04,3.05,16.50,f,1.47,1.23,5.41,24.20,12.6,,
.08,.043,.055,.055,ADQ,ADG Global Supply,.055,-.2,1000,.055,.058,-,,-,.05,-,.79,7.0,,
.089,.027,.04,.039,ADJ,Adslot,.04,-,2150,.039,.04,-,,-,.02,-,-1.08,-,,
.024,.013,.019,.019,ABV,Adv Braking Tech,.019,-,270,.018,.019,-,,-,.01,-,-.01,-,,
