Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4745.7 at 2013-01-14T16:40:05. Report at Monday, January 14, 2013. Processed Tuesday at 2013-01-15T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.54,3.86,-,-,ONT,1300 Smiles,5.26,-,-,5.27,5.35,17.80,f,1.49,.59,3.38,26.60,19.8,,
.48,.38,.40,.38,TIX,360 Cap Indust Fund ord unt,.38,-1,6467,.38,.39,-,,-,-,-,-,-,,
.099,.052,.09,.088,TQH,3Q Hldgs,.09,+.1,570,.09,.094,-,,-,-.04,-,1.47,6.1,,
.04,.004,-,-,AYI,A1 Invest & Res,.005,-,-,.005,.007,-,,-,.02,-,-1.20,-,,
.037,.015,-,-,AAY,AACL Hldgs,.02,-,-,.01,.02,-,,-,-.03,-,-3.11,-,,
.01,.003,.005,.004,AAQ,AAQ Hldgs,.004,-.1,5500,.004,.005,-,,-,-,-,-.16,-,,
2.30,1.80,2.25,2.20,ABP,Abacus Prop stp,2.24,+4,3410,2.23,2.24,16.50,,.13,2.34,7.37,2.11,106.2,,
1.20,.975,1.17,1.17,ALR,Aberdeen Leaders,1.17,+.5,145,1.165,1.17,9.50,f,.31,1.11,8.12,2.98,39.3,,
.80,.44,-,-,AKG,Academies A'asia,.645,-,-,-,.65,4.50,f,1.40,.10,6.98,6.30,10.2,,
4.77,2.64,2.90,2.85,ACR,Acrux,2.88,+1,1667,2.87,2.88,8.00,,.56,.17,2.78,4.44,64.9,,
.052,.01,.011,.011,ACW,Actinogen,.011,-,300,.011,.021,-,,-,-,-,-2.12,-,,
.003,.001,-,-,ACWOA,  opt sep15,.001,-,-,.001,.002,-,,-,-,-,-,-,,
.002,.001,.001,.001,ACU,Acuvax,.001,-,5000,.002,.001,-,,-,-,-,-.02,-,,
.43,.20,.30,.30,ADA,Adacel Tech,.30,-6,203,.305,.355,-,,-,.14,-,5.40,5.6,,
.22,.10,.14,.14,AAU,Adcorp Aust,.14,-,100,.14,.145,1.75,f,1.47,.09,12.50,2.57,5.4,,
.044,.001,-,-,ABN,AdEffective,.014,-,-,.01,.013,-,,-,-,-,-1.35,-,,
.005,.002,-,-,ABNO,  opt jun14,.004,-,-,.003,.004,-,,-,-,-,-,-,,
3.40,2.80,3.30,3.26,ABC,Adelaide Brighton,3.27,-,11872,3.26,3.27,16.50,f,1.47,1.23,5.05,24.20,13.5,,
.08,.043,-,-,ADQ,ADG Global Supply,.059,-,-,.059,.063,-,,-,.05,-,.79,7.5,,
.089,.027,.037,.036,ADJ,Adslot,.036,-.1,3525,.036,.039,-,,-,.02,-,-1.08,-,,
.024,.013,.021,.02,ABV,Adv Braking Tech,.021,+.1,1281,.02,.021,-,,-,.01,-,-.01,-,,
.25,.105,-,-,AMT,Adv Surg Dsgn & Mnft,.105,-,-,.105,.12,-,,-,.11,-,-.49,-,,
.76,.62,.72,.72,ASW,Advanced Share Reg,.72,-,330,.715,.72,3.70,f,1.01,.14,5.14,3.73,19.3,,
.26,.13,-,-,AEI,Aeris Environmental,.17,-,-,.16,.18,-,,-,-.02,-,-1.23,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-,-,,
.375,.018,.038,.035,AGX,Agenix,.038,+.5,1900,.028,.038,-,,-,-,-,-5.00,-,,
16.01,13.031,15.60,15.45,AGK,AGL Energy,15.51,+11,7359,15.50,15.51,61.00,f,.39,7.26,3.93,23.80,65.2,,
.19,.089,.11,.11,AGJ,Agricultural Land unt,.11,-,2,.091,.11,3.18,,-,.21,28.91,-10.73,-,,
2.21,1.92,-,-,AHC,AHC,2.00,-,-,2.03,2.29,10.00,f,-,4.90,5.00,-4.64,-,,
14.60,11.50,-,-,ENY,All 200 Energy etf unt,12.60,-,-,12.41,12.61,-,,-,-,-,-,-,,
4.99,3.99,4.87,4.87,FIN,All 200 Financials etf unt,4.87,+8,15,4.75,4.89,-,,-,-,-,-,-,,
