Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5024.5 at 2013-02-13T16:43:35. Report at Wednesday, February 13, 2013. Processed Thursday at 2013-02-14T01:00:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.54,4.09,-,-,ONT,1300 Smiles,5.90,-,-,5.92,5.93,17.80,f,1.49,.59,3.02,26.60,22.2,,
.50,.37,.50,.485,TIX,360 Cap Indust Fund ord unt,.49,+2.5,3708,.49,.50,-,,-,-,-,-,-,,
.099,.052,-,-,TQH,3Q Hldgs,.088,-,-,-,-,-,,-,-.04,-,1.47,6.0,,
.04,.004,-,-,AYI,A1 Invest & Res,.005,-,-,.005,.006,-,,-,.02,-,-1.20,-,,
.037,.015,-,-,AAY,AACL Hldgs,.03,-,-,.021,.03,-,,-,-.03,-,-3.11,-,,
2.30,1.815,2.18,2.16,ABP,Abacus Prop stp,2.18,+2,7557,2.17,2.18,16.50,,.13,2.34,7.57,2.11,103.3,,
1.25,.975,1.22,1.22,ALR,Aberdeen Leaders,1.22,-3,55,1.23,1.25,9.50,f,.31,1.11,7.79,2.98,40.9,,
.80,.44,.65,.65,AKG,Academies A'asia,.65,-,83,.645,.65,5.00,f,1.40,.12,7.69,7.01,9.3,,
4.77,2.64,3.95,3.78,ACR,Acrux,3.82,-8,10833,3.82,3.85,8.00,,.56,.17,2.09,4.44,86.0,,
.052,.01,-,-,ACW,Actinogen,.014,-,-,.016,.021,-,,-,-,-,-2.12,-,,
.003,.001,-,-,ACWOA,  opt sep15,.001,-,-,.001,-,-,,-,-,-,-,-,,
.002,.001,.001,.001,ACU,Acuvax,.001,-,6000,.001,.001,-,,-,-,-,-.02,-,,
.43,.22,-,-,ADA,Adacel Tech,.30,-,-,.28,.32,-,,-,.14,-,5.40,5.6,,
.22,.10,-,-,AAU,Adcorp Aust,.12,-,-,.12,.135,1.75,f,1.47,.09,14.58,2.57,4.7,,
.044,.001,-,-,ABN,AdEffective,.01,-,-,.01,.014,-,,-,-,-,-1.35,-,,
.005,.002,-,-,ABNO,  opt jun14,.005,-,-,.005,.006,-,,-,-,-,-,-,,
3.47,2.80,3.46,3.39,ABC,Adelaide Brighton,3.45,+6,33852,3.44,3.45,16.50,f,1.47,1.23,4.78,24.20,14.3,,
.08,.043,.063,.06,ADQ,ADG Global Supply,.063,+.4,13563,.063,.069,-,,-,.05,-,.79,8.0,,
.081,.027,.031,.031,ADJ,Adslot,.031,-,3583,.031,.033,-,,-,.02,-,-1.08,-,,
.024,.013,.022,.022,ABV,Adv Braking Tech,.022,-,4654,.021,.022,-,,-,.01,-,-.01,-,,
.25,.105,-,-,AMT,Adv Surg Dsgn & Mnft,.105,-,-,.105,.12,-,,-,.11,-,-.49,-,,
.76,.62,.71,.70,ASW,Advanced Share Reg,.71,-,199,.68,.71,3.70,f,1.01,.14,5.21,3.73,19.0,,
.26,.13,.155,.155,AEI,Aeris Environmental,.155,-.5,40,.145,.165,-,,-,-.02,-,-1.23,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-,-,,
.363,.017,.027,.026,AGX,Agenix,.027,+.1,1980,.026,.031,-,,-,-,-,-5.00,-,,
16.01,13.031,15.44,15.17,AGK,AGL Energy,15.24,-21,32944,15.23,15.24,61.00,f,.39,7.26,4.00,23.80,64.0,,
.19,.089,.091,.091,AGJ,Agricultural Land unt,.091,-,3000,.09,.091,3.18,,-,.21,34.95,-10.73,-,,
2.20,1.92,-,-,AHC,AHC,2.20,-,-,2.00,2.29,10.00,f,-,4.90,4.55,-4.64,-,,
14.60,11.50,-,-,ENY,All 200 Energy etf unt,12.86,-,-,12.86,13.06,-,p,-,-,-,-,-,,
5.23,4.00,5.23,5.22,FIN,All 200 Financials etf unt,5.23,+4,32,5.20,5.28,-,p,-,-,-,-,-,,
6.14,4.62,6.14,6.14,FIX,All 200 Fin-x-A-REIT etf unt,6.14,+9,-,6.04,6.17,-,p,-,-,-,-,-,,
3.86,3.18,-,-,IDD,All 200 Industrials etf unt,3.73,-,-,3.82,3.85,-,p,-,-,-,-,-,,
4.85,3.51,4.46,4.40,RSR,All 200 Resources etf unt,4.46,+4,17,4.41,4.48,-,p,-,-,-,-,-,,
4.09,3.01,3.76,3.76,MAM,All 300 Metals & Mining etf unt,3.76,+13,-,3.71,3.78,-,p,-,-,-,-,-,,
