Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5122.7 at 2013-05-07T16:43:35. Report at Tuesday, May 7, 2013. Processed Wednesday at 2013-05-08T01:00:10+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.54,5.00,5.75,5.60,ONT,1300 Smiles,5.75,+15,115,5.60,5.75,19.20,f,1.51,.65,3.34,28.92,19.9,,
.53,.356,.51,.50,TIX,360 Cap Indust Fund ord unt,.50,-,13225,.50,.51,-,,-,-,-,-,-,,
.015,.002,-,-,AYI,A1 Invest & Res,.003,-,-,.003,.004,-,,-,-,-,-1.31,-,,
.035,.015,-,-,AAY,AACL Hldgs,.02,-,-,.01,.017,-,,-,-.03,-,2.48,.8,,
2.40,1.895,2.385,2.34,ABP,Abacus Prop stp,2.37,+2,4244,2.37,2.39,16.50,,.41,2.30,6.96,6.83,34.7,,
1.365,.975,1.325,1.32,ALR,Aberdeen Leaders,1.32,-4.5,141,1.29,1.325,9.50,f,.28,1.27,7.20,2.64,50.0,,
.80,.46,-,-,AKG,Academies A'asia,.69,-,-,.695,.75,5.00,f,1.40,.12,7.25,7.01,9.8,,
4.77,2.64,3.97,3.92,ACR,Acrux,3.97,+1,7978,3.94,3.97,8.00,,.34,.11,2.02,2.73,145.4,,
.039,.01,-,-,ACW,Actinogen,.012,-,-,.013,.019,-,,-,-,-,-.15,-,,
.003,.001,-,-,ACWOA,  opt sep15,.001,-,-,-,-,-,,-,-,-,-,-,,
.414,.241,-,-,ADA,Adacel Tech,.34,-,-,.34,.36,-,,-,.13,-,1.80,18.9,,
.22,.10,-,-,AAU,Adcorp Aust,.105,-,-,.105,.11,.75,,-,.04,7.14,-6.79,-,,
.016,.007,-,-,ABN,AdEffective,.007,-,-,.005,.01,-,,-,-,-,.15,4.7,,
.005,.002,-,-,ABNO,  opt jun14,.003,-,-,.002,.003,-,,-,-,-,-,-,,
3.70,2.80,3.35,3.27,ABC,Adelaide Brighton,3.31,-3,30341,3.31,3.32,16.50,f,1.47,1.29,4.98,24.20,13.7,,
.075,.04,.04,.04,ADQ,ADG Global Supply,.04,-,1000,.03,.043,-,,-,.05,-,.67,6.0,,
.059,.024,.03,.029,ADJ,Adslot,.029,-.1,1000,.029,.031,-,,-,.02,-,-.91,-,,
.024,.013,.019,.018,ABV,Adv Braking Tech,.019,+.1,5000,.016,.019,-,,-,-,-,-.07,-,,
.175,.105,-,-,AMT,Adv Surg Dsgn & Mnft,.105,-,-,.05,.09,-,,-,.10,-,.35,30.0,,
.76,.645,-,-,ASW,Advanced Share Reg,.675,-,-,.655,.675,3.70,f,.99,.14,5.48,3.67,18.4,,
.22,.13,-,-,AEI,Aeris Environmental,.14,-,-,.13,.20,-,,-,-,-,-.92,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.218,.015,.019,.018,AGX,Agenix,.019,+.4,625,.015,.019,-,,-,-,-,-8.13,-,,
.01,.001,-,-,AGXO,  opt jun15,.001,-,-,.001,.012,-,,-,-,-,-,-,,
16.60,13.66,14.99,14.81,AGK,AGL Energy,14.93,+10,15316,14.90,14.93,62.00,f,1.05,7.61,4.15,65.00,23.0,,
.17,.089,-,-,AGJ,Agricultural Land unt,.091,-,-,.092,.12,3.18,,-,.19,34.95,-10.80,-,,
2.20,1.92,2.10,2.10,AHC,AHC,2.10,-,50,2.10,2.10,10.00,f,-,4.76,4.76,-5.62,-,,
13.70,11.50,-,-,ENY,All 200 Energy etf unt,12.96,-,-,12.97,14.50,-,p,-,-,-,-,-,,
5.89,4.15,-,-,FIN,All 200 Financials etf unt,5.89,-,-,5.74,5.85,-,p,-,-,-,-,-,,
6.95,4.75,-,-,FIX,All 200 Fin-x-A-REIT etf unt,6.91,-,-,6.00,6.87,-,p,-,-,-,-,-,,
3.96,3.18,-,-,IDD,All 200 Industrials etf unt,3.90,-,-,3.80,3.88,-,p,-,-,-,-,-,,
4.46,3.51,-,-,RSR,All 200 Resources etf unt,3.77,-,-,3.91,3.99,-,p,-,-,-,-,-,,
3.84,2.89,-,-,MAM,All 300 Metals & Mining etf unt,3.05,-,-,3.13,3.16,-,p,-,-,-,-,-,,
4.05,1.61,3.85,3.72,AGI,Ainsworth Game Tech,3.77,+4,1715,3.77,3.80,3.00,,5.00,.51,.80,15.00,25.1,,
1.255,.65,1.24,1.23,AIZ,Air New Zealand,1.24,-,110,1.24,1.25,4.75,,2.03,1.22,3.83,9.65,12.8,,
2.13,.495,1.35,1.30,AJL,AJ Lucas Grp,1.30,-4.5,148,1.30,1.335,-,,-,.35,-,-150.10,-,,
.615,.285,.365,.345,ACL,Alchemia,.345,-1,1879,.345,.36,-,,-,.01,-,-5.40,-,,
8.87,7.90,-,-,AAI,Alcoa Inc cdi,7.90,-,-,7.00,8.50,9.86,,1.01,-,1.25,9.91,79.7,,
2.74,2.08,2.64,2.60,LEP,ALE Prop Grp stp,2.62,+1,857,2.62,2.64,16.00,,-,1.88,6.11,-13.13,-,,
.099,.04,-,-,AJX,Alexium Int'l,.079,-,-,.075,.079,-,,-,-.02,-,-1.77,-,,
.40,.20,.22,.20,AEB,Algae.Tec,.20,-2.5,3170,.195,.21,-,,-,-,-,-2.71,-,,
.12,.06,-,-,AEBO,  opt jan14,.06,-,-,-,.04,-,,-,-,-,-,-,,
2.33,1.76,1.80,1.785,AQZ,Alliance Aviation,1.80,+1.5,276,1.78,1.80,10.40,f,2.53,1.30,5.78,26.34,6.8,,
.033,.015,.032,.03,AHZ,Allied Healthcare,.031,+.1,54194,.03,.031,-,,-,.01,-,-1.44,-,,
.18,.039,.05,.043,AZG,Allmine Grp,.05,+.2,1030,.048,.05,-,,-,.07,-,3.50,1.4,,
