Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5142.1 at 2013-05-22T16:53:05. Report at Wednesday, May 22, 2013. Processed Thursday at 2013-05-23T01:00:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.54,5.00,6.10,5.98,ONT,1300 Smiles,6.00,-,31,5.98,6.15,19.20,f,1.51,.65,3.20,28.92,20.7,,
.55,.356,.545,.53,TIX,360 Cap Indust Fund ord unt,.545,+1.5,3416,.54,.545,-,,-,-,-,-,-,,
.015,.002,-,-,AYI,A1 Invest & Res,.003,-,-,.002,.003,-,,-,-,-,-1.31,-,,
.03,.01,-,-,AAY,AACL Hldgs,.01,-,-,.001,.018,-,,-,-.03,-,2.48,.4,,
2.51,1.895,2.46,2.41,ABP,Abacus Prop stp,2.41,-2,6713,2.41,2.44,16.50,,.41,2.30,6.85,6.83,35.3,,
1.365,.975,1.34,1.295,ALR,Aberdeen Leaders,1.295,-.5,648,1.295,1.335,9.50,f,.28,1.24,7.34,2.64,49.1,,
.80,.46,.80,.80,AKG,Academies A'asia,.80,-,9,.755,.84,5.00,f,1.40,.12,6.25,7.01,11.4,,
4.77,2.64,3.94,3.84,ACR,Acrux,3.88,+1,4392,3.87,3.88,8.00,,.34,.11,2.06,2.73,142.1,,
.039,.01,-,-,ACW,Actinogen,.019,-,-,.012,.018,-,,-,-,-,-.15,-,,
.003,.001,-,-,ACWOA,  opt sep15,.001,-,-,-,-,-,,-,-,-,-,-,,
.414,.241,.365,.355,ADA,Adacel Tech,.365,+1,746,.365,.38,-,,-,.13,-,1.80,20.3,,
.22,.10,.10,.10,AAU,Adcorp Aust,.10,-,241,.10,.105,.75,,-,.04,7.50,-6.79,-,,
.016,.007,-,-,ABN,AdEffective,.01,-,-,.01,.014,-,,-,-,-,.15,6.7,,
.005,.002,-,-,ABNO,  opt jun14,.002,-,-,.002,.004,-,,-,-,-,-,-,,
3.70,2.80,3.50,3.40,ABC,Adelaide Brighton,3.46,+1,20533,3.45,3.46,16.50,f,1.47,1.29,4.77,24.20,14.3,,
.07,.03,-,-,ADQ,ADG Global Supply,.03,-,-,.022,.03,-,,-,.05,-,.67,4.5,,
.059,.024,.045,.045,ADJ,Adslot,.045,-,400,.043,.045,-,,-,.02,-,-.91,-,,
.024,.013,-,-,ABV,Adv Braking Tech,.016,-,-,.017,.018,-,,-,-,-,-.07,-,,
.15,.105,-,-,AMT,Adv Surg Dsgn & Mnft,.105,-,-,.05,.09,-,,-,.10,-,.35,30.0,,
.76,.645,.66,.65,ASW,Advanced Share Reg,.65,-.5,205,.65,.66,3.70,f,.99,.14,5.69,3.67,17.7,,
.22,.13,-,-,AEI,Aeris Environmental,.205,-,-,.105,.19,-,,-,-,-,-.92,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.170,.015,.029,.029,AGX,Agenix,.029,+.4,400,.028,.031,-,,-,-,-,-8.13,-,,
.01,.001,-,-,AGXO,  opt jun15,.001,-,-,.002,.012,-,,-,-,-,-,-,,
16.60,13.66,15.145,14.85,AGK,AGL Energy,15.06,+14,19345,15.05,15.06,62.00,f,1.05,7.61,4.12,65.00,23.2,,
.17,.089,-,-,AGJ,Agricultural Land unt,.092,-,-,.09,.12,3.18,,-,.19,34.57,-10.80,-,,
2.20,1.92,-,-,AHC,AHC,2.10,-,-,2.11,-,10.00,f,-,4.76,4.76,-5.62,-,,
13.70,11.50,13.38,13.38,ENY,All 200 Energy etf unt,13.38,-16,6,13.40,13.54,-,p,-,-,-,-,-,,
5.90,4.15,5.88,5.88,FIN,All 200 Financials etf unt,5.88,-2,85,5.75,5.87,-,p,-,-,-,-,-,,
6.95,4.75,-,-,FIX,All 200 Fin-x-A-REIT etf unt,6.90,-,-,6.50,6.88,-,p,-,-,-,-,-,,
3.96,3.18,3.80,3.80,IDD,All 200 Industrials etf unt,3.80,-5,39,3.76,4.00,-,p,-,-,-,-,-,,
4.46,3.51,4.02,4.00,RSR,All 200 Resources etf unt,4.00,-2,44,3.98,4.08,-,p,-,-,-,-,-,,
3.78,2.89,-,-,MAM,All 300 Metals & Mining etf unt,3.13,-,-,3.05,3.23,-,p,-,-,-,-,-,,
4.42,1.655,4.37,4.28,AGI,Ainsworth Game Tech,4.31,-11,1968,4.30,4.32,3.00,,5.00,.51,.70,15.00,28.7,,
1.29,.65,1.29,1.275,AIZ,Air New Zealand,1.28,-1,247,1.275,1.28,4.75,,2.03,1.22,3.71,9.65,13.3,,
2.13,.495,1.51,1.40,AJL,AJ Lucas Grp,1.41,-14,597,1.41,1.48,-,,-,.35,-,-150.10,-,,
.615,.285,.385,.365,ACL,Alchemia,.375,-.5,3227,.37,.38,-,,-,.01,-,-5.40,-,,
8.75,7.50,-,-,AAI,Alcoa Inc cdi,8.75,-,-,7.50,8.75,9.86,,1.01,-,1.13,9.91,88.3,,
2.74,2.08,2.69,2.67,LEP,ALE Prop Grp stp,2.68,-1,783,2.67,2.70,16.00,,-,1.88,5.97,-13.13,-,,
.099,.04,.085,.085,AJX,Alexium Int'l,.085,-,1500,.085,.089,-,,-,-.02,-,-1.77,-,,
.39,.195,.21,.20,AEB,Algae.Tec,.20,-,698,.205,.22,-,,-,-,-,-2.71,-,,
.12,.06,-,-,AEBO,  opt jan14,.06,-,-,-,.04,-,,-,-,-,-,-,,
2.33,1.65,1.70,1.65,AQZ,Alliance Aviation,1.70,+2,6,1.65,1.80,10.40,f,2.53,1.30,6.12,26.34,6.5,,
.047,.015,.045,.04,AHZ,Allied Healthcare,.043,+.1,98275,.043,.044,-,,-,.01,-,-1.44,-,,
.18,.034,-,-,AZG,Allmine Grp,.038,-,-,.036,.039,-,,-,.07,-,3.50,1.1,,
12.45,7.23,8.75,8.51,ALQ,ALS,8.68,+7,29663,8.68,8.70,47.00,p,1.60,.58,5.41,75.38,11.5,,
.062,.034,-,-,ATP,Atlas Pearls & Perfumes,.038,-,-,.038,.04,-,,-,.10,-,.65,5.8,,
.28,.205,.275,.275,AIQ,Alternative Invest unt,.275,+.5,100,.275,.285,-,,-,.41,-,1.49,18.5,,
1.69,.335,1.59,1.55,ALU,Altium,1.59,+4,418,1.59,1.60,8.00,,1.09,.02,5.03,8.75,18.2,,
.425,.135,.31,.295,AMA,AMA Grp,.30,+.5,561,.30,.305,1.60,f,1.94,-.01,5.33,3.10,9.7,,
8.92,6.25,8.90,8.79,AHD,Amalgamated Hldgs,8.82,-3,133,8.81,8.90,40.00,f,.99,5.20,4.54,39.70,22.2,,
.29,.20,-,-,AMO,Ambertech,.26,-,-,.24,.28,-,,-,.51,-,-13.65,-,,
.21,.15,-,-,AMB,Ambition Grp,.17,-,-,.14,.205,-,,-,.18,-,.11,154.5,,
81.72,78.588,-,-,AKY,AMCB Fund No 5,80.90,-,-,80.81,80.90,519.00,f,.83,81.00,6.42,433.00,18.7,,
.96,.69,.94,.91,AMH,AMCIL,.94,+3.5,544,.905,.925,2.50,,1.62,.94,2.66,4.05,23.2,,
2.20,1.04,2.15,2.05,AMM,Amcom Telco,2.07,-4,7172,2.06,2.08,5.20,f,.93,.32,2.51,4.83,42.9,,
10.47,6.97,10.17,9.83,AMC,Amcor,10.15,+25,46772,10.15,10.16,38.50,,.96,.97,3.79,37.00,27.4,,
5.79,3.71,5.59,5.46,AMP,AMP,5.48,-7,79652,5.47,5.48,25.00,p,.99,1.13,4.56,24.70,22.2,,
.78,.55,.745,.735,AGF,AMP Capital China unt,.735,-.5,3294,.735,.745,2.34,,2.21,.93,3.18,5.17,14.2,,
101.67,100.41,-,-,AYD,Aust Masters YF1,100.82,-,-,100.94,-,200.00,f,1.17,100.55,1.98,233.00,43.3,,
101.09,99.85,-,-,AYH,Aust Masters YF2,100.00,-,-,100.08,-,220.00,f,1.08,99.96,2.20,237.00,42.2,,
.041,.008,.012,.011,ANQ,AnaeCo,.011,-,28833,.011,.012,-,,-,-.04,-,-6.30,-,,
.029,.016,-,-,ALT,Analytica,.023,-,-,.022,.023,-,,-,-,-,-.23,-,,
.004,.001,-,-,ALTOA,  opt jun13,.001,-,-,-,.001,-,,-,-,-,-,-,,
.006,.004,-,-,AYG,Anittel Grp,.005,-,-,.004,.005,-,,-,-,-,-.63,-,,
17.49,12.76,16.78,16.55,ANN,Ansell,16.71,-7,5572,16.69,16.77,36.50,,2.52,2.09,2.18,91.80,18.2,,
.022,.008,-,-,ANO,Antaria,.014,-,-,.013,.014,-,,-,.01,-,-.05,-,,
.078,.047,.066,.062,ADO,Anteo Diagnostics,.064,-.1,10195,.062,.064,-,,-,-,-,-.18,-,,
.027,.009,.009,.009,ANP,Antisense Therapeutic,.009,-,4800,.009,.01,-,,-,-,-,-.13,-,,
32.09,20.26,29.74,29.08,ANZ,ANZ Banking Grp,29.30,-34,67576,29.30,29.31,152.00,f,1.39,12.56,5.19,211.20,13.9,,
5.65,2.87,4.53,4.06,APE,AP Eagers,4.40,-13,2444,4.36,4.47,20.00,f,1.70,2.06,4.55,34.00,12.9,,
.015,.008,-,-,APP,APA Fin Services,.014,-,-,-,.014,-,,-,.01,-,-.12,-,,
6.97,4.57,6.90,6.81,APA,APA Grp stp,6.86,+8,15964,6.86,6.90,35.00,,1.13,1.40,5.10,39.70,17.3,,
.79,.245,.33,.315,APN,APN News & Media,.315,-1.5,18944,.315,.325,1.50,,-,-.21,4.76,-70.40,-,,
.265,.155,.23,.22,APD,APN Prop Grp,.22,-,1276,.21,.23,1.25,f,1.45,.19,5.68,1.81,12.2,,
13.82,8.30,13.36,12.73,ARP,ARB Corp,12.94,-53,2497,12.91,12.94,26.50,f,2.14,2.06,2.05,56.78,22.8,,
1.795,1.22,1.735,1.675,AAD,Ardent Leisure Grp stp,1.705,-1,8423,1.70,1.705,11.80,p,.32,.75,6.92,3.73,45.7,,
6.90,4.96,6.75,6.67,ARG,Argo Invest,6.68,-2,1643,6.68,6.71,26.00,f,1.03,6.91,3.89,26.70,25.0,,
.37,.29,-,-,ARA,Ariadne Aust,.305,-,-,.305,.31,1.00,,1.76,.31,3.28,1.76,17.3,,
4.49,2.29,4.32,4.13,ALL,Aristocrat Leisure,4.20,-3,46023,4.18,4.22,10.00,,1.40,.33,2.38,14.00,30.0,,
.062,.042,-,-,AIK,Armidale Invest,.043,-,-,.043,.05,-,,-,.04,-,-2.08,-,,
.55,.007,.50,.48,AWN,Arowana Internat,.50,+2,2009,.455,.50,-,,-,-,-,.70,71.4,,
1.295,.50,.885,.845,ARI,Arrium,.85,-2,65517,.845,.855,5.00,,-,1.22,5.88,-23.42,-,,
.019,.009,.016,.016,AEM,Artist & Entertain,.016,-,6527,.015,.017,-,,-,-,-,-.13,-,,
5.73,4.09,5.25,5.06,AIO,Asciano,5.15,+2,35698,5.15,5.16,9.25,f,3.62,.71,1.80,33.50,15.4,,
.25,.15,.185,.185,AFA,ASF Grp,.185,-2.5,193,.185,.21,-,,-,.09,-,-1.41,-,,
.885,.325,.335,.325,ASZ,ASG Grp,.33,-,3852,.33,.34,5.00,f,.13,-,15.15,.67,49.3,,
1.15,1.09,1.15,1.135,AJD,Asia Pacific Data def x ppd,1.15,+1.5,2438,1.135,1.20,-,,-,-,-,-,-,,
.20,.085,-,-,AJJ,Asian American Med,.18,-,-,.15,.17,.40,,1.95,.02,2.22,.78,23.1,,
1.08,.83,-,-,AUF,Asian Masters Fund,1.08,-,-,1.03,1.06,2.00,,-,.96,1.85,-.70,-,,
.16,.13,.15,.145,AKF,ASK Funding,.15,-,933,.14,.15,-,,-,.20,-,-.37,-,,
.392,.165,.185,.18,APZ,Aspen Grp stp,.18,-,5188,.18,.19,1.80,,-,.26,10.00,-21.17,-,,
.105,.07,-,-,ASP,Aspermont,.078,-,-,.07,.08,-,,-,-.09,-,-.86,-,,
.424,.115,.15,.15,AIR,Astivita Renewables,.15,-,55,.15,.18,-,,-,.45,-,-8.51,-,,
3.98,2.58,3.78,3.60,AJA,Astro Japan Prop Grp forus,3.64,-8,8068,3.63,3.64,12.50,,-,3.83,3.43,-45.79,-,,
2.75,.74,-,-,ATR,Astron Corp cdi,.90,-,-,.75,.89,-,,-,-,-,-2.71,-,,
40.00,27.53,39.97,39.40,ASX,ASX,39.77,+20,6257,39.68,39.77,173.00,f,1.11,4.12,4.35,191.20,20.8,,
.135,.06,.071,.07,ACG,Atcor Medical,.07,-.2,3476,.07,.073,-,,-,.03,-,.64,10.9,,
2.65,1.855,2.59,2.59,AIA,Auckland Airport,2.59,-3,299,2.56,2.61,9.45,,.96,1.48,3.65,9.08,28.5,,
6.99,2.30,3.10,3.00,AKP,Audio Pixels,3.00,-,89,3.00,3.10,-,,-,.28,-,-11.26,-,,
4.57,3.07,4.49,4.43,AZJ,Aurizon Hldgs,4.44,+4,130455,4.42,4.45,8.70,p,2.03,2.94,1.96,17.70,25.1,,
5.68,5.03,-,-,AUP,Aurora Prop unt,5.67,-,-,5.64,5.73,41.40,,-,5.44,7.30,-,-,,
1.105,1.055,1.08,1.075,ABW,Aurora Absolute Return ord unt,1.075,-,412,1.055,1.08,7.72,,.39,1.07,7.18,3.04,35.4,,
.395,.20,-,-,AFV,Aurora Funds,.35,-,-,.35,.50,-,,-,-,-,-7.21,-,,
1.065,.85,1.04,1.04,AIB,Aurora Global Inc Tr unt,1.04,+.5,19,1.03,1.10,10.16,,.51,1.06,9.77,5.23,19.9,,
1.045,.86,1.03,1.03,AOD,Aurora Sandringham unt,1.03,-.5,1546,1.025,1.04,5.65,,2.32,1.01,5.49,13.09,7.9,,
1.91,1.38,-,-,AQF,Aust Gov Index Fund,1.90,-,-,1.80,1.90,6.00,f,.59,1.76,3.16,3.52,54.0,,
2.25,1.65,2.21,2.20,AZF,Aust Social Infra Fd unt,2.20,-2,210,2.20,2.23,16.75,,.73,2.37,7.61,12.30,17.9,,
3.67,1.122,1.25,1.122,ASL,Ausdrill,1.17,-7,74875,1.165,1.17,14.50,f,2.41,2.28,12.39,34.91,3.4,,
4.08,2.16,2.30,2.16,AAX,Ausenco,2.19,-12,6166,2.17,2.19,20.10,p,1.67,.60,9.18,33.50,6.5,,
.017,.008,.011,.011,AAP,Aust Agricultural,.011,-,800,.009,.012,-,,-,.04,-,1.07,1.0,,
1.415,1.02,1.11,1.065,AAC,Aust Agriculture,1.11,+3.5,1964,1.095,1.115,-,,-,2.04,-,-2.70,-,,
.002,.001,-,-,AAK,Aust China Hldgs,.001,-,-,.001,.002,-,,-,.02,-,.01,10.0,,
.001,.001,-,-,AAKO,  opt dec13,.001,-,-,-,.001,-,,-,-,-,-,-,,
1.595,.965,1.495,1.485,AEU,Aust Education unt,1.49,+.5,70,1.485,1.50,10.45,,1.43,1.25,7.01,14.99,9.9,,
6.49,5.84,-,-,AYF,Aust Enhanced unt,6.38,-,-,6.38,6.43,45.00,p,1.17,6.45,7.05,52.50,12.2,,
22.00,17.50,21.00,21.00,AEF,Aust Ethical,21.00,-,1,21.05,21.50,75.00,f,.80,7.00,3.57,59.81,35.1,,
5.85,4.01,5.85,5.71,AFI,Aust Foundation,5.72,-,2803,5.72,5.75,21.00,f,1.10,5.52,3.67,23.14,24.7,,
.175,.109,.175,.17,AIX,Aust Infrastructure Fd unt,.17,-.5,65821,.17,.175,11.00,,4.43,3.24,64.71,48.75,.3,,
1.545,1.042,1.46,1.45,ALF,Aust Leaders Fund,1.455,-,3088,1.45,1.455,12.00,f,2.25,1.39,8.25,27.00,5.4,,
.16,.095,.135,.13,ALFO,  opt sep14,.13,-,1992,.13,.135,-,,-,-,-,-,-,,
.515,.335,.45,.445,API,Aust Pharmaceutical,.45,-,2812,.445,.45,3.00,f,1.67,.79,6.67,5.00,9.0,,
.53,.305,-,-,APK,Aust Power & Gas,.32,-,-,.32,.34,.80,,-,-,2.50,-.97,-,,
.18,.006,-,-,AYB,Aust Proteins,.05,-,-,.04,.05,-,,-,.13,-,-6.92,-,,
7.55,5.50,7.50,7.38,AUI,Aust United Invest,7.38,-12,35,7.39,7.49,28.50,f,1.09,8.09,3.86,31.20,23.7,,
.535,.325,.495,.48,AVG,Aust Vintage,.495,+2.5,1834,.48,.495,2.60,,1.92,1.07,5.25,5.00,9.9,,
1.365,.495,.685,.67,ASB,Austal,.67,-2.5,1020,.655,.68,-,,-,1.00,-,9.78,6.9,,
11.00,6.54,10.83,10.66,AUB,Austbrokers Hldgs,10.78,-5,446,10.67,10.79,32.50,f,2.13,1.41,3.01,69.35,15.5,,
5.96,3.78,4.69,4.54,ANG,Austin Engineer,4.59,-2,1106,4.59,4.61,15.00,f,3.24,.68,3.27,48.57,9.5,,
.198,.076,-,-,ACK,Austock Grp,.16,-,-,.165,.17,-,,-,.13,-,1.53,10.5,,
3.80,2.19,3.64,3.595,ALZ,Australand Prop stp,3.61,-1,10179,3.61,3.63,21.50,,1.45,-,5.96,31.20,11.6,,
.105,.006,-,-,AIY,Authorised Invest,.038,-,-,.02,.045,-,,-,.01,-,.74,5.1,,
4.37,2.30,3.90,3.71,AHE,Automotive Hldgs,3.72,-8,5294,3.72,3.74,19.00,f,1.18,.98,5.11,22.41,16.6,,
.034,.015,.016,.016,AVX,Avexa,.016,-.1,1333,.016,.017,-,,-,.02,-,-.44,-,,
.24,.09,.115,.11,AVH,Avita Medical,.115,+.5,2096,.11,.115,-,,-,.05,-,-3.78,-,,
.435,.280,.43,.43,AVJ,AVJennings,.43,-,1942,.42,.435,.50,,-,.90,1.16,-19.26,-,,
.046,.02,.041,.041,AXI,Axiom Prop,.041,-,200,.041,.043,-,,-,.03,-,-.96,-,,
.071,.02,.07,.07,AZV,Azure Healthcare,.07,-,1150,.065,.072,-,,-,.03,-,.64,10.9,,
10.08,6.20,9.56,9.38,BOQ,Bank of Qld,9.45,+2,14733,9.45,9.47,54.00,f,1.18,7.08,5.71,63.50,14.9,,
