Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4794.6 at 2013-06-18T16:43:05. Report at Tuesday, June 18, 2013. Processed Wednesday at 2013-06-19T01:00:10+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.54,5.00,5.96,5.92,ONT,1300 Smiles,5.96,-,20,5.92,5.97,19.20,f,1.51,.65,3.22,28.92,20.6,,
.565,.356,-,-,TIX,360 Cap Indust Fund ord unt,.53,-,-,.52,.52,-,,-,-,-,-,-,,
.015,.001,-,-,AYI,A1 Invest & Res,.003,-,-,.003,.004,-,,-,-,-,-1.31,-,,
.03,.01,-,-,AAY,AACL Hldgs,.015,-,-,.001,.015,-,,-,-.03,-,2.48,.6,,
2.51,1.915,2.32,2.28,ABP,Abacus Prop stp,2.31,+2,6113,2.29,2.31,16.50,,.41,2.30,7.14,6.83,33.8,,
1.365,.975,1.30,1.275,ALR,Aberdeen Leaders,1.30,+3,736,1.26,1.30,9.50,f,.28,1.24,7.31,2.64,49.2,,
.82,.46,-,-,AKG,Academies A'asia,.82,-,-,.78,.82,5.00,f,1.40,.12,6.10,7.01,11.7,,
4.77,2.64,3.57,3.49,ACR,Acrux,3.56,-3,3861,3.53,3.57,8.00,,.34,.11,2.25,2.73,130.4,,
.039,.01,.019,.017,ACW,Actinogen,.019,+.6,3402,.01,.019,-,,-,-,-,-.15,-,,
.003,.001,-,-,ACWOA,  opt sep15,.001,-,-,-,.03,-,,-,-,-,-,-,,
.46,.241,-,-,ADA,Adacel Tech,.46,-,-,.40,.44,-,,-,.13,-,1.80,25.6,,
.22,.083,-,-,AAU,Adcorp Aust,.083,-,-,.084,.115,.75,,-,.04,9.04,-6.79,-,,
.016,.007,-,-,ABN,AdEffective,.01,-,-,.01,.013,-,,-,-,-,.15,6.7,,
.005,.002,-,-,ABNO,  opt jun14,.002,-,-,.002,.005,-,,-,-,-,-,-,,
3.70,2.87,3.33,3.28,ABC,Adelaide Brighton,3.30,-2,26603,3.30,3.31,16.50,f,1.47,1.29,5.00,24.20,13.6,,
.07,.02,.022,.02,ADQ,ADG Global Supply,.02,-.3,5950,.012,.02,-,,-,.05,-,.67,3.0,,
.059,.024,.044,.042,ADJ,Adslot,.042,-.1,1970,.042,.044,-,,-,.02,-,-.91,-,,
.024,.013,.016,.015,ABV,Adv Braking Tech,.016,+.1,13000,.014,.016,-,,-,-,-,-.07,-,,
.15,.105,-,-,AMT,Adv Surg Dsgn & Mnft,.105,-,-,.045,.09,-,,-,.10,-,.35,30.0,,
.76,.62,-,-,ASW,Advanced Share Reg,.65,-,-,.65,.68,3.70,f,.99,.14,5.69,3.67,17.7,,
.22,.13,-,-,AEI,Aeris Environmental,.205,-,-,.16,.19,-,,-,-,-,-.92,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.073,.002,.028,.028,AGX,Agenix,.028,-,4,.028,.029,-,,-,-,-,-8.13,-,,
.01,.001,-,-,AGXO,  opt jun15,.004,-,-,.004,.012,-,,-,-,-,-,-,,
16.60,13.66,14.37,14.10,AGK,AGL Energy,14.20,-9,15735,14.20,14.25,62.00,f,1.05,7.61,4.37,65.00,21.8,,
.17,.083,.087,.087,AGJ,Agricultural Land unt,.087,+.4,357,.087,.12,3.18,,-,.19,36.55,-10.80,-,,
2.20,1.92,-,-,AHC,AHC,2.10,-,-,2.12,-,10.00,f,-,4.76,4.76,-5.62,-,,
4.42,1.82,4.24,3.995,AGI,Ainsworth Game Tech,4.24,+23,2314,4.19,4.24,3.00,,5.00,.51,.71,15.00,28.3,,
1.30,.66,-,-,AIZ,Air New Zealand,1.22,-,-,1.25,1.26,4.75,,2.03,1.22,3.89,9.65,12.6,,
2.13,.495,1.26,1.22,AJL,AJ Lucas Grp,1.24,-1,4460,1.23,1.25,-,,-,.35,-,-150.10,-,,
.615,.285,.31,.30,ACL,Alchemia,.30,-1,2104,.30,.305,-,,-,.01,-,-5.40,-,,
8.75,7.50,-,-,AAI,Alcoa Inc cdi,8.50,-,-,7.00,9.50,9.86,,1.01,-,1.16,9.91,85.8,,
2.75,2.08,2.70,2.65,LEP,ALE Prop Grp stp,2.65,-5,863,2.65,2.66,16.00,,-,1.88,6.04,-13.13,-,,
.12,.04,.115,.115,AJX,Alexium Int'l,.115,-,3721,.115,.12,-,,-,-.02,-,-1.77,-,,
.385,.185,.19,.185,AEB,Algae.Tec,.19,-,789,.185,.19,-,,-,-,-,-2.71,-,,
.12,.06,-,-,AEBO,  opt jan14,.06,-,-,-,.04,-,,-,-,-,-,-,,
2.33,1.505,-,-,AQZ,Alliance Aviation,1.60,-,-,1.57,1.60,10.40,f,2.53,1.30,6.50,26.34,6.1,,
.255,.012,.02,.016,ABQ,Allied Consolidated,.016,-.7,14947,.016,.02,-,,-,-,-,-2.03,-,,
.06,.015,.06,.054,AHZ,Allied Healthcare,.054,-.5,180956,.054,.055,-,,-,.01,-,-1.44,-,,
.18,.034,-,-,AZG,Allmine Grp,.036,-,-,-,-,-,,-,.07,-,3.50,1.0,,
12.45,7.23,9.38,9.21,ALQ,ALS,9.36,+3,16871,9.34,9.40,48.00,p,1.38,.56,5.13,66.44,14.1,,
