Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5115.2 at 2013-08-23T16:46:05. Report at Friday, August 23, 2013. Processed Saturday at 2013-08-24T01:00:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.79,5.00,6.60,6.49,ONT,1300 Smiles,6.60,+11,111,6.49,6.60,18.50,f,1.45,.62,2.80,26.90,24.5,,
2.26,1.423,2.07,2.05,TIX,360 Cap Indust Fund ord unt,2.07,-,867,2.06,2.07,13.50,,1.84,.02,6.52,24.80,8.3,,
.01,.001,.003,.002,AYI,A1 Invest & Res,.002,+.1,7450,.001,.003,-,,-,-,-,-1.31,-,,
.03,.003,-,-,AAY,AACL Hldgs,.012,-,-,.012,.013,-,,-,-.03,-,2.48,.5,,
2.51,1.925,2.25,2.20,ABP,Abacus Prop stp,2.22,-,12088,2.22,2.24,16.50,,.41,2.30,7.43,6.83,32.5,,
1.365,1.00,1.30,1.30,ALR,Aberdeen Leaders,1.30,-,398,1.30,1.31,9.50,f,.31,1.08,7.31,2.97,43.8,,
.98,.55,-,-,AKG,Academies A'asia,.96,-,-,.96,.99,5.00,f,1.36,.10,5.21,6.80,14.1,,
4.12,2.64,3.35,3.315,ACR,Acrux,3.35,+3,3456,3.32,3.35,8.00,,.34,.11,2.39,2.73,122.7,,
.039,.01,-,-,ACW,Actinogen,.016,-,-,.012,.017,-,,-,-,-,-.15,-,,
.002,.001,-,-,ACWOA,  opt sep15,-,-,-,-,.001,-,,-,-,-,-,-,,
.46,.241,.385,.385,ADA,Adacel Tech,.385,-,50,.35,.385,-,,-,.13,-,1.80,21.4,,
.22,.066,-,-,AAU,Adcorp Aust,.11,-,-,.10,.11,.75,,-,.04,6.82,-6.79,-,,
.016,.007,.016,.015,ABN,AdEffective,.015,+.2,15000,.013,.016,-,,-,-,-,.15,10.0,,
.005,.002,-,-,ABNO,  opt jun14,.002,-,-,.002,.004,-,,-,-,-,-,-,,
3.70,2.905,3.37,3.315,ABC,Adelaide Brighton,3.35,+3,41098,3.35,3.36,16.50,f,1.41,1.30,4.93,23.20,14.4,,
.07,.01,-,-,ADQ,ADG Global Supply,.015,-,-,.013,.016,-,,-,.05,-,.67,2.2,,
.073,.024,.073,.07,ADJ,Adslot,.073,+.6,35633,.071,.073,-,,-,.02,-,-.91,-,,
.024,.013,.017,.017,ABV,Adv Braking Tech,.017,+.1,350,.016,.017,-,,-,-,-,-.07,-,,
.15,.064,-,-,AMT,Adv Surg Dsgn & Mnft,.064,-,-,.06,.08,-,,-,.10,-,.35,18.3,,
.758,.619,.65,.64,ASW,Advanced Share Reg,.64,-,200,.645,.715,3.70,f,1.00,.14,5.78,3.70,17.3,,
