Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5327.5 at 2014-01-09T16:55:35. Report at Thursday, January 9, 2014. Processed Friday at 2014-01-10T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.26,6.56,6.55,ONT,1300 Smiles,6.56,-3,12,6.56,6.59,18.50,f,1.45,.62,2.82,26.90,24.4,,
2.26,1.423,2.08,2.05,TIX,360 Cap Indust Fund ord unt,2.07,+2,377,2.03,2.07,13.65,,1.82,.02,6.59,24.80,8.3,,
.79,.465,.69,.67,TGP,360 Capital Grp stp,.69,+4,1505,.675,.68,6.25,,-,.58,9.06,-7.40,-,,
.60,.35,.39,.38,NNW,99 Wuxian cdi,.38,-.5,290,.38,.39,-,,-,-,-,-,-,,
.006,.001,-,-,AYI,A1 Invest & Res,.001,-,-,.001,.002,-,,-,-,-,-.66,-,,
2.51,2.095,2.35,2.33,ABP,Abacus Prop stp,2.35,-,3501,2.34,2.35,16.50,,.83,2.32,7.02,13.68,17.2,,
1.385,1.16,1.345,1.345,ALR,Aberdeen Leaders,1.345,+3.5,14,1.325,1.345,9.25,f,.32,1.22,6.88,2.97,45.3,,
1.10,.55,.975,.945,AKG,Academies A'asia,.975,+1.5,50,.94,1.09,5.00,f,1.36,.10,5.13,6.80,14.3,,
4.12,2.18,2.73,2.68,ACR,Acrux,2.71,+3,1579,2.70,2.72,8.00,,.52,.14,2.95,4.16,65.1,,
.048,.01,.03,.03,ACW,Actinogen,.03,+.8,553,.02,.039,-,,-,-,-,-.36,-,,
.001,.001,-,-,ACWOA,  opt sep15,-,-,-,-,-,-,,-,-,-,-,-,,
.57,.241,-,-,ADA,Adacel Tech,.49,-,-,.375,.49,-,,-,.13,-,1.00,49.0,,
.15,.058,-,-,AAU,Adcorp Aust,.058,-,-,.056,.065,-,,-,.02,-,-11.20,-,,
3.88,3.13,3.76,3.72,ABC,Adelaide Brighton,3.74,-,8507,3.73,3.74,16.50,f,1.41,1.30,4.41,23.20,16.1,,
.07,.009,.02,.018,ADQ,ADG Global Supply,.018,+.3,8000,.016,.019,-,,-,.04,-,-.38,-,,
.185,.019,.18,.165,AHZ,ADMEDUS,.165,-1,62366,.165,.17,-,,-,.01,-,-.21,-,,
.155,.024,.12,.115,ADJ,Adslot,.115,-.5,16342,.115,.12,-,,-,.01,-,-.94,-,,
.024,.013,-,-,ABV,Adv Braking Tech,.015,-,-,.015,.016,-,,-,-,-,-.08,-,,
.12,.05,.05,.05,AMT,Adv Surg Dsgn & Mnft,.05,-,92,.05,-,-,,-,.09,-,-1.49,-,,
.758,.619,-,-,ASW,Advanced Share Reg,.70,-,-,.67,.70,3.70,f,1.00,.14,5.29,3.70,18.9,,
.205,.10,.145,.145,AEI,Aeris Environmental,.145,-,87,.13,.145,-,,-,-.01,-,-.77,-,,
1.26,.98,1.23,1.205,AFJ,Affinity Education,1.21,-1.5,10190,1.21,1.24,-,,-,-,-,-,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.042,.017,-,-,AHA,AG Financial,.042,-,-,.035,.045,-,,-,.06,-,-9.81,-,,
.037,.012,.021,.019,AGX,Agenix,.021,+.3,5000,.018,.021,-,,-,-,-,-.67,-,,
.01,.001,-,-,AGXO,  opt jun15,.001,-,-,.002,.012,-,,-,-,-,-,-,,
16.60,13.85,15.17,14.93,AGK,AGL Energy,15.08,-3,5262,15.08,15.09,63.00,f,1.12,7.56,4.18,70.70,21.3,,
.145,.073,.105,.105,AGJ,Agricultural Land unt,.105,+.6,4930,.10,.115,2.82,,-,.12,26.86,-5.99,-,,
.084,.054,-,-,APW,AIMS Prop Sec Fund unt,.078,-,-,.078,.079,-,,-,.12,-,-6.38,-,,
4.79,2.56,4.46,4.17,AGI,Ainsworth Game Tech,4.46,+33,4039,4.43,4.50,8.00,,2.00,.54,1.79,16.00,27.9,,
1.53,.945,1.51,1.50,AIZ,Air New Zealand,1.505,-1.5,18,1.505,1.54,6.73,,2.08,1.33,4.47,13.98,10.8,,
1.893,.75,1.05,1.00,AJL,AJ Lucas Grp,1.00,-,830,1.00,1.015,-,,-,.40,-,-97.60,-,,
.675,.285,.56,.54,ACL,Alchemia,.55,-2,971,.55,.56,-,,-,.05,-,-1.60,-,,
11.50,7.50,-,-,AAI,Alcoa Inc cdi,11.01,-,-,11.09,12.00,7.60,,1.59,-,.69,12.06,91.3,,
2.94,2.28,2.80,2.76,LEP,ALE Prop Grp stp,2.80,+6,922,2.78,2.80,16.00,,.51,1.90,5.71,8.21,34.1,,
.19,.04,.165,.165,AJX,Alexium Int'l,.165,-,681,.165,.17,-,,-,-.02,-,-1.74,-,,
.28,.10,-,-,AEB,Algae.Tec,.19,-,-,.185,.19,-,,-,-,-,-2.00,-,,
.06,.06,-,-,AEBO,  opt jan14,-,-,-,-,.03,-,,-,-,-,-,-,,
2.33,1.275,1.38,1.36,AQZ,Alliance Aviation,1.38,-,182,1.36,1.38,10.40,f,2.25,1.36,7.54,23.40,5.9,,
12.272,7.86,8.83,8.71,ALQ,ALS,8.81,+3,8472,8.79,8.82,46.00,p,1.17,-.07,5.22,53.73,16.4,,
.205,.055,-,-,AIQ,Alternative Invest unt,.20,-,-,.20,.205,-,,-,.34,-,3.45,5.8,,
2.90,.86,2.45,2.38,ALU,Altium,2.41,+6,606,2.40,2.42,11.00,,.13,.05,4.56,1.43,168.5,,
.425,.26,.345,.34,AMA,AMA Grp,.345,+.5,541,.325,.345,1.60,p,1.47,.04,4.64,2.36,14.6,,
8.92,6.89,8.24,8.14,AHD,Amalgamated Hldgs,8.15,+1,372,8.15,8.21,42.00,f,1.29,5.36,5.15,54.30,15.0,,
.29,.18,-,-,AMO,Ambertech,.20,-,-,.17,.20,-,,-,.35,-,-7.10,-,,
.20,.15,-,-,AMB,Ambition Grp,.18,-,-,.10,.18,-,,-,.18,-,-1.33,-,,
81.89,79.50,-,-,AKY,AMCB Fund No 5,80.83,-,-,81.20,-,489.00,f,.83,81.22,6.05,404.00,20.0,,
1.019,.795,-,-,AMH,AMCIL,.91,-,-,.915,.92,3.00,f,1.21,.92,3.30,3.63,25.1,,
2.20,1.445,2.15,2.12,AMM,Amcom Telco,2.12,-3,1039,2.12,2.13,5.50,f,1.55,.34,2.59,8.50,24.9,,
10.79,7.502,10.625,10.40,AMC,Amcor,10.53,+2,23679,10.52,10.55,40.00,,1.24,.94,3.80,49.80,21.1,,
5.79,4.155,4.43,4.395,AMP,AMP,4.43,+1,30644,4.41,4.43,24.00,p,1.03,1.18,5.42,24.80,17.9,,
.87,.605,.815,.805,AGF,AMP Capital China unt,.81,-,1799,.81,.82,2.34,,-,.96,2.89,-2.93,-,,
101.13,100.02,-,-,AYK,Aust Master Fund No 4,100.22,-,-,100.59,-,-,f,-,-,-,-,-,,
101.67,100.35,-,-,AYD,Aust Masters YF1,101.21,-,-,101.72,-,395.00,f,.01,100.99,3.90,4.42,2289.8,,
