Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5450.1 at 2014-02-24T16:47:36. Report at Monday, February 24, 2014. Processed Tuesday at 2014-02-25T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.41,6.90,6.90,ONT,1300 Smiles,6.90,-,5,6.86,6.90,18.50,f,1.45,.62,2.68,26.90,25.7,,
2.26,1.750,2.05,2.03,TIX,360 Cap Indust Fund ord unt,2.05,+1,147,2.04,2.06,18.30,,1.36,.02,8.93,24.80,8.3,,
.79,.465,-,-,TGP,360 Capital Grp stp,.70,-,-,.69,.72,3.50,,-,.58,5.00,-7.40,-,,
.60,.325,.325,.325,NNW,99 Wuxian cdi,.325,-,265,.325,.33,-,,-,-,-,-,-,,
.005,.001,-,-,AYI,A1 Invest & Res,.001,-,-,.001,.002,-,,-,-,-,-.66,-,,
2.51,2.14,2.35,2.31,ABP,Abacus Prop stp,2.34,+1,5783,2.33,2.35,16.50,,.83,2.32,7.05,13.68,17.1,,
1.385,1.18,1.33,1.285,ALR,Aberdeen Leaders,1.33,+2,180,1.315,1.33,9.25,f,.32,1.16,6.95,2.93,45.4,,
1.10,.635,.975,.95,AKG,Academies A'asia,.97,-,682,.95,.975,5.00,f,1.74,.16,5.15,8.70,11.1,,
4.12,1.86,2.28,2.16,ACR,Acrux,2.26,+13,33100,2.25,2.26,8.00,,2.23,.22,3.54,17.87,12.6,,
.048,.01,.02,.02,ACW,Actinogen,.02,-.1,290,.02,.022,-,,-,-,-,-.36,-,,
.001,.001,-,-,ACWOA,  opt sep15,-,-,-,-,.02,-,,-,-,-,-,-,,
.57,.255,.40,.40,ADA,Adacel Tech,.40,-,170,.40,.445,-,,-,.13,-,1.00,40.0,,
.15,.052,-,-,AAU,Adcorp Aust,.055,-,-,.055,.069,-,,-,.02,-,-11.20,-,,
4.34,3.13,4.34,4.27,ABC,Adelaide Brighton,4.30,-,18331,4.27,4.31,16.50,f,1.44,1.38,3.84,23.70,18.1,,
.061,.009,-,-,ADQ,ADG Global Supply,.012,-,-,.012,.013,-,,-,.04,-,-.38,-,,
.185,.024,.185,.175,AHZ,ADMEDUS,.175,+.5,195666,.175,.18,-,,-,.01,-,-.21,-,,
.155,.024,.093,.084,ADJ,Adslot,.084,-.9,17168,.084,.086,-,,-,.01,-,-.94,-,,
.022,.013,.015,.013,ABV,Adv Braking Tech,.013,-.1,4359,.012,.014,-,,-,-,-,-.08,-,,
.105,.045,-,-,AMT,Adv Surg Dsgn & Mnft,.045,-,-,.01,-,-,,-,.09,-,-1.49,-,,
.738,.619,-,-,ASW,Advanced Share Reg,.69,-,-,.66,.69,3.70,f,.93,.14,5.36,3.43,20.1,,
.205,.10,.135,.135,AEI,Aeris Environmental,.135,-,500,.105,.135,-,,-,-.01,-,-.77,-,,
1.555,.98,1.555,1.48,AFJ,Affinity Education,1.52,+4,7193,1.515,1.52,-,,-,-,-,-,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.045,.017,.041,.041,AHA,AG Financial,.041,+.2,300,.041,.045,-,,-,.06,-,-9.81,-,,
.042,.012,.026,.025,AGX,Agenix,.026,+.1,6747,.025,.028,-,,-,-,-,-.67,-,,
.01,.001,-,-,AGXO,  opt jun15,.005,-,-,.001,.012,-,,-,-,-,-,-,,
16.60,13.85,16.02,15.82,AGK,AGL Energy,15.86,-4,10378,15.86,15.87,63.00,f,1.12,7.56,3.97,70.70,22.4,,
.145,.073,-,-,AGJ,Agricultural Land unt,.085,-,-,.073,.105,2.82,,-,.11,33.18,-3.71,-,,
.084,.059,-,-,APW,AIMS Prop Sec Fund unt,.078,-,-,.078,.08,-,,-,.12,-,-6.38,-,,
4.79,3.07,4.61,4.46,AGI,Ainsworth Game Tech,4.46,-14,5418,4.45,4.48,8.00,,2.00,.54,1.79,16.00,27.9,,
1.65,1.03,1.65,1.57,AIZ,Air New Zealand,1.645,+7.5,1093,1.645,1.65,6.73,,2.08,1.33,4.09,13.98,11.8,,
1.61,.75,1.01,.98,AJL,AJ Lucas Grp,1.01,-2.5,82,.98,1.04,-,,-,.40,-,-97.60,-,,
.675,.30,.62,.59,ACL,Alchemia,.615,+1,6098,.61,.615,-,,-,.04,-,-1.20,-,,
