Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5359.7 at 2014-03-27T16:40:06. Report at Thursday, March 27, 2014. Processed Friday at 2014-03-28T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.35,6.01,5.96,ONT,1300 Smiles,6.00,-,184,6.00,6.01,15.00,f,1.39,.61,2.50,20.85,28.8,,
2.26,1.885,2.19,2.13,TIX,360 Cap Indust Fund ord unt,2.16,-,516,2.16,2.17,18.30,,.94,1.94,8.47,17.12,12.6,,
.80,.465,.80,.75,TGP,360 Capital Grp stp,.75,-.5,1947,.75,.78,3.50,,2.19,.60,4.67,7.66,9.8,,
.60,.30,.385,.375,NNW,99 Wuxian cdi,.375,-1,355,.375,.38,-,,-,-,-,-,-,,
.005,.001,.001,.001,AYI,A1 Invest & Res,.001,-,6300,-,.001,-,,-,-,-,-.54,-,,
2.51,2.14,2.31,2.275,ABP,Abacus Prop stp,2.28,-2,4041,2.27,2.29,16.50,,1.12,2.34,7.24,18.46,12.4,,
1.385,1.18,1.29,1.29,ALR,Aberdeen Leaders,1.29,+1,300,1.29,1.33,8.75,f,.33,1.22,6.78,2.93,44.0,,
1.10,.64,.97,.97,AKG,Academies A'asia,.97,-,55,.97,.99,5.00,f,1.74,.16,5.15,8.70,11.1,,
3.901,1.685,1.745,1.70,ACR,Acrux,1.725,+.5,5504,1.725,1.73,8.00,,2.23,.22,4.64,17.87,9.7,,
.048,.01,-,-,ACW,Actinogen,.045,-,-,.039,.049,-,,-,.01,-,-.47,-,,
.001,.001,-,-,ACWOA,  opt sep15,-,-,-,-,.01,-,,-,-,-,-,-,,
.57,.255,-,-,ADA,Adacel Tech,.40,-,-,.345,.39,-,,-,.14,-,.70,57.1,,
.125,.04,.075,.071,AAU,Adcorp Aust,.075,+.4,1517,.065,.08,-,,-,-.01,-,-5.55,-,,
4.375,3.108,3.935,3.84,ABC,Adelaide Brighton,3.93,+4,19779,3.92,3.93,16.50,f,1.44,1.38,4.20,23.70,16.6,,
.05,.009,.011,.011,ADQ,ADG Global Supply,.011,-.2,1991,.011,.014,-,,-,.04,-,-2.11,-,,
.185,.025,.15,.145,AHZ,ADMEDUS,.145,-,10093,.145,.15,-,,-,.01,-,-.03,-,,
.155,.024,.082,.081,ADJ,Adslot,.081,-.1,1496,.079,.081,-,,-,.63,-,-1.12,-,,
.019,.009,.01,.01,ABV,Adv Braking Tech,.01,-.2,3000,.01,.011,-,,-,-,-,-.20,-,,
.105,.045,-,-,AMT,Adv Surg Dsgn & Mnft,.045,-,-,.01,.05,-,,-,.09,-,-.91,-,,
.738,.619,-,-,ASW,Advanced Share Reg,.66,-,-,.65,.67,3.70,f,.93,.14,5.61,3.43,19.2,,
.205,.10,-,-,AEI,Aeris Environmental,.135,-,-,.08,.125,-,,-,-.01,-,-1.03,-,,
1.555,.98,1.495,1.46,AFJ,Affinity Education,1.46,-2,11510,1.46,1.465,-,,-,-,-,-,-,,
.001,.001,.001,.001,AFT,AFT Corp,.001,-,214,.001,.001,-,,-,-,-,-.02,-,,
.045,.021,-,-,AHA,AG Financial,.041,-,-,.041,.20,-,,-,-,-,-6.31,-,,
.042,.012,-,-,AGX,Agenix,.016,-,-,.017,.019,-,,-,-,-,5.19,.3,,
.01,.001,-,-,AGXO,  opt jun15,.005,-,-,.001,.012,-,,-,-,-,-,-,,
16.15,13.85,15.10,14.96,AGK,AGL Energy,15.06,-8,10760,15.06,15.10,63.00,f,.81,7.56,4.18,51.10,29.5,,
.145,.073,-,-,AGJ,Agricultural Land unt,.076,-,-,.08,.09,2.82,,-,.11,37.11,-3.71,-,,
.09,.060,.085,.084,APW,AIMS Prop Sec Fund unt,.084,-.2,4152,.084,.086,.09,,-,.13,1.07,-4.40,-,,
4.79,3.33,3.86,3.67,AGI,Ainsworth Game Tech,3.79,-7,19797,3.79,3.80,10.00,,2.00,.63,2.64,20.00,18.9,,
1.84,1.14,1.84,1.78,AIZ,Air New Zealand,1.84,+2,1118,1.70,1.84,8.52,,2.17,1.43,4.63,18.53,9.9,,
1.61,.75,.92,.86,AJL,AJ Lucas Grp,.885,-3.5,462,.885,.895,-,,-,.47,-,-91.50,-,,
.675,.30,.535,.525,ACL,Alchemia,.525,-,968,.525,.54,-,,-,.04,-,-1.20,-,,
13.70,7.50,-,-,AAI,Alcoa Inc cdi,13.50,-,-,7.70,15.35,10.52,,-,-,.78,-239.16,-,,
2.98,2.42,2.96,2.92,LEP,ALE Prop Grp stp,2.96,-,139,2.95,2.96,16.20,,1.52,1.96,5.47,24.62,12.0,,
.19,.068,.14,.135,AJX,Alexium Int'l,.135,-,718,.135,.14,-,,-,-.02,-,-2.08,-,,
.27,.10,.145,.13,AEB,Algae.Tec,.13,-1,1334,.13,.14,-,,-,-,-,-1.36,-,,
2.05,1.16,1.33,1.32,AQZ,Alliance Aviation,1.33,+1.5,120,1.315,1.33,9.20,f,1.99,1.37,6.92,18.33,7.3,,
10.823,7.05,7.38,7.20,ALQ,ALS,7.24,+3,8146,7.23,7.30,46.00,p,1.17,-.07,6.35,53.73,13.5,,
.175,.045,-,-,AIQ,Alternative Invest unt,.17,-,-,.17,.175,-,,-,.21,-,4.94,3.4,,
2.90,1.30,2.42,2.36,ALU,Altium,2.42,+1,987,2.40,2.42,12.00,,.74,.03,4.96,8.87,27.3,,
.39,.23,.255,.25,AMA,AMA Grp,.25,-.5,411,.25,.255,1.60,p,1.14,.03,6.40,1.83,13.7,,
8.92,7.45,8.69,8.57,AHD,Amalgamated Hldgs,8.60,-,37,8.57,8.60,42.00,f,1.28,5.17,4.88,53.70,16.0,,
.26,.18,-,-,AMO,Ambertech,.20,-,-,.16,.22,-,,-,.37,-,-7.00,-,,
.20,.15,-,-,AMB,Ambition Grp,.16,-,-,.16,.21,-,,-,.17,-,-2.14,-,,
74.11,72.717,-,-,AKY,AMCB Fund No 5,73.66,-,-,73.75,81.03,374.00,f,1.01,73.32,5.08,379.00,19.4,,
1.019,.800,.93,.925,AMH,AMCIL,.93,+2,305,.91,.93,3.00,,1.06,.93,3.23,3.18,29.2,,
2.20,1.50,2.08,2.03,AMM,Amcom Telco,2.08,-,1919,2.05,2.08,5.70,f,1.57,.30,2.74,8.94,23.3,,
10.89,8.331,10.46,10.34,AMC,Amcor,10.46,+1,26342,10.45,10.46,40.00,,1.08,-.09,3.82,43.20,24.2,,
5.79,4.11,4.94,4.88,AMP,AMP,4.90,-7,71658,4.89,4.90,23.00,p,1.01,1.35,4.69,23.20,21.1,,
.87,.605,.765,.74,AGF,AMP Capital China unt,.75,-2,4804,.745,.76,1.92,,.33,.93,2.56,.63,119.0,,
101.13,99.68,-,-,AYK,Aust Master Fund No 4,100.60,-,-,100.62,-,175.00,f,1.00,100.17,1.74,174.16,57.8,,
101.84,100.35,-,-,AYD,Aust Masters YF1,101.21,-,-,101.35,-,385.00,f,-,100.71,3.80,-30.58,-,,
101.66,100.20,-,-,AYJ,Aust Master Fund No 3,101.03,-,-,101.10,102.50,225.00,f,1.10,100.54,2.23,248.00,40.7,,
101.36,99.72,-,-,AYH,Aust Masters YF2,100.66,-,-,100.72,-,395.00,f,1.05,100.11,3.92,415.00,24.3,,
.015,.006,.014,.012,ANQ,AnaeCo,.014,+.2,299679,.013,.014,-,,-,-,-,1.58,.9,,
.033,.017,.025,.024,ALT,Analytica,.024,-,5303,.024,.025,-,,-,.01,-,-.31,-,,
.009,.004,.004,.004,AYG,Anittel Grp,.004,-,21907,.004,.005,-,,-,-,-,-.10,-,,
22.24,14.62,18.59,18.15,ANN,Ansell,18.35,-10,5569,18.35,18.38,40.89,,2.89,4.21,2.23,118.03,15.5,,
.023,.008,.011,.011,ANO,Antaria,.011,-,2330,.011,.012,-,,-,.01,-,-.10,-,,
.285,.047,.27,.255,ADO,Anteo Diagnostics,.255,-.5,35261,.255,.26,-,,-,-,-,-.28,-,,
.22,.09,.205,.195,ANP,Antisense Therapeutic,.20,-,3623,.20,.205,-,,-,.03,-,-1.90,-,,
.075,.035,-,-,ANPO,  opt jan17,.07,-,-,.066,.07,-,,-,-,-,-,-,,
34.06,26.30,32.60,32.30,ANZ,ANZ Banking Grp,32.55,-,45538,32.53,32.56,164.00,f,1.41,13.48,5.04,231.30,14.1,,
5.50,3.86,5.20,5.05,APE,AP Eagers,5.10,-25,595,5.10,5.20,23.00,f,1.58,2.34,4.51,36.40,14.0,,
.019,.01,-,-,APP,APA Fin Services,.012,-,-,.004,.012,-,,-,.01,-,-.20,-,,
6.97,5.80,6.55,6.43,APA,APA Grp stp,6.43,-10,15270,6.43,6.47,36.00,,.59,1.37,5.60,21.14,30.4,,
.675,.220,.60,.57,APN,APN News & Media,.59,+2,31250,.585,.595,-,,-,-.18,-,.39,151.3,,
.30,.185,.28,.275,APD,APN Prop Grp,.28,+1,2200,.275,.285,1.25,f,2.34,.22,4.46,2.92,9.6,,
.34,.003,.22,.21,ALA,Applabs Tech,.215,-.5,2206,.215,.22,-,,-,.11,-,-.55,-,,
.70,.41,-,-,AQU,Aquaint Capital,.45,-,-,.405,.495,-,,-,-,-,-,-,,
13.88,10.46,12.17,11.76,ARP,ARB Corp,11.90,-31,970,11.87,11.93,28.50,f,2.01,2.38,2.39,57.39,20.7,,
2.59,1.42,2.47,2.41,AAD,Ardent Leisure Grp stp,2.45,-3,7741,2.45,2.46,12.20,p,.74,.76,4.98,9.08,27.0,,
