Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5470.3 at 2014-05-23T16:38:06. Report at Friday, May 23, 2014. Processed Saturday at 2014-05-24T01:00:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.35,6.00,5.90,ONT,1300 Smiles,6.00,-,22,5.93,6.00,15.00,f,1.39,.61,2.50,20.85,28.8,,
2.24,1.96,2.23,2.21,TIX,360 Cap Indust Fund ord unt,2.21,+1,692,2.21,2.24,18.45,,.93,1.94,8.35,17.12,12.9,,
.815,.465,.76,.755,TGP,360 Capital Grp stp,.755,-,1637,.755,.76,4.75,,1.61,.60,6.29,7.66,9.9,,
2.04,1.92,2.01,2.00,TOF,360 Capital Office ord unt,2.005,+.5,1220,2.00,2.01,-,,-,-,-,-,-,,
.60,.30,.39,.39,NNW,99 Wuxian cdi,.39,-,566,.39,.395,-,,-,-,-,-,-,,
.005,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.54,-,,
2.51,2.14,2.47,2.43,ABP,Abacus Prop stp,2.45,-,4528,2.44,2.45,16.50,,1.12,2.34,6.73,18.46,13.3,,
1.385,1.18,1.265,1.26,ALR,Aberdeen Leaders,1.265,+.5,106,1.25,1.265,8.75,f,.33,1.22,6.92,2.93,43.2,,
1.10,.77,1.04,1.035,AKG,Academies A'asia,1.035,+.5,44,1.035,1.10,5.00,f,1.74,.16,4.83,8.70,11.9,,
.96,.895,.91,.895,ACQ,Acorn Capital Invest,.895,-,850,.895,.91,-,,-,-,-,-,-,,
.04,.03,-,-,ACQO,  opt oct15,.031,-,-,.035,.039,-,,-,-,-,-,-,,
3.646,.88,.94,.92,ACR,Acrux,.93,+1.5,10056,.93,.935,8.00,,2.23,.22,8.60,17.87,5.2,,
.045,.01,-,-,ACW,Actinogen,.021,-,-,.015,.028,-,,-,.01,-,-.47,-,,
.001,.001,-,-,ACWOA,  opt sep15,-,-,-,-,.02,-,,-,-,-,-,-,,
.57,.30,-,-,ADA,Adacel Tech,.30,-,-,.30,.33,-,,-,.14,-,.70,42.9,,
.125,.04,.066,.066,AAU,Adcorp Aust,.066,-,300,.066,.08,-,,-,-.01,-,-5.55,-,,
4.375,3.108,3.525,3.47,ABC,Adelaide Brighton,3.47,-6,20473,3.47,3.48,16.50,f,1.44,1.38,4.76,23.70,14.6,,
.025,.009,.014,.014,ADQ,ADG Global Supply,.014,+.1,450,.013,.014,-,,-,.04,-,-2.11,-,,
.185,.035,.11,.10,AHZ,ADMEDUS,.105,-.5,34771,.10,.105,-,,-,.01,-,-.03,-,,
.155,.035,.105,.102,ADJ,Adslot,.105,+.5,26956,.105,.11,-,,-,.63,-,-1.12,-,,
.018,.006,.007,.006,ABV,Adv Braking Tech,.006,-.1,9120,.006,.007,-,,-,-,-,-.20,-,,
.105,.045,-,-,AMT,Adv Surg Dsgn & Mnft,.062,-,-,.062,.07,-,,-,.09,-,-.91,-,,
.72,.619,-,-,ASW,Advanced Share Reg,.645,-,-,.645,.67,3.70,f,.93,.14,5.74,3.43,18.8,,
.205,.08,-,-,AEI,Aeris Environmental,.09,-,-,.082,.10,-,,-,-.01,-,-1.03,-,,
1.446,.911,1.30,1.26,AFJ,Affinity Education,1.27,-2,1246,1.27,1.29,-,,-,-,-,-,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.045,.021,-,-,AHA,AG Financial,.04,-,-,.04,.041,-,,-,-,-,-6.31,-,,
.042,.012,-,-,AGX,Agenix,.013,-,-,.013,.016,-,,-,-,-,5.19,.3,,
.005,.001,-,-,AGXO,  opt jun15,.001,-,-,.001,.012,-,,-,-,-,-,-,,
16.27,13.85,15.92,15.66,AGK,AGL Energy,15.71,-9,9086,15.67,15.71,63.00,f,.81,7.56,4.01,51.10,30.7,,
.145,.073,-,-,AGJ,Agricultural Land unt,.079,-,-,.083,.105,2.82,,-,.11,35.70,-3.71,-,,
.12,.063,.12,.115,APW,AIMS Prop Sec Fund unt,.12,+.5,10100,.115,.12,.09,,-,.13,.75,-4.40,-,,
4.79,3.33,4.08,3.95,AGI,Ainsworth Game Tech,3.99,+5,10069,3.99,4.00,10.00,,2.00,.63,2.51,20.00,19.9,,
2.05,1.15,2.03,2.01,AIZ,Air New Zealand,2.03,+3,1117,2.02,2.03,8.52,,2.17,1.43,4.20,18.53,11.0,,
1.61,.72,.93,.875,AJL,AJ Lucas Grp,.93,+7,1028,.91,.93,-,,-,.47,-,-91.50,-,,
.675,.30,.515,.515,ACL,Alchemia,.515,+.5,90,.515,.52,-,,-,.04,-,-1.20,-,,
15.00,7.873,-,-,AAI,Alcoa Inc cdi,14.50,-,-,13.00,14.99,10.32,,-,-,.71,-239.16,-,,
2.98,2.42,2.92,2.895,LEP,ALE Prop Grp stp,2.92,+1,395,2.92,2.96,16.20,,1.52,1.96,5.55,24.62,11.9,,
.19,.086,-,-,AJX,Alexium Int'l,.11,-,-,.11,.12,-,,-,-.02,-,-2.08,-,,
.27,.085,.097,.089,AEB,Algae.Tec,.097,+.8,300,.089,.097,-,,-,-,-,-1.36,-,,
1.895,1.15,1.20,1.18,AQZ,Alliance Aviation,1.18,-1,634,1.175,1.18,9.20,f,1.99,1.37,7.80,18.33,6.4,,
10.64,7.05,7.48,7.29,ALQ,ALS,7.30,-14,6911,7.29,7.33,46.00,p,1.17,-.07,6.30,53.73,13.6,,
.14,.04,-,-,AIQ,Alternative Invest unt,.13,-,-,.13,.135,-,,-,.21,-,4.94,2.6,,
2.90,1.34,2.13,2.08,ALU,Altium,2.13,+3,2008,2.11,2.18,12.00,,.74,.03,5.63,8.87,24.0,,
.39,.23,.25,.245,AMA,AMA Grp,.25,-,844,.25,.26,1.60,p,1.14,.03,6.40,1.83,13.7,,
9.91,7.45,9.59,9.27,AHD,Amalgamated Hldgs,9.48,-2,5129,9.48,9.54,42.00,f,1.28,5.17,4.43,53.70,17.7,,
.26,.155,-,-,AMO,Ambertech,.155,-,-,.15,.195,-,,-,.37,-,-7.00,-,,
.20,.15,-,-,AMB,Ambition Grp,.15,-,-,.05,.145,-,,-,.17,-,-2.14,-,,
74.20,72.717,-,-,AKY,AMCB Fund No 5,73.11,-,-,73.15,-,379.00,f,1.00,73.32,5.18,379.00,19.3,,
1.019,.800,.94,.94,AMH,AMCIL,.94,-,400,.92,.94,3.00,,1.06,.93,3.19,3.18,29.6,,
2.20,1.50,2.20,2.16,AMM,Amcom Telco,2.16,-3,1449,2.16,2.17,5.70,f,1.57,.30,2.64,8.94,24.2,,
10.89,8.67,10.57,10.49,AMC,Amcor,10.53,+6,31443,10.52,10.54,40.00,,1.08,-.09,3.80,43.20,24.4,,
5.38,4.11,5.29,5.21,AMP,AMP,5.26,+5,57868,5.26,5.27,23.00,p,1.01,1.35,4.37,23.20,22.7,,
.87,.605,.65,.635,AGF,AMP Capital China unt,.64,-.5,8374,.635,.645,1.92,,.33,.93,3.00,.63,101.6,,
