Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5495.7 at 2014-07-15T16:41:06. Report at Tuesday, July 15, 2014. Processed Wednesday at 2014-07-16T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.35,6.19,6.11,ONT,1300 Smiles,6.11,+1,7,6.11,6.16,15.00,f,1.39,.61,2.45,20.85,29.3,,
2.35,1.96,-,-,TIX,360 Cap Indust Fund ord unt,2.24,-,-,2.21,2.21,18.45,,.93,1.94,8.24,17.12,13.1,,
.91,.465,.825,.81,TGP,360 Capital Grp stp,.815,-.5,3658,.815,.82,4.75,,1.61,.60,5.83,7.66,10.6,,
2.05,1.92,2.00,1.975,TOF,360 Capital Office ord unt,1.985,-.5,1249,1.97,2.03,-,,-,-,-,-,-,,
2.39,2.13,2.33,2.28,TPN,3P Learning def,2.30,-2,2050,2.29,2.30,-,,-,-,-,-,-,,
.73,.30,.68,.65,NNW,99 Wuxian cdi,.655,-3,2196,.655,.66,-,,-,-,-,-,-,,
.003,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.54,-,,
2.60,2.14,2.57,2.51,ABP,Abacus Prop stp,2.57,+4,6379,2.53,2.57,16.75,,1.10,2.34,6.52,18.46,13.9,,
1.385,1.18,1.25,1.235,ALR,Aberdeen Leaders,1.235,+.5,515,1.23,1.235,7.00,f,.42,1.16,5.67,2.93,42.2,,
1.40,.78,1.28,1.225,AKG,Academies A'asia,1.28,+7,453,1.25,1.33,5.00,f,1.74,.16,3.91,8.70,14.7,,
.96,.85,.91,.91,ACQ,Acorn Capital Invest,.91,+1,444,.89,.91,-,,-,-,-,-,-,,
.04,.025,-,-,ACQO,  opt oct15,.035,-,-,.03,.035,-,,-,-,-,-,-,,
3.579,.75,1.065,1.02,ACR,Acrux,1.025,-3.5,16169,1.025,1.05,8.00,,2.23,.22,7.80,17.87,5.7,,
.045,.01,-,-,ACW,Actinogen,.02,-,-,.02,.024,-,,-,.01,-,-.47,-,,
.001,.001,-,-,ACWOA,  opt sep15,-,-,-,-,.001,-,,-,-,-,-,-,,
.57,.215,-,-,ADA,Adacel Tech,.255,-,-,.26,.30,-,,-,.14,-,.70,36.4,,
.125,.04,-,-,AAU,Adcorp Aust,.062,-,-,.062,.064,-,,-,-.01,-,-5.55,-,,
4.375,3.15,3.62,3.57,ABC,Adelaide Brighton,3.58,-2,13386,3.57,3.61,16.50,f,1.44,1.38,4.61,23.70,15.1,,
.025,.005,-,-,ADQ,ADG Global Supply,.011,-,-,.008,.011,-,,-,.04,-,-2.11,-,,
.185,.046,.13,.125,AHZ,ADMEDUS,.125,-,21742,.125,.13,-,,-,.01,-,-.03,-,,
.155,.042,.105,.10,ADJ,Adslot,.105,+.5,10510,.10,.105,-,,-,.63,-,-1.12,-,,
.018,.006,-,-,ABV,Adv Braking Tech,.007,-,-,.006,.007,-,,-,-,-,-.20,-,,
.002,.002,-,-,ABVO,  opt aug16,.002,-,-,.002,.004,-,,-,-,-,-,-,,
.07,.045,-,-,AMT,Adv Surg Dsgn & Mnft,.06,-,-,.01,-,-,,-,.09,-,-.91,-,,
.72,.60,-,-,ASW,Advanced Share Reg,.68,-,-,.65,.67,3.70,f,.93,.14,5.44,3.43,19.8,,
.185,.08,.10,.10,AEI,Aeris Environmental,.10,+1,64,.10,.11,-,,-,-.01,-,-1.03,-,,
1.446,.911,1.145,1.12,AFJ,Affinity Education,1.12,-1,4157,1.12,1.13,-,,-,-,-,-,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.045,.03,-,-,AHA,AG Financial,.04,-,-,.02,.04,-,,-,-,-,-6.31,-,,
.042,.011,-,-,AGX,Agenix,.013,-,-,.012,.013,-,,-,-,-,5.19,.3,,
.005,.001,-,-,AGXO,  opt jun15,.001,-,-,.001,.012,-,,-,-,-,-,-,,
16.27,14.11,15.85,15.71,AGK,AGL Energy,15.79,-1,9644,15.78,15.79,63.00,f,.81,7.56,3.99,51.10,30.9,,
.12,.073,-,-,AGJ,Agricultural Land unt,.095,-,-,.082,.095,2.82,,-,.11,29.68,-3.71,-,,
.122,.069,.11,.11,APW,AIMS Prop Sec Fund unt,.11,-,3332,.11,.115,.18,,-,.13,1.64,-4.40,-,,
4.79,3.33,3.79,3.71,AGI,Ainsworth Game Tech,3.72,-4,2082,3.72,3.73,10.00,,2.00,.63,2.69,20.00,18.6,,
2.12,1.15,1.965,1.91,AIZ,Air New Zealand,1.95,+6,963,1.925,1.95,8.52,,2.17,1.43,4.37,18.53,10.5,,
1.61,.72,.90,.88,AJL,AJ Lucas Grp,.90,-,442,.88,.92,-,,-,.47,-,-91.50,-,,
.675,.315,.645,.62,ACL,Alchemia,.62,-,4086,.62,.63,-,,-,.04,-,-1.20,-,,
17.00,7.873,17.00,16.65,AAI,Alcoa Inc cdi,17.00,+100,10,16.65,18.99,7.87,,-,-,.46,-239.16,-,,
3.19,2.60,3.06,3.00,LEP,ALE Prop Grp stp,3.06,+1,301,3.05,3.06,16.20,,1.52,1.96,5.29,24.62,12.4,,
.19,.092,.11,.105,AJX,Alexium Int'l,.105,+.5,3150,.10,.11,-,,-,-.02,-,-2.08,-,,
.245,.068,.09,.085,AEB,Algae.Tec,.09,+.2,150,.083,.09,-,,-,-,-,-1.36,-,,
1.845,1.06,1.20,1.18,AQZ,Alliance Aviation,1.18,-1.5,454,1.18,1.185,9.20,f,1.99,1.37,7.80,18.33,6.4,,
10.64,7.05,8.85,8.62,ALQ,ALS,8.67,-9,20176,8.64,8.68,39.00,p,1.04,.02,4.50,40.74,21.3,,
.14,.045,-,-,AIQ,Alternative Invest unt,.135,-,-,.135,.14,-,,-,.17,-,4.94,2.7,,
2.90,2.07,2.44,2.40,ALU,Altium,2.44,+1,1017,2.41,2.44,12.00,,.74,.03,4.92,8.87,27.5,,
.39,.225,.29,.29,AMA,AMA Grp,.29,+1,2400,.28,.285,1.60,p,1.14,.03,5.52,1.83,15.8,,
9.96,7.95,9.53,9.25,AHD,Amalgamated Hldgs,9.29,-9,645,9.23,9.45,42.00,f,1.28,5.17,4.52,53.70,17.3,,
.245,.15,-,-,AMO,Ambertech,.20,-,-,.155,.195,-,,-,.37,-,-7.00,-,,
.20,.105,.13,.13,AMB,Ambition Grp,.13,-.5,4750,.11,.135,-,,-,.17,-,-2.14,-,,
74.20,69.00,-,-,AKY,AMCB Fund No 5,73.49,-,-,73.16,-,379.00,f,1.00,72.79,5.16,379.00,19.4,,
1.019,.855,1.00,.98,AMH,AMCIL,.99,+2,571,.99,1.005,3.00,,1.06,.95,3.03,3.18,31.1,,
2.30,1.755,1.98,1.93,AMM,Amcom Telco,1.935,-4.5,8439,1.93,1.94,5.70,f,1.57,.30,2.95,8.94,21.6,,
10.89,9.147,10.39,10.24,AMC,Amcor,10.28,-,19387,10.27,10.29,40.00,,1.08,-.09,3.89,43.20,23.8,,
.20,.16,.195,.19,AOW,American Patriot Oil,.195,+2.5,335,.195,.20,-,,-,-,-,-,-,,
5.52,4.11,5.36,5.30,AMP,AMP,5.32,-2,82266,5.31,5.32,23.00,p,1.01,1.35,4.32,23.20,22.9,,
.87,.63,.705,.69,AGF,AMP Capital China unt,.705,+1,8512,.70,.71,1.92,,.33,.83,2.72,.63,111.9,,
91.068,89.762,-,-,AYK,Aust Masters YF4,90.81,-,-,90.61,-,250.00,f,.70,90.15,2.75,174.16,52.1,,
101.84,100.50,101.26,101.26,AYD,Aust Masters YF1,101.26,-57,2,101.26,-,385.00,f,-,100.78,3.80,-30.58,-,,
94.786,93.12,-,-,AYJ,Aust Masters YF3,94.28,-,-,94.33,100.00,349.00,f,.71,93.44,3.70,248.00,38.0,,
101.36,99.72,-,-,AYH,Aust Masters YF2,100.95,-,-,101.00,-,380.00,f,1.09,100.20,3.76,415.00,24.3,,
.015,.006,.008,.007,ANQ,AnaeCo,.007,-,23002,.007,.008,-,,-,-,-,1.58,.4,,
.051,.017,.035,.032,ALT,Analytica,.033,-.3,13872,.033,.034,-,,-,.01,-,-.31,-,,
.009,.003,.004,.004,AYG,Anittel Grp,.004,-,39,.004,.005,-,,-,-,-,-.10,-,,
22.24,17.725,19.04,18.75,ANN,Ansell,18.86,-21,4764,18.85,18.86,40.28,,2.93,4.21,2.14,118.03,16.0,,
.023,.008,.016,.014,ANO,Antaria,.014,-.1,5411,.014,.015,-,,-,.01,-,-.10,-,,
.285,.052,.185,.177,ADO,Anteo Diagnostics,.185,+.5,11048,.175,.185,-,,-,-,-,-.28,-,,
.232,.10,.135,.13,ANP,Antisense Therapeutic,.135,-,119,.13,.135,-,,-,.03,-,-1.90,-,,
.08,.035,-,-,ANPO,  opt jan17,.045,-,-,.045,.06,-,,-,-,-,-,-,,
35.07,28.70,33.62,33.075,ANZ,ANZ Banking Grp,33.23,-31,55510,33.20,33.24,174.00,f,1.42,13.90,5.24,247.10,13.4,,
6.25,4.18,5.60,5.51,APE,AP Eagers,5.55,-1,165,5.50,5.55,23.00,f,1.58,2.34,4.14,36.40,15.2,,
.019,.003,-,-,APP,APA Fin Services,.016,-,-,.018,.024,-,,-,.01,-,-.20,-,,
7.14,5.80,7.09,7.04,APA,APA Grp stp,7.08,+1,8457,7.07,7.08,36.00,,.59,1.37,5.08,21.14,33.5,,
.827,.238,.745,.705,APN,APN News & Media,.71,-,11214,.71,.715,-,,-,-.18,-,.39,182.1,,
.30,.22,-,-,APD,APN Prop Grp,.275,-,-,.275,.29,1.25,f,2.34,.22,4.55,2.92,9.4,,
.34,.004,.25,.24,ALA,Applabs Tech,.245,-.5,2943,.24,.245,-,,-,.11,-,-.55,-,,
.081,.05,.076,.071,ALAO,  opt may16,.076,-.2,635,.071,.076,-,,-,-,-,-,-,,
.70,.39,-,-,AQU,Aquaint Capital,.45,-,-,.40,.43,-,,-,-,-,-,-,,
13.88,10.46,12.36,12.18,ARP,ARB Corp,12.24,-6,286,12.20,12.25,28.50,f,2.01,2.38,2.33,57.39,21.3,,
2.79,1.612,2.69,2.635,AAD,Ardent Leisure Grp stp,2.65,+1,5704,2.64,2.65,12.20,,.74,.76,4.60,9.08,29.2,,
1.295,1.025,1.26,1.235,ARF,Arena REIT unt,1.24,+.5,562,1.24,1.25,8.75,,.70,1.03,7.06,6.12,20.3,,
7.89,6.56,7.81,7.74,ARG,Argo Invest,7.78,-2,1093,7.77,7.81,27.00,f,1.10,7.46,3.47,29.80,26.1,,
.38,.27,-,-,ARA,Ariadne Aust,.355,-,-,.35,.36,1.00,p,1.58,.35,2.82,1.58,22.5,,
5.59,4.155,5.59,5.46,ALL,Aristocrat Leisure,5.58,+15,25290,5.57,5.59,15.50,,1.31,.42,2.78,20.30,27.5,,
.125,.051,-,-,AIK,Armidale Invest,.125,-,-,.12,.125,-,,-,.14,-,1.00,12.5,,
1.05,.352,.89,.88,AWN,Arowana Internat,.88,-2,165,.88,.89,3.25,f,1.83,.03,3.69,5.94,14.8,,
1.875,.73,.76,.735,ARI,Arrium,.74,+.5,88607,.74,.745,9.00,,-,1.34,12.16,-2.06,-,,
.019,.01,-,-,AEM,Artist & Entertain,.012,-,-,.012,.013,-,,-,-,-,-.25,-,,
.014,.001,-,-,AJR,Arunta Resources,.001,-,-,.001,.002,-,,-,-,-,-.17,-,,
.004,.001,-,-,AJROB,  opt dec14,.001,-,-,-,.001,-,,-,-,-,-,-,,
1.81,1.635,1.79,1.745,AHY,Asaleo Care,1.75,-3.5,11468,1.75,1.76,-,,-,-,-,-,-,,
6.23,4.95,5.77,5.70,AIO,Asciano,5.71,-4,18027,5.71,5.72,12.00,f,2.81,.97,2.10,33.70,16.9,,
.229,.088,.19,.19,AFA,ASF Grp,.19,-,2,.19,.20,-,,-,.04,-,-8.89,-,,
.515,.345,.455,.445,ASZ,ASG Grp,.445,-1,645,.445,.455,-,f,-,-,-,-8.21,-,,
