Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5574.2 at 2014-07-25T16:37:06. Report at Friday, July 25, 2014. Processed Saturday at 2014-07-26T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.35,6.20,6.09,ONT,1300 Smiles,6.20,+11,20,6.10,6.20,15.00,f,1.39,.61,2.42,20.85,29.7,,
2.35,1.952,2.33,2.29,TIX,360 Cap Indust Fund ord unt,2.32,-1,1115,2.29,2.33,18.60,,.92,1.94,8.02,17.12,13.6,,
.91,.465,.815,.815,TGP,360 Capital Grp stp,.815,-,111,.815,.825,5.00,,1.53,.60,6.13,7.66,10.6,,
2.05,1.92,2.02,2.00,TOF,360 Capital Office ord unt,2.02,+2,790,2.01,2.02,-,,-,-,-,-,-,,
2.39,2.13,2.20,2.16,TPN,3P Learning,2.20,-,1551,2.20,2.22,-,,-,-,-,-,-,,
.73,.30,.68,.655,NNW,99 Wuxian cdi,.655,-.5,6351,.655,.66,-,,-,-,-,-,-,,
.003,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.54,-,,
2.60,2.14,2.59,2.54,ABP,Abacus Prop stp,2.59,+3,6341,2.58,2.59,16.75,,1.10,2.34,6.47,18.46,14.0,,
1.385,1.18,1.215,1.21,ALR,Aberdeen Leaders,1.21,-,439,1.205,1.21,7.00,f,.42,1.16,5.79,2.93,41.3,,
1.40,.80,1.36,1.36,AKG,Academies A'asia,1.36,-,50,1.36,1.39,5.00,f,1.74,.16,3.68,8.70,15.6,,
.96,.85,.915,.915,ACQ,Acorn Capital Invest,.915,-,10,.915,.925,-,,-,-,-,-,-,,
.04,.025,.035,.035,ACQO,  opt oct15,.035,-,120,.035,.039,-,,-,-,-,-,-,,
3.257,.75,1.52,1.18,ACR,Acrux,1.52,+36.5,67215,1.52,1.53,8.00,,2.23,.22,5.26,17.87,8.5,,
.045,.01,-,-,ACW,Actinogen,.016,-,-,.018,.05,-,,-,.01,-,-.47,-,,
.001,.001,-,-,ACWOA,  opt sep15,-,-,-,-,.001,-,,-,-,-,-,-,,
.57,.215,-,-,ADA,Adacel Tech,.26,-,-,.25,.30,-,,-,.14,-,.70,37.1,,
.12,.04,-,-,AAU,Adcorp Aust,.062,-,-,.061,.079,-,,-,-.01,-,-5.55,-,,
4.375,3.15,3.62,3.58,ABC,Adelaide Brighton,3.61,+2,8180,3.60,3.61,16.50,f,1.44,1.38,4.57,23.70,15.2,,
