Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5546.9 at 2014-09-11T16:40:05. Report at Thursday, September 11, 2014. Processed Friday at 2014-09-12T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.35,-,-,ONT,1300 Smiles,6.03,-,-,6.06,6.14,14.50,f,1.45,.35,2.40,21.00,28.7,,
2.42,1.952,2.405,2.36,TIX,360 Capital Indust ord unt,2.40,+4,476,2.37,2.40,18.60,,2.42,2.21,7.75,45.00,5.3,,
1.04,.60,1.01,.98,TGP,360 Capital Grp stp,1.00,-,674,.98,1.00,5.00,,2.41,.61,5.00,12.05,8.3,,
2.09,1.92,2.06,2.03,TOF,360 Capital Office ord unt,2.06,+2,416,2.04,2.06,-,,-,-,-,-,-,,
2.60,2.13,2.52,2.50,3PL,3P Learning,2.50,-1,1132,2.49,2.50,-,,-,-,-,-,-,,
.295,.26,.26,.26,8CO,8common,.26,-1,200,.26,.27,-,,-,-,-,-,-,,
.73,.30,.535,.515,NNW,99 Wuxian cdi,.535,+1,3903,.53,.535,-,,-,.02,-,.10,535.0,,
.003,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.20,-,,
2.81,2.18,2.76,2.71,ABP,Abacus Prop stp,2.71,-,8149,2.71,2.74,16.75,,1.33,2.38,6.18,22.27,12.2,,
1.385,1.18,1.25,1.215,ALR,Aberdeen Leaders,1.25,+3.5,1146,1.23,1.245,7.00,f,.43,1.22,5.60,3.02,41.4,,
1.40,.835,1.30,1.28,AKG,Academies A'asia,1.28,-2,547,1.27,1.28,5.50,f,1.78,.05,4.30,9.80,13.1,,
.96,.85,.90,.895,ACQ,Acorn Capital Invest,.90,-,123,.895,.90,-,,-,-,-,-,-,,
.04,.025,-,-,ACQO,  opt oct15,.03,-,-,.026,.03,-,,-,-,-,-,-,,
3.219,.75,1.635,1.57,ACR,Acrux,1.585,+.5,8990,1.58,1.595,16.00,f,1.05,.12,10.09,16.80,9.4,,
.05,.01,.048,.047,ACW,Actinogen,.048,-,4260,.048,.049,-,,-,.01,-,-.29,-,,
.001,.001,-,-,ACWOA,  opt sep15,.001,-,-,.001,.005,-,,-,-,-,-,-,,
.001,.001,-,-,ACU,Acuvax,.001,-,-,-,.001,-,,-,-,-,-.04,-,,
.57,.215,.35,.35,ADA,Adacel Tech,.35,-,324,.23,.35,-,,-,.09,-,-2.90,-,,
.095,.04,-,-,AAU,Adcorp Aust,.05,-,-,.05,.073,-,,-,-.02,-,-4.30,-,,
