Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5446.2 at 2014-09-16T16:53:06. Report at Tuesday, September 16, 2014. Processed Wednesday at 2014-09-17T01:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.25,5.35,6.19,6.05,ONT,1300 Smiles,6.19,+4,50,6.15,6.19,14.50,f,1.45,.35,2.34,21.00,29.5,,
2.42,1.952,2.37,2.33,TIX,360 Capital Indust ord unt,2.37,+3,922,2.34,2.37,18.60,,2.42,2.21,7.85,45.00,5.3,,
1.04,.60,.96,.95,TGP,360 Capital Grp stp,.955,-,1180,.95,.955,5.00,,2.41,.61,5.24,12.05,7.9,,
2.09,1.92,2.05,2.04,TOF,360 Capital Office ord unt,2.04,-,354,2.03,2.04,-,,-,-,-,-,-,,
2.60,2.13,2.48,2.41,3PL,3P Learning,2.46,-3,95,2.46,2.48,-,,-,-,-,-,-,,
.295,.245,.25,.245,8CO,8common,.25,-,1950,.25,.255,-,,-,-,-,-,-,,
.73,.30,.51,.48,NNW,99 Wuxian cdi,.48,-,2456,.48,.495,-,,-,.02,-,.10,480.0,,
.003,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.20,-,,
2.81,2.18,2.74,2.64,ABP,Abacus Prop stp,2.64,-9,8075,2.64,2.66,16.75,,1.33,2.38,6.34,22.27,11.9,,
1.385,1.18,1.23,1.22,ALR,Aberdeen Leaders,1.22,-1,246,1.22,1.24,7.00,f,.43,1.22,5.74,3.02,40.4,,
1.40,.835,1.30,1.21,AKG,Academies A'asia,1.21,-4.5,727,1.21,1.255,5.50,f,1.78,.05,4.55,9.80,12.3,,
.96,.85,.91,.895,ACQ,Acorn Capital Invest,.91,+1.5,331,.89,.91,-,,-,-,-,-,-,,
.04,.025,-,-,ACQO,  opt oct15,.029,-,-,.02,.027,-,,-,-,-,-,-,,
3.219,.75,1.625,1.585,ACR,Acrux,1.615,-1.5,6100,1.60,1.615,16.00,f,1.05,.12,9.91,16.80,9.6,,
.05,.01,.05,.05,ACW,Actinogen,.05,-,2000,.049,.05,-,,-,.01,-,-.29,-,,
.001,.001,-,-,ACWOA,  opt sep15,.001,-,-,.001,.005,-,,-,-,-,-,-,,
.001,.001,-,-,ACU,Acuvax,.001,-,-,-,.001,-,,-,-,-,-.04,-,,
.57,.215,-,-,ADA,Adacel Tech,.35,-,-,.23,.345,-,,-,.09,-,-2.90,-,,
.095,.04,-,-,AAU,Adcorp Aust,.05,-,-,.042,.05,-,,-,-.02,-,-4.30,-,,
4.375,3.15,3.38,3.29,ABC,Adelaide Brighton,3.32,-14,25181,3.31,3.33,16.50,f,1.34,1.33,4.97,22.10,15.0,,
.02,.004,.006,.006,ADQ,ADG Global Supply,.006,-,3280,.005,.006,-,,-,.01,-,-6.10,-,,
.185,.061,.135,.13,AHZ,ADMEDUS,.13,-.5,45857,.13,.135,-,,-,.02,-,-.55,-,,
.17,.062,.13,.125,ADJ,Adslot,.125,-1,35272,.125,.13,-,,-,-,-,-1.20,-,,
.017,.005,-,-,ABV,Adv Braking Tech,.008,-,-,.007,.008,-,,-,-,-,-.67,-,,
.003,.002,-,-,ABVO,  opt aug16,.003,-,-,.002,.003,-,,-,-,-,-,-,,
.062,.045,.055,.055,AMT,Adv Surg Dsgn & Mnft,.055,-.5,45,.055,.06,-,,-,.09,-,-.15,-,,
.72,.60,-,-,ASW,Advanced Share Reg,.64,-,-,.62,.64,3.70,f,.99,.14,5.78,3.68,17.4,,
.20,.08,-,-,AEI,Aeris Environmental,.20,-,-,.14,.195,-,,-,-.02,-,-.91,-,,
1.446,.911,1.40,1.385,AFJ,Affinity Education,1.385,-,4015,1.385,1.395,-,,-,.18,-,-4.39,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.063,.03,.063,.063,AHA,AG Financial,.063,+.2,119,.034,.091,-,,-,-,-,-.60,-,,
.042,.011,.012,.012,AGX,Agenix,.012,-,2500,.012,.014,-,,-,-,-,.65,1.8,,
.005,.001,-,-,AGXO,  opt jun15,.001,-,-,.001,.012,-,,-,-,-,-,-,,
15.590,13.52,14.01,13.81,AGK,AGL Energy,13.86,-9,26955,13.85,13.87,63.00,f,1.62,7.75,4.55,102.20,13.6,,
.11,.073,-,-,AGJ,Agricultural Land unt,.083,-,-,.083,.094,.52,,-,.06,6.27,-2.67,-,,
.13,.070,-,-,APW,AIMS Prop Sec Fund unt,.12,-,-,.12,.125,.20,,25.90,.17,1.67,5.18,2.3,,
4.79,3.10,3.19,3.10,AGI,Ainsworth Game Tech,3.11,-8,8500,3.11,3.12,10.00,,1.90,.65,3.22,19.00,16.4,,
2.05,1.17,1.81,1.77,AIZ,Air New Zealand,1.81,-1,280,1.725,1.81,9.15,,2.42,1.50,5.06,22.12,8.2,,
1.425,.655,-,-,AJL,AJ Lucas Grp,.695,-,-,.655,.685,-,,-,.40,-,-34.60,-,,
.68,.46,.615,.60,ACL,Alchemia,.615,-1,2510,.615,.62,-,,-,.04,-,-2.10,-,,
19.50,7.873,-,-,AAI,Alcoa Inc cdi,18.50,-,-,18.20,19.60,10.13,,-,-,.55,-246.13,-,,
3.38,2.60,3.28,3.22,LEP,ALE Prop Grp stp,3.28,+1,652,3.23,3.28,16.45,,1.16,1.93,5.02,19.03,17.2,,
.19,.082,.155,.15,AJX,Alexium Int'l,.155,-,1963,.15,.155,-,,-,-,-,-1.99,-,,
.245,.068,-,-,AEB,Algae.Tec,.073,-,-,.073,.079,-,,-,.01,-,-1.00,-,,
1.78,1.06,-,-,AQZ,Alliance Aviation,1.385,-,-,1.33,1.37,5.70,f,1.71,1.36,4.12,9.72,14.2,,
10.64,6.88,7.02,6.88,ALQ,ALS,6.92,-14,11712,6.90,6.92,39.00,p,1.04,.02,5.64,40.74,17.0,,
.14,.045,.14,.14,AIQ,Alternative Invest unt,.14,-,150,.14,.145,-,,-,.16,-,.04,350.0,,
3.14,2.07,2.99,2.95,ALU,Altium,2.95,-2,4839,2.94,2.97,12.00,,.91,.07,4.07,10.89,27.1,,
.39,.225,.34,.33,AMA,AMA Grp,.335,-,1291,.325,.33,3.20,f,.53,.04,9.55,1.70,19.7,,
9.96,7.97,9.45,9.32,AHD,Amalgamated Hldgs,9.41,+9,266,9.40,9.42,42.00,f,1.18,5.16,4.46,49.70,18.9,,
.245,.15,-,-,AMO,Ambertech,.15,-,-,.056,.145,-,,-,.32,-,-3.30,-,,
.20,.105,-,-,AMB,Ambition Grp,.15,-,-,.14,.15,-,,-,.15,-,-2.70,-,,
74.20,69.00,-,-,AKY,AMCB Fund No 5,73.00,-,-,-,72.00,337.00,f,1.05,72.92,4.62,355.00,20.6,,
1.010,.822,.95,.94,AMH,AMCIL,.945,+.5,943,.945,.95,2.50,f,1.12,.97,2.65,2.81,33.6,,
2.30,1.82,2.04,2.00,AMM,Amcom Telco,2.00,-3,11842,2.00,2.01,6.20,f,1.47,.43,3.10,9.12,21.9,,
11.55,9.147,11.30,11.07,AMC,Amcor,11.09,-12,24318,11.09,11.10,43.00,,1.09,-.05,3.88,46.80,23.7,,
.21,.155,.20,.18,AOW,American Patriot Oil,.19,+1,1136,.18,.19,-,,-,-,-,-,-,,
5.95,4.11,5.58,5.44,AMP,AMP,5.56,+6,80264,5.54,5.57,24.00,p,.95,1.35,4.32,22.70,24.5,,
.87,.63,.79,.78,AGF,AMP Capital China unt,.785,-,5618,.785,.79,1.92,,-,.84,2.45,-10.17,-,,
91.068,89.762,90.25,90.25,AYK,Aust Masters YF4,90.25,-10,3,90.25,90.60,335.00,f,1.02,90.39,3.71,341.00,26.5,,
101.84,100.50,101.17,101.17,AYD,Aust Masters YF1,101.17,-35,16,101.17,101.17,365.00,f,1.07,100.90,3.61,390.89,25.9,,
94.786,92.94,93.13,93.13,AYJ,Aust Masters YF3,93.13,+2,4,93.13,93.55,469.00,f,1.08,94.04,5.04,508.00,18.3,,
101.36,99.76,101.00,101.00,AYH,Aust Masters YF2,101.00,+27,11,101.00,-,374.00,f,1.05,100.66,3.70,394.00,25.6,,
.015,.006,.006,.006,ANQ,AnaeCo,.006,-.1,10000,.006,.007,-,,-,-,-,-.22,-,,
.051,.017,.035,.034,ALT,Analytica,.034,-.1,5721,.034,.035,-,,-,-,-,-.48,-,,
.009,.003,.004,.004,AYG,Anittel Grp,.004,-,5000,.003,.004,-,,-,-,-,-.12,-,,
21.65,17.73,19.66,19.35,ANN,Ansell,19.49,-5,3325,19.46,19.49,41.85,,.74,.39,2.15,31.10,62.7,,
.024,.008,.023,.021,ANO,Antaria,.021,-.1,9274,.02,.022,-,,-,.01,-,.01,210.0,,
.285,.053,.13,.125,ADO,Anteo Diagnostics,.125,-,12983,.125,.13,-,,-,.01,-,-.30,-,,
