Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5238.0 at 2014-10-15T16:37:36. Report at Wednesday, October 15, 2014. Processed Thursday at 2014-10-16T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.98,5.35,5.84,5.80,ONT,1300 Smiles,5.83,+3,37,5.80,5.83,14.50,f,1.45,.35,2.49,21.00,27.8,,
2.42,1.952,2.26,2.21,TIX,360 Capital Indust ord unt,2.24,-,1591,2.23,2.25,18.60,,2.42,2.21,8.30,45.00,5.0,,
1.04,.60,.92,.91,TGP,360 Capital Grp stp,.92,+.5,1819,.91,.93,5.00,,2.41,.61,5.43,12.05,7.6,,
2.09,1.92,1.95,1.93,TOF,360 Capital Office ord unt,1.94,-,1728,1.925,1.94,-,,-,-,-,-,-,,
2.60,2.13,2.38,2.35,3PL,3P Learning,2.38,+3,147,2.36,2.38,-,,-,-,-,-,-,,
.295,.21,-,-,8CO,8common,.24,-,-,.21,.235,-,,-,-,-,-,-,,
.73,.30,.40,.37,NNW,99 Wuxian cdi,.38,-2,4160,.37,.38,-,,-,.02,-,.10,380.0,,
.002,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.20,-,,
2.81,2.18,2.63,2.57,ABP,Abacus Prop stp,2.59,-1,4730,2.59,2.60,16.75,,1.33,2.38,6.47,22.27,11.6,,
1.385,1.125,1.145,1.125,ALR,Aberdeen Leaders,1.145,+2,103,1.115,1.14,6.25,f,.48,1.15,5.46,3.02,37.9,,
1.40,.835,1.245,1.235,AKG,Academies A'asia,1.235,-3.5,20,1.235,1.27,5.50,f,1.78,.05,4.45,9.80,12.6,,
.96,.84,.85,.84,ACQ,Acorn Capital Invest,.84,-,510,.83,.85,-,,-,-,-,-,-,,
.04,.017,.02,.017,ACQO,  opt oct15,.017,-.8,850,.017,.026,-,,-,-,-,-,-,,
3.03,.75,1.415,1.39,ACR,Acrux,1.40,-1.5,3178,1.395,1.40,16.00,f,1.05,.12,11.43,16.80,8.3,,
.05,.011,-,-,ACW,Actinogen,.04,-,-,.04,.042,-,,-,.01,-,-.29,-,,
.001,.001,-,-,ACWOA,  opt sep15,.001,-,-,.001,-,-,,-,-,-,-,-,,
.001,.001,-,-,ACU,Acuvax,.001,-,-,-,.001,-,,-,-,-,-.04,-,,
.57,.215,-,-,ADA,Adacel Tech,.27,-,-,.27,.28,-,,-,.09,-,-2.90,-,,
.095,.04,-,-,AAU,Adcorp Aust,.041,-,-,.041,.069,-,,-,-.02,-,-4.30,-,,
4.375,3.13,3.23,3.17,ABC,Adelaide Brighton,3.21,+2,10129,3.21,3.23,16.50,f,1.34,1.33,5.14,22.10,14.5,,
.02,.004,-,-,ADQ,ADG Global Supply,.007,-,-,.008,.009,-,,-,.01,-,-6.10,-,,
.185,.095,.14,.13,AHZ,ADMEDUS,.13,-.5,7607,.13,.135,-,,-,.02,-,-.55,-,,
.17,.062,.12,.115,ADJ,Adslot,.115,-,1777,.115,.12,-,,-,-,-,-1.20,-,,
.017,.005,.007,.007,ABV,Adv Braking Tech,.007,-,8500,.006,.007,-,,-,-,-,-.67,-,,
.003,.002,.002,.002,ABVO,  opt aug16,.002,-,5000,.001,.003,-,,-,-,-,-,-,,
.06,.044,-,-,AMT,Adv Surg Dsgn & Mnft,.055,-,-,-,.05,-,,-,.09,-,-.15,-,,
.72,.60,-,-,ASW,Advanced Share Reg,.635,-,-,.595,.64,3.70,f,.99,.14,5.83,3.68,17.3,,
.20,.08,-,-,AEI,Aeris Environmental,.17,-,-,.15,.175,-,,-,-.02,-,-.91,-,,
1.446,.911,1.30,1.22,AFJ,Affinity Education,1.30,+2,1831,1.30,1.31,-,,-,.18,-,-4.39,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.063,.03,-,-,AHA,AG Financial,.06,-,-,.055,.06,-,,-,-,-,-.60,-,,
.042,.01,-,-,AGX,Agenix,.014,-,-,.011,.013,-,,-,-,-,.65,2.2,,
.005,.001,-,-,AGXO,  opt jun15,.001,-,-,.001,.012,-,,-,-,-,-,-,,
15.590,13.32,13.75,13.64,AGK,AGL Energy,13.73,+3,11839,13.73,13.75,63.00,f,1.62,7.75,4.59,102.20,13.4,,
.11,.073,-,-,AGJ,Agricultural Land unt,.083,-,-,.083,.086,.52,,-,.06,6.27,-2.67,-,,
.13,.070,-,-,APW,AIMS Prop Sec Fund unt,.115,-,-,.115,.12,.20,,25.90,.17,1.74,5.18,2.2,,
4.79,2.83,2.93,2.83,AGI,Ainsworth Game Tech,2.83,-3,7170,2.83,2.84,10.00,,1.90,.65,3.53,19.00,14.9,,
2.05,1.257,1.65,1.62,AIZ,Air New Zealand,1.65,+5,62,1.61,1.65,9.15,,2.42,1.50,5.55,22.12,7.5,,
1.34,.60,.69,.665,AJL,AJ Lucas Grp,.67,-.5,1361,.665,.69,-,,-,.40,-,-34.60,-,,
.68,.46,.655,.64,ACL,Alchemia,.65,-.5,5355,.64,.65,-,,-,.04,-,-2.10,-,,
19.50,7.873,-,-,AAI,Alcoa Inc cdi,17.50,-,-,16.00,21.50,9.85,,-,-,.56,-246.13,-,,
3.38,2.60,3.26,3.21,LEP,ALE Prop Grp stp,3.24,+2,2498,3.24,3.26,16.45,,1.16,1.93,5.08,19.03,17.0,,
.19,.082,.165,.16,AJX,Alexium Int'l,.16,-.5,6740,.155,.165,-,,-,-,-,-1.99,-,,
.245,.06,.07,.068,AEB,Algae.Tec,.07,-,4572,.07,.072,-,,-,.01,-,-1.00,-,,
1.78,1.06,1.25,1.25,AQZ,Alliance Aviation,1.25,-,157,1.20,1.29,5.70,f,1.71,1.36,4.56,9.72,12.9,,
10.44,5.01,5.43,5.22,ALQ,ALS,5.41,+11,22992,5.39,5.41,39.00,p,1.04,.02,7.21,40.74,13.3,,
.145,.045,.145,.145,AIQ,Alternative Invest unt,.145,-,3634,.145,.15,-,,-,.16,-,.04,362.5,,
3.14,2.07,2.90,2.83,ALU,Altium,2.85,+1,1634,2.85,2.86,12.00,,.91,.07,4.21,10.89,26.2,,
