Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5765.5 at 2015-02-05T16:38:06. Report at Thursday, February 5, 2015. Processed Friday at 2015-02-06T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
6.97,5.35,6.00,6.00,ONT,1300 Smiles,6.00,-10,2,6.00,6.10,14.50,f,1.45,.35,2.42,21.00,28.6,,
2.79,1.991,2.75,2.66,TIX,360 Capital Indust ord unt,2.70,+3,2180,2.67,2.70,18.75,,2.60,2.19,6.94,48.68,5.5,,
1.09,.66,1.09,1.06,TGP,360 Capital Grp stp,1.08,-1,10449,1.075,1.08,5.06,,2.38,.61,4.69,12.05,9.0,,
2.20,1.92,2.20,2.14,TOF,360 Capital Office ord unt,2.16,+2,13191,2.16,2.20,-,,-,-,-,-,-,,
2.60,1.94,2.36,2.27,3PL,3P Learning,2.36,+2,536,2.37,2.46,-,,-,-,-,-,-,,
.295,.20,-,-,8CO,8common,.20,-,-,.15,.20,-,,-,-,-,-,-,,
.43,.25,.405,.40,8IH,8I Hldgs cdi,.40,-,1555,.39,.40,-,,-,-,-,-,-,,
.73,.30,.385,.365,NNW,99 Wuxian cdi,.375,-1,2151,.37,.375,-,,-,.02,-,.10,375.0,,
.002,.001,.001,.001,AYI,A1 Invest & Res,.001,-,10000,-,.001,-,,-,-,-,-.20,-,,
3.29,2.20,3.29,3.17,ABP,Abacus Prop stp,3.29,+10,6982,3.28,3.29,17.00,,1.31,2.38,5.17,22.27,14.8,,
1.36,1.04,1.175,1.16,ALR,Aberdeen Leaders,1.175,+1.5,194,1.175,1.195,7.25,f,.42,1.18,6.17,3.02,38.9,,
1.40,.835,1.19,1.17,AKG,Academies A'asia,1.17,-3,22,1.17,1.20,5.50,f,1.78,.05,4.70,9.80,11.9,,
1.99,1.65,1.97,1.95,ACX,Aconex,1.97,-2,190,1.95,1.97,-,,-,-,-,-,-,,
.96,.715,.74,.72,ACQ,Acorn Capital Invest,.73,+1,606,.725,.73,-,,-,-,-,-,-,,
.04,.002,.002,.002,ACQO,  opt oct15,.002,-,1000,.002,.009,-,,-,-,-,-,-,,
2.20,.75,1.475,1.43,ACR,Acrux,1.435,-3.5,5769,1.435,1.44,8.00,f,2.10,.12,5.57,16.80,8.5,,
.079,.011,.052,.05,ACW,Actinogen,.05,-.2,6899,.05,.053,-,,-,.01,-,-.29,-,,
.005,.001,-,-,ACWOA,  opt sep15,.005,-,-,-,.006,-,,-,-,-,-,-,,
.001,.001,-,-,ACU,Acuvax,.001,-,-,-,.001,-,,-,-,-,-.04,-,,
.45,.20,.29,.29,ADA,Adacel Tech,.29,+2,25,.29,.295,-,,-,.09,-,-2.90,-,,
.095,.04,-,-,AAU,Adcorp Aust,.051,-,-,.051,.065,-,,-,-.02,-,-4.30,-,,
4.375,3.12,3.85,3.78,ABC,Adelaide Brighton,3.85,+3,16378,3.83,3.85,16.50,f,1.34,1.33,4.29,22.10,17.4,,
.185,.094,.11,.105,AHZ,ADMEDUS,.11,-.5,12963,.105,.11,-,,-,.02,-,-.55,-,,
.17,.062,.11,.105,ADJ,Adslot,.11,+.5,3400,.105,.11,-,,-,-,-,-1.20,-,,
.014,.005,.008,.007,ABV,Adv Braking Tech,.008,+.1,8944,.007,.008,-,,-,-,-,-.67,-,,
.003,.002,-,-,ABVO,  opt aug16,.003,-,-,.002,.003,-,,-,-,-,-,-,,
.70,.595,-,-,ASW,Advanced Share Reg,.665,-,-,.61,.645,3.85,f,.96,.14,5.79,3.68,18.1,,
.32,.08,.32,.30,AEI,Aeris Environmental,.32,+2,720,.315,.32,-,,-,-.02,-,-.91,-,,
1.45,1.07,1.43,1.405,AFJ,Affinity Education,1.42,+.5,10855,1.42,1.45,-,,-,.18,-,-4.39,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.063,.017,.018,.018,AHA,AG Financial,.018,-.7,6150,.01,.018,-,,-,-,-,-.60,-,,
.028,.01,-,-,AGX,Agenix,.014,-,-,.011,.014,-,,-,-,-,.65,2.2,,
.005,.001,-,-,AGXO,  opt jun15,.001,-,-,.001,.012,-,,-,-,-,-,-,,
15.590,12.55,14.64,14.27,AGL,AGL Energy,14.51,-13,12291,14.51,14.55,63.00,f,1.62,7.75,4.34,102.20,14.2,,
.105,.075,-,-,AGJ,Agricultural Land unt,.086,-,-,.086,.105,.52,,-,.06,6.05,-2.67,-,,
.13,.072,.125,.125,APW,AIMS Prop Sec Fund unt,.125,-,60,.125,.13,.20,,25.90,.17,1.60,5.18,2.4,,
4.65,2.03,2.93,2.82,AGI,Ainsworth Game Tech,2.92,+5,3817,2.91,2.92,10.00,,1.90,.65,3.42,19.00,15.4,,
2.58,1.484,2.47,2.46,AIZ,Air New Zealand,2.46,+6,28,2.46,2.47,9.15,,2.42,1.50,3.72,22.12,11.1,,
1.20,.35,.39,.36,AJL,AJ Lucas Grp,.36,-3,1614,.36,.395,-,,-,.40,-,-34.60,-,,
.68,.067,.072,.07,ACL,Alchemia,.071,+.1,4855,.07,.071,-,,-,.04,-,-2.10,-,,
22.95,12.70,-,-,AAI,Alcoa Inc cdi,22.40,-,-,21.00,25.00,9.50,,-,-,.42,-246.13,-,,
3.47,2.82,3.45,3.35,LEP,ALE Prop Grp stp,3.45,+5,36437,3.40,3.45,16.45,,1.16,1.93,4.77,19.03,18.1,,
.80,.082,.68,.615,AJX,Alexium Int'l,.66,+2,17888,.66,.665,-,,-,-,-,-1.99,-,,
.16,.06,.069,.069,AEB,Algae.Tec,.069,-,50,.07,.075,-,,-,.01,-,-1.00,-,,
