Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5851.5 at 2015-04-17T16:39:37. Report at Friday, April 17, 2015. Processed Saturday at 2015-04-18T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.00,5.62,6.45,6.40,ONT,1300 Smiles,6.45,+5,19,6.45,6.48,17.00,f,1.45,.38,2.64,24.60,26.2,,
2.79,2.141,2.63,2.58,TIX,360 Capital Indust ord unt,2.61,-1,1467,2.58,2.61,19.58,,2.49,2.19,7.50,48.68,5.4,,
1.41,.74,1.27,1.26,TGP,360 Capital Grp stp,1.26,-1,174,1.23,1.26,5.29,,2.85,-,4.20,15.09,8.3,,
2.24,1.92,2.14,2.10,TOF,360 Capital Office ord unt,2.11,-2,592,2.11,2.14,12.75,,.37,2.10,6.04,4.70,44.9,,
.195,.001,.105,.099,3DM,3D Medical,.10,-.5,8851,.10,.105,-,,-,.01,-,-.24,-,,
2.68,1.94,2.40,2.39,3PL,3P Learning,2.39,-,58,2.39,2.40,-,,-,.10,-,-2.29,-,,
.295,.17,-,-,8CO,8common,.19,-,-,.16,.19,-,,-,-,-,-.61,-,,
.86,.25,.86,.765,8IH,8I Hldgs cdi,.81,+4.5,1451,.81,.83,-,,-,-,-,-,-,,
.73,.15,.19,.175,NNW,99 Wuxian cdi,.175,+.5,3222,.175,.19,-,,-,.04,-,.13,134.6,,
.002,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,.04,2.5,,
3.337,2.371,2.96,2.87,ABP,Abacus Prop stp,2.87,-7,5739,2.87,2.88,17.00,,1.43,2.42,5.92,24.24,11.8,,
1.295,1.04,1.22,1.215,ALR,Aberdeen Leaders,1.215,-,393,1.215,1.225,6.50,f,.44,1.34,5.35,2.86,42.5,,
1.40,.645,.77,.77,AKG,Academies A'asia,.77,+2,10,.75,.79,4.50,f,1.38,-.01,5.84,6.20,12.4,,
2.10,1.65,2.10,2.06,ACX,Aconex,2.10,+4,1767,2.08,2.13,-,,-,-,-,27.00,7.8,,
.96,.715,.78,.765,ACQ,Acorn Capital Invest,.765,-,152,.765,.78,-,,-,.91,-,-8.05,-,,
.04,.001,.002,.002,ACQO,  opt oct15,.002,-.1,150,.002,.003,-,,-,-,-,-,-,,
2.10,.75,.865,.815,ACR,Acrux,.865,+5,7272,.845,.865,8.00,f,.75,.09,9.25,6.01,14.4,,
.125,.011,.11,.105,ACW,Actinogen,.105,-.5,8060,.105,.11,-,,-,.01,-,-.58,-,,
.006,.001,-,-,ACWOA,  opt sep15,.001,-,-,.001,.003,-,,-,-,-,-,-,,
.43,.20,.40,.40,ADA,Adacel Tech,.40,-,295,.40,.475,.75,,-,.12,1.88,-2.60,-,,
.09,.04,-,-,AAU,Adcorp Aust,.047,-,-,.047,.05,-,,-,-.03,-,-1.78,-,,
4.71,3.12,4.61,4.52,ABC,Adelaide Brighton,4.55,-3,14560,4.55,4.56,17.00,f,1.58,1.35,3.74,26.90,16.9,,
.167,.071,.084,.078,AHZ,ADMEDUS,.08,-.3,56102,.08,.081,-,,-,.01,-,-1.22,-,,
.17,.075,.09,.088,ADJ,Adslot,.09,+.2,1639,.088,.09,-,,-,.69,-,-1.04,-,,
.01,.005,-,-,ABV,Adv Braking Tech,.007,-,-,.006,.007,-,,-,-,-,-.64,-,,
.003,.002,-,-,ABVO,  opt aug16,.003,-,-,-,.003,-,,-,-,-,-,-,,
.68,.595,-,-,ASW,Advanced Share Reg,.62,-,-,.62,.635,3.85,f,.96,.15,6.21,3.69,16.8,,
.25,.19,.205,.205,AER,Aeeris,.205,-.5,112,.20,.205,-,,-,-,-,-,-,,
.60,.086,.465,.45,AEI,Aeris Environmental,.45,-.5,1629,.45,.485,-,,-,.01,-,-1.36,-,,
1.480,1.035,1.13,1.062,AFJ,Affinity Education,1.11,+6,27207,1.11,1.13,-,,-,-.15,-,-2.90,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.063,.006,-,-,AHA,AG Financial,.01,-,-,.008,.01,-,,-,-,-,-.03,-,,
