Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5591.5 at 2015-06-19T16:40:06. Report at Friday, June 19, 2015. Processed Saturday at 2015-06-20T01:00:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.00,5.70,6.50,6.50,ONT,1300 Smiles,6.50,+10,18,6.41,6.50,17.00,f,1.45,.38,2.62,24.60,26.4,,
.22,.145,.165,.16,1ST,1ST Available,.16,-,575,.15,.155,-,,-,-,-,-,-,,
2.79,2.17,2.51,2.47,TIX,360 Capital Indust ord unt,2.51,+4,770,2.50,2.51,21.00,,2.32,2.19,8.37,48.68,5.2,,
1.41,.765,1.15,1.05,TGP,360 Capital Grp stp,1.05,-4.5,1373,1.02,1.12,5.52,,2.73,-,5.26,15.09,7.0,,
2.24,1.925,2.12,2.09,TOF,360 Capital Office ord unt,2.10,-2,850,2.08,2.11,17.00,,.28,2.10,8.10,4.70,44.7,,
1.35,1.16,1.19,1.19,TOT,360 Capital Total Re stp,1.19,-,96,1.19,1.20,-,,-,-,-,-,-,,
.195,.004,.093,.09,3DM,3D Medical,.09,-,5845,.09,.092,-,,-,.01,-,-.24,-,,
2.85,1.94,2.39,2.28,3PL,3P Learning,2.35,-3,6308,2.30,2.45,-,,-,.10,-,-2.29,-,,
.295,.145,-,-,8CO,8common,.185,-,-,.18,.245,-,,-,-,-,-.61,-,,
1.13,.25,.88,.86,8IH,8I Hldgs cdi,.88,+4,123,.86,.88,-,,-,-,-,-,-,,
.73,.15,.16,.16,NNW,99 Wuxian cdi,.16,-.5,200,.16,.165,-,,-,.04,-,.13,123.1,,
.002,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,.04,2.5,,
3.337,2.44,3.04,2.90,ABP,Abacus Prop stp,3.04,+12,16692,3.03,3.04,17.00,,1.43,2.42,5.59,24.24,12.5,,
1.275,1.04,1.14,1.12,ALR,Aberdeen Leaders,1.14,+3,176,1.13,1.14,7.00,f,.41,1.31,6.14,2.86,39.9,,
1.40,.645,.74,.74,AKG,Academies A'asia,.74,-1,186,.70,.76,4.50,f,1.38,-.01,6.08,6.20,11.9,,
3.40,1.65,3.16,3.06,ACX,Aconex,3.11,-4,435,3.06,3.11,-,,-,-,-,27.00,11.5,,
.94,.71,-,-,ACQ,Acorn Capital Invest,.72,-,-,.715,.73,-,,-,.92,-,-8.05,-,,
.037,.001,.001,.001,ACQO,  opt oct15,.001,-,150,.001,.002,-,,-,-,-,-,-,,
2.10,.755,.865,.82,ACR,Acrux,.82,-4,8795,.82,.84,8.00,f,.75,.09,9.76,6.01,13.6,,
.15,.011,.079,.078,ACW,Actinogen,.079,+.3,2220,.078,.079,-,,-,.01,-,-.58,-,,
.006,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,.001,-,,-,-,-,-,-,,
.215,.001,.15,.145,ACU,Acuvax,.15,+1,4575,.15,.155,-,,-,-,-,-.04,-,,
.62,.20,.60,.585,ADA,Adacel Tech,.60,+1,330,.59,.625,.75,,-,.12,1.25,-2.60,-,,
2.80,2.57,2.80,2.72,ADH,Adairs,2.79,+9,18623,2.74,2.80,-,,-,-,-,-,-,,
.064,.035,.036,.036,AAU,Adcorp Aust,.036,-.1,46,.036,.057,-,,-,-.03,-,-1.78,-,,
4.80,3.12,4.61,4.53,ABC,Adelaide Brighton,4.53,+3,23008,4.53,4.57,17.00,f,1.58,1.35,3.75,26.90,16.8,,
.167,.057,.07,.068,AHZ,ADMEDUS,.068,-,36928,.068,.069,-,,-,.01,-,-1.22,-,,
.17,.077,.099,.096,ADJ,Adslot,.096,-,14122,.096,.10,-,,-,.69,-,-1.04,-,,
.009,.005,-,-,ABV,Adv Braking Tech,.007,-,-,.006,.007,-,,-,-,-,-.64,-,,
.003,.002,-,-,ABVO,  opt aug16,.002,-,-,.002,.003,-,,-,-,-,-,-,,
.71,.595,.67,.67,ASW,Advanced Share Reg,.67,-,80,.67,.69,3.85,f,.96,.15,5.75,3.69,18.2,,
.25,.18,.205,.205,AER,Aeeris,.205,+2.5,300,.16,.205,-,,-,-,-,-,-,,
.60,.087,.48,.47,AEI,Aeris Environmental,.47,-2,427,.47,.49,-,,-,.01,-,-1.36,-,,
1.480,.825,.87,.825,AFJ,Affinity Education,.855,+.5,11631,.85,.87,-,,-,-.15,-,-2.90,-,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.063,.006,-,-,AHA,AG Financial,.009,-,-,.006,.015,-,,-,-,-,-.03,-,,
.022,.01,.013,.013,AGX,Agenix,.013,+.1,4174,.013,.015,-,,-,.01,-,.79,1.6,,
.001,.001,-,-,AGXO,  opt jun15,.001,-,-,-,.001,-,,-,-,-,-,-,,
16.66,12.55,16.40,16.08,AGL,AGL Energy,16.27,+15,16886,16.27,16.29,63.00,f,1.65,8.49,3.87,103.90,15.7,,
.105,.076,-,-,AGJ,Agricultural Land unt,.10,-,-,.09,.10,.52,,3.38,.11,5.20,1.76,5.7,,
.15,.105,.135,.135,APW,AIMS Prop Sec Fund unt,.135,-,1604,.135,.14,.32,,18.19,-,2.37,5.82,2.3,,
3.98,2.03,2.705,2.63,AGI,Ainsworth Game Tech,2.63,+1,10613,2.63,2.64,10.00,f,1.90,.71,3.80,19.00,13.8,,
2.90,1.595,2.25,2.17,AIZ,Air New Zealand,2.22,+10,1332,2.21,2.23,11.15,,1.95,1.45,5.02,21.72,10.2,,
.94,.215,.535,.52,AJL,AJ Lucas Grp,.52,-2,160,.49,.54,-,,-,.38,-,-9.60,-,,
.68,.035,.035,.035,ACL,Alchemia,.035,-,4089,.035,.036,-,,-,.04,-,-5.30,-,,
26.86,15.55,-,-,AAI,Alcoa Inc cdi,20.90,-,-,5.00,18.90,9.90,,-,-,.47,-246.13,-,,
3.94,2.90,3.80,3.70,LEP,ALE Prop Grp stp,3.80,+2,2604,3.74,3.80,16.85,,.95,1.96,4.43,15.98,23.8,,
.835,.082,.67,.65,AJX,Alexium Int'l,.67,+3,12861,.67,.675,-,,-,-.01,-,-2.25,-,,
.105,.04,.056,.055,AEB,Algae.Tec,.056,+.1,3240,.056,.06,-,,-,.01,-,-.80,-,,
.325,.05,-,-,AMT,Allegra Orthopaedics,.265,-,-,.125,.27,-,,-,.07,-,-.45,-,,
1.455,.36,.40,.40,AQZ,Alliance Aviation,.40,-1,25,.40,.42,5.70,f,-,-,14.25,-20.80,-,,
9.30,4.33,6.19,5.97,ALQ,ALS,6.19,+21,31011,6.17,6.19,21.00,p,-,.05,3.39,-43.37,-,,
.125,.093,-,-,AIQ,Alternative Invest unt,.12,-,-,.115,.125,-,,-,.14,-,.58,20.7,,
5.31,2.27,4.76,4.55,ALU,Altium,4.70,+10,8809,4.69,4.70,16.00,,.89,.41,3.40,14.27,32.9,,
.66,.27,.66,.64,AMA,AMA Grp,.65,+1,7918,.64,.65,1.60,f,1.40,-,2.46,2.24,29.0,,
13.37,8.83,12.85,12.57,AHD,Amalgamated Hldgs,12.60,+1,1265,12.60,12.72,43.00,f,1.23,5.23,3.41,52.80,23.9,,
.20,.11,-,-,AMO,Ambertech,.135,-,-,.135,.17,-,,-,.32,-,-4.29,-,,
.16,.10,.15,.14,AMB,Ambition Grp,.15,-,877,.145,.15,-,,-,.17,-,-.27,-,,
24.959,18.258,-,-,AKY,AMCB Fund No 5,19.15,-,-,-,19.15,233.00,,1.36,19.58,12.17,316.00,6.1,,
1.010,.83,.92,.90,AMH,AMCIL,.90,-2,754,.90,.92,2.50,f,.93,.96,2.78,2.33,38.6,,
2.99,1.84,2.60,2.53,AMM,Amcom Telco,2.60,+6,3632,2.58,2.60,9.00,f,.90,.40,3.46,8.11,32.1,,
14.78,9.88,14.44,14.10,AMC,Amcor,14.30,-1,40357,14.29,14.31,47.90,,1.38,-.06,3.35,66.03,21.7,,
.21,.11,-,-,AOW,American Patriot Oil,.175,-,-,.155,.17,-,,-,-,-,-1.23,-,,
.06,.02,-,-,AOWO,  opt oct16,.021,-,-,.023,-,-,,-,-,-,-,-,,
6.83,5.02,6.21,6.12,AMP,AMP,6.14,+8,85802,6.14,6.15,26.00,p,1.17,1.42,4.23,30.30,20.3,,
1.875,.65,1.63,1.595,AGF,AMP Capital China unt,1.61,-4,20311,1.61,1.615,2.92,,16.72,2.21,1.81,48.82,3.3,,
90.91,84.64,-,-,AYK,Aust Masters YF4,85.32,-,-,85.33,-,312.00,f,1.03,84.76,3.66,320.84,26.6,,
79.918,61.62,-,-,AYD,Aust Masters YF1,61.77,-,-,61.79,-,395.00,f,1.14,61.42,6.39,449.89,13.7,,
76.347,73.563,-,-,AYJ,Aust Masters YF3,74.83,-,-,74.84,-,480.00,f,1.01,74.08,6.41,485.00,15.4,,
90.726,79.745,-,-,AYH,Aust Masters YF2,80.56,-,-,80.70,-,382.00,f,1.10,80.00,4.74,420.00,19.2,,
.008,.003,.004,.003,ANQ,AnaeCo,.004,-,192357,.003,.004,-,,-,-,-,-.20,-,,
.049,.01,.011,.01,ALT,Analytica,.011,-,17687,.01,.011,-,,-,-,-,-.46,-,,
