Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5460.4 at 2015-07-13T16:39:37. Report at Monday, July 13, 2015. Processed Tuesday at 2015-07-14T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.20,5.70,7.04,6.72,ONT,1300 Smiles,7.04,-,9,6.73,7.04,17.00,f,1.45,.38,2.41,24.60,28.6,,
.22,.13,.14,.14,1ST,1ST Available,.14,-,1200,.14,.15,-,,-,-,-,-,-,,
2.79,2.17,2.48,2.46,TIX,360 Capital Indust ord unt,2.46,-1,594,2.46,2.50,21.00,,2.32,2.19,8.54,48.68,5.1,,
1.41,.795,1.045,1.02,TGP,360 Capital Grp stp,1.045,+1,4584,1.04,1.045,5.52,,2.73,-,5.28,15.09,6.9,,
2.24,1.925,2.08,2.07,TOF,360 Capital Office ord unt,2.07,-,774,2.06,2.07,17.00,,.28,2.10,8.21,4.70,44.0,,
1.35,1.13,1.14,1.14,TOT,360 Capital Total Re stp,1.14,-5,10,1.14,1.18,-,,-,-,-,-10.50,-,,
.195,.004,.11,.105,3DM,3D Medical,.11,+.5,1705,.105,.11,-,,-,.01,-,-.24,-,,
2.85,1.94,2.14,2.10,3PL,3P Learning,2.14,-1,218,2.10,2.30,-,,-,.10,-,-2.29,-,,
.295,.145,-,-,8CO,8common,.24,-,-,.23,.245,-,,-,-,-,-.61,-,,
1.13,.25,.88,.88,8IH,8I Hldgs cdi,.88,-,241,.86,.87,-,,-,-,-,-,-,,
.68,.15,.185,.185,NNW,99 Wuxian cdi,.185,+1,510,.175,.185,-,,-,.04,-,.13,142.3,,
.002,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,.04,2.5,,
