Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5504.9 at 2015-08-10T16:36:06. Report at Monday, August 10, 2015. Processed Tuesday at 2015-08-11T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.20,5.70,6.95,6.80,ONT,1300 Smiles,6.80,-5,56,6.80,6.90,17.00,f,1.45,.38,2.50,24.60,27.6,,
.22,.11,.16,.15,1ST,1ST Available,.16,+.5,2412,.155,.16,-,,-,-,-,-,-,,
2.79,2.17,2.59,2.52,TIX,360 Capital Indust ord unt,2.53,-2,1955,2.53,2.55,21.00,,2.32,2.19,8.30,48.68,5.2,,
1.41,.835,1.06,1.02,TGP,360 Capital Grp stp,1.05,-.5,817,1.04,1.06,5.75,,2.62,-,5.48,15.09,7.0,,
2.24,1.925,2.09,2.07,TOF,360 Capital Office ord unt,2.08,-,1258,2.08,2.09,17.00,,.28,2.10,8.17,4.70,44.3,,
1.35,1.10,1.125,1.10,TOT,360 Capital Total Re stp,1.125,+.5,231,1.115,1.125,2.81,,-,-,2.50,-10.50,-,,
.195,.004,.092,.091,3DM,3D Medical,.092,-,1850,.091,.092,-,,-,.01,-,-.24,-,,
2.85,1.94,2.19,2.15,3PL,3P Learning,2.15,-1,265,2.15,2.19,-,,-,.10,-,-2.29,-,,
.295,.145,.23,.23,8CO,8common,.23,-,600,.23,.24,-,,-,-,-,-.61,-,,
1.13,.25,-,-,8IH,8I Hldgs cdi,.89,-,-,.80,.90,-,,-,-,-,-,-,,
.565,.15,.19,.19,NNW,99 Wuxian cdi,.19,-1.5,577,.19,.20,-,,-,.04,-,.13,146.2,,
.001,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,.04,2.5,,
3.337,2.48,3.115,3.03,ABP,Abacus Prop stp,3.11,+2,4833,3.10,3.11,17.00,,1.43,2.42,5.47,24.24,12.8,,
1.25,1.04,-,-,ALR,Aberdeen Leaders,1.11,-,-,1.11,1.13,7.00,f,.41,1.19,6.31,2.86,38.8,,
1.39,.52,.535,.52,AKG,Academies A'asia,.52,-2.5,161,.40,.515,4.50,f,1.38,-.01,8.65,6.20,8.4,,
4.50,1.65,4.14,3.90,ACX,Aconex,4.12,-11,6666,4.12,4.13,-,,-,-,-,27.00,15.3,,
.93,.69,.75,.75,ACQ,Acorn Capital Invest,.75,-,100,.75,.76,-,,-,.92,-,-8.05,-,,
.032,.001,.001,.001,ACQO,  opt oct15,.001,-,500,.001,.002,-,,-,-,-,-,-,,
2.10,.625,.67,.625,ACR,Acrux,.65,-1.5,7166,.64,.66,8.00,f,.75,.09,12.31,6.01,10.8,,
.15,.018,.062,.062,ACW,Actinogen,.062,-,100,.058,.06,-,,-,.01,-,-.58,-,,
.006,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,.001,-,,-,-,-,-,-,,
.215,.001,.092,.092,ACU,Acuvax,.092,+.2,250,.087,.092,-,,-,-,-,-.04,-,,
1.07,.20,.97,.95,ADA,Adacel Tech,.97,-,234,.92,.97,.75,,-,.12,.77,-2.60,-,,
2.92,2.57,2.90,2.80,ADH,Adairs,2.84,-5,275,2.82,2.84,-,,-,-,-,-,-,,
.062,.035,-,-,AAU,Adcorp Aust,.041,-,-,.04,.043,-,,-,-.03,-,-1.78,-,,
5.005,3.12,4.73,4.64,ABC,Adelaide Brighton,4.69,-,9453,4.69,4.70,17.00,f,1.58,1.35,3.62,26.90,17.4,,
.167,.057,.084,.081,AHZ,ADMEDUS,.082,-.2,26091,.081,.083,-,,-,.01,-,-1.22,-,,
.17,.077,.09,.089,ADJ,Adslot,.089,-,4729,.089,.09,-,,-,.69,-,-1.04,-,,
.009,.005,-,-,ABV,Adv Braking Tech,.006,-,-,.006,.007,-,,-,-,-,-.64,-,,
.003,.002,-,-,ABVO,  opt aug16,.002,-,-,.002,.003,-,,-,-,-,-,-,,
.725,.595,.71,.71,ASW,Advanced Share Reg,.71,-,43,.675,.71,3.85,f,.96,.15,5.42,3.69,19.2,,
.25,.15,.15,.15,AER,Aeeris,.15,-,100,.15,.195,-,,-,-,-,-,-,,
.60,.11,.50,.47,AEI,Aeris Environmental,.50,+7.5,330,.46,.50,-,,-,.01,-,-1.36,-,,
1.480,.49,.825,.82,AFJ,Affinity Education,.82,-,13811,.82,.825,-,,-,-.15,-,-2.90,-,,
.001,.001,.001,.001,AFT,AFT Corp,.001,-,10000,-,.001,-,,-,-,-,-.02,-,,
.063,.006,-,-,AHA,AG Financial,.008,-,-,.007,.01,-,,-,-,-,-.03,-,,
.022,.01,.013,.013,AGX,Agenix,.013,+.1,-,.013,.015,-,,-,.01,-,.79,1.6,,
16.81,12.55,16.74,16.26,AGL,AGL Energy,16.69,+34,17263,16.67,16.69,63.00,f,1.65,8.49,3.77,103.90,16.1,,
.10,.076,-,-,AGJ,Agricultural Land unt,.09,-,-,.082,.10,.52,,3.38,.11,5.78,1.76,5.1,,
.49,.015,.435,.435,AHL,Ahalife Hldgs,.435,-.5,4,.41,.43,-,,-,-,-,-.22,-,,
.15,.11,.13,.13,APW,AIMS Prop Sec Fund unt,.13,-,2029,.13,.135,.32,,18.19,-,2.46,5.82,2.2,,
3.79,2.03,2.93,2.84,AGI,Ainsworth Game Tech,2.89,+4,2335,2.89,2.90,10.00,f,1.90,.71,3.46,19.00,15.2,,
2.90,1.595,2.40,2.38,AIZ,Air New Zealand,2.40,+2,69,2.38,2.40,11.15,,1.95,1.45,4.65,21.72,11.0,,
.80,.48,.80,.77,AXP,"Airxpanders, cdi",.77,-2,109,.77,.78,-,,-,-,-,-,-,,
.875,.215,.345,.30,AJL,AJ Lucas Grp,.345,+8,335,.345,.35,-,,-,.38,-,-9.60,-,,
