Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5309.4 at 2015-08-18T16:37:37. Report at Tuesday, August 18, 2015. Processed Wednesday at 2015-08-19T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.20,5.72,7.09,6.86,ONT,1300 Smiles,7.09,+37,1897,7.05,7.06,17.00,f,1.45,.38,2.40,24.60,28.8,,
.22,.11,.13,.12,1ST,1ST Available,.12,-1,3995,.12,.135,-,,-,-,-,-,-,,
2.79,2.17,2.53,2.51,TIX,360 Capital Indust ord unt,2.52,+1,1327,2.51,2.54,21.00,,2.32,2.19,8.33,48.68,5.2,,
1.41,.865,1.015,.97,TGP,360 Capital Grp stp,1.015,-,638,.96,1.015,5.75,,2.62,-,5.67,15.09,6.7,,
2.24,1.925,2.08,2.05,TOF,360 Capital Office ord unt,2.05,-,2552,2.05,2.06,17.00,,.28,2.10,8.29,4.70,43.6,,
1.35,1.10,1.11,1.11,TOT,360 Capital Total Re stp,1.11,-,320,1.11,1.12,2.81,,-,-,2.53,-10.50,-,,
.195,.004,.083,.079,3DM,3D Medical,.079,-.4,3441,.079,.08,-,,-,.01,-,-.24,-,,
2.85,1.865,1.94,1.865,3PL,3P Learning,1.93,-2,1679,1.885,1.93,-,,-,.10,-,-2.29,-,,
.295,.145,-,-,8CO,8common,.225,-,-,.225,.23,-,,-,-,-,-.61,-,,
1.13,.25,.83,.83,8IH,8I Hldgs cdi,.83,-3.5,80,.83,.86,-,,-,-,-,-,-,,
.56,.15,.21,.205,NNW,99 Wuxian cdi,.205,+.5,312,.205,.215,-,,-,.04,-,.13,157.7,,
.001,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,.04,2.5,,
3.337,2.48,3.04,2.955,ABP,Abacus Prop stp,2.98,-3,4089,2.97,2.98,17.00,,1.43,2.42,5.70,24.24,12.3,,
1.25,1.04,1.115,1.105,ALR,Aberdeen Leaders,1.105,-1,225,1.11,1.12,7.00,f,.48,1.27,6.33,3.33,33.2,,
1.39,.44,.48,.48,AKG,Academies A'asia,.48,+3.5,280,.48,.495,4.50,f,1.38,-.01,9.38,6.20,7.7,,
4.50,1.65,4.20,4.12,ACX,Aconex,4.14,-1,672,4.10,4.14,-,,-,-,-,27.00,15.3,,
.93,.69,.735,.735,ACQ,Acorn Capital Invest,.735,-,200,.735,.76,-,,-,.91,-,-8.05,-,,
.032,.001,-,-,ACQO,  opt oct15,.001,-,-,-,.001,-,,-,-,-,-,-,,
2.10,.625,.675,.635,ACR,Acrux,.66,-5,6706,.66,.67,6.00,f,1.12,.12,9.09,6.70,9.9,,
.15,.018,.072,.068,ACW,Actinogen,.07,+.2,20097,.068,.07,-,,-,.01,-,-.58,-,,
.006,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,.001,-,,-,-,-,-,-,,
.215,.001,.093,.088,ACU,Acuvax,.092,+.1,9527,.086,.096,-,,-,-,-,-.04,-,,
1.07,.20,1.04,1.01,ADA,Adacel Tech,1.01,-3,115,1.00,1.01,.75,,-,.12,.74,-2.60,-,,
2.93,2.57,2.93,2.87,ADH,Adairs,2.93,+1,4696,2.87,2.93,-,,-,-,-,-,-,,
.062,.035,-,-,AAU,Adcorp Aust,.04,-,-,.04,.043,-,,-,-.03,-,-1.78,-,,
5.005,3.12,4.68,4.56,ABC,Adelaide Brighton,4.59,-,16531,4.58,4.59,17.00,f,1.58,1.35,3.70,26.90,17.1,,
.162,.057,.078,.076,AHZ,ADMEDUS,.077,-,10342,.077,.078,-,,-,.01,-,-1.22,-,,
.17,.077,.085,.084,ADJ,Adslot,.084,-,5284,.084,.085,-,,-,.69,-,-1.04,-,,
.009,.005,-,-,ABV,Adv Braking Tech,.005,-,-,.005,.006,-,,-,-,-,-.64,-,,
.003,.002,-,-,ABVO,  opt aug16,.002,-,-,.002,.003,-,,-,-,-,-,-,,
.75,.575,.75,.63,ASW,Advanced Share Reg,.63,-8,168,.63,.73,3.70,f,.95,.15,5.87,3.50,18.0,,
.25,.125,.135,.135,AER,Aeeris,.135,+.5,990,.135,.15,-,,-,-,-,-,-,,
.60,.12,.46,.46,AEI,Aeris Environmental,.46,-,150,.46,.49,-,,-,.01,-,-1.36,-,,
1.480,.49,.83,.82,AFJ,Affinity Education,.82,-1,8821,.82,.825,-,,-,-.15,-,-2.90,-,,
.001,.001,.001,.001,AFT,AFT Corp,.001,-,9000,.001,.001,-,,-,-,-,-.02,-,,
.063,.006,.008,.007,AHA,AG Financial,.007,-,11000,.006,.01,-,,-,-,-,-.03,-,,
.022,.01,.012,.012,AGX,Agenix,.012,-,3,.012,.013,-,,-,.01,-,.79,1.5,,
17.24,12.55,17.24,16.85,AGL,AGL Energy,16.86,-29,16962,16.86,16.87,64.00,f,.52,8.22,3.80,33.30,50.6,,
.10,.076,-,-,AGJ,Agricultural Land unt,.085,-,-,.085,.10,.52,,3.38,.11,6.12,1.76,4.8,,
.49,.015,.40,.395,AHL,Ahalife Hldgs,.40,-,200,.35,.39,-,,-,-,-,-.22,-,,
.15,.11,.125,.125,APW,AIMS Prop Sec Fund unt,.125,-.5,3757,.125,.13,.32,,18.19,-,2.56,5.82,2.1,,
3.77,2.03,2.84,2.73,AGI,Ainsworth Game Tech,2.81,-4,3705,2.80,2.83,10.00,f,1.90,.71,3.56,19.00,14.8,,
2.90,1.595,2.45,2.39,AIZ,Air New Zealand,2.45,+12,44,2.38,2.39,11.15,,1.95,1.45,4.55,21.72,11.3,,
.87,.48,.845,.83,AXP,"Airxpanders, cdi",.83,-2,178,.81,.83,-,,-,-,-,-,-,,
.875,.215,-,-,AJL,AJ Lucas Grp,.315,-,-,.31,.335,-,,-,.38,-,-9.60,-,,
.68,.03,.034,.033,ACL,Alchemia,.033,-.1,793,.033,.034,-,,-,.04,-,-5.30,-,,
26.86,16.70,-,-,AAI,Alcoa Inc cdi,16.70,-,-,5.00,14.75,10.47,,-,-,.63,-246.13,-,,
3.94,3.02,3.71,3.65,LEP,ALE Prop Grp stp,3.71,+4,596,3.64,3.71,16.85,,3.01,2.27,4.54,50.77,7.3,,
1.07,.105,1.07,.985,AJX,Alexium Int'l,1.03,+5.5,34471,1.025,1.03,-,,-,-.01,-,-2.25,-,,
.094,.04,.05,.05,AEB,Algae.Tec,.05,-,640,.047,.05,-,,-,.01,-,-.80,-,,
.325,.05,-,-,AMT,Allegra Orthopaedics,.25,-,-,-,.24,-,,-,.07,-,-.45,-,,
1.455,.36,.54,.53,AQZ,Alliance Aviation,.54,-.5,883,.53,.54,2.10,f,-,.99,3.89,-34.41,-,,
7.81,4.33,4.82,4.73,ALQ,ALS,4.75,-1,20530,4.74,4.76,21.00,p,-,.05,4.42,-43.37,-,,
.125,.10,-,-,AIQ,Alternative Invest unt,.12,-,-,.115,.12,-,,-,.14,-,.58,20.7,,
5.31,2.52,4.33,4.24,ALU,Altium,4.31,+6,2230,4.26,4.31,16.00,,.89,.41,3.71,14.27,30.2,,
.76,.28,.72,.70,AMA,AMA Grp,.715,-,2773,.70,.72,1.60,f,1.40,-,2.24,2.24,31.9,,
13.37,9.25,12.45,12.15,AHD,Amalgamated Hldgs,12.25,+15,952,12.20,12.38,43.00,f,1.23,5.23,3.51,52.80,23.2,,
2.20,1.75,2.095,2.06,AYS,Amaysim Au,2.065,-1.5,1137,2.06,2.07,-,,-,-,-,-,-,,
.20,.11,-,-,AMO,Ambertech,.135,-,-,.11,.16,-,,-,.32,-,-4.29,-,,
.17,.10,.165,.165,AMB,Ambition Grp,.165,-.5,100,.16,.165,-,,-,.19,-,2.20,7.5,,
24.959,18.258,-,-,AKY,AMCB Fund No 5,19.15,-,-,-,19.15,190.00,,1.02,19.58,9.92,194.00,9.9,,
.985,.83,.87,.855,AMH,AMCIL,.855,-.5,580,.855,.865,4.00,f,.73,.91,4.68,2.93,29.2,,
14.93,10.83,13.675,13.45,AMC,Amcor,13.47,+5,49879,13.46,13.48,47.90,,1.38,-.06,3.56,66.03,20.4,,
.205,.11,.16,.16,AOW,American Patriot Oil,.16,-.5,500,.15,.16,-,,-,-,-,-1.23,-,,
.06,.02,-,-,AOWO,  opt oct16,.022,-,-,.002,-,-,,-,-,-,-,-,,
6.83,5.02,6.34,6.18,AMP,AMP,6.19,-5,64855,6.19,6.20,26.00,p,1.17,1.42,4.20,30.30,20.4,,
1.875,.74,1.385,1.35,AGF,AMP Capital China unt,1.36,-1,10054,1.36,1.365,2.92,,16.72,1.76,2.15,48.82,2.8,,
85.03,64.572,-,-,AYK,Aust Masters YF4,64.83,-,-,64.43,65.00,283.00,f,1.04,85.17,4.37,293.00,22.1,,
79.918,61.62,61.71,61.71,AYD,Aust Masters YF1,61.71,+1,7,61.71,-,344.00,f,1.07,61.52,5.57,369.00,16.7,,
76.347,73.563,74.63,74.63,AYJ,Aust Masters YF3,74.63,-2,6,74.63,-,442.00,f,.86,74.90,5.92,379.00,19.7,,
90.726,79.745,-,-,AYH,Aust Masters YF2,80.72,-,-,80.37,-,352.00,f,1.07,80.64,4.36,378.00,21.4,,
