Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5096.3 at 2015-09-11T16:39:05. Report at Friday, September 11, 2015. Processed Saturday at 2015-09-12T01:00:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.28,5.72,7.00,7.00,ONT,1300 Smiles,7.00,-10,1,7.00,7.10,19.20,f,1.45,.45,2.74,27.80,25.2,,
.22,.095,-,-,1ST,1ST Available,.11,-,-,.096,.115,-,,-,-,-,-,-,,
2.79,2.17,2.44,2.41,TIX,360 Capital Indust ord unt,2.41,-1,1005,2.40,2.41,21.00,,1.69,2.34,8.71,35.50,6.8,,
1.41,.88,1.00,.965,TGP,360 Capital Grp stp,.98,-2,134,.98,1.01,5.75,,1.84,.71,5.87,10.60,9.2,,
2.24,1.925,2.02,2.00,TOF,360 Capital Office ord unt,2.01,+1,359,2.00,2.01,17.00,,.96,2.14,8.46,16.40,12.3,,
1.35,1.00,1.085,1.065,TOT,360 Capital Total Re stp,1.07,+2,748,1.05,1.07,2.81,,-,-,2.63,-10.50,-,,
.195,.004,.077,.074,3DM,3D Medical,.075,-,1642,.075,.078,-,,-,.01,-,-3.60,-,,
2.85,1.84,1.945,1.85,3PL,3P Learning,1.875,-2.5,21398,1.865,1.945,1.80,f,1.69,.12,.96,3.04,61.7,,
.255,.145,.20,.19,8CO,8common,.20,-1,500,.15,.20,-,,-,-,-,-.02,-,,
1.13,.25,.80,.80,8IH,8I Hldgs cdi,.80,-,29,.78,.80,-,,-,-,-,-,-,,
.51,.15,.185,.18,NNW,99 Wuxian cdi,.18,-1,243,.175,.18,-,,-,.04,-,.06,300.0,,
.001,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.05,-,,
3.337,2.48,3.09,3.055,ABP,Abacus Prop stp,3.08,+1,4998,3.07,3.08,17.00,,1.50,2.49,5.52,25.46,12.1,,
1.24,1.02,1.055,1.055,ALR,Aberdeen Leaders,1.055,+1,192,1.04,1.055,7.00,f,.48,1.27,6.64,3.33,31.7,,
1.30,.31,.335,.325,AKG,Academies A'asia,.335,+.5,120,.33,.335,4.50,f,.20,-.06,13.43,.90,37.2,,
4.50,1.65,4.05,3.99,ACX,Aconex,4.00,-1,3265,3.99,4.02,-,,-,-,-,11.00,36.4,,
.91,.68,.71,.71,ACQ,Acorn Capital Invest,.71,-,258,.71,.73,-,,-,.91,-,-5.82,-,,
.029,.001,-,-,ACQO,  opt oct15,.001,-,-,-,.001,-,,-,-,-,-,-,,
