Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5123.6 at 2015-09-16T16:40:35. Report at Wednesday, September 16, 2015. Processed Thursday at 2015-09-17T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.28,5.72,7.01,7.01,ONT,1300 Smiles,7.01,+6,3,7.01,7.10,19.20,f,1.45,.45,2.74,27.80,25.2,,
.22,.095,-,-,1ST,1ST Available,.11,-,-,.096,.10,-,,-,-,-,-,-,,
2.79,2.17,2.46,2.42,TIX,360 Capital Indust ord unt,2.44,-,400,2.44,2.47,21.00,,1.69,2.34,8.61,35.50,6.9,,
1.41,.88,.975,.965,TGP,360 Capital Grp stp,.97,-1.5,390,.965,.97,5.75,,1.84,.71,5.93,10.60,9.2,,
2.24,1.925,2.02,1.985,TOF,360 Capital Office ord unt,2.00,-1,508,2.00,2.04,17.00,,.96,2.14,8.50,16.40,12.2,,
1.35,1.00,1.065,1.05,TOT,360 Capital Total Re stp,1.065,-,300,1.05,1.065,2.81,,-,-,2.64,-10.50,-,,
.195,.004,.079,.079,3DM,3D Medical,.079,+.4,322,.075,.078,-,,-,.01,-,-3.60,-,,
2.85,1.84,1.94,1.86,3PL,3P Learning,1.87,+1,4297,1.87,1.88,1.80,f,1.69,.12,.96,3.04,61.5,,
.255,.145,-,-,8CO,8common,.20,-,-,.088,.20,-,,-,-,-,-.02,-,,
1.13,.25,.765,.72,8IH,8I Hldgs cdi,.74,-10.5,747,.75,.78,-,,-,-,-,-,-,,
.505,.15,.19,.175,NNW,99 Wuxian cdi,.19,+1,1158,.17,.195,-,,-,.04,-,.06,316.7,,
.001,.001,.001,.001,AYI,A1 Invest & Res,.001,-,6001,-,.001,-,,-,-,-,-.05,-,,
3.337,2.48,3.18,3.12,ABP,Abacus Prop stp,3.16,+3,22147,3.15,3.17,17.00,,1.50,2.49,5.38,25.46,12.4,,
1.24,1.02,1.04,1.04,ALR,Aberdeen Leaders,1.04,-,1102,1.04,1.055,7.00,f,.48,1.14,6.73,3.33,31.2,,
1.27,.31,.35,.33,AKG,Academies A'asia,.35,+1.5,392,.35,.425,4.50,f,.20,-.06,12.86,.90,38.9,,
4.50,1.65,4.34,4.21,ACX,Aconex,4.25,-6,5193,4.21,4.25,-,,-,-,-,11.00,38.6,,
.91,.68,.73,.72,ACQ,Acorn Capital Invest,.73,+2,1801,.725,.73,-,,-,.88,-,-5.82,-,,
.026,.001,-,-,ACQO,  opt oct15,.001,-,-,-,.001,-,,-,-,-,-,-,,
1.645,.575,.625,.61,ACR,Acrux,.61,-,1678,.61,.615,6.00,f,1.12,.12,9.84,6.70,9.1,,
.15,.035,.053,.053,ACW,Actinogen,.053,+.1,1400,.052,.053,-,,-,.02,-,-1.32,-,,
.006,.001,-,-,ACWOA,  opt sep15,.002,-,-,-,.005,-,,-,-,-,-,-,,
.215,.001,.091,.09,ACU,Acuvax,.091,+.3,2361,.091,.096,-,,-,.03,-,-5.04,-,,
1.07,.20,1.04,1.00,ADA,Adacel Tech,1.03,+1.5,645,.97,1.03,2.00,,2.50,.15,1.94,5.00,20.6,,
2.95,2.46,2.60,2.50,ADH,Adairs,2.52,-2,1621,2.52,2.54,-,,-,-,-,-,-,,
.059,.035,-,-,AAU,Adcorp Aust,.043,-,-,.04,.045,-,,-,-.01,-,.22,19.5,,
5.005,3.12,4.50,4.38,ABC,Adelaide Brighton,4.47,+9,17011,4.45,4.47,17.50,f,1.81,1.39,3.91,31.70,14.1,,
.71,.55,.615,.59,ADR,Adherium,.61,+1,1606,.59,.61,-,,-,-,-,-,-,,
.162,.057,.069,.067,AHZ,ADMEDUS,.068,+.1,19168,.067,.068,-,,-,.02,-,-1.65,-,,
.14,.068,.082,.077,ADJ,Adslot,.078,-.2,7968,.078,.08,-,,-,-,-,-.89,-,,
.013,.003,.009,.008,ABV,Adv Braking Tech,.009,-,6450,.008,.009,-,,-,-,-,-.19,-,,
.005,.002,-,-,ABVO,  opt aug16,.003,-,-,.003,.004,-,,-,-,-,-,-,,
.75,.575,-,-,ASW,Advanced Share Reg,.64,-,-,.64,.67,3.70,f,.95,.15,5.78,3.50,18.3,,
.25,.125,-,-,AER,Aeeris,.155,-,-,.13,.155,-,,-,-,-,-,-,,
.60,.15,-,-,AEI,Aeris Environmental,.44,-,-,.40,.44,-,,-,.04,-,-1.55,-,,
1.480,.49,.897,.895,AFJ,Affinity Education,.895,-,14700,.895,.90,-,,-,-.15,-,.49,182.7,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.063,.004,-,-,AHA,AG Financial,.004,-,-,.003,.005,-,,-,.01,-,-.36,-,,
.022,.01,.013,.013,AGX,Agenix,.013,-,400,.011,.014,-,,-,.01,-,-.80,-,,
17.25,12.55,16.24,15.91,AGL,AGL Energy,16.09,+22,20864,16.08,16.10,64.00,f,.52,8.22,3.98,33.30,48.3,,
.10,.076,-,-,AGJ,Agricultural Land unt,.082,-,-,.082,.10,.52,,7.06,.10,6.34,3.67,2.2,,
.49,.015,.42,.40,AHL,Ahalife Hldgs,.40,-,1451,.40,.455,-,,-,-,-,-.70,-,,
.15,.11,-,-,APW,AIMS Prop Sec Fund unt,.125,-,-,.12,.125,.40,,7.77,.19,3.20,3.11,4.0,,
3.29,2.03,2.85,2.77,AGI,Ainsworth Game Tech,2.83,+8,3565,2.83,2.84,10.00,f,2.20,.78,3.53,22.00,12.9,,
2.90,1.595,2.17,2.12,AIZ,Air New Zealand,2.17,+5,28,2.16,2.19,14.80,,1.75,1.47,6.82,25.85,8.4,,
.87,.48,.775,.77,AXP,"Airxpanders, cdi",.775,+2.5,638,.775,.79,-,,-,.14,-,-2.91,-,,
.875,.215,.33,.33,AJL,AJ Lucas Grp,.33,-,200,.33,.345,-,,-,.30,-,-16.90,-,,
.675,.03,.036,.036,ACL,Alchemia,.036,-,696,.036,.038,-,,-,.03,-,-4.87,-,,
26.86,12.70,-,-,AAI,Alcoa Inc cdi,13.00,-,-,13.05,17.00,10.47,,-,-,.81,-246.13,-,,
3.94,3.07,3.64,3.535,LEP,ALE Prop Grp stp,3.57,-1,344,3.54,3.65,16.85,,3.01,2.27,4.72,50.77,7.0,,
1.11,.14,.93,.91,AJX,Alexium Int'l,.91,-,8310,.91,.92,-,,-,.04,-,-5.78,-,,
.094,.03,-,-,AEB,Algae.Tec,.03,-,-,.037,.04,-,,-,.01,-,-.88,-,,
.325,.05,-,-,AMT,Allegra Orthopaedics,.25,-,-,.06,.235,-,,-,.06,-,-1.49,-,,
