Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5294.8 at 2015-11-04T16:36:35. Report at Wednesday, November 4, 2015. Processed Thursday at 2015-11-05T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.36,5.81,7.36,7.25,ONT,1300 Smiles,7.25,-5,28,7.25,7.32,19.20,f,1.45,.45,2.65,27.80,26.1,,
.22,.091,.091,.091,1ST,1ST Available,.091,-,557,.091,.096,-,,-,-,-,-,-,,
2.79,2.28,2.43,2.40,TIX,360 Capital Indust ord unt,2.41,+1,8263,2.41,2.42,21.57,,1.65,2.34,8.95,35.50,6.8,,
1.41,.912,1.02,1.01,TGP,360 Capital Grp stp,1.01,-,3617,1.01,1.025,6.00,,1.77,.71,5.94,10.60,9.5,,
2.24,1.95,2.03,2.01,TOF,360 Capital Office ord unt,2.02,-,1819,2.02,2.03,17.00,,.96,2.14,8.42,16.40,12.3,,
1.35,1.00,1.03,1.02,TOT,360 Capital Total Re stp,1.02,-3,356,1.03,1.055,5.62,,-,-,5.51,-10.50,-,,
.195,.004,.084,.077,3DM,3D Medical,.077,-.7,2198,.077,.08,-,,-,.01,-,-3.60,-,,
2.85,1.70,2.35,2.29,3PL,3P Learning,2.30,-1,503,2.30,2.32,1.80,f,1.69,.12,.78,3.04,75.7,,
.25,.145,.20,.19,8CO,8common,.19,-,37,.19,.205,-,,-,-,-,-.02,-,,
1.13,.25,.90,.895,8IH,8I Hldgs cdi,.90,+.5,170,.89,.91,-,,-,-,-,-,-,,
.48,.135,.15,.135,NNW,99 Wuxian cdi,.135,-1,4279,.135,.14,-,,-,.04,-,.06,225.0,,
.001,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.05,-,,
3.41,2.739,3.29,3.19,ABP,Abacus Prop stp,3.19,-6,8493,3.18,3.20,17.00,,1.50,2.49,5.33,25.46,12.5,,
1.24,1.02,1.045,1.045,ALR,Aberdeen Leaders,1.045,+2,70,1.04,1.055,6.00,f,.56,1.10,5.74,3.33,31.4,,
1.142,.293,.395,.385,AKG,Academies A'asia,.39,-,1050,.31,.395,4.50,f,.20,-.06,11.54,.90,43.3,,
4.95,1.65,4.72,4.61,ACX,Aconex,4.70,-,1162,4.69,4.70,-,,-,-,-,11.00,42.7,,
.855,.68,.765,.765,ACQ,Acorn Capital Invest,.765,+.5,500,.765,.79,-,,-,.90,-,-5.82,-,,
1.645,.565,.75,.72,ACR,Acrux,.73,-.5,1681,.73,.745,6.00,f,1.12,.12,8.22,6.70,10.9,,
.15,.035,.057,.056,ACW,Actinogen,.057,-.1,1813,.057,.059,-,,-,.02,-,-1.32,-,,
.215,.001,.12,.11,ACU,Activistic,.12,-,2959,.11,.12,-,,-,.03,-,-5.04,-,,
1.61,.20,1.50,1.48,ADA,Adacel Tech,1.50,+2.5,5604,1.49,1.50,2.00,,2.50,.15,1.33,5.00,30.0,,
2.95,2.44,2.63,2.54,ADH,Adairs,2.58,-1,26157,2.57,2.59,-,,-,-,-,-,-,,
.059,.033,-,-,AAU,Adcorp Aust,.034,-,-,.034,.045,-,,-,-.01,-,.22,15.5,,
5.005,3.29,4.31,4.21,ABC,Adelaide Brighton,4.24,+5,17574,4.23,4.24,17.50,f,1.81,1.39,4.13,31.70,13.4,,
.72,.55,.68,.67,ADR,Adherium,.68,-,450,.665,.675,-,,-,-,-,-,-,,
.138,.057,.065,.062,AHZ,ADMEDUS,.064,-,16922,.064,.065,-,,-,.02,-,-1.65,-,,
.125,.068,.088,.083,ADJ,Adslot,.087,+.3,5017,.083,.087,-,,-,-,-,-.89,-,,
.013,.003,-,-,ABV,Adv Braking Tech,.007,-,-,.007,.008,-,,-,-,-,-.19,-,,
.005,.002,-,-,ABVO,  opt aug16,.004,-,-,.003,.005,-,,-,-,-,-,-,,
.75,.579,-,-,ASW,Advanced Share Reg,.69,-,-,.675,.69,3.70,f,.95,.15,5.36,3.50,19.7,,
.25,.125,-,-,AER,Aeeris,.15,-,-,.13,.15,-,,-,-,-,-,-,,
.60,.20,.44,.43,AEI,Aeris Environmental,.43,-,10860,.43,.46,-,,-,.04,-,-1.55,-,,
1.480,.49,.91,.905,AFJ,Affinity Education,.91,-,1014,.905,.91,-,,-,-.15,-,.49,185.7,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.055,.003,.005,.005,AHA,AG Financial,.005,-,8000,.004,.005,-,,-,.01,-,-.36,-,,
.022,.011,.011,.011,AGX,Agenix,.011,-.2,6906,.011,.013,-,,-,.01,-,-.80,-,,
17.25,12.55,16.90,16.64,AGL,AGL Energy,16.75,+6,16886,16.73,16.76,64.00,f,.52,8.22,3.82,33.30,50.3,,
.10,.076,-,-,AGJ,Agricultural Land unt,.08,-,-,.08,.085,.52,,7.06,.10,6.50,3.67,2.2,,
.58,.015,.58,.525,AHL,Ahalife Hldgs,.54,+2,8356,.53,.54,-,,-,-,-,-.70,-,,
.15,.11,.13,.12,APW,AIMS Prop Sec Fund unt,.13,-,129,.125,.13,.52,,5.98,.19,4.00,3.11,4.2,,
3.29,2.03,3.24,3.15,AGI,Ainsworth Game Tech,3.20,+2,3401,3.17,3.21,10.00,f,2.20,.78,3.13,22.00,14.5,,
2.90,1.80,2.64,2.54,AIZ,Air New Zealand,2.62,-2,86,2.51,2.68,14.80,,1.75,1.47,5.65,25.85,10.1,,
.995,.48,.90,.87,AXP,"Airxpanders, cdi",.87,-3,246,.87,.90,-,,-,.14,-,-2.91,-,,
.875,.215,.30,.30,AJL,AJ Lucas Grp,.30,-,609,.295,.30,-,,-,.30,-,-16.90,-,,
.097,.03,.087,.087,ACL,Alchemia,.087,-,1973,.087,.089,-,,-,.03,-,-4.87,-,,
26.86,12.22,12.88,12.88,AAI,Alcoa Inc cdi,12.88,+66,6,9.99,13.55,11.03,,2.55,-,.86,28.12,45.8,,
4.005,3.11,3.93,3.88,LEP,ALE Prop Grp stp,3.90,-1,2248,3.88,3.92,16.85,,3.01,2.27,4.32,50.77,7.7,,
1.17,.165,.97,.945,AJX,Alexium Int'l,.95,-1,4691,.945,.95,-,,-,.04,-,-5.78,-,,
.094,.03,-,-,AEB,Algae.Tec,.043,-,-,.043,.045,-,,-,.01,-,-.88,-,,
.325,.055,-,-,AMT,Allegra Orthopaedics,.25,-,-,.05,.22,-,,-,.06,-,-1.49,-,,
1.20,.36,-,-,AQZ,Alliance Aviation,.555,-,-,.54,.55,2.10,f,-,.99,3.78,-34.41,-,,
6.66,4.33,5.55,5.39,ALQ,ALS,5.50,+10,29560,5.49,5.51,21.00,p,-,.05,3.82,-43.37,-,,
.125,.10,-,-,AIQ,Alternative Invest unt,.11,-,-,.105,.11,-,,-,.15,-,1.59,6.9,,
5.31,2.62,4.85,4.73,ALU,Altium,4.74,-3,6036,4.73,4.74,16.00,,6.09,.40,3.38,97.45,4.9,,
1.09,.28,1.05,1.035,AMA,AMA Grp,1.035,-,3603,1.035,1.04,1.70,f,1.60,-,1.64,2.72,38.1,,
14.45,10.06,14.17,13.75,AHD,Amalgamated Hldgs,13.97,-2,110,13.75,13.97,45.00,f,1.53,5.44,3.22,68.90,20.3,,
2.59,1.75,2.57,2.48,AYS,Amaysim Au,2.48,-9,1418,2.48,2.50,-,,-,-,-,-,-,,
.20,.11,-,-,AMO,Ambertech,.16,-,-,.14,.155,-,,-,.31,-,-5.40,-,,
.17,.10,-,-,AMB,Ambition Grp,.165,-,-,.165,.185,-,,-,.19,-,2.20,7.5,,
24.959,18.258,-,-,AKY,AMCB Fund No 5,19.15,-,-,-,19.00,190.00,,1.02,19.31,9.92,194.00,9.9,,
.955,.79,.865,.86,AMH,AMCIL,.86,-,591,.86,.875,4.00,f,.73,.91,4.65,2.93,29.4,,
14.93,11.88,13.80,13.40,AMC,Amcor,13.41,-24,29759,13.41,13.44,52.95,,1.39,-.51,3.95,73.70,18.2,,
.205,.09,.14,.13,AOW,American Patriot Oil,.14,-,650,.14,.15,-,,-,-,-,-2.60,-,,
.06,.002,-,-,AOWO,  opt oct16,.01,-,-,.01,.03,-,,-,-,-,-,-,,
6.83,5.24,5.93,5.795,AMP,AMP,5.80,-1,63187,5.80,5.81,27.50,p,1.26,1.50,4.74,34.60,16.8,,
1.875,.79,1.37,1.345,AGF,AMP Capital China unt,1.35,-.5,25940,1.35,1.355,2.92,,38.64,1.76,2.16,112.82,1.2,,
85.03,64.48,-,-,AYK,Aust Masters YF4,64.84,-,-,65.06,-,255.00,f,1.15,64.46,3.93,293.00,22.1,,
79.918,61.62,-,-,AYD,Aust Masters YF1,62.36,-,-,62.38,-,313.00,f,1.18,61.57,5.02,369.00,16.9,,
76.347,73.563,-,-,AYJ,Aust Masters YF3,74.90,-,-,75.22,-,368.00,f,1.03,74.68,4.91,379.00,19.8,,
90.726,79.745,-,-,AYH,Aust Masters YF2,81.19,-,-,81.40,-,335.00,f,1.13,80.33,4.13,378.00,21.5,,
.006,.001,.002,.002,ANQ,AnaeCo,.002,-.1,6000,.002,.003,-,,-,-,-,-.30,-,,
.029,.004,-,-,ALT,Analytica,.005,-,-,.005,.006,-,,-,-,-,-.59,-,,
.001,.001,-,-,ALTO,  opt feb16,.001,-,-,-,.001,-,,-,-,-,-,-,,
.003,.002,-,-,ALTOA,  opt feb18,.002,-,-,.001,.002,-,,-,-,-,-,-,,
1.08,.28,.97,.94,ANR,Anatara Lifesciences,.95,-1,565,.95,.97,-,,-,.15,-,-5.32,-,,
.28,.013,.175,.155,AB1,Animoca Brands,.175,+2,60,.15,.16,-,,-,.03,-,-12.45,-,,
30.40,18.28,19.98,19.64,ANN,Ansell,19.77,+3,6004,19.76,19.77,56.86,,2.81,.30,2.88,159.51,12.4,,
.044,.017,.034,.032,ANO,Antaria,.034,+.3,9490,.03,.034,-,,-,.01,-,.03,113.3,,
.145,.069,.091,.088,ADO,Anteo Diagnostics,.091,+.3,5589,.089,.091,-,,-,.01,-,-.50,-,,
.17,.075,.084,.078,ANP,Antisense Therapeut,.078,-.7,1549,.078,.084,-,,-,.04,-,.45,17.3,,
.06,.018,.018,.018,ANPO,  opt jan17,.018,-,1500,.014,.023,-,,-,-,-,-,-,,
37.25,26.38,27.38,26.80,ANZ,ANZ Banking Grp,26.87,-13,94891,26.86,26.88,181.00,f,1.50,16.86,6.74,271.50,9.9,,
10.30,9.05,9.72,9.72,ZYAU,ANZ ETFS ASX300 Yld,9.72,+17,1,9.47,9.69,-,,-,-,-,-,-,,
