Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5269.7 at 2015-11-06T16:38:05. Report at Friday, November 6, 2015. Processed Saturday at 2015-11-07T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
7.50,5.84,7.49,7.41,ONT,1300 Smiles,7.46,+5,13,7.46,7.60,19.20,f,1.45,.45,2.57,27.80,26.8,,
.22,.091,-,-,1ST,1ST Available,.091,-,-,.091,.091,-,,-,-,-,-,-,,
2.79,2.28,2.49,2.44,TIX,360 Capital Indust ord unt,2.47,+3,9002,2.46,2.47,21.57,,1.65,2.34,8.73,35.50,7.0,,
1.41,.912,1.035,1.025,TGP,360 Capital Grp stp,1.03,+1,494,1.01,1.03,6.00,,1.77,.71,5.83,10.60,9.7,,
2.24,1.95,2.02,2.00,TOF,360 Capital Office ord unt,2.00,-1,1053,2.00,2.01,17.00,,.96,2.14,8.50,16.40,12.2,,
1.35,1.00,1.11,1.09,TOT,360 Capital Total Re stp,1.10,+3,2000,1.055,1.08,5.62,,-,-,5.11,-10.50,-,,
.195,.004,.082,.076,3DM,3D Medical,.077,-.5,11871,.077,.078,-,,-,.01,-,-3.60,-,,
2.85,1.70,2.34,2.26,3PL,3P Learning,2.29,-1,1253,2.26,2.29,1.80,f,1.69,.12,.79,3.04,75.3,,
.25,.145,-,-,8CO,8common,-,-,-,.19,.205,-,,-,-,-,-.02,-,,
1.13,.25,.91,.87,8IH,8I Hldgs cdi,.90,-.5,370,.87,.90,1.48,,2.84,-,1.64,4.21,21.4,,
.44,.135,.14,.135,NNW,99 Wuxian cdi,.135,-1,930,.135,.14,-,,-,.04,-,.06,225.0,,
.001,.001,-,-,AYI,A1 Invest & Res,-,-,-,-,.001,-,,-,-,-,-.05,-,,
3.41,2.749,3.18,3.12,ABP,Abacus Prop stp,3.16,-1,7607,3.15,3.16,17.00,,1.50,2.49,5.38,25.46,12.4,,
1.24,1.02,1.04,1.04,ALR,Aberdeen Leaders,1.04,-1.5,68,1.04,1.05,6.00,f,.56,1.10,5.77,3.33,31.2,,
1.142,.293,.39,.39,AKG,Academies A'asia,.39,-,-,.33,.39,4.50,f,.20,-.06,11.54,.90,43.3,,
