Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5182.2 at 2015-11-12T16:38:35. Report at Thursday, November 12, 2015. Processed Friday at 2015-11-13T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
8.47,5.84,8.47,7.99,ONT,1300 Smiles,8.30,+60,83,8.28,8.30,19.20,f,1.45,.45,2.31,27.80,29.9,,
.22,.091,.092,.091,1ST,1ST Available,.091,-,1100,.091,.099,-,,-,-,-,-,-,,
2.79,2.28,2.43,2.40,TIX,360 Capital Indust ord unt,2.42,-,8035,2.41,2.43,21.57,,1.65,2.34,8.91,35.50,6.8,,
1.41,.912,.975,.955,TGP,360 Capital Grp stp,.97,-1,922,.95,.97,6.00,,1.77,.71,6.19,10.60,9.2,,
2.24,1.95,2.01,2.00,TOF,360 Capital Office ord unt,2.01,+1,409,2.00,2.01,17.00,,.96,2.14,8.46,16.40,12.3,,
1.35,1.00,-,-,TOT,360 Capital Total Re stp,1.10,-,-,1.07,1.10,5.62,,-,-,5.11,-10.50,-,,
.195,.004,.075,.072,3DM,3D Medical,.072,-.2,4247,.072,.075,-,,-,.01,-,-3.60,-,,
2.85,1.70,2.34,2.25,3PL,3P Learning,2.26,+1,50569,2.26,2.32,1.80,f,1.69,.12,.80,3.04,74.3,,
.25,.145,.19,.19,8CO,8common,.19,-,118,.15,.19,-,,-,-,-,-.02,-,,
1.13,.25,.99,.95,8IH,8I Hldgs cdi,.99,+4,926,.95,.99,1.48,,2.84,-,1.49,4.21,23.5,,
.44,.105,.125,.105,NNW,99 Wuxian cdi,.115,-1,2195,.115,.12,-,,-,.04,-,.06,191.7,,
.001,.001,.001,.001,AYI,A1 Invest & Res,.001,-,10000,-,.001,-,,-,-,-,-.05,-,,
3.41,2.759,3.04,2.985,ABP,Abacus Prop stp,2.99,-4,7278,2.99,3.00,17.00,,1.50,2.49,5.69,25.46,11.7,,
1.24,1.02,1.025,1.02,ALR,Aberdeen Leaders,1.02,-.5,295,1.02,1.045,6.00,f,.56,1.10,5.88,3.33,30.6,,
1.142,.293,.33,.33,AKG,Academies A'asia,.33,-2,180,.33,.39,4.50,f,.20,-.06,13.64,.90,36.7,,
4.95,1.65,4.80,4.70,ACX,Aconex,4.77,+1,1297,4.74,4.77,-,,-,-,-,11.00,43.4,,
.845,.68,.775,.75,ACQ,Acorn Capital Invest,.75,-3,509,.755,.78,-,,-,.90,-,-5.82,-,,
1.645,.565,.79,.76,ACR,Acrux,.77,-.5,3310,.76,.77,6.00,f,1.12,.12,7.79,6.70,11.5,,
.15,.035,.056,.054,ACW,Actinogen,.056,+.1,4750,.056,.058,-,,-,.02,-,-1.32,-,,
.215,.001,.13,.11,ACU,Activistic,.125,+2.5,20723,.12,.125,-,,-,.03,-,-5.04,-,,
1.61,.20,1.515,1.45,ADA,Adacel Tech,1.495,-5,839,1.48,1.495,2.00,,2.50,.15,1.34,5.00,29.9,,
2.95,2.44,2.52,2.47,ADH,Adairs,2.48,-6,2259,2.47,2.48,-,,-,-,-,-,-,,
.059,.029,-,-,AAU,Adcorp Aust,.029,-,-,.03,.034,-,,-,-.01,-,.22,13.2,,
5.005,3.36,4.25,4.17,ABC,Adelaide Brighton,4.21,-4,18134,4.20,4.22,17.50,f,1.81,1.39,4.16,31.70,13.3,,
.72,.55,.665,.645,ADR,Adherium,.66,-.5,142,.645,.66,-,,-,-,-,-,-,,
.138,.057,.067,.064,AHZ,ADMEDUS,.066,-,18942,.066,.067,-,,-,.02,-,-1.65,-,,
.125,.068,.084,.081,ADJ,Adslot,.082,-,1169,.081,.082,-,,-,-,-,-.89,-,,
.013,.003,.007,.007,ABV,Adv Braking Tech,.007,-,7000,.007,.008,-,,-,-,-,-.19,-,,
.005,.002,-,-,ABVO,  opt aug16,.003,-,-,-,.003,-,,-,-,-,-,-,,
.75,.579,-,-,ASW,Advanced Share Reg,.675,-,-,.64,.675,3.70,f,.95,.15,5.48,3.50,19.3,,
.25,.125,.15,.14,AER,Aeeris,.14,-1,345,.135,.15,-,,-,-,-,-,-,,
.60,.215,-,-,AEI,Aeris Environmental,.44,-,-,.42,.43,-,,-,.04,-,-1.55,-,,
1.480,.49,.915,.91,AFJ,Affinity Education,.91,-.5,996,.91,.915,-,,-,-.15,-,.49,185.7,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.055,.003,-,-,AHA,AG Financial,.004,-,-,.004,.005,-,,-,.01,-,-.36,-,,
.022,.009,.012,.01,AGX,Agenix,.012,+.3,5546,.012,.013,-,,-,.01,-,-.80,-,,
17.25,12.55,16.51,16.36,AGL,AGL Energy,16.45,-11,12341,16.43,16.47,64.00,f,.52,8.22,3.89,33.30,49.4,,
.10,.076,-,-,AGJ,Agricultural Land unt,.08,-,-,.08,.085,.52,,7.06,.10,6.50,3.67,2.2,,
.58,.015,.54,.505,AHL,Ahalife Hldgs,.525,-1.5,4148,.50,.525,-,,-,-,-,-.70,-,,
.15,.11,-,-,APW,AIMS Prop Sec Fund unt,.125,-,-,.12,.125,.52,,5.98,.19,4.16,3.11,4.0,,
3.29,2.03,3.17,3.10,AGI,Ainsworth Game Tech,3.13,-1,13532,3.11,3.13,10.00,f,2.20,.78,3.19,22.00,14.2,,
2.90,1.90,2.52,2.46,AIZ,Air New Zealand,2.51,-,199,2.20,2.51,14.80,,1.75,1.47,5.90,25.85,9.7,,
.995,.48,.90,.86,AXP,"Airxpanders, cdi",.90,+4.5,59,.86,.90,-,,-,.14,-,-2.91,-,,
.875,.215,-,-,AJL,AJ Lucas Grp,.255,-,-,.255,.28,-,,-,.30,-,-16.90,-,,
.095,.03,.091,.089,ACL,Alchemia,.091,+.2,12122,.091,.094,-,,-,.03,-,-4.87,-,,
