Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5326.5 at 2015-11-23T16:38:05. Report at Monday, November 23, 2015. Processed Tuesday at 2015-11-24T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
8.47,5.92,7.70,7.56,ONT,1300 Smiles,7.70,+13,11,7.60,7.70,19.20,f,1.45,.45,2.49,27.80,27.7,,
.22,.08,.095,.091,1ST,1ST Available,.091,-.4,600,.091,.105,-,,-,-,-,-,-,,
2.79,2.28,2.50,2.44,TIX,360 Capital Indust ord unt,2.48,+4,3475,2.48,2.49,21.57,,1.65,2.34,8.70,35.50,7.0,,
1.41,.912,.98,.97,TGP,360 Capital Grp stp,.98,+1,401,.975,.98,6.00,,1.77,.71,6.12,10.60,9.2,,
2.24,1.95,2.03,2.02,TOF,360 Capital Office ord unt,2.02,-1,195,2.02,2.05,17.00,,.96,2.14,8.42,16.40,12.3,,
1.35,1.00,1.10,1.085,TOT,360 Capital Total Re stp,1.10,+2,832,1.095,1.13,5.62,,-,-,5.11,-10.50,-,,
.195,.004,.074,.066,3DM,3D Medical,.072,-,24025,.07,.072,-,,-,.01,-,-3.60,-,,
2.85,1.70,2.19,2.15,3PL,3P Learning,2.16,-2,1782,2.16,2.20,1.80,f,1.69,.12,.83,3.04,71.1,,
.25,.145,.21,.205,8CO,8common,.21,+.5,500,.19,.21,-,,-,-,-,-.02,-,,
1.13,.25,1.00,.995,8IH,8I Hldgs cdi,1.00,-,939,.97,1.00,1.48,,2.84,.12,1.48,4.21,23.8,,
.43,.105,-,-,NNW,99 Wuxian cdi,.105,-,-,-,-,-,,-,.04,-,.06,175.0,,
.001,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.05,-,,
3.41,2.779,3.07,3.02,ABP,Abacus Prop stp,3.04,+1,4364,3.04,3.05,17.00,,1.50,2.49,5.59,25.46,11.9,,
1.24,1.015,1.04,1.03,ALR,Aberdeen Leaders,1.04,+1,160,1.03,1.04,6.00,f,.56,1.16,5.77,3.33,31.2,,
1.142,.293,.325,.295,AKG,Academies A'asia,.295,-2.5,1000,.31,.325,4.50,f,.20,-.06,15.25,.90,32.8,,
4.95,1.65,4.80,4.75,ACX,Aconex,4.80,+5,1822,4.76,4.80,-,,-,-,-,11.00,43.6,,
.835,.68,.83,.81,ACQ,Acorn Capital Invest,.83,+3,397,.805,.83,-,,-,.95,-,-5.82,-,,
1.645,.565,.785,.76,ACR,Acrux,.76,-.5,1968,.76,.765,6.00,f,1.12,.12,7.89,6.70,11.3,,
.15,.036,.052,.052,ACW,Actinogen,.052,+.2,2000,.05,.053,-,,-,.02,-,-1.32,-,,
.215,.001,.19,.145,ACU,Activistic,.145,-3,12506,.145,.15,-,,-,.03,-,-5.04,-,,
1.775,.20,1.775,1.54,ADA,Adacel Tech,1.725,+20,3013,1.70,1.75,2.00,,2.50,.15,1.16,5.00,34.5,,
2.95,2.14,2.55,2.50,ADH,Adairs,2.53,+4,10662,2.51,2.54,-,,-,-,-,-,-,,
.059,.029,-,-,AAU,Adcorp Aust,.03,-,-,.029,.03,-,,-,-.01,-,.22,13.6,,
5.005,3.36,4.45,4.31,ABC,Adelaide Brighton,4.45,+11,15468,4.44,4.45,17.50,f,1.81,1.39,3.93,31.70,14.0,,
.72,.55,.66,.64,ADR,Adherium,.65,+1,600,.63,.65,-,,-,-,-,-,-,,
