Industrial Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5201.5 at 2015-12-04T16:50:35. Report at Friday, December 4, 2015. Processed Saturday at 2015-12-05T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
8.47,5.92,7.70,7.60,ONT,1300 Smiles,7.65,-15,37,7.65,7.70,19.20,f,1.45,.45,2.51,27.80,27.5,,
.22,.08,-,-,1ST,1ST Available,.10,-,-,.095,.105,-,,-,-,-,-,-,,
2.79,2.29,2.57,2.47,TIX,360 Capital Indust ord unt,2.51,+2,3978,2.50,2.51,21.57,,1.65,2.34,8.59,35.50,7.1,,
1.41,.912,1.00,.99,TGP,360 Capital Grp stp,.99,-1.5,1946,.99,1.00,6.00,,1.77,.71,6.06,10.60,9.3,,
2.24,1.95,2.03,2.02,TOF,360 Capital Office ord unt,2.03,+1,824,2.03,2.05,17.00,,.96,2.14,8.37,16.40,12.4,,
1.35,1.00,1.125,1.12,TOT,360 Capital Total Re stp,1.125,+.5,800,1.12,1.13,5.62,,-,-,5.00,-10.50,-,,
.195,.005,.071,.069,3DM,3D Medical,.069,+.1,11889,.069,.072,-,,-,.01,-,-3.60,-,,
2.85,1.70,2.15,2.06,3PL,3P Learning,2.06,-6,3109,2.06,2.08,1.80,f,1.69,.12,.87,3.04,67.8,,
.25,.145,-,-,8CO,8common,.20,-,-,.195,.21,-,,-,-,-,-.02,-,,
1.13,.25,1.02,1.005,8IH,8I Hldgs cdi,1.005,-.5,200,1.01,1.05,1.48,,2.84,.12,1.47,4.21,23.9,,
1.04,1.00,1.00,1.00,8EC,8IP Emerging,1.00,-2,1078,.95,1.00,-,,-,-,-,-,-,,
.04,.04,-,-,8ECO,  opt dec16,.04,-,-,.015,.04,-,,-,-,-,-,-,,
.415,.105,-,-,NNW,99 Wuxian cdi,.105,-,-,-,-,-,,-,.04,-,.06,175.0,,
.001,.001,-,-,AYI,A1 Invest & Res,.001,-,-,-,.001,-,,-,-,-,-.05,-,,
3.41,2.78,2.94,2.87,ABP,Abacus Prop stp,2.92,-3,11791,2.92,2.93,17.00,,1.50,2.49,5.82,25.46,11.5,,
1.24,1.015,-,-,ALR,Aberdeen Leaders,1.045,-,-,1.03,1.045,6.00,f,.56,1.16,5.74,3.33,31.4,,
1.142,.28,.31,.31,AKG,Academies A'asia,.31,-,65,.31,.315,4.50,f,.20,-.06,14.52,.90,34.4,,
5.09,1.65,4.94,4.735,ACX,Aconex,4.83,-3,1383,4.83,4.85,-,,-,-,-,11.00,43.9,,
.835,.68,-,-,ACQ,Acorn Capital Invest,.81,-,-,.81,.82,-,,-,.95,-,-5.82,-,,
1.645,.565,.73,.685,ACR,Acrux,.685,+1,1125,.685,.715,6.00,f,1.12,.12,8.76,6.70,10.2,,
.15,.036,.046,.046,ACW,Actinogen,.046,-.2,1081,.046,.05,-,,-,.02,-,-1.32,-,,
.215,.001,.125,.12,ACU,Activistic,.12,-1,8739,.12,.125,-,,-,.03,-,-5.04,-,,
2.22,.25,2.00,1.865,ADA,Adacel Tech,2.00,+10,189,1.97,2.05,2.00,,2.50,.15,1.00,5.00,40.0,,
2.95,2.14,2.74,2.65,ADH,Adairs,2.67,-7,837,2.67,2.71,-,,-,-,-,-,-,,
.059,.027,-,-,AAU,Adcorp Aust,.028,-,-,.025,.033,-,,-,-.01,-,.22,12.7,,
5.005,3.36,4.34,4.28,ABC,Adelaide Brighton,4.29,-10,10449,4.29,4.31,17.50,f,1.81,1.39,4.08,31.70,13.5,,
.72,.55,.65,.64,ADR,Adherium,.65,+.5,535,.64,.65,-,,-,-,-,-,-,,
1.378,.57,.77,.735,AHZ,ADMEDUS,.77,+3.5,3812,.76,.77,-,,-,.19,-,-16.50,-,,
.125,.068,.09,.084,ADJ,Adslot,.09,+.4,2420,.086,.09,-,,-,-,-,-.89,-,,
.013,.003,-,-,ABV,Adv Braking Tech,.007,-,-,.007,.008,-,,-,-,-,-.19,-,,
.005,.002,-,-,ABVO,  opt aug16,.003,-,-,-,.003,-,,-,-,-,-,-,,
.75,.579,-,-,ASW,Advanced Share Reg,.64,-,-,.65,.675,3.70,f,.95,.15,5.78,3.50,18.3,,
.25,.125,-,-,AER,Aeeris,.16,-,-,.15,.16,-,,-,-,-,-,-,,
.60,.215,.475,.45,AEI,Aeris Environmental,.47,+1,500,.45,.49,-,,-,.04,-,-1.55,-,,
1.480,.49,-,-,AFJ,Affinity Education,.915,-,-,-,-,-,,-,-.15,-,.49,186.7,,
.001,.001,-,-,AFT,AFT Corp,.001,-,-,-,.001,-,,-,-,-,-.02,-,,
.04,.003,.004,.004,AHA,AG Financial,.004,-,10000,.004,.005,-,,-,.01,-,-.36,-,,
.022,.009,-,-,AGX,Agenix,.013,-,-,.013,.014,-,,-,.01,-,-.80,-,,
17.25,12.55,16.99,16.66,AGL,AGL Energy,16.82,-20,30001,16.81,16.83,64.00,f,.52,8.22,3.80,33.30,50.5,,
.10,.075,-,-,AGJ,Agricultural Land unt,.075,-,-,.075,.08,.52,,7.06,.10,6.93,3.67,2.0,,
.65,.015,.63,.60,AHL,Ahalife Hldgs,.615,-1,10496,.615,.625,-,,-,-,-,-.70,-,,
.15,.115,.12,.12,APW,AIMS Prop Sec Fund unt,.12,-,233,.12,.125,.52,,5.98,.19,4.33,3.11,3.9,,
3.29,2.03,2.41,2.37,AGI,Ainsworth Game Tech,2.38,-2,2674,2.38,2.40,10.00,f,2.20,.78,4.20,22.00,10.8,,
2.90,2.09,2.56,2.50,AIZ,Air New Zealand,2.56,+5,222,2.44,2.59,14.80,,1.75,1.47,5.78,25.85,9.9,,
.995,.48,.90,.85,AXP,"Airxpanders, cdi",.89,+7,1309,.815,.90,-,,-,.14,-,-2.91,-,,
.82,.215,-,-,AJL,AJ Lucas Grp,.255,-,-,.28,.30,-,,-,.30,-,-16.90,-,,
.095,.03,.093,.092,ACL,Alchemia,.093,-,425,.092,.093,-,,-,.03,-,-4.87,-,,
26.86,12.22,12.92,12.92,AAI,Alcoa Inc cdi,12.92,-7,-,8.99,12.90,11.03,,2.55,-,.85,28.12,45.9,,
4.005,3.15,3.89,3.75,LEP,ALE Prop Grp stp,3.75,-6,2797,3.75,3.84,18.35,,2.77,2.27,4.89,50.77,7.4,,
1.17,.36,.865,.825,AJX,Alexium Int'l,.86,+3,7230,.86,.865,-,,-,.04,-,-5.78,-,,
.094,.03,.043,.043,AEB,Algae.Tec,.043,-,117,.042,.043,-,,-,.01,-,-.88,-,,
.325,.055,-,-,AMT,Allegra Orthopaedics,-,-,-,.05,.19,-,,-,.06,-,-1.49,-,,
1.00,.36,.555,.555,AQZ,Alliance Aviation,.555,-,39,.525,.56,2.10,f,-,.99,3.78,-34.41,-,,
6.273,3.53,3.96,3.74,ALQ,ALS,3.88,-11,34415,3.86,3.89,17.50,p,-,-.14,4.51,-44.14,-,,
