Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4670.0 at 16:34 27/1/2010  Report at 19:05 Wednesday 27/1/2010. Processed 19:20 Wednesday 27/1/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
104.45,86.00,-,-,LEPHB,ALE Prop Grp 7.265un11,102.00,-,-,102.00,105.00,100.00,7.265sa,31/03/10,30/09/11m,102.5,9.0
100.00,99.50,-,-,ACDHC,Aust Central 9% un15,99.50,-,-,94.50,-,100.00,9.0q,1/04/10,31/07/10i,100,11.8
105.00,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,102.00,-,-,102.00,-,100.00,7.82,-,7/09/2012,-,-
103.00,100.50,-,-,BZBHA,Brookfield Bonds B 8.79%3m12,103.00,-,-,102.50,103.00,100.00,8.79,-,23/11/2012,-,-
760.00,200.00,755.001,755.001,CBHGA,CBH Res Ltd 7.25%cn12,755.001,2,120.8,760.00,795.00,1000.00,7.25sa,15/03/10,3/05/12m,-,23.5
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,1200.00,-,500.00,50,-,14/7/2011,-,-
106.00,102.00,105.00,104.50,HBSHA,Heritage Bld Soc 10%3mth19,104.50,18,191.34,104.50,105.00,100.00,10.000q,17/02/10,27/10/14i,100,3.7
0.80,0.71,-,-,MSCHF,Minerals Corp 10.5%db11,0.71,-,-,0.71,0.78,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1650.00,n/a,1/03/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,4031.00,n/a,1/03/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,4294.00,n/a,1/03/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
25.00,5.25,19.50,17.80,AFPHA,Alpha Financial Prod ser1frn12,19.50,9,17.124,19.50,22.00,100.00,6.18sa,20/03/10,20/03/12m,100,109.2
114.00,100.00,110.73,110.00,AQNHA,AMP Grp Finance frn apr19,110.73,4,46.879,110.20,110.73,100.00,8.755q,17/02/10,15/05/14i,100,3.4
72.00,47.20,66.80,66.80,BENHB,Bendigo & Adelaide cap. note,66.80,2,13.56,66.80,68.45,100.00,4.80q,2/03/10,undated,100,4.5
60.00,13.00,60.00,60.00,GINHA,Generator Income gennote2,60.00,5,30,60.00,64.75,100.00,6.130q,8/04/10,8/10/11m,100,36.4
98.00,92.75,97.10,97.10,HLCHA,Halcyon Sec hlcnte10,97.10,2,19.42,97.10,97.50,100.00,7.37q,3/02/10,3/08/10m,100,9.5
83.00,29.00,75.80,74.75,MBLHB,Macq Bank Ltd inc sec,74.80,18,136.887,74.75,74.80,100.00,5.41q,15/01/10,undated,100,4.6
0.231,0.021,0.206,0.205,MFNHA,Macq Fortress frn aug35,0.205,152,3.113,0.205,0.224,1.00,n/a,31/03/10,31/08/35m,1,n/a
86.65,58.00,79.021,77.211,NABHA,National Aust Bank natincsec,78.72,85,663.564,77.65,78.72,100.00,5.255q,15/02/10,undated,100,3.2
85.10,45.00,-,-,NXBHC,Nexus Bonds Ltd nexus3,85.10,-,-,88.00,93.00,100.00,7.00q,14/03/10,14/12/10m,100,24.1
59.80,40.00,-,-,NXBHD,  nexus4,58.00,-,-,60.00,61.50,100.00,6.70q,20/05/10,23/06/15m,100,n/a
92.00,58.00,91.00,90.40,SAKHA,Sthn Cross Air skies,91.00,6,52.022,90.35,91.50,100.00,5.910q,17/04/10,1/01/12i,100,7.4
72.00,35.00,68.37,68.00,SUNHB,Suncorp-Metway cap. note,68.37,1,4.99,64.01,68.37,100.00,4.80q,15/02/10,undated,100,4.0
107.85,101.20,107.40,107.00,TAHHA,Tabcorp Hldgs Ltd bondmay14,107.397,5,48.436,107.20,107.40,100.00,8.255q,17/02/10,1/05/14i,100,2.7
98.80,84.20,98.20,97.65,WOWHB,Woolworths Ltd perp.frn,98.20,38,375.414,97.30,98.20,100.00,5.350q,15/03/10,15/09/11i,100,2.8
Convertible Notes ,,,,,,,,,,,,,,,,
-,-,-,-,AVDG,Advance Energy 9.5% cn15,-,-,-,-,-,1.00,0.1,-,1/04/2015,-,-
0.95,0.62,-,-,AGIG,Ainsworth Game Tech 10% cn11,0.83,-,-,0.765,0.80,1.30,8.0sa,31/12/09,31/12/09m,-,n/a
2.07,1.11,-,-,AZZG,Antares Energy 10% cn13,2.05,-,-,1.98,2.05,2.00,10.0q,31/10/09,31/10/09h,-,n/a
0.86,0.14,-,-,AXOG,Aurox Res 7%cnjun10,0.82,-,-,0.80,0.835,0.95,7.0sa,30/06/10,30/06/10m,0.95,49.8
0.58,0.11,0.53,0.53,BECG,Becton Prop Grp 9.5% cn10,0.53,300,15.9,0.53,0.539,0.65,9.5sa,30/06/10,30/06/10m,0.65,71.8
0.23,0.13,-,-,BPKG,Bremer Park Ltd 7% cn10,0.13,-,-,0.12,-,1.00,7.0sa,30/06/10,23/12/10m,1,n/a
0.19,0.105,-,-,CBDG,CBD Energy Ltd 12.5% cn,0.18,-,-,0.14,0.18,0.10,0.13,-,28/1/2011,-,-
0.90,0.64,-,-,CCYG,China Century Capitl 12%  cn10,0.825,-,-,0.825,-,1.00,12.0q,31/03/10,30/09/10m,1,54.9
1.048,0.75,-,-,DRAG,Dragon Min Ltd 10% cn11,0.995,-,-,0.99,1.04,1.05,10.0q,31/03/10,10/02/11m,1.05,16.6
0.60,0.60,-,-,FARGA,First Aust Res 15% cn12,0.60,-,-,-,-,0.45,0.15,-,31/1/2012,-,-
