Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,
XAO 4896.3 at 16:34 25/3/2010  Report at 19:05 Thursday 25/3/2010. Processed 19:10 Thursday 25/3/2010.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds ,,,,,,,,,,,,,,,,
105.00,86.25,-,-,LEPHB,ALE Prop Grp 7.265un11,103.00,-,-,99.16,103.50,100.00,7.265sa,31/03/10,30/09/11m,102.5,6.7
100.00,99.50,-,-,ACDHC,Aust Central 9% un15,99.80,-,-,-,99.80,100.00,9.0q,1/04/10,31/07/10i,100,9.5
105.00,100.00,-,-,BZAHA,Brookfield Bonds A 7.82%3m12,100.00,-,-,99.50,-,100.00,7.82,-,7/09/2012,-,-
103.50,100.50,103.00,102.00,BZBHA,Brookfield Bonds B 8.79%3m12,102.80,11,110.863,102.00,103.00,100.00,8.79,-,23/11/2012,-,-
855.00,225.00,-,-,CBHGA,CBH Res Ltd 7.25%cn12,850.00,-,-,850.00,855.00,1000.00,7.25sa,15/09/10,3/05/12m,-,16.1
1200.00,0.12,-,-,GOAG,Gold Anomaly Ltd 10% cn11,1200.00,-,-,-,-,500.00,50,-,14/7/2011,-,-
108.00,102.00,107.20,107.00,HBSHA,Heritage Bld Soc 10%3mth19,107.20,5,49.778,105.70,107.30,100.00,10.000q,17/05/10,27/10/14i,100,2.6
0.80,0.66,-,-,MSCHF,Minerals Corp 10.5%db11,0.66,-,-,0.50,0.69,1.00,10.5,-,30/9/2011,-,-
3905.657,3905.657,-,-,LSBHA,Pentagon Capital lsbfr7,3905.657,-,-,-,-,1501.00,n/a,1/05/10,1/10/11m,-,n/a
5697.365,5697.365,-,-,LSBHB,  lsbfr10,5697.365,-,-,-,-,3911.00,n/a,1/05/10,1/10/14m,-,n/a
5905.21,5905.21,-,-,LSBHF,  lsbml10,5905.21,-,-,-,-,4158.00,n/a,1/05/10,1/10/14m,-,n/a
Floating Rate Notes ,,,,,,,,,,,,,,,,
25.00,5.25,25.00,23.00,AFPHA,Alpha Financial Prod ser1frn12,25.00,14,33.45,25.50,75.00,100.00,7.14sa,20/09/10,20/03/12m,100,89.0
114.00,100.00,109.70,109.70,AQNHA,AMP Grp Finance frn apr19,109.70,24,266.461,109.71,109.77,100.00,8.977q,17/05/10,15/05/14i,100,3.3
72.00,49.50,66.00,66.00,BENHB,Bendigo & Adelaide cap. note,66.00,2,13.2,66.00,66.50,100.00,4.98q,31/05/10,undated,100,4.7
66.90,20.00,66.90,66.90,GINHA,Generator Income gennote2,66.90,2,12.242,67.22,69.90,100.00,6.130q,8/04/10,8/10/11m,100,32.7
98.20,92.75,-,-,HLCHA,Halcyon Sec hlcnte10,97.303,-,-,97.303,98.499,100.00,7.51q,3/05/10,3/08/10m,100,15.4
83.00,45.50,71.50,70.00,MBLHB,Macq Bank Ltd inc sec,70.00,42,296.398,70.00,71.999,100.00,5.97q,15/04/10,undated,100,5.1
0.231,0.05,-,-,MFNHA,Macq Fortress frn aug35,0.215,-,-,0.188,0.205,1.00,n/a,31/03/10,31/08/35m,1,n/a
86.65,63.40,76.999,76.60,NABHA,National Aust Bank natincsec,76.651,64,488.109,76.667,76.796,100.00,5.48q,17/05/10,undated,100,3.6
93.00,45.00,91.50,91.50,NXBHC,Nexus Bonds Ltd nexus3,91.50,3,22.875,91.65,92.50,100.00,7.18q,14/06/10,14/12/10m,100,16.5
60.50,40.00,60.50,60.50,NXBHD,  nexus4,60.50,-,2.42,59.50,60.99,100.00,6.70q,20/05/10,23/06/15m,100,n/a
95.00,59.00,92.50,92.00,SAKHA,Sthn Cross Air skies,92.00,7,60.204,91.55,93.00,100.00,5.910q,27/04/10,1/01/12i,100,7.9
72.00,45.80,65.00,65.00,SUNHB,Suncorp-Metway cap. note,65.00,2,15.015,64.76,66.20,100.00,4.98q,15/05/10,undated,100,4.6
107.95,101.20,106.50,106.10,TAHHA,Tabcorp Hldgs Ltd bondmay14,106.50,5,57.353,106.20,106.50,100.00,8.477q,17/05/10,1/05/14i,100,2.7
98.80,86.00,96.50,95.84,WOWHB,Woolworths Ltd perp.frn,96.001,22,208.7,96.001,96.50,100.00,5.530q,15/06/10,15/09/11i,100,4.2
Convertible Notes ,,,,,,,,,,,,,,,,
1.07,1.02,-,-,AVDG,Advance Energy 9.5% cn15,1.07,-,-,-,1.05,1.00,0.1,-,1/04/2015,-,-
0.95,0.62,-,-,AGIG,Ainsworth Game Tech 10% cn11,0.80,-,-,0.80,0.92,1.30,8.0sa,30/06/10,31/12/11m,1.3,43.0
2.07,1.25,-,-,AZZG,Antares Energy 10% cn13,2.02,-,-,2.02,2.05,2.00,10.0q,30/04/10,31/10/13h,-,n/a
0.95,0.30,0.95,0.95,AXOG,Aurox Res 7%cnjun10,0.95,790,75.05,0.945,0.95,0.95,7.0sa,30/06/10,30/06/10m,0.95,14.1
0.58,0.20,-,-,BECG,Becton Prop Grp 9.5% cn10,0.50,-,-,0.515,0.53,0.65,9.5sa,30/06/10,30/06/10m,0.65,169.0
0.23,0.12,-,-,BPKG,Bremer Park Ltd 7% cn10,0.12,-,-,0.12,-,1.00,7.0sa,30/06/10,23/12/10m,1,n/a
0.19,0.105,-,-,CBDG,CBD Energy Ltd 12.5% cn,0.135,-,-,0.135,0.15,0.10,0.13,-,28/1/2011,-,-
0.95,0.64,-,-,CCYG,China Century Capitl 12%  cn10,0.92,-,-,-,-,1.00,12.0q,31/03/10,30/09/10m,1,30.2
1.048,0.83,-,-,DRAG,Dragon Min Ltd 10% cn11,1.01,-,-,1.01,1.038,1.05,10.0q,31/03/10,10/02/11m,1.05,14.7
0.60,0.60,-,-,FARGA,First Aust Res 15% cn12,0.60,-,-,-,-,0.45,0.15,-,31/1/2012,-,-
2.50,2.15,-,-,HSKG,Heemskirk Cons 8% cn11,2.41,-,-,2.32,2.45,3.00,12.0q,31/03/10,29/04/11m,3,30.7
101.20,52.50,100.00,99.85,IANG,IAG Finance (Nz) exch.note,100.00,60,596.38,99.85,100.00,100.00,5.901q,15/06/10,15/12/19h,100,4.0
0.12,0.06,-,-,MSTG,Metal Storm Ltd 10% cn11,0.102,-,-,0.098,0.10,0.14,12.0q,22/06/10,1/09/11m,0.14,30.9
0.15,0.12,-,-,MSTGA,  sec cn11,0.15,-,-,0.016,0.145,0.135,-,-,9/01/2011,-,-
95.50,63.501,81.70,81.50,NFNG,Nufarm Finance (Nz) exc.nov11,81.50,3,24.25,81.50,82.00,100.00,6.190sa,15/04/10,24/11/11i,100,18.1
0.12,0.04,-,-,RSNG,Renison Cons 12% cn12,0.116,-,-,0.10,0.20,0.33,0.12,-,31/3/2012,-,-
1.25,0.67,-,-,RSGG,Resolute Min 12% cn12,1.00,-,-,0.95,1.09,0.50,12.0q,21/06/10,31/12/12m,-,n/a
99.75,80.00,99.01,98.50,SKAG,Skycity Invest aces,99.01,-,3.059,98.001,99.01,100.00,4.676q,15/06/10,15/12/10h,100,4.1
0.55,0.45,-,-,SURG,Sun Res NL 12%  cn11,0.45,-,-,0.20,-,0.55,12.0q,23/04/10,30/6/11m,0.55,30.2
0.27,0.04,-,-,VHLG,Virax Hldgs cn dec11,0.27,-,-,-,0.27,0.10,-,-,8/12/11m,0.12,n/a
Hybrid Securities ,,,,,,,,,,,,,,,,
100.60,99.00,100.55,100.011,ANZPA,ANZ Banking Grp pref,100.50,361,3623.43,100.45,100.50,100.00,5.271q,15/06/10,15/12/16i,100,3.1
103.00,92.00,99.90,99.001,ANZPB,  pref,99.90,61,603.725,99.55,99.90,100.00,4.851q,15/06/10,15/06/14i,100,2.6
87.503,36.25,85.34,84.50,AAZPB,Australand Assets assets,85.34,13,110.191,85.00,85.34,100.00,8.910q,31/03/10,undated,100,n/a
102.95,97.20,-,-,BOQPA,Bank of Qld reset prf,100.50,-,-,99.00,100.50,100.00,5.124sa,15/04/10,15/10/10h,100,5.8
