Interest Rate Securities Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5868.6 at 2015-03-06T16:49:06. Report at Friday, March 6, 2015. Processed Saturday at 2015-03-07T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Week's High,Week's Low,ASX Code,Security Description,Last Sale,Vol $Mil,Val $Mil,Quote Buy,Quote Sell,Face Value,CPN (%) p.a.,Next Cpn date,Conv Mat. date,Conv Mat. Value,YTM Conv
Corporate Bonds,,
109.65,104.50,107.55,107.52,HBSHB,Heritage Bank bondjun17,107.55,3,35.381,107.55,108.14,100.00,7.250q,20/03/15,20/06/17h,100.00,4.5,,
106.00,101.00,-,-,URFHA,US Masters Res Prop Fd 7.75nte19,105.00,-,-,104.06,-,100.00,7.750q,31/03/15,27/10/14i,100.00,6.9,,
Floating Rate Notes,,
109.00,102.401,105.50,105.20,AGLHA,AGL Energy frn jun39,105.49,29,305.840,105.26,105.69,100.00,6.515q,8/03/15,8/06/19i,100.00,+2.5,,
105.49,101.17,103.50,103.00,AMPHA,AMP frn dec23,103.20,14,146.365,103.20,103.50,100.00,5.420q,16/03/15,18/12/18i,100.00,+1.6,,
105.91,102.70,104.30,104.11,ANZHA,ANZ Banking Grp frn jun22,104.11,48,497.608,104.10,104.20,100.00,5.528q,20/03/15,20/6/17i,100.00,+1.4,,
109.00,104.00,107.95,107.70,AQHHA,APT Pipelines notesep72,107.70,16,177.075,107.75,107.95,100.00,7.247q,31/03/15,31/03/18i,100.00,+2.2,,
105.75,101.50,-,-,AYUHA,Aust Unity frn apr16,102.75,-,-,102.76,103.49,100.00,6.285q,14/04/15,14/04/16i,100.00,+1.8,,
82.00,73.01,-,-,BENHB,Bendigo & Adelaide Bk cap. note,80.00,-,-,79.00,81.90,100.00,3.78q,30/08/13,undated,100.00,+2.5,,
109.50,104.50,106.35,106.20,CTXHA,Caltex Aust notesep37,106.35,30,316.441,106.30,106.90,100.00,7.240q,17/03/15,15/06/17i,100.00,+1.8,,
104.98,101.021,104.00,103.79,CNGHA,Colonial Hldgs frn mar37,103.93,26,271.316,103.93,104.00,100.00,6.020q,29/03/15,31/3/17i,100.00,+1.8,,
101.40,99.70,100.70,100.70,CBAHA,C'wlth Bank  of Aust bonddec15,100.70,8,75.525,100.70,100.80,100.00,3.785q,15/04/15,24/12/15h,100.00,+.8,,
112.39,104.20,105.48,105.10,CWNHA,Crown Resorts notesep72,105.48,20,207.651,105.48,105.80,100.00,7.740q,14/03/15,14/09/18i,100.00,+3.4,,
105.80,100.80,-,-,IMFHA,IMF Bentham bnd jun19,104.50,-,-,104.80,105.20,100,6.95,8/04/15,30/06/19,-,-,,
89.25,78.50,80.60,80.00,MBLHB,Macquarie Bank inc sec,80.42,40,320.711,80.42,81.00,100.00,4.44q,15/04/15,undated,100.00,+2.9,,
83.00,75.231,76.499,75.80,NABHA,National Aust Bank natincsec,76.499,136,1034.88,75.802,76.499,100.00,3.585q,15/05/15,undated,100.00,+2.7,,
105.70,102.30,103.48,103.05,NABHB,  notejun22,103.15,53,550.093,103.09,103.20,100.00,5.520q,18/03/15,18/6/17i,100.00,+1.3,,
98.50,93.10,-,-,NXBHD,Nexus Bonds nexus4,98.50,-,-,98.26,-,100.00,5.54q,20/05/15,23/06/15m,100.00,n/a,,
105.50,98.40,103.00,102.64,ORGHA,Origin Energy frn dec71,102.65,142,1460.72,102.65,102.90,100.00,6.775q,22/03/15,22/12/16i,100.00,+3.1,,
105.00,101.10,102.49,101.90,PRYHA,Primary Health Care bondsep15,101.90,104,1059.75,101.90,102.35,100.00,6.747q,29/03/15,28/09/15i,100.00,+2.8,,
80.50,71.20,-,-,SBKHB,Suncorp-Metway cap. note,77.50,-,-,76.30,78.00,100.00,3.09q,15/05/15,undated,100.00,+1.9,,
107.25,102.65,106.30,106.15,TAHHB,Tabcorp Hldgs notemar37,106.15,9,93.494,106.15,106.30,100.00,6.775q,22/03/15,22/3/17i,100.00,+1.5,,
107.90,102.80,106.00,105.50,TTSHA,Tatts Grp bondjul19,105.60,5,52.800,105.61,106.75,100.00,5.840q,5/04/15,5/06/19h,100.00,+1.9,,
105.95,102.42,103.50,103.20,WBCHA,Westpac Banking frn aug22,103.20,56,578.402,103.20,103.40,100.00,5.067q,23/05/15,23/8/17i,100.00,+1.3,,
104.10,100.49,101.57,101.25,WBCHB,  frn aug23,101.57,31,318.059,101.25,101.55,100.00,4.617q,22/05/15,22/8/18i,100.00,+1.9,,
107.00,102.91,103.25,102.91,WOWHC,Woolworths frn nov36,103.155,39,401.312,103.10,103.155,100.00,5.567q,24/05/15,24/11/16i,100.00,+1.4,,
Convertible Notes,,
2.15,1.87,-,-,AZZG,Antares Energy 10% cn23,1.95,-,-,1.95,1.96,2.00,10.0q,30/04/15,31/10/13h,2.00,10.6,,
123.301,113.25,119.50,119.50,AFIG,Aust Foundation 6.25% cn,119.50,4,45.410,119.50,120.25,100.00,6.25sa,31/08/15,28/02/17h,-,n/a,,
1.01,1.00,-,-,CGRG,CML Grp 9% cn,1.00,-,-,.985,1.10,1,9.00,-,29/01/20,-,-,,
102.00,99.90,-,-,CTNG,Contango Microcap 5.5 cn20,101.50,-,-,101.60,-,100,5.50,-,31/03/20,-,-,,
25.25,23.50,-,-,CGNG,Crater Gold Mining 10% cn,25.25,-,-,25.25,38.273,25,10.00,31/12/14,21/08/17,-,-,,
109.50,100.60,104.00,103.50,IANG,IAG Finance (NZ) exch.note,103.73,18,191.818,103.73,103.90,100.00,4.725q,15/03/15,15/12/19h,100.00,+3.1,,
.34,.145,-,-,KBLGA,KBL Mining 10% cn,.232,-,-,.215,.232,.38,10.00,31/12/14,5/08/16,-,-,,
105.75,97.50,104.00,103.90,MYBG,MYOB Finance sub.nte17,104.00,19,194.995,104.00,104.24,100.00,9.278q,20/03/15,20/12/17h,100.00,+5.7,,
91.00,73.00,88.10,88.10,NFNG,Nufarm Finance (NZ) exc.nov11,88.10,1,8.986,88.10,88.85,100.00,6.635sa,15/04/15,undated,100.00,+5.0,,
108.00,102.60,106.99,106.00,PPCG,Peet 9.5% cn,106.00,32,343.678,102.50,106.99,100.00,9.5sa,16/06/15,16/06/16h,100.00,5.5,,
.50,.35,-,-,SKSG,Stokes 10% cn,.50,-,-,.46,.55,.35,10.00,5/01/15,30/06/17,-,-,,
Hybrid Securities,,
104.30,99.251,101.20,100.60,ANZPA,ANZ Banking Grp pref cps2,100.65,70,707.012,100.65,100.97,100.00,4.088q,15/03/15,15/12/16i,100.00,+2.7,,
105.90,98.499,99.89,99.65,ANZPC,  pref cps3,99.65,120,1192.39,99.60,99.647,100.00,3.802sa,1/06/15,1/09/17i,100.00,+3.2,,
107.60,98.131,99.76,99.38,ANZPD,  cap note,99.38,100,992.320,99.40,99.50,100.00,4.029sa,1/06/15,1/09/21i,100.00,+3.4,,
105.48,97.40,100.99,100.65,ANZPE,  cap note2,100.71,83,834.524,100.71,100.76,100.00,3.924sa,24/03/15,24/03/22i,100.00,+3.5,,
-,-,100.10,99.99,ANZPF,  def,100.03,453,4530.10,100.03,100.15,-,-,-,-,-,-,,
110.15,103.00,107.39,107.10,BOQPD,Bank of Qld pref,107.39,13,142.443,107.20,107.39,100.00,5.485sa,15/04/15,15/04/18i,100.00,+3.5,,
100.61,97.34,-,-,BENPB,Bendigo & Adelaide Bk pref,99.40,-,-,99.32,99.60,100.00,2.975q,15/03/15,15/06/15h,100.00,+4.0,,
110.00,103.15,106.20,106.05,BENPD,  pref,106.20,13,136.700,106.20,106.40,100.00,5.418sa,13/06/15,13/12/17i,100.00,+3.3,,
