ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4546.3 at 16:47 2/11/2009  Report at 19:05 Monday 2/11/2009. Processed 19:21 Monday 2/11/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.325,0.048,0.26,0.245,TDO,3D Oil Ltd,0.25,-1.5,5885,0.25,0.27,-,,-,-,-,-0.46,-
0.026,0.007,0.022,0.021,DDD,3D Res Ltd,0.021,-0.2,4753,0.022,0.025,-,,-,-,-,-4.66,-
0.12,0.014,0.10,0.10,AAO,A'asia Gold,0.10,-1.5,50,0.093,0.115,-,,-,-,-,-5.03,-
0.70,0.29,0.47,0.44,ARH,A'asian Resour,0.465,-2,885,0.45,0.465,-,,-,-,-,-2.85,-
0.245,0.06,0.24,0.20,AAM,A1 Min Ltd,0.24,1.5,5456,0.235,0.24,-,,-,-,-,-3.99,-
0.07,0.006,0.037,0.034,ABU,ABM Res NL,0.034,-0.3,5017,0.034,0.037,-,,-,-,-,-0.65,-
0.33,0.13,0.215,0.205,AII,Abra Min Ltd,0.205,-1,208,0.205,0.225,-,,-,-,-,-1.39,-
0.60,0.08,0.38,0.36,ACB,A-Cap Res,0.375,-2,1836,0.375,0.395,-,,-,-,-,-2.93,-
0.27,0.055,0.16,0.15,ACS,Accent Res NL,0.16,0.5,1144,0.15,0.155,-,,-,-,-,-1.37,-
0.008,0.003,0.006,0.006,AEX,Acclaim Explore,0.006,,11850,0.005,0.006,-,,-,-,-,-1.52,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,-,-,,-,-,-,-,-
0.12,0.028,0.095,0.095,AIV,Activex Ltd,0.095,,145,0.085,0.10,-,,-,-,-,-1.66,-
0.06,0.001,-,-,AIVO,  opt jul10,0.055,,-,0.045,0.06,-,,-,-,-,-,-
0.53,0.10,0.43,0.40,ADU,Adamus Res,0.415,-0.5,1194,0.40,0.42,-,,-,-,-,-10.25,-
0.065,0.01,0.05,0.05,ADD,Adavale Resource,0.05,0.2,4000,0.046,0.048,-,,-,0.03,-,-0.3,-
0.16,0.035,0.125,0.12,ADE,Adelaide Energy,0.125,,140,0.115,0.125,-,,-,-,-,1.39,9.0
0.37,0.04,0.205,0.20,ADN,Adelaide Res,0.20,-1.5,1084,0.205,0.21,-,,-,-,-,4.86,4.1
0.31,0.045,0.14,0.13,ADI,Adelphi Energy,0.135,-0.5,3576,0.13,0.135,-,,-,-,-,-5.87,-
1.65,0.096,1.26,1.10,ABY,Aditya Birla,1.23,-6.5,20136,1.225,1.23,-,,-,1.42,-,-17.34,-
0.054,0.008,0.018,0.017,ADY,Admiralty Res,0.017,-0.1,40287,0.017,0.018,-,,-,-,-,-2.73,-
-,-,-,-,ADYN,  def,-,,-,-,-,-,,-,-,-,-,-
0.125,0.025,-,-,AVD,Advance Energy,0.10,,-,0.086,0.10,-,,-,0.04,-,-1.06,-
1.35,0.50,0.54,0.50,AED,AED Oil Ltd,0.535,-2.5,5524,0.53,0.535,-,,-,-,-,-66.9,-
0.18,0.01,0.135,0.13,AFR,African Energy Res cdi,0.13,-1,8577,0.125,0.13,-,,-,-,-,-1.5,-
0.195,0.14,-,-,ALG,Alamar Res Ltd,0.16,,-,0.18,0.20,-,,-,-,-,-1.12,-
0.245,0.026,0.21,0.195,AUQ,Alara Res Ltd,0.21,,809,0.21,0.22,-,,-,-,-,-11.01,-
1.27,0.035,0.93,0.80,ALY,Alchemy Resource,0.93,7.5,26118,0.93,0.935,-,,-,-,-,-3.27,-
0.96,0.001,0.69,0.57,ALYO,  opt aug10,0.69,10,3226,0.69,0.70,-,,-,-,-,-,-
0.49,0.10,0.40,0.34,ALK,Alkane Res Ltd,0.39,1.5,5686,0.39,0.40,-,,-,-,-,-0.25,-
0.98,0.333,0.62,0.605,AGS,Alliance Res,0.62,-1,5274,0.61,0.62,-,,-,-,-,-8.3,-
0.57,0.20,0.43,0.42,ALD,Allied Gold Ltd,0.42,-3.5,1002,0.42,0.43,-,,-,0.29,-,-1.92,-
0.045,0.011,0.025,0.025,AYR,Alloy Res,0.025,-0.7,4000,0.024,0.025,-,,-,-,-,-0.82,-
