ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4776.7 at 16:47 2/12/2009  Report at 19:05 Wednesday 2/12/2009. Processed 19:32 Wednesday 2/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.325,0.07,0.26,0.25,TDO,3D Oil Ltd,0.26,0.5,2487,0.255,0.27,-,,-,-,-,-0.46,-
0.026,0.007,-,-,DDD,3D Res Ltd,0.017,,-,0.017,0.022,-,,-,-,-,-4.66,-
0.12,0.018,0.097,0.097,AAO,A'asia Gold,0.097,,725,0.085,0.097,-,,-,-,-,-5.03,-
0.70,0.29,0.475,0.465,ARH,A'asian Resour,0.475,1.5,595,0.475,0.48,-,,-,-,-,-2.85,-
0.415,0.068,0.415,0.365,AAM,A1 Min Ltd,0.415,5,37253,0.39,0.415,-,,-,-,-,-3.99,-
0.07,0.006,0.036,0.035,ABU,ABM Res NL,0.035,-0.1,48791,0.034,0.035,-,,-,-,-,-0.65,-
0.25,0.13,-,-,AII,Abra Min Ltd,0.23,,-,0.23,0.25,-,,-,-,-,-1.39,-
0.60,0.084,0.415,0.40,ACB,A-Cap Res,0.41,0.5,5965,0.405,0.41,-,,-,-,-,-2.93,-
0.27,0.055,0.15,0.14,ACS,Accent Res NL,0.14,,2600,0.14,0.15,-,,-,-,-,-1.37,-
0.008,0.003,-,-,AEX,Acclaim Explore,0.006,,-,0.005,0.006,-,,-,-,-,-1.52,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,-,-,,-,-,-,-,-
0.12,0.028,0.09,0.09,AIV,Activex Ltd,0.09,,903,0.085,0.09,-,,-,-,-,-1.66,-
0.06,0.001,-,-,AIVO,  opt jul10,0.045,,-,0.03,0.055,-,,-,-,-,-,-
0.53,0.16,0.485,0.46,ADU,Adamus Res,0.47,2,7044,0.465,0.48,-,,-,-,-,-10.25,-
0.065,0.014,-,-,ADD,Adavale Resource,0.041,,-,0.045,0.048,-,,-,0.03,-,-0.3,-
0.16,0.037,0.14,0.13,ADE,Adelaide Energy,0.14,,7105,0.13,0.14,-,,-,-,-,1.39,10.1
0.37,0.042,0.31,0.295,ADN,Adelaide Res,0.30,0.5,9887,0.285,0.30,-,,-,-,-,4.86,6.2
0.185,0.045,0.14,0.135,ADI,Adelphi Energy,0.14,0.5,1718,0.13,0.14,-,,-,-,-,-5.87,-
1.65,0.096,1.425,1.375,ABY,Aditya Birla,1.395,3.5,6532,1.36,1.40,-,,-,1.42,-,-17.34,-
0.054,0.009,0.017,0.016,ADY,Admiralty Res,0.017,0.1,103571,0.016,0.017,-,,-,-,-,-2.73,-
0.125,0.025,-,-,AVD,Advance Energy,0.07,,-,0.062,0.07,-,,-,0.04,-,-1.06,-
1.305,0.50,0.57,0.555,AED,AED Oil Ltd,0.57,2,3780,0.56,0.57,-,,-,-,-,-66.9,-
0.24,0.01,0.16,0.15,AFR,African Energy Res cdi,0.155,0.5,6830,0.15,0.16,-,,-,-,-,-1.5,-
0.23,0.14,-,-,ALG,Alamar Res Ltd,0.19,,-,0.19,0.20,-,,-,-,-,-1.12,-
0.25,0.03,0.18,0.18,AUQ,Alara Res Ltd,0.18,0.5,14,0.185,0.19,-,,-,-,-,-11.01,-
1.27,0.035,0.77,0.745,ALY,Alchemy Resource,0.75,2.5,3788,0.745,0.75,-,,-,-,-,-3.27,-
0.96,0.001,0.50,0.50,ALYO,  opt aug10,0.50,,775,0.50,0.51,-,,-,-,-,-,-
0.06,0.041,0.048,0.046,AYN,Alcyone Res Ltd,0.046,0.3,16760,0.046,0.047,-,,-,-,-,-8.29,-
0.021,0.021,-,-,AYNOB,  opt sep11,-,,-,0.006,-,-,,-,-,-,-,-
0.49,0.10,0.42,0.405,ALK,Alkane Res Ltd,0.405,-0.5,1613,0.405,0.41,-,,-,-,-,-0.25,-
0.98,0.333,0.565,0.53,AGS,Alliance Res,0.535,-0.5,8518,0.535,0.55,-,,-,-,-,-8.3,-
0.57,0.22,0.41,0.385,ALD,Allied Gold Ltd,0.395,,4040,0.40,0.41,-,,-,0.29,-,-1.92,-
0.045,0.011,0.028,0.028,AYR,Alloy Res,0.028,0.1,1636,0.028,0.032,-,,-,-,-,-0.82,-
2.00,0.683,1.595,1.565,AWC,Alumina Ltd,1.57,2.5,169969,1.57,1.575,12,,0.79,1.30,7.64,9.42,16.7
0.43,0.205,0.27,0.26,AMU,Amadeus Energy,0.27,,6727,0.26,0.27,-,,-,0.48,-,3.5,7.7
0.25,0.08,0.19,0.19,AXZ,Amex Res,0.19,2,149,0.17,0.19,-,,-,-,-,-5.32,-
0.69,0.043,0.60,0.565,AMX,Ampella Min,0.58,-0.5,6743,0.575,0.585,-,,-,-,-,-6.37,-
