ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:23 Friday 15/1/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.07,0.355,0.345,TDO,3D Oil Ltd,0.355,,250,0.35,0.36,-,,-,-,-,-0.46,-
0.026,0.007,-,-,DDD,3D Res Ltd,0.021,,-,0.02,0.025,-,,-,-,-,-4.66,-
0.12,0.018,0.07,0.07,AAO,A'asia Gold,0.07,-0.5,551,0.07,0.09,-,,-,-,-,-5.03,-
0.70,0.29,0.51,0.50,ARH,A'asian Resour,0.50,-1,172,0.505,0.515,-,,-,-,-,-2.85,-
0.42,0.076,0.385,0.375,AAM,A1 Min Ltd,0.375,-1,6111,0.375,0.38,-,,-,-,-,-3.99,-
0.07,0.006,0.037,0.035,ABU,ABM Res NL,0.037,0.2,18375,0.035,0.037,-,,-,-,-,-0.65,-
0.25,0.13,-,-,AII,Abra Min Ltd,0.18,,-,0.18,0.20,-,,-,-,-,-1.39,-
0.60,0.105,0.38,0.375,ACB,A-Cap Res,0.38,,734,0.38,0.385,-,,-,-,-,-2.93,-
0.27,0.055,0.22,0.21,ACS,Accent Res NL,0.215,1.5,2300,0.21,0.215,-,,-,-,-,-1.37,-
0.008,0.003,0.006,0.005,AEX,Acclaim Explore,0.006,0.1,20133,0.005,0.006,-,,-,-,-,-1.52,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.001,-,-,,-,-,-,-,-
0.12,0.032,0.095,0.093,AIV,Activex Ltd,0.093,,950,0.093,0.095,-,,-,-,-,-1.66,-
0.06,0.001,-,-,AIVO,  opt jul10,0.025,,-,0.023,0.035,-,,-,-,-,-,-
0.53,0.165,0.50,0.49,ADU,Adamus Res,0.495,-0.5,3126,0.495,0.50,-,,-,-,-,-10.25,-
0.065,0.014,0.037,0.037,ADD,Adavale Resource,0.037,-0.1,175,0.037,0.04,-,,-,0.03,-,-0.3,-
0.16,0.037,0.16,0.15,ADE,Adelaide Energy,0.155,0.5,14037,0.155,0.16,-,,-,-,-,1.39,11.2
0.395,0.046,0.25,0.24,ADN,Adelaide Res,0.24,-0.5,1044,0.24,0.245,-,,-,-,-,4.86,4.9
0.185,0.045,0.18,0.17,ADI,Adelphi Energy,0.17,-1,5246,0.165,0.175,-,,-,-,-,-5.87,-
1.65,0.096,1.37,1.33,ABY,Aditya Birla,1.335,-1,5036,1.335,1.36,-,,-,1.42,-,-17.34,-
0.037,0.011,0.018,0.017,ADY,Admiralty Res,0.017,,294401,0.017,0.018,-,,-,-,-,-2.73,-
0.125,0.029,0.057,0.057,AVD,Advance Energy,0.057,-0.3,500,0.051,0.057,-,,-,0.04,-,-1.06,-
1.24,0.50,0.685,0.665,AED,AED Oil Ltd,0.675,0.5,2437,0.675,0.685,-,,-,-,-,-66.9,-
