ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4877.7 at 16:36 18/3/2010  Report at 19:06 Thursday 18/3/2010. Processed 19:26 Thursday 18/3/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.07,0.25,0.245,TDO,3D Oil Ltd,0.245,-0.5,2405,0.24,0.245,-,,-,-,-,-0.27,-
0.026,0.007,-,-,DDD,3D Res Ltd,0.02,,-,0.02,0.023,-,,-,-,-,-1.9,-
0.109,0.018,0.09,0.08,AAO,A'asia Gold,0.089,0.7,3400,0.05,0.089,-,,-,-,-,-1.28,-
0.70,0.29,0.465,0.445,ARH,A'asian Resour,0.46,,1151,0.45,0.47,-,,-,-,-,-2.85,-
0.42,0.11,0.27,0.26,AAM,A1 Min Ltd,0.26,-1,11792,0.26,0.265,-,,-,-,-,-3.99,-
0.07,0.006,0.027,0.026,ABU,ABM Res NL,0.026,-0.1,24349,0.025,0.026,-,,-,-,-,-4.09,-
0.25,0.15,-,-,AII,Abra Min Ltd,0.165,,-,0.125,0.15,-,,-,-,-,-1.39,-
0.60,0.15,0.44,0.415,ACB,A-Cap Res,0.44,2,15692,0.435,0.44,-,,-,0.14,-,-0.91,-
0.27,0.075,0.20,0.18,ACS,Accent Res NL,0.18,,2995,0.18,0.195,-,,-,-,-,-1.37,-
0.029,0.003,0.021,0.02,AEX,Acclaim Explore,0.02,,41280,0.02,0.021,-,,-,-,-,-1.52,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.002,0.025,-,,-,-,-,-,-
0.12,0.046,0.082,0.082,AIV,Activex Ltd,0.082,0.7,1000,0.077,0.082,-,,-,-,-,-1.49,-
0.06,0.001,-,-,AIVO,  opt jul10,0.012,,-,0.012,0.04,-,,-,-,-,-,-
0.517,0.303,0.41,0.39,ADU,Adamus Res,0.395,-2.5,6858,0.395,0.40,-,,-,-,-,-12.87,-
-,-,-,-,ADUR,  rts06aprd,-,,-,0.021,-,-,,-,-,-,-,-
0.065,0.016,0.031,0.031,ADD,Adavale Resource,0.031,-0.1,487,0.029,0.031,-,,-,0.02,-,-0.96,-
0.16,0.048,0.155,0.15,ADE,Adelaide Energy,0.15,-0.5,4220,0.15,0.155,-,,-,-,-,1.39,10.8
0.395,0.049,0.21,0.205,ADN,Adelaide Res,0.21,,1751,0.205,0.21,-,,-,-,-,-0.56,-
0.385,0.045,0.28,0.27,ADI,Adelphi Energy,0.27,-1,1007,0.27,0.28,-,,-,-,-,-4.27,-
1.65,0.125,1.00,0.98,ABY,Aditya Birla,1.00,3,12232,0.98,1.00,-,,-,1.42,-,-17.34,-
0.037,0.009,0.011,0.01,ADY,Admiralty Res,0.011,,62187,0.01,0.011,-,,-,-,-,-2.73,-
0.125,0.03,0.05,0.04,AVD,Advance Energy,0.045,-1.5,1500,0.035,0.05,-,,-,-,-,-3.1,-
1.24,0.50,0.645,0.625,AED,AED Oil Ltd,0.63,-1,3005,0.63,0.64,-,,-,1.03,-,-48.17,-
0.24,0.021,0.091,0.086,AFR,African Energy Res cdi,0.086,-0.4,1270,0.086,0.098,-,,-,-,-,-1.13,-
0.027,0.009,-,-,AAE,Agri Energy Ltd,0.01,,-,0.01,0.012,-,,-,-,-,15.8,0.1
0.245,0.14,-,-,ALG,Alamar Res Ltd,0.165,,-,0.165,0.18,-,,-,-,-,-1.34,-
-,-,-,-,ALGO,  opt mar13,-,,-,0.015,0.08,-,,-,-,-,-,-
