ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4974.1 at 16:36 6/4/2010  Report at 19:06 Tuesday 6/4/2010. Processed 20:18 Tuesday 6/4/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.072,0.23,0.21,TDO,3D Oil Ltd,0.22,-2,6579,0.21,0.22,-,,-,-,-,-0.27,-
0.026,0.007,0.021,0.021,DDD,3D Res Ltd,0.021,0.1,500,0.02,0.021,-,,-,-,-,-1.9,-
0.109,0.023,0.07,0.07,AAO,A'asia Gold,0.07,0.5,500,0.065,0.07,-,,-,-,-,-1.28,-
0.70,0.35,0.44,0.44,ARH,A'asian Resour,0.44,1,406,0.43,0.45,-,,-,-,-,-1.4,-
0.42,0.11,0.255,0.24,AAM,A1 Min Ltd,0.24,,12090,0.24,0.245,-,,-,-,-,-3.56,-
0.07,0.006,0.028,0.026,ABU,ABM Res NL,0.027,0.2,111706,0.026,0.027,-,,-,-,-,-4.09,-
0.25,0.14,0.185,0.165,AII,Abra Min Ltd,0.185,2.5,100,0.125,0.185,-,,-,-,-,-1.94,-
0.60,0.20,0.445,0.40,ACB,A-Cap Res,0.44,2,8598,0.435,0.44,-,,-,0.14,-,-0.91,-
0.27,0.084,0.22,0.195,ACS,Accent Res NL,0.22,2,8562,0.22,0.225,-,,-,-,-,-1.53,-
0.029,0.004,0.02,0.017,AEX,Acclaim Explore,0.02,,93900,0.018,0.02,-,,-,-,-,-0.38,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,0.002,0.025,-,,-,-,-,-,-
0.12,0.05,0.12,0.115,AIV,Activex Ltd,0.115,,4237,0.11,0.115,-,,-,-,-,-1.49,-
