ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:34 Thursday 8/7/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share ¢,P/E Ratio
0.39,0.088,0.20,0.195,TDO,3D Oil Ltd,0.20,0.5,4600,0.185,0.195,-,,-,-,-,-0.27,-
0.026,0.01,-,-,DDD,3D Res Ltd,0.02,,-,0.02,0.025,-,,-,-,-,-1.9,-
0.109,0.029,-,-,AAO,A'asia Gold,0.045,,-,0.046,0.05,-,,-,-,-,-1.28,-
0.02,0.012,-,-,AAOO,  opt apr13,0.016,,-,0.011,-,-,,-,-,-,-,-
0.67,0.21,0.23,0.225,ARH,A'asian Resour,0.225,-0.5,405,0.225,0.23,-,,-,-,-,-1.4,-
0.42,0.13,0.215,0.215,AAM,A1 Min Ltd,0.215,,810,0.215,0.22,-,,-,-,-,-3.56,-
0.07,0.016,0.026,0.02,ABU,ABM Res NL,0.025,0.5,466068,0.024,0.025,-,,-,-,-,-4.09,-
0.25,0.086,-,-,AII,Abra Min Ltd,0.086,,-,0.086,0.13,-,,-,-,-,-1.94,-
0.60,0.28,0.315,0.305,ACB,A-Cap Res,0.305,,2749,0.305,0.31,-,,-,0.14,-,-0.91,-
0.27,0.13,0.14,0.14,ACS,Accent Res NL,0.14,-0.5,432,0.14,0.15,-,,-,-,-,-1.53,-
0.029,0.004,0.013,0.013,AEX,Acclaim Explore,0.013,,4723,0.013,0.014,-,,-,-,-,-0.38,-
0.003,0.003,-,-,AEXCD,  ctg,0.003,,-,-,0.025,-,,-,-,-,-,-
0.14,0.055,0.07,0.07,AIV,Activex Ltd,0.07,0.4,400,0.064,0.07,-,,-,-,-,-1.49,-
0.06,0.001,-,-,AIVO,  opt jul10,0.01,,-,-,0.01,-,,-,-,-,-,-
0.595,0.303,0.49,0.48,ADU,Adamus Res,0.48,-1.5,4566,0.48,0.485,-,,-,-,-,-12.87,-
0.065,0.019,0.029,0.028,ADD,Adavale Resource,0.028,-0.1,100,0.028,0.032,-,,-,0.02,-,-0.96,-
0.215,0.085,0.089,0.089,ADE,Adelaide Energy,0.089,-0.1,78,0.086,0.089,-,,-,-,-,0.97,9.2
0.395,0.089,0.15,0.15,ADN,Adelaide Res,0.15,0.5,200,0.145,0.15,-,,-,-,-,-0.56,-
0.425,0.06,0.42,0.42,ADI,Adelphi Energy,0.42,,76321,0.42,0.425,-,,-,-,-,-4.27,-
1.65,0.505,0.68,0.665,ABY,Aditya Birla,0.68,1,3125,0.665,0.68,-,,-,1.51,-,19.61,3.5
0.025,0.005,0.007,0.006,ADY,Admiralty Res,0.006,,17793,0.006,0.007,-,,-,-,-,0.09,6.7
0.125,0.007,0.01,0.01,AVD,Advance Energy,0.01,,2466,0.01,0.012,-,,-,-,-,-3.1,-
0.265,0.081,0.23,0.215,ADX,ADX Energy Ltd,0.215,-0.5,13138,0.215,0.225,-,,-,-,-,-0.89,-
0.09,0.05,0.07,0.065,ADXO,  opt mar11,0.07,,3219,0.062,0.08,-,,-,-,-,-,-
0.85,0.435,0.475,0.46,AED,AED Oil Ltd,0.47,-0.5,427,0.46,0.47,-,,-,1.03,-,-48.17,-
0.24,0.05,0.07,0.07,AFR,African Energy Res cdi,0.07,,200,0.07,0.079,-,,-,-,-,-1.13,-
0.545,0.135,-,-,AFQ,African Pet,-,,-,-,-,-,,-,-,-,-3.7,-
0.027,0.009,0.011,0.011,AAE,Agri Energy Ltd,0.011,-0.1,7668,0.01,0.011,-,,-,-,-,15.8,0.1
0.245,0.14,-,-,ALG,Alamar Res Ltd,0.17,,-,0.17,0.19,-,,-,-,-,-1.34,-
