ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4850.0 at 2011-01-31T16:50:46. Report at Monday, January 31, 2011. Processed Tuesday at 2011-02-01T01:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.31,.14,.27,.24,TDO,3D Oil,.27,+2,53,.24,.27,-,,-,-,-,-.42,-,,
.049,.018,-,-,DDD,3D Res,.046,-,-,.045,.047,-,,-,-,-,-1.15,-,,
.295,.044,.235,.23,AAO,A'asia Consolidated,.23,-.5,3749,.23,.235,-,,-,-,-,-.37,-,,
.16,.011,.13,.12,AAOO,  opt apr13,.12,-,133,.105,.12,-,,-,-,-,-,-,,
.63,.20,.445,.435,ARH,A'asian Resources,.44,-3,791,.44,.485,-,,-,-,-,-.09,-,,
.375,.068,.08,.068,AAM,A1 Minerals,.068,-1.4,42822,.068,.07,-,,-,-,-,-3.50,-,,
.043,.016,.026,.025,ABU,ABM Res,.026,+.1,117303,.025,.026,-,,-,-,-,-2.62,-,,
.32,.086,.275,.275,AII,Abra Min,.275,-1.5,400,.22,.295,-,,-,-,-,-1.98,-,,
.76,.28,.66,.63,ACB,A-Cap Res,.65,-2,7013,.65,.67,-,,-,-,-,-1.05,-,,
.46,.13,.33,.33,ACS,Accent Res,.33,+1,400,.325,.33,-,,-,-,-,-1.06,-,,
.029,.004,.016,.015,AEX,Acclaim Explore,.016,-,7370,.015,.016,-,,-,-,-,-.21,-,,
.003,.003,-,-,AEXCD,  ctg,.003,-,-,-,-,-,,-,-,-,-,-,,
.14,.05,.067,.064,AIV,Activex,.067,+.3,14524,.067,.074,-,,-,-,-,-1.13,-,,
.895,.344,.73,.685,ADU,Adamus Res,.695,-4,17635,.695,.70,-,,-,-,-,-28.16,-,,
.046,.015,.036,.035,ADD,Adavale Resources,.036,-,12411,.035,.036,-,,-,.02,-,-1.13,-,,
.197,.06,.105,.097,ADE,Adelaide Energy,.097,-.8,15190,.097,.10,-,,-,-,-,-1.14,-,,
.30,.125,.175,.17,ADN,Adelaide Res,.175,+.5,3418,.165,.175,-,,-,-,-,-.63,-,,
1.42,.62,1.24,1.20,ABY,Aditya Birla,1.24,+1,4950,1.215,1.245,-,,-,1.61,-,18.71,6.6,,
.08,.023,.033,.033,ADY,Admiralty Res,.033,-,3598,.033,.034,-,,-,-,-,-.09,-,,
.06,.007,.023,.018,AVD,Advance Energy,.019,+.1,28569,.019,.021,-,,-,.03,-,-2.40,-,,
.008,.002,.006,.005,AVDOA,  opt aug12,.005,-,8873,.005,.006,-,,-,-,-,-,-,,
.265,.081,.098,.097,ADX,ADX Energy,.097,-.2,11049,.096,.098,-,,-,-,-,-.77,-,,
.09,.005,.006,.005,ADXO,  opt mar11,.005,-.1,6243,.005,.008,-,,-,-,-,-,-,,
.70,.37,.43,.415,AED,AED Oil,.43,+.5,1906,.42,.43,-,,-,-,-,-6.90,-,,
.785,.064,.70,.665,AFR,African Energy Res cdi,.685,-3,22031,.685,.70,-,,-,-,-,-.76,-,,
.45,.086,.345,.33,AKI,African Iron,.33,-2.5,20163,.33,.34,-,,-,-,-,2.26,14.6,,
.25,.015,.165,.15,AKIOA,  opt dec13,.15,-4,1688,.15,.20,-,,-,-,-,-,-,,
.033,.009,.016,.015,AAE,Agri Energy,.016,+.1,13693,.015,.016,-,,-,-,-,3.80,.4,,
.70,.15,.66,.64,AGR,Aguia Res,.65,-2,3016,.62,.65,-,,-,-,-,-4.62,-,,
.50,.15,.40,.40,ALG,Alamar Res,.40,-,15,.40,.47,-,,-,-,-,-1.31,-,,
.21,.03,-,-,ALGO,  opt mar13,.11,-,-,-,-,-,,-,-,-,-,-,,
.51,.08,.35,.33,AUQ,Alara Res,.35,-.5,5769,.34,.355,-,,-,-,-,-2.24,-,,
.30,.039,.17,.135,ALB,Albidon cdi,.165,+3,66224,.165,.17,-,,-,-,-,-86.56,-,,
.875,.33,.54,.50,ALY,Alchemy Resources,.51,-3.5,4538,.50,.515,-,,-,-,-,-2.42,-,,
.056,.019,.042,.04,AYN,Alcyone Res,.041,-.2,112953,.041,.042,-,,-,-,-,1.29,3.2,,
.039,.021,-,-,AYNOB,  opt sep11,.039,-,-,-,.039,-,,-,-,-,-,-,,
1.25,.23,1.135,1.045,ALK,Alkane Res,1.045,-9,17367,1.04,1.07,-,,-,-,-,4.80,21.8,,
.56,.28,.42,.38,AGS,Alliance Res,.415,-2,15360,.405,.415,-,,-,-,-,-1.42,-,,
.70,.25,.60,.57,ALD,Allied Gold,.575,-,5078,.575,.595,-,,-,.33,-,1.31,43.9,,
.067,.018,.042,.039,AYR,Alloy Res,.039,-.3,29183,.038,.04,-,,-,-,-,-.50,-,,
.48,.089,-,-,AOH,Altona Min,.39,-,-,.41,.37,-,,-,-,-,2.46,15.9,,
.33,.115,.17,.165,AJM,Altura Min,.165,-.5,8283,.165,.17,-,,-,-,-,-.54,-,,
.065,.03,-,-,AJMOA,  opt aug11,.038,-,-,.033,.04,-,,-,-,-,-,-,,
2.67,1.45,2.39,2.35,AWC,Alumina,2.38,-4,135719,2.38,2.39,4.23,f,.14,1.22,1.78,.59,403.4,,
.27,.175,-,-,AMU,Amadeus Energy,.22,-,-,-,-,-,,-,.38,-,-.14,-,,
.28,.115,.26,.24,AXZ,Amex Res,.26,+1,5470,.27,.28,-,,-,-,-,-2.13,-,,
3.42,.64,2.76,2.63,AMX,Ampella Min,2.65,-10,3996,2.62,2.66,-,,-,-,-,-10.79,-,,
.28,.12,.27,.265,AHR,Anchor Res,.265,+.5,1276,.265,.27,-,,-,-,-,-1.46,-,,
1.365,1.12,-,-,ATM,Aneka Tambang cdi,1.365,-,-,-,-,1.42,,3.91,-,1.04,5.55,24.6,,
.066,.018,.028,.027,AAR,Anglo Aust Res,.027,-.1,10184,.026,.027,-,,-,-,-,-.15,-,,
10.50,7.65,-,-,AGG,Anglogold Ashanti cdi,8.90,-,-,8.51,8.70,4.08,,-,8.69,.46,-99.23,-,,
.885,.29,.36,.35,AZZ,Antares Energy,.35,-1.5,11934,.345,.35,-,,-,-,-,-.54,-,,
