ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5023.4 at 2011-02-14T16:41:41. Report at Monday, February 14, 2011. Processed Tuesday at 2011-02-15T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.31,.14,.25,.25,TDO,3D Oil,.25,-,209,.25,.26,-,,-,-,-,-.42,-,,
.049,.018,-,-,DDD,3D Res,.043,-,-,.043,.045,-,,-,-,-,-1.15,-,,
.295,.044,.23,.225,AAO,A'asia Consolidated,.225,-1.5,2379,.225,.23,-,,-,-,-,-.37,-,,
.16,.011,.11,.11,AAOO,  opt apr13,.11,-,150,.105,.11,-,,-,-,-,-,-,,
.63,.20,.45,.445,ARH,A'asian Resources,.445,-1,798,.45,.455,-,,-,-,-,-.09,-,,
.35,.063,.071,.069,AAM,A1 Minerals,.071,+.1,5330,.07,.071,-,,-,-,-,-3.50,-,,
.043,.016,.034,.032,ABU,ABM Res,.033,-.1,125114,.033,.034,-,,-,-,-,-2.62,-,,
.32,.086,-,-,AII,Abra Min,.265,-,-,.21,.255,-,,-,-,-,-1.98,-,,
.76,.28,.70,.665,ACB,A-Cap Res,.685,-,3458,.675,.685,-,,-,-,-,-1.05,-,,
.46,.13,.32,.27,ACS,Accent Res,.30,-2,1834,.30,.315,-,,-,-,-,-1.06,-,,
.029,.004,.014,.013,AEX,Acclaim Explore,.014,+.1,40740,.013,.015,-,,-,-,-,-.21,-,,
.003,.003,-,-,AEXCD,  ctg,.003,-,-,-,-,-,,-,-,-,-,-,,
.14,.05,.075,.071,AIV,Activex,.072,-.3,1623,.072,.079,-,,-,-,-,-1.13,-,,
.895,.344,.775,.75,ADU,Adamus Res,.765,+.5,8681,.76,.765,-,,-,-,-,-28.16,-,,
.046,.015,.035,.034,ADD,Adavale Resources,.035,+.1,10636,.035,.036,-,,-,.02,-,-1.13,-,,
.197,.06,.11,.105,ADE,Adelaide Energy,.11,-,3925,.105,.11,-,,-,-,-,-1.14,-,,
.27,.125,.175,.17,ADN,Adelaide Res,.17,-.5,2198,.17,.175,-,,-,-,-,-.63,-,,
1.42,.62,1.33,1.27,ABY,Aditya Birla,1.32,+8,7283,1.30,1.32,-,,-,1.61,-,18.71,7.1,,
.07,.023,.036,.035,ADY,Admiralty Res,.036,-,33166,.035,.037,-,,-,-,-,-.09,-,,
.06,.007,.03,.025,AVD,Advance Energy,.025,-.2,26963,.026,.028,-,,-,.03,-,-2.40,-,,
.01,.002,.009,.007,AVDOA,  opt aug12,.007,-.1,6500,.006,.009,-,,-,-,-,-,-,,
.265,.085,.13,.125,ADX,ADX Energy,.125,-,54159,.125,.13,-,,-,-,-,-.77,-,,
.09,.005,-,-,ADXO,  opt mar11,.005,-,-,.004,.006,-,,-,-,-,-,-,,
.70,.345,.355,.35,AED,AED Oil,.355,+.5,1408,.355,.36,-,,-,-,-,-6.90,-,,
.785,.064,.74,.72,AFR,African Energy Res cdi,.74,+2,13508,.73,.74,-,,-,-,-,-.76,-,,
.45,.086,.36,.345,AKI,African Iron,.35,-.5,17182,.35,.355,-,,-,-,-,2.26,15.5,,
