ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5026.0 at 2011-02-17T16:38:48. Report at Thursday, February 17, 2011. Processed Friday at 2011-02-18T01:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.30,.14,.25,.23,TDO,3D Oil,.25,-,1499,.245,.26,-,,-,-,-,-.42,-,,
.049,.018,-,-,DDD,3D Res,.043,-,-,-,-,-,,-,-,-,-1.15,-,,
.295,.044,.205,.205,AAO,A'asia Consolidated,.205,+.5,924,.205,.21,-,,-,-,-,-.37,-,,
.16,.011,-,-,AAOO,  opt apr13,.105,-,-,-,-,-,,-,-,-,-,-,,
.63,.20,.43,.405,ARH,A'asian Resources,.41,-,1133,.41,.425,-,,-,-,-,-.09,-,,
.35,.063,.087,.085,AAM,A1 Minerals,.085,-.2,2217,.085,.087,-,,-,-,-,-3.50,-,,
.043,.016,.038,.036,ABU,ABM Res,.036,-,230421,.036,.037,-,,-,-,-,-2.62,-,,
.32,.086,.25,.25,AII,Abra Min,.25,-2,150,.22,.27,-,,-,-,-,-1.98,-,,
.76,.28,.73,.675,ACB,A-Cap Res,.73,+5.5,14131,.725,.73,-,,-,-,-,-1.05,-,,
.46,.13,.30,.30,ACS,Accent Res,.30,-,100,.29,.30,-,,-,-,-,-1.06,-,,
.029,.005,.013,.013,AEX,Acclaim Explore,.013,-.1,18558,.013,.014,-,,-,-,-,-.21,-,,
.003,.003,-,-,AEXCD,  ctg,.003,-,-,-,-,-,,-,-,-,-,-,,
.14,.05,.076,.075,AIV,Activex,.075,-,5055,.075,.08,-,,-,-,-,-1.13,-,,
.895,.344,.77,.755,ADU,Adamus Res,.76,-,5830,.75,.76,-,,-,-,-,-28.16,-,,
.046,.015,.038,.035,ADD,Adavale Resources,.037,+.1,23540,.036,.037,-,,-,.02,-,-1.13,-,,
.197,.06,.125,.12,ADE,Adelaide Energy,.125,+.5,17161,.12,.125,-,,-,-,-,-1.14,-,,
.27,.125,.18,.165,ADN,Adelaide Res,.165,-1,2912,.175,.18,-,,-,-,-,-.63,-,,
1.46,.62,1.46,1.38,ABY,Aditya Birla,1.44,+5.5,18428,1.425,1.44,-,,-,1.61,-,18.71,7.7,,
.07,.023,.036,.035,ADY,Admiralty Res,.035,+.1,13910,.034,.036,-,,-,-,-,-.09,-,,
.06,.007,.026,.026,AVD,Advance Energy,.026,-,1000,.026,.029,-,,-,.03,-,-2.40,-,,
.01,.002,.006,.006,AVDOA,  opt aug12,.006,-,10519,.006,.008,-,,-,-,-,-,-,,
.265,.085,.125,.12,ADX,ADX Energy,.12,-.5,14456,.12,.125,-,,-,-,-,-.77,-,,
.09,.004,.004,.004,ADXO,  opt mar11,.004,-.1,833,.004,.006,-,,-,-,-,-,-,,
.70,.345,.365,.35,AED,AED Oil,.36,-.5,3998,.36,.365,-,,-,-,-,-6.90,-,,
1.04,.064,1.04,.87,AFR,African Energy Res cdi,.905,-6,54043,.905,.915,-,,-,-,-,-.76,-,,
