ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4854.7 at 2011-05-03T16:39:33. Report at Tuesday, May 3, 2011. Processed Wednesday at 2011-05-04T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.285,.14,.21,.21,TDO,3D Oil,.21,-.5,500,.20,.22,-,,-,-,-,-.44,-,,
.062,.019,.05,.05,DDD,3D Res,.05,-,600,.045,.05,-,,-,-,-,-.93,-,,
.295,.044,.195,.17,AAO,A'asia Consolidated,.19,-,1976,.17,.185,-,,-,-,-,-1.22,-,,
.16,.011,.10,.10,AAOO,  opt apr13,.10,-,630,.07,.10,-,,-,-,-,-,-,,
.63,.20,.31,.285,ARH,A'asian Resources,.285,-4.5,999,.285,.30,-,,-,-,-,.57,50.0,,
.27,.039,.048,.046,AAM,A1 Minerals,.046,-.1,1624,.046,.047,-,,-,-,-,-2.95,-,,
.052,.016,.049,.046,ABU,ABM Res,.049,+.1,309296,.048,.049,-,,-,-,-,.82,6.0,,
.39,.086,-,-,AII,Abra Min,.375,-,-,.38,.385,-,,-,-,-,-1.98,-,,
.76,.28,.365,.335,ACB,A-Cap Res,.34,+.5,6543,.335,.345,-,,-,-,-,-2.10,-,,
.46,.13,.275,.275,ACS,Accent Res,.275,-.5,375,.25,.275,-,,-,-,-,-.69,-,,
.027,.004,.005,.004,AEX,Acclaim Explore,.005,+.1,76565,.004,.005,-,,-,-,-,-.21,-,,
.004,.003,-,-,AEXCD,  ctg,.004,-,-,-,.005,-,,-,-,-,-,-,,
.124,.046,.05,.048,AIV,Activex,.048,-.2,3000,.048,.053,-,,-,-,-,-1.06,-,,
.895,.387,.69,.67,ADU,Adamus Res,.68,-2,2037,.67,.69,-,,-,-,-,-38.53,-,,
.042,.015,.03,.029,ADD,Adavale Resources,.03,+.1,7700,.029,.03,-,,-,.02,-,-.61,-,,
.185,.06,.135,.13,ADE,Adelaide Energy,.13,-1,14593,.13,.135,-,,-,-,-,.37,35.1,,
.27,.125,.15,.14,ADN,Adelaide Res,.14,-.5,8637,.14,.145,-,,-,-,-,-.58,-,,
1.95,.62,1.69,1.56,ABY,Aditya Birla,1.62,-3,12471,1.62,1.625,-,,-,1.61,-,18.71,8.7,,
.055,.023,.043,.041,ADY,Admiralty Res,.043,+.2,30965,.043,.044,-,,-,-,-,3.01,1.4,,
.037,.007,-,-,AVD,Advance Energy,.014,-,-,.013,.015,-,,-,-.02,-,-4.95,-,,
.01,.002,-,-,AVDOA,  opt aug12,.004,-,-,.002,.004,-,,-,-,-,-,-,,
.265,.075,.081,.075,ADX,ADX Energy,.079,-.3,8721,.077,.079,-,,-,-,-,-.76,-,,
.61,.21,.235,.23,AED,AED Oil,.235,-,4791,.23,.24,-,,-,.89,-,-3.48,-,,
1.045,.064,.74,.685,AFR,African Energy Res cdi,.72,-3,18629,.72,.725,-,,-,-,-,-.63,-,,
.45,.086,.275,.265,AKI,African Iron,.265,-.5,2956,.265,.27,-,,-,-,-,1.05,25.2,,
.25,.015,.105,.105,AKIOA,  opt dec13,.105,+.5,50,.10,.105,-,,-,-,-,-,-,,
.033,.009,.013,.012,AAE,Agri Energy,.013,-.1,22461,.012,.013,-,,-,-,-,-15.73,-,,
1.56,.405,.93,.88,AGR,Aguia Res,.88,-10,1966,.88,.93,-,,-,-,-,-5.47,-,,
10.53,7.61,9.40,9.25,AQG,Alacer Gold Corp cdi,9.31,-34,5665,9.25,9.33,-,,-,-,-,-,-,,
.675,.15,-,-,ALG,Alamar Res,.55,-,-,.55,.60,-,,-,-,-,-2.23,-,,
.40,.03,.35,.35,ALGO,  opt mar13,.35,-5,200,.20,.35,-,,-,-,-,-,-,,
.51,.08,.335,.325,AUQ,Alara Res,.325,-,2426,.325,.345,-,,-,-,-,-3.44,-,,
.30,.039,.135,.13,ALB,Albidon cdi,.135,-.5,4789,.13,.14,-,,-,-,-,18.52,.7,,
