ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4787.3 at 2011-05-13T16:39:16. Report at Friday, May 13, 2011. Processed Saturday at 2011-05-14T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.285,.14,.195,.175,TDO,3D Oil,.175,-2.5,1421,.175,.20,-,,-,-,-,-.44,-,,
.062,.019,.05,.05,DDD,3D Res,.05,+.2,503,.05,.06,-,,-,-,-,-.93,-,,
.295,.044,.175,.165,AAO,A'asia Consolidated,.165,-1,2437,.16,.165,-,,-,-,-,-1.22,-,,
.16,.011,.075,.06,AAOO,  opt apr13,.06,-1,1700,.06,.085,-,,-,-,-,-,-,,
.63,.20,.31,.29,ARH,A'asian Resources,.30,-,1074,.285,.31,-,,-,-,-,.57,52.6,,
.27,.039,.044,.041,AAM,A1 Minerals,.041,-.5,8251,.041,.043,-,,-,-,-,-2.95,-,,
.056,.016,.054,.05,ABU,ABM Res,.054,+.3,74677,.052,.054,-,,-,-,-,.82,6.6,,
.39,.086,.38,.375,AII,Abra Min,.375,-.5,808,.375,.38,-,,-,-,-,-1.98,-,,
.76,.28,.32,.31,ACB,A-Cap Res,.31,-1,1196,.31,.32,-,,-,-,-,-2.10,-,,
.46,.13,.34,.27,ACS,Accent Res,.34,+8.5,3601,.32,.335,-,,-,-,-,-.69,-,,
.027,.003,.004,.004,AEX,Acclaim Explore,.004,-,46745,.003,.004,-,,-,-,-,-.21,-,,
.004,.003,-,-,AEXCD,  ctg,.004,-,-,-,.005,-,,-,-,-,-,-,,
.124,.046,.048,.048,AIV,Activex,.048,-,250,.046,.049,-,,-,-,-,-1.06,-,,
.895,.426,.69,.665,ADU,Adamus Res,.675,-.5,10536,.66,.675,-,,-,-,-,-38.53,-,,
.042,.015,.031,.029,ADD,Adavale Resources,.031,-,19164,.031,.032,-,,-,.02,-,-.61,-,,
.185,.06,.135,.13,ADE,Adelaide Energy,.135,-,4040,.13,.135,-,,-,-,-,.37,36.5,,
.27,.125,.14,.14,ADN,Adelaide Res,.14,-,1400,.13,.14,-,,-,-,-,-.58,-,,
1.95,.62,1.81,1.75,ABY,Aditya Birla,1.795,+2.5,9142,1.78,1.795,9.00,f,2.04,1.69,5.01,18.32,9.8,,
.056,.023,.056,.05,ADY,Admiralty Res,.055,+.6,187367,.054,.055,-,,-,-,-,3.01,1.8,,
.037,.007,-,-,AVD,Advance Energy,.014,-,-,.013,.014,-,,-,-.02,-,-4.95,-,,
.01,.002,-,-,AVDOA,  opt aug12,.004,-,-,.002,.005,-,,-,-,-,-,-,,
.265,.07,.088,.08,ADX,ADX Energy,.087,+.7,5056,.08,.088,-,,-,-,-,-.76,-,,
.60,.21,.27,.26,AED,AED Oil,.26,-1,2491,.255,.275,-,,-,.89,-,-3.48,-,,
1.045,.064,.85,.81,AFR,African Energy Res cdi,.85,+3,10986,.84,.85,-,,-,-,-,-.63,-,,
.45,.086,.23,.225,AKI,African Iron,.225,-,18101,.215,.225,-,,-,-,-,1.05,21.4,,
.25,.015,-,-,AKIOA,  opt dec13,.088,-,-,.08,.105,-,,-,-,-,-,-,,
.033,.009,.011,.011,AAE,Agri Energy,.011,-,58442,.011,.012,-,,-,-,-,-15.73,-,,
1.56,.405,.845,.80,AGR,Aguia Res,.80,-5,559,.80,.84,-,,-,-,-,-5.47,-,,
10.53,7.61,8.55,8.33,AQG,Alacer Gold Corp cdi,8.38,-51,4820,8.30,8.38,-,,-,-,-,-,-,,
.675,.15,.48,.45,ALG,Alamar Res,.45,-3,2200,.45,.50,-,,-,-,-,-2.23,-,,
.40,.03,-,-,ALGO,  opt mar13,.35,-,-,.21,.35,-,,-,-,-,-,-,,
.51,.08,.33,.325,AUQ,Alara Res,.325,-,1498,.325,.335,-,,-,-,-,-3.44,-,,
.30,.039,.115,.11,ALB,Albidon cdi,.115,-,494,.11,.115,-,,-,-,-,18.52,.6,,
.815,.21,.225,.215,ALY,Alchemy Resources,.215,-.5,1618,.215,.225,-,,-,-,-,-2.22,-,,
.145,.019,.12,.115,AYN,Alcyone Res,.115,-,65766,.115,.12,-,,-,-,-,-.20,-,,
.039,.021,.024,.024,AYNOB,  opt sep11,.024,-,50,.024,.032,-,,-,-,-,-,-,,
2.73,.23,2.07,1.875,ALK,Alkane Res,1.905,-9.5,38621,1.895,1.91,-,,-,-,-,3.00,63.5,,
.54,.20,.23,.225,AGS,Alliance Res,.225,-.5,1383,.225,.23,-,,-,-,-,-1.90,-,,
.76,.29,.545,.525,ALD,Allied Gold,.53,-,10927,.50,.54,-,,-,.35,-,6.45,8.2,,
.245,.105,.115,.11,AGE,Alligator Energy,.115,-,693,.105,.115,-,,-,-,-,-,-,,
.067,.018,.035,.032,AYR,Alloy Res,.032,-.3,1250,.033,.038,-,,-,-,-,-.31,-,,
.452,.084,.315,.31,AOH,Altona Min,.31,-,14577,.305,.315,-,,-,-,-,.57,54.4,,
.22,.115,.185,.17,AJM,Altura Min,.175,-,11503,.175,.18,-,,-,-,-,1.30,13.5,,
.065,.015,.035,.022,AJMOA,  opt aug11,.03,-.3,8773,.03,.032,-,,-,-,-,-,-,,
2.72,1.45,2.37,2.29,AWC,Alumina,2.35,+9,245756,2.34,2.36,6.17,f,.22,1.13,2.63,1.38,170.3,,
.315,.175,.24,.235,AMU,Amadeus Energy,.235,-.5,3500,.235,.24,-,,-,.29,-,-2.64,-,,
.84,.115,.80,.76,AXZ,Amex Res,.76,-3,727,.75,.80,-,,-,-,-,-2.13,-,,
3.42,1.28,2.18,2.07,AMX,Ampella Min,2.11,-11,4262,2.10,2.14,-,,-,-,-,-11.95,-,,
.34,.12,.30,.30,AHR,Anchor Res,.30,-,437,.30,.305,-,,-,-,-,-1.46,-,,
1.365,1.186,-,-,ATM,Aneka Tambang cdi,1.25,-,-,.125,-,1.42,,1.35,.11,1.14,1.91,65.4,,
.066,.018,.019,.019,AAR,Anglo Aust Res,.019,-,2419,.019,.02,-,,-,-,-,-.15,-,,
10.50,8.10,8.34,8.25,AGG,Anglogold Ashanti cdi,8.34,-6,9366,8.27,9.30,4.27,,-,8.69,.51,-99.23,-,,
.67,.29,.42,.395,AZZ,Antares Energy,.405,-1.5,8939,.395,.405,-,,-,-,-,26.56,1.5,,
.22,.15,.17,.15,AZY,Antipa Min Ltd,.165,-1,1800,.16,.165,-,,-,-,-,-,-,,
.065,.04,-,-,AZYO,  opt mar13,.05,-,-,.05,.057,-,,-,-,-,-,-,,
7.30,2.96,5.67,5.52,AVM,Anvil Min cdi,5.67,-3,377,5.66,6.00,-,,-,-,-,-23.97,-,,
.058,.02,-,-,AAL,APAC Coal,.021,-,-,.02,.025,-,,-,-,-,-.19,-,,
.026,.009,.01,.009,AXM,Apex Minerals,.01,-,239500,.009,.01,-,,-,-,-,-.87,-,,
.008,.002,.003,.003,AXMO,  opt nov12,.003,-,22000,.002,.003,-,,-,-,-,-,-,,
.175,.086,.11,.10,AQQ,Aphrodite Gold,.10,-.5,2350,.099,.11,-,,-,-,-,-.32,-,,
.042,.021,-,-,AQQO,  opt dec13,.024,-,-,.024,.029,-,,-,-,-,-,-,,
.155,.065,-,-,AON,Apollo Minerals,.065,-,-,.065,.07,-,,-,-,-,-3.96,-,,
.02,.01,-,-,AONO,  opt nov11,.011,-,-,-,.02,-,,-,-,-,-,-,,
6.89,3.89,5.15,5.05,AQP,Aquarius Platinum,5.15,-,13901,5.04,5.29,8.27,,3.18,-,1.61,26.29,19.6,,
10.31,6.26,8.30,7.92,AQA,Aquila Res,8.01,-14,3612,7.98,8.01,-,,-,-,-,-10.50,-,,
1.79,.38,1.12,1.09,ARU,Arafura Resources,1.09,-4.5,5619,1.09,1.095,-,,-,-,-,-3.00,-,,
.053,.015,.031,.031,ARX,ARC Explore,.031,-,1100,.03,.032,-,,-,-,-,-.67,-,,
.016,.001,-,-,ARXO,  opt jun12,.001,-,-,.001,.006,-,,-,-,-,-,-,,
.32,.085,.20,.185,AXE,Archer Explore,.185,-.5,928,.18,.20,-,,-,-,-,-1.07,-,,
.27,.073,.245,.225,ARD,Argent Minerals,.225,-3,11254,.225,.24,-,,-,-,-,-7.23,-,,
.064,.01,.051,.037,ARDO,  optjun11,.04,-1.5,22643,.04,.043,-,,-,-,-,-,-,,
.375,.225,-,-,AVK,Argentina Min,.27,-,-,.24,.265,-,,-,-,-,-,-,,
.22,.061,-,-,AVKO,  opt mar15,.095,-,-,.095,.11,-,,-,-,-,-,-,,
.16,.034,.135,.125,AXT,Argo Explore,.13,+.5,5016,.125,.13,-,,-,-,-,-.91,-,,
.195,.047,.081,.081,ARE,Argonaut Res,.081,-.4,750,.081,.085,-,,-,-,-,-1.15,-,,
.365,.018,.20,.19,AGY,Argosy Minerals,.20,+1,1070,.175,.20,-,,-,-,-,-1.06,-,,
.23,.195,.195,.195,AHK,ARK Mines Ltd,.195,-,100,.19,.205,-,,-,-,-,-,-,,
.10,.034,.047,.045,ARV,Artemis Res,.047,+.2,5102,.045,.047,-,,-,-,-,-3.61,-,,
.049,.005,.005,.005,ARVOB,  opt jun11,.005,-,5375,.005,.008,-,,-,-,-,-,-,,
.25,.08,.08,.08,AAJ,Aruma Res,.08,-1.5,250,.075,.092,-,,-,-,-,-,-,,
.071,.011,.058,.056,ATN,Ashburton Min,.057,+.1,22330,.056,.057,-,,-,-,-,.11,51.8,,
1.14,.068,.795,.75,AKM,Aspire Min,.79,-.5,12652,.75,.79,-,,-,-,-,-.44,-,,
10.21,5.49,9.42,9.10,AZT,Aston Res,9.32,-5,1401,9.10,9.45,-,,-,-,-,36.00,25.9,,
.009,.003,.005,.004,ARO,Astro Res,.005,-,12800,.004,.005,-,,-,-,-,-.03,-,,
.004,.001,-,-,AROOB,  opt nov12,.002,-,-,.001,.002,-,,-,-,-,-,-,,
.225,.06,.12,.12,AHN,Athena Res,.12,+1,1667,.11,.12,-,,-,-,-,-.78,-,,
.09,.03,-,-,AHNOA,  opt apr12,.05,-,-,.045,.06,-,,-,-,-,-,-,,
.078,.034,.048,.045,ATV,Atlantic Gold,.048,-,2080,.044,.048,-,,-,-,-,-.16,-,,
.03,.012,-,-,ATVCD,  ctg,.03,-,-,.001,-,-,,-,-,-,-,-,,
2.45,.036,2.05,2.03,ATI,Atlantic,2.05,-3,525,2.02,2.05,-,,-,-,-,-17.66,-,,
2.15,.028,-,-,ATIO,  opt dec11,1.90,-,-,1.70,1.89,-,,-,-,-,-,-,,
4.09,1.68,3.69,3.61,AGO,Atlas Iron,3.62,+5,75180,3.62,3.63,-,,-,-,-,2.00,181.0,,
.24,.12,-,-,ACZ,Atticus Resources,.175,-,-,.15,.18,-,,-,-,-,.33,53.0,,
.06,.03,-,-,ACZO,  opt sep12,.04,-,-,.03,.10,-,,-,-,-,-,-,,
1.23,.25,.51,.45,AYA,Attila Res,.51,+10,500,.50,.55,-,,-,-,-,-2.62,-,,
.35,.145,-,-,AUK,Augur Res,.25,-,-,.205,.25,-,,-,-,-,-1.86,-,,
.56,.118,.30,.28,AEE,Aura Energy,.30,+.5,2040,.28,.305,-,,-,-,-,-2.64,-,,
.097,.015,.042,.038,AGU,Aurium Res,.038,-.2,2850,.038,.041,-,,-,-,-,-1.90,-,,
.062,.006,.018,.018,AGUOA,  opt sep12,.018,+.1,700,.018,.02,-,,-,-,-,-,-,,
.765,.22,.245,.23,ARM,Aurora Minerals,.245,+1.5,1011,.235,.245,-,,-,-,-,-7.92,-,,
3.37,.665,2.89,2.68,AUT,Aurora Oil & Gas,2.76,-2,19315,2.70,2.83,-,,-,-,-,-2.08,-,,
.105,.03,.042,.041,AIW,Aust-American Min,.041,-.1,1279,.038,.041,-,,-,-,-,-2.83,-,,
.036,.013,-,-,AIWO,  opt dec12,.014,-,-,.014,.02,-,,-,-,-,-,-,,
1.75,.12,1.50,1.47,AUC,Ausgold,1.47,-3,1027,1.45,1.49,-,,-,-,-,-2.89,-,,
1.46,.035,1.25,1.20,AUCO,  opt mar13,1.20,-10,150,1.16,1.25,-,,-,-,-,-,-,,
.25,.14,.22,.22,AOA,Ausmon Resources,.22,-.5,29,.20,.235,-,,-,-,-,-4.46,-,,
.23,.125,-,-,ANW,AusNiCo,.15,-,-,.13,.15,-,,-,-,-,-.60,-,,
.095,.015,.068,.066,AQC,Aust Pacific Coal,.066,-.1,10800,.066,.068,-,,-,.68,-,-.51,-,,
.22,.115,.15,.145,AQD,AusQuest,.15,+.5,1540,.145,.15,-,,-,-,-,-.96,-,,
.685,.26,.33,.32,AQR,Aussie Q Res,.32,-1,857,.32,.325,-,,-,-,-,-1.61,-,,
.89,.30,.70,.67,ABZ,Aust Bauxite,.68,+3,1310,.65,.68,-,,-,-,-,-.96,-,,
.235,.10,-,-,AKA,Aust Minerals &  Min,.165,-,-,.14,.16,-,,-,-,-,-.50,-,,
.045,.01,-,-,AKAO,  opt oct11,.02,-,-,.01,.015,-,,-,-,-,-,-,,
.04,.017,.023,.022,AUZ,Aust Mines,.022,+.1,27249,.021,.022,-,,-,-,-,-.38,-,,
.017,.001,-,-,AUZO,  opt jun13,.007,-,-,.006,.008,-,,-,-,-,-,-,,
.17,.08,.17,.155,AOC,Aust Oil Co,.16,-,4346,.155,.17,-,,-,-,-,-1.63,-,,
.025,.007,.025,.025,AOCOA,  opt dec11,.025,-,5250,.02,.025,-,,-,-,-,-,-,,
.005,.002,-,-,AOM,Aust Oriental Min,.003,-,-,.003,.004,-,,-,-,-,-.32,-,,
.029,.008,.024,.023,ARW,Aust Renewable,.023,+.2,88292,.023,.024,-,,-,.01,-,-.83,-,,
.02,.004,-,-,ARWO,  opt dec11,.015,-,-,.01,.015,-,,-,-,-,-,-,,
.155,.078,.09,.089,AOK,AusTex Oil,.089,+.1,584,.089,.093,-,,-,-,-,-1.72,-,,
.04,.015,-,-,AOKO,  opt dec11,.015,-,-,.005,.015,-,,-,-,-,-,-,,
.044,.025,.039,.037,AKK,Austin Explore,.037,-.1,52627,.037,.038,-,,-,-,-,-1.35,-,,
.015,.002,-,-,AKKO,  opt nov11,.002,-,-,.002,.003,-,,-,-,-,-,-,,
.105,.031,.061,.058,APG,Austpac Res,.059,-,4600,.059,.06,-,,-,-,-,.15,39.3,,
.36,.17,.25,.25,AGD,Austral Gold,.25,-,240,.20,.26,-,,-,-,-,-5.55,-,,
.76,.09,.68,.67,AZX,Auzex Res,.67,-3,687,.665,.67,-,,-,-,-,1.56,42.9,,
.54,.03,-,-,AZXOA,  opt feb12,.43,-,-,.455,.48,-,,-,-,-,-,-,,
.345,.145,.24,.225,AVI,Avalon Minerals,.23,-,700,.23,.235,-,,-,-,-,-.95,-,,
.235,.014,.13,.125,AVB,Avanco Res,.13,-,32469,.125,.13,-,,-,-,-,-.45,-,,
.195,.006,.12,.11,AVBOB,  opt apr12,.11,-1,1900,.11,.115,-,,-,-,-,-,-,,
.40,.21,-,-,AVY,Avenue Res,.40,-,-,.25,.37,-,,-,-,-,-.26,-,,
.295,.062,.24,.235,AVA,Aviva Corp,.24,-,2082,.24,.245,-,,-,-,-,-10.16,-,,
.32,.07,.16,.16,AVZ,Avonlea Minerals,.16,+.5,1550,.155,.16,-,,-,-,-,-2.00,-,,
2.27,1.41,1.465,1.41,AWE,AWE,1.42,-3,22049,1.415,1.42,-,,-,1.59,-,-18.42,-,,
.035,.007,-,-,AXC,AXG Mining,.017,-,-,.017,.019,-,,-,-,-,-1.49,-,,
.084,.016,.068,.065,AVQ,Axiom Min cdi,.068,+.2,71347,.066,.068,-,,-,-,-,-.43,-,,
.375,.045,.28,.265,AZH,Azimuth Res,.275,-1,8221,.27,.28,-,,-,-,-,-1.37,-,,
.825,.355,.565,.545,AZM,Azumah Res,.55,-1,6528,.545,.56,-,,-,-,-,-9.60,-,,
.12,.041,.082,.079,AZS,Azure Minerals,.08,-,5879,.079,.082,-,,-,-,-,-.78,-,,
1.25,.21,1.00,.95,BAA,Baily Minerals,1.00,-,200,.95,1.00,-,,-,-,-,-.61,-,,
