ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4565.2 at 2011-06-21T16:44:39. Report at Tuesday, June 21, 2011. Processed Wednesday at 2011-06-22T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.285,.14,.16,.16,TDO,3D Oil,.16,-,125,.16,.175,-,,-,-,-,-.44,-,,
.062,.02,-,-,DDD,3D Res,.045,-,-,.037,.05,-,,-,-,-,-.93,-,,
.295,.044,.165,.16,AAO,A'asia Consolidated,.16,-.5,361,.155,.165,-,,-,-,-,-1.22,-,,
.16,.011,.066,.066,AAOO,  opt apr13,.066,-.9,235,.066,.075,-,,-,-,-,-,-,,
.63,.20,.22,.20,ARH,A'asian Resources,.205,-1.5,1769,.205,.215,-,,-,-,-,.57,36.0,,
.24,.026,.029,.026,AAM,A1 Minerals,.029,-.1,8242,.028,.029,-,,-,-,-,-2.95,-,,
.058,.018,.039,.036,ABU,ABM Res,.037,-.1,37149,.036,.038,-,,-,-,-,.82,4.5,,
.40,.086,.40,.39,AII,Abra Min,.40,+1.5,538,.39,.40,-,,-,-,-,-1.98,-,,
.76,.165,.18,.17,ACB,A-Cap Res,.17,-1,1473,.17,.175,-,,-,-,-,-2.10,-,,
.46,.135,.355,.35,ACS,Accent Res,.355,-,1323,.35,.355,-,,-,-,-,-.69,-,,
.027,.002,.003,.002,AEX,Acclaim Explore,.002,-.1,161218,.002,.003,-,,-,-,-,-.21,-,,
.004,.003,-,-,AEXCD,  ctg,.004,-,-,-,.005,-,,-,-,-,-,-,,
.124,.04,.041,.04,AIV,Activex,.04,-.2,1957,.04,.043,-,,-,-,-,-1.06,-,,
