ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4612.6 at 2011-07-27T16:38:38. Report at Wednesday, July 27, 2011. Processed Thursday at 2011-07-28T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.285,.125,.14,.13,TDO,3D Oil,.14,-,2959,.13,.15,-,,-,-,-,-.44,-,,
.062,.022,-,-,DDD,3D Res,.048,-,-,-,-,-,,-,-,-,-.93,-,,
.63,.185,.26,.255,ARH,A'asian Resources,.26,+1,395,.24,.26,-,,-,-,-,.57,45.6,,
.185,.022,-,-,AAM,A1 Minerals,.03,-,-,-,-,-,,-,-,-,-2.95,-,,
.058,.024,.049,.047,ABU,ABM Res,.048,-,30240,.047,.049,-,,-,-,-,.82,5.9,,
.40,.10,-,-,AII,Abra Min,.39,-,-,-,-,-,,-,-,-,-1.98,-,,
.76,.165,.45,.41,ACB,A-Cap Res,.43,+3,38157,.425,.435,-,,-,-,-,-2.10,-,,
.46,.20,.355,.345,ACS,Accent Res,.345,-1,945,.345,.355,-,,-,-,-,-.69,-,,
.027,.002,.003,.003,AEX,Acclaim Explore,.003,-,1500,.002,.003,-,,-,-,-,-.21,-,,
.004,.003,-,-,AEXCD,  ctg,.004,-,-,-,-,-,,-,-,-,-,-,,
.124,.038,.043,.043,AIV,ActiveX,.043,-.3,500,.043,.048,-,,-,-,-,-1.06,-,,
.014,.006,-,-,AIVO,  opt jul12,.007,-,-,-,-,-,,-,-,-,-,-,,
.895,.466,.71,.685,ADU,Adamus Res,.71,-1,795,.685,.71,-,,-,-,-,-38.53,-,,
.042,.015,.03,.03,ADD,Adavale Resources,.03,-.1,1000,.029,.03,-,,-,.02,-,-.61,-,,
.80,.048,.80,.75,AAO,Adept Solutions,.75,-5,190,.61,.79,-,,-,-,-,-1.22,-,,
.16,.011,-,-,AAOO,  opt apr13,-,-,-,-,-,-,,-,-,-,-,-,,
.185,.06,.145,.14,ADE,Adelaide Energy,.145,+.5,9853,.145,.15,-,,-,-,-,.37,39.2,,
.27,.092,.13,.125,ADN,Adelaide Res,.13,+.5,1151,.125,.13,-,,-,-,-,-.58,-,,
1.95,.82,1.62,1.575,ABY,Aditya Birla,1.59,-1,3758,1.57,1.59,9.00,f,2.04,1.69,5.66,18.32,8.7,,
.097,.023,.058,.057,ADY,Admiralty Res,.057,-.1,7583,.057,.059,-,,-,-,-,3.01,1.9,,
.035,.008,-,-,AVD,Advance Energy,.009,-,-,-,-,-,,-,-.02,-,-4.95,-,,
.01,.002,-,-,AVDOA,  opt aug12,.002,-,-,-,-,-,,-,-,-,-,-,,
.215,.07,.10,.099,ADX,ADX Energy,.099,-.1,2850,.10,.105,-,,-,-,-,-.76,-,,
.585,.074,.155,.15,AED,AED Oil,.15,-.5,5938,.15,.155,-,,-,.89,-,-3.48,-,,
1.045,.077,.50,.475,AFR,African Energy Res cdi,.485,-1,14602,.48,.485,-,,-,-,-,-.63,-,,
.45,.09,.34,.33,AKI,African Iron,.34,+1,15227,.33,.335,-,,-,-,-,1.05,32.4,,
.25,.02,.15,.145,AKIOA,  opt dec13,.15,+1,1140,.10,.15,-,,-,-,-,-,-,,
.033,.005,.009,.009,AAE,Agri Energy,.009,-.1,2000,.009,.01,-,,-,-,-,-15.73,-,,
1.56,.405,.69,.68,AGR,Aguia Res,.68,+2,260,.67,.69,-,,-,-,-,-5.47,-,,
10.53,7.60,8.69,8.46,AQG,Alacer Gold cdi,8.67,+22,5540,8.60,8.67,-,,-,-,-,-,-,,
.51,.091,.395,.375,AUQ,Alara Res,.385,-.5,3091,.385,.39,-,,-,-,-,-3.44,-,,
.30,.039,.11,.096,ALB,Albidon cdi,.10,-,2212,.099,.115,-,,-,-,-,18.52,.5,,
.815,.145,.20,.195,ALY,Alchemy Resources,.20,+1,1221,.20,.205,-,,-,-,-,-2.22,-,,
.145,.019,.125,.115,AYN,Alcyone Res,.125,+1.5,269405,.12,.125,-,,-,-,-,-.20,-,,
.039,.021,-,-,AYNOB,  opt sep11,.024,-,-,-,-,-,,-,-,-,-,-,,
2.73,.34,2.11,2.03,ALK,Alkane Res,2.03,-6,14140,2.03,2.04,-,,-,-,-,3.00,67.7,,
.54,.185,.21,.205,AGS,Alliance Res,.205,-.5,6553,.20,.21,-,,-,-,-,-1.90,-,,
3.13,.29,3.09,3.07,ALD,Allied Gold cdi,3.07,-2,42,3.07,3.08,-,,-,.35,-,6.45,47.6,,
.245,.082,.115,.105,AGE,Alligator Energy,.11,-,1600,.11,.115,-,,-,-,-,-,-,,
.076,.018,-,-,AYR,Alloy Res,.037,-,-,.035,.038,-,,-,-,-,-.31,-,,
.452,.104,.36,.345,AOH,Altona Min,.345,-1,10594,.345,.35,-,,-,-,-,.57,60.5,,
.225,.115,.185,.185,AJM,Altura Min,.185,-.5,7918,.18,.185,-,,-,-,-,1.30,14.2,,
.065,.015,.032,.031,AJMOA,  opt aug11,.031,-.1,8022,.03,.032,-,,-,-,-,-,-,,
2.72,1.55,2.26,2.21,AWC,Alumina,2.23,-3,94104,2.23,2.24,6.17,f,.22,1.13,2.77,1.38,161.6,,
.315,.21,.24,.24,AMU,Amadeus Energy,.24,-,138,.24,.245,-,,-,.29,-,-2.64,-,,
1.50,.12,1.33,1.31,AXZ,Amex Res,1.32,-1,120,1.21,1.32,-,,-,-,-,-2.13,-,,
3.42,1.37,2.46,2.36,AMX,Ampella Min,2.43,+10,10008,2.40,2.46,-,,-,-,-,-11.95,-,,
.34,.13,-,-,AHR,Anchor Res,.28,-,-,-,-,-,,-,-,-,-1.46,-,,
1.365,1.186,-,-,ATM,Aneka Tambang cdi,1.25,-,-,-,-,3.28,,.58,.11,2.62,1.91,65.4,,
.046,.013,.015,.015,AAR,Anglo Aust Res,.015,+.1,1357,.014,.015,-,,-,-,-,-.15,-,,
10.25,6.50,8.28,8.00,AGG,Anglogold Ashanti cdi,8.00,-30,18,7.00,8.00,4.27,,-,8.69,.53,-99.23,-,,
.605,.29,.56,.535,AZZ,Antares Energy,.54,-,20844,.54,.545,-,,-,-,-,26.56,2.0,,
.22,.14,.155,.155,AZY,Antipa Min Ltd,.155,-,545,.155,.16,-,,-,-,-,-,-,,
.065,.04,.05,.05,AZYO,  opt mar13,.05,-,250,.05,.065,-,,-,-,-,-,-,,
7.30,2.96,6.51,6.51,AVM,Anvil Min cdi,6.51,-,53,6.45,6.70,-,,-,-,-,-23.97,-,,
.04,.009,-,-,AAL,APAC Coal,.009,-,-,-,-,-,,-,-,-,-.19,-,,
.026,.006,.009,.008,AXM,Apex Minerals,.008,-,8405,.008,.009,-,,-,-,-,-.87,-,,
.008,.001,-,-,AXMO,  opt nov12,.002,-,-,-,-,-,,-,-,-,-,-,,
.16,.086,.11,.11,AQQ,Aphrodite Gold,.11,+.5,5183,.11,.115,-,,-,-,-,-.32,-,,
.042,.021,-,-,AQQO,  opt dec13,.035,-,-,.027,.032,-,,-,-,-,-,-,,
.13,.049,.08,.077,AON,Apollo Minerals,.077,-.4,4737,.075,.077,-,,-,-,-,-3.96,-,,
.02,.01,-,-,AONO,  opt nov11,.011,-,-,-,-,-,,-,-,-,-,-,,
6.81,4.31,4.48,4.39,AQP,Aquarius Platinum,4.40,-22,33009,4.35,4.45,8.27,,3.18,-,1.88,26.29,16.7,,
10.31,6.26,7.49,7.09,AQA,Aquila Res,7.26,+23,4509,7.25,7.40,-,,-,-,-,-10.50,-,,
1.79,.60,.765,.75,ARU,Arafura Resources,.755,-.5,8511,.745,.76,-,,-,-,-,-3.00,-,,
.053,.016,.021,.021,ARX,ARC Explore,.021,-,280,.021,.022,-,,-,-,-,-.67,-,,
.016,.001,-,-,ARXO,  opt jun12,.002,-,-,-,-,-,,-,-,-,-,-,,
.32,.095,.20,.20,AXE,Archer Explore,.20,-1,133,.19,.20,-,,-,-,-,-1.07,-,,
.29,.073,.275,.265,ARD,Argent Minerals,.265,+.5,12003,.265,.275,-,,-,-,-,-7.23,-,,
.375,.135,.165,.16,AVK,Argentina Min,.165,-.5,370,.16,.18,-,,-,-,-,-,-,,
.22,.05,-,-,AVKO,  opt mar15,.051,-,-,.056,.10,-,,-,-,-,-,-,,
.165,.038,.08,.08,AXT,Argo Explore,.08,-.4,20,.08,.084,-,,-,-,-,-.91,-,,
.195,.06,.078,.075,ARE,Argonaut Res,.078,+.2,3394,.078,.08,-,,-,-,-,-1.15,-,,
.365,.018,.175,.175,AGY,Argosy Minerals,.175,-,2557,.17,.175,-,,-,-,-,-1.06,-,,
.23,.16,.165,.165,AHK,ARK Mines Ltd,.165,-1,200,.175,.185,-,,-,-,-,-,-,,
.10,.033,.039,.038,ARV,Artemis Res,.039,-,13399,.038,.04,-,,-,-,-,-3.61,-,,
.25,.07,-,-,AAJ,Aruma Res,.10,-,-,-,-,-,,-,-,-,-,-,,
.071,.011,.041,.036,ATN,Ashburton Min,.036,-.5,11827,.036,.04,-,,-,-,-,.11,32.7,,
1.14,.07,.62,.60,AKM,Aspire Min,.61,-1,5564,.60,.61,-,,-,-,-,-.44,-,,
11.25,5.49,11.22,11.02,AZT,Aston Res,11.05,-10,8279,11.01,11.05,-,,-,-,-,36.00,30.7,,
.009,.003,-,-,ARO,Astro Res,.003,-,-,-,-,-,,-,-,-,-.03,-,,
.004,.001,-,-,AROOB,  opt nov12,.002,-,-,-,-,-,,-,-,-,-,-,,
.225,.064,.093,.09,AHN,Athena Res,.09,-,709,.09,.093,-,,-,-,-,-.78,-,,
.09,.03,-,-,AHNOA,  opt apr12,.036,-,-,-,-,-,,-,-,-,-,-,,
.078,.035,.043,.042,ATV,Atlantic Gold,.042,-.1,1000,.042,.044,-,,-,-,-,-.16,-,,
.03,.012,-,-,ATVCD,  ctg,.03,-,-,-,-,-,,-,-,-,-,-,,
2.45,.037,1.80,1.71,ATI,Atlantic,1.755,-4.5,394,1.71,1.77,-,,-,-,-,-17.66,-,,
2.15,.031,-,-,ATIO,  opt dec11,1.60,-,-,1.415,1.80,-,,-,-,-,-,-,,
4.34,1.98,4.14,4.03,AGO,Atlas Iron,4.04,-16,125419,4.03,4.07,-,,-,-,-,2.00,202.0,,
.24,.15,.185,.18,ACZ,Atticus Resources,.18,-,900,.18,.215,-,,-,-,-,.33,54.5,,
.06,.03,-,-,ACZO,  opt sep12,.03,-,-,-,-,-,,-,-,-,-,-,,
1.007,.205,.365,.33,AYA,Attila Res,.335,-2.5,135,.33,.35,-,,-,-,-,-2.62,-,,
.21,.15,.19,.19,AYAO,  opt jun14,.19,-,45,.19,.20,-,,-,-,-,-,-,,
.22,.195,-,-,ACP,Audalia Res Ltd,.205,-,-,-,-,-,,-,-,-,-,-,,
.03,.03,-,-,ACPO,  opt apr14,.03,-,-,.03,.05,-,,-,-,-,-,-,,
.435,.15,.435,.395,AUK,Augur Res,.435,+6.5,26101,.43,.435,-,,-,-,-,-1.86,-,,
.56,.132,.33,.28,AEE,Aura Energy,.32,+1,5556,.30,.32,-,,-,-,-,-2.64,-,,
.097,.017,.039,.039,AGU,Aurium Res,.039,-.3,1000,.039,.042,-,,-,-,-,-1.90,-,,
.062,.006,-,-,AGUOA,  opt sep12,.012,-,-,.012,.02,-,,-,-,-,-,-,,
.645,.14,.195,.19,ARM,Aurora Minerals,.19,-.5,2057,.19,.195,-,,-,-,-,-7.92,-,,
