ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4321.5 at 2011-09-02T16:39:27. Report at Friday, September 2, 2011. Processed Saturday at 2011-09-03T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.285,.105,-,-,TDO,3D Oil,.15,-,-,-,-,-,,-,-,-,-.44,-,,
.062,.028,-,-,DDD,3D Res,.054,-,-,.048,.05,-,,-,-,-,-.93,-,,
.63,.15,.205,.205,ARH,A'asian Resources,.205,-.5,17,.205,.22,-,,-,-,-,.57,36.0,,
.165,.022,.029,.027,AAM,A1 Minerals,.027,-.1,2381,.027,.029,-,,-,-,-,-2.95,-,,
.058,.024,.054,.052,ABU,ABM Res,.054,+.1,27490,.053,.054,-,,-,-,-,.82,6.6,,
.76,.165,.30,.29,ACB,A-Cap Res,.29,-1,583,.29,.30,-,,-,-,-,-2.10,-,,
.46,.205,.38,.37,ACS,Accent Res,.38,+1,2082,.37,.375,-,,-,-,-,-.69,-,,
.027,.002,.002,.002,AEX,Acclaim Explore,.002,-,15000,.002,.003,-,,-,-,-,-.21,-,,
.004,.003,-,-,AEXCD,  ctg,.004,-,-,-,-,-,,-,-,-,-,-,,
.245,.072,.135,.135,ACN,Acer Energy Ltd,.135,-.5,2659,.13,.135,-,,-,-,-,-2.20,-,,
.124,.025,.035,.035,AIV,ActiveX,.035,+.3,379,.031,.035,-,,-,-,-,-1.06,-,,
.014,.002,.007,.007,AIVO,  opt jul12,.007,+.2,750,.004,.01,-,,-,-,-,-,-,,
.895,.525,.68,.645,ADU,Adamus Res,.67,+1,52437,.66,.68,-,,-,-,-,-38.53,-,,
.042,.015,.028,.026,ADD,Adavale Resources,.028,+.2,6260,.026,.028,-,,-,.02,-,-.61,-,,
.80,.051,.58,.52,AAO,Adept Solutions,.55,-5,247,.52,.58,-,,-,-,-,-1.22,-,,
.16,.011,-,-,AAOO,  opt apr13,-,-,-,-,-,-,,-,-,-,-,-,,
.185,.06,.125,.12,ADE,Adelaide Energy,.125,-,5040,.12,.125,-,,-,-,-,.37,33.8,,
.27,.087,.097,.095,ADN,Adelaide Res,.097,+.2,959,.097,.098,-,,-,-,-,-.58,-,,
1.95,.99,1.235,1.18,ABY,Aditya Birla,1.18,-2.5,5683,1.165,1.19,9.00,f,2.04,1.69,7.63,18.32,6.4,,
.097,.023,.053,.051,ADY,Admiralty Res,.053,-,1646,.051,.053,-,,-,-,-,3.01,1.8,,
.035,.007,.008,.008,AVD,Advance Energy,.008,-,2500,.007,.008,-,,-,-.02,-,-4.95,-,,
.01,.002,-,-,AVDOA,  opt aug12,.002,-,-,-,-,-,,-,-,-,-,-,,
.13,.07,.10,.10,ADX,ADX Energy,.10,-.5,3485,.099,.10,-,,-,-,-,-.76,-,,
1.045,.085,.46,.435,AFR,African Energy Res cdi,.45,-1,25868,.45,.46,-,,-,-,-,-.63,-,,
.45,.10,.315,.30,AKI,African Iron,.31,-,8265,.30,.315,-,,-,-,-,1.05,29.5,,
.25,.025,.125,.12,AKIOA,  opt dec13,.12,-,1500,.115,.12,-,,-,-,-,-,-,,
.033,.005,-,-,AAE,Agri Energy,.008,-,-,.008,.009,-,,-,-,-,-15.73,-,,
1.56,.405,.64,.64,AGR,Aguia Res,.64,-3,800,.64,.68,-,,-,-,-,-5.47,-,,
10.98,7.60,10.45,10.34,AQG,Alacer Gold cdi,10.36,-17,2550,10.20,10.39,-,,-,-,-,-,-,,
.51,.091,.33,.315,AUQ,Alara Res,.33,+1.5,573,.315,.34,-,,-,-,-,-3.44,-,,
.30,.039,-,-,ALB,Albidon cdi,.075,-,-,-,-,-,,-,-,-,18.52,.4,,
.815,.125,.165,.16,ALY,Alchemy Resources,.165,+1,2600,.16,.165,-,,-,-,-,-2.22,-,,
.145,.02,.10,.098,AYN,Alcyone Res,.099,-.1,55173,.098,.099,-,,-,-,-,-.20,-,,
.039,.021,-,-,AYNOB,  opt sep11,.024,-,-,-,-,-,,-,-,-,-,-,,
2.73,.57,1.95,1.86,ALK,Alkane Res,1.88,-8,4585,1.86,1.89,-,,-,-,-,3.00,62.7,,
.54,.135,.19,.17,AGS,Alliance Res,.18,-.5,5070,.18,.185,-,,-,-,-,-1.90,-,,
3.13,.425,2.64,2.55,ALD,Allied Gold cdi,2.60,+10,863,2.52,2.63,-,,-,-,-,-.75,-,,
.245,.076,.105,.105,AGE,Alligator Energy,.105,-,172,.105,.11,-,,-,-,-,-,-,,
