ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4351.5 at 2011-11-15T16:35:30. Report at Tuesday, November 15, 2011. Processed Wednesday at 2011-11-16T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.285,.10,.105,.10,TDO,3D Oil,.10,-.5,3200,.06,.10,-,,-,-,-,-.49,-,,
.062,.034,-,-,DDD,3D Res,.039,-,-,.038,.043,-,,-,-,-,-.33,-,,
.63,.15,-,-,ARH,A'asian Resources,.25,-,-,-,-,-,,-,-,-,-.07,-,,
.12,.017,.023,.022,AAM,A1 Minerals,.023,-,8926,.023,.024,-,,-,-,-,-8.45,-,,
.082,.024,.079,.078,ABU,ABM Res,.079,-.1,54907,.078,.079,-,,-,-,-,-.41,-,,
.76,.165,.295,.27,ACB,A-Cap Res,.28,+.5,4114,.28,.29,-,,-,-,-,-2.30,-,,
.46,.205,.38,.37,ACS,Accent Res,.38,+1,1094,.375,.38,-,,-,-,-,-.54,-,,
.025,.001,.002,.001,AEX,Acclaim Explore,.001,-.1,29740,.001,.002,-,,-,-,-,-.50,-,,
.004,.003,-,-,AEXCD,  ctg,.004,-,-,-,-,-,,-,-,-,-,-,,
.245,.088,.12,.115,ACN,Acer Energy Ltd,.115,-.5,3448,.11,.12,-,,-,-,-,-5.10,-,,
.124,.025,-,-,AIV,ActiveX,.029,-,-,-,-,-,,-,-,-,-.95,-,,
.014,.002,-,-,AIVO,  opt jul12,.003,-,-,-,-,-,,-,-,-,-,-,,
.895,.525,.72,.715,ADU,Adamus Res,.715,-.5,8464,.715,.735,-,,-,-,-,-12.33,-,,
.042,.02,-,-,ADD,Adavale Resources,.02,-,-,.022,.024,-,,-,.01,-,-.47,-,,
.80,.15,.38,.38,AAO,Adept Solutions,.38,-,208,.36,.38,-,,-,-,-,-3.04,-,,
.16,.051,-,-,AAOO,  opt apr13,-,-,-,-,-,-,,-,-,-,-,-,,
.205,.06,.20,.20,ADE,Adelaide Energy,.20,-,64415,.20,.205,-,,-,-,-,-4.62,-,,
.24,.07,.082,.082,ADN,Adelaide Res,.082,+.1,13,.083,.085,-,,-,-,-,-.98,-,,
1.95,.75,.96,.94,ABY,Aditya Birla,.96,+2,1370,.94,.96,9.00,,1.41,1.67,9.38,12.66,7.6,,
.097,.007,.048,.047,ADY,Admiralty Res,.048,+.1,2969,.046,.048,-,,-,-,-,2.84,1.7,,
.035,.006,-,-,AVD,Advance Energy,.008,-,-,-,-,-,,-,-.03,-,-4.44,-,,
.01,.001,-,-,AVDOA,  opt aug12,.002,-,-,-,-,-,,-,-,-,-,-,,
.13,.062,.097,.094,ADX,ADX Energy,.094,-,11829,.093,.096,-,,-,-,-,-1.57,-,,
1.045,.25,.335,.32,AFR,African Energy Res cdi,.32,-1.5,1912,.32,.33,-,,-,-,-,-1.58,-,,
.45,.175,.325,.305,AKI,African Iron,.325,+1.5,23568,.32,.325,-,,-,-,-,-2.70,-,,
.25,.055,.15,.15,AKIOA,  opt dec13,.15,-.5,675,.14,.165,-,,-,-,-,-,-,,
.033,.004,.006,.006,AAE,Agri Energy,.006,-,10833,.005,.006,-,,-,-,-,-.17,-,,
1.56,.405,.72,.67,AGR,Aguia Res,.675,+.5,4542,.675,.70,-,,-,-,-,-4.62,-,,
12.30,7.60,11.77,11.30,AQG,Alacer Gold cdi,11.31,-79,4079,11.25,11.40,-,,-,-,-,-,-,,
.51,.22,.32,.30,AUQ,Alara Res,.30,-,5645,.305,.315,-,,-,-,-,-3.84,-,,
.815,.12,.165,.135,ALY,Alchemy Resources,.145,+1.5,27864,.14,.145,-,,-,-,-,-1.58,-,,
.145,.035,.092,.091,AYN,Alcyone Res,.092,-,30779,.091,.093,-,,-,-,-,-.39,-,,
2.73,.65,1.175,1.13,ALK,Alkane Res,1.135,-4,5273,1.135,1.155,-,,-,-,-,-1.22,-,,
.54,.115,.155,.135,AGS,Alliance Res,.14,+.5,36767,.135,.14,-,,-,-,-,-2.53,-,,
4.00,.45,2.31,2.28,ALD,Allied Gold cdi,2.29,-6,409,2.22,2.30,-,,-,-,-,-.64,-,,
.245,.076,.105,.09,AGE,Alligator Energy,.10,+1.3,5729,.10,.105,-,,-,-,-,-,-,,
.076,.025,-,-,AYR,Alloy Res,.027,-,-,-,-,-,,-,-,-,-.30,-,,
.15,.06,.077,.077,AYM,Altuis Mining,.077,+.1,1313,.077,.081,-,,-,-,-,-,-,,
.452,.205,.28,.275,AOH,Altona Min,.275,-1,2349,.275,.285,-,,-,-,-,-3.83,-,,
.225,.13,.17,.165,AJM,Altura Min,.17,-,1250,.165,.17,-,,-,-,-,-.59,-,,
2.72,1.32,1.51,1.475,AWC,Alumina,1.48,-3,85135,1.475,1.485,6.83,f,.28,1.14,4.61,1.88,78.7,,
.315,.19,.215,.215,AMU,Amadeus Energy,.215,-,3945,.215,.22,-,,-,.27,-,-2.23,-,,
1.50,.185,1.04,1.04,AXZ,Amex Res,1.04,-,20,.96,1.05,-,,-,-,-,-3.29,-,,
3.42,1.505,2.04,1.97,AMX,Ampella Min,2.01,+4,3103,2.01,2.04,-,,-,-,-,-12.25,-,,
.34,.15,-,-,AHR,Anchor Res,.24,-,-,.20,.28,-,,-,-,-,-2.96,-,,
1.365,1.217,-,-,ATM,Aneka Tambang cdi,1.25,-,-,-,-,3.28,,.79,-,2.62,2.60,48.1,,
.034,.008,.009,.009,AAR,Anglo Aust Res,.009,-,2700,.009,.01,-,,-,-,-,-.13,-,,
10.25,6.50,9.08,8.89,AGG,Anglogold Ashanti cdi,8.89,-18,4,8.55,9.32,4.65,,12.01,2.60,.52,55.83,15.9,,
.56,.34,.44,.425,AZZ,Antares Energy,.43,-1.5,6115,.43,.44,-,,-,-,-,26.90,1.6,,
.31,.12,.20,.20,AZY,Antipa Min Ltd,.20,-,957,.20,.215,-,,-,-,-,-,-,,
.13,.04,-,-,AZYO,  opt mar13,.08,-,-,-,-,-,,-,-,-,-,-,,
7.68,4.83,7.10,7.08,AVM,Anvil Min cdi,7.08,+1,25,7.07,7.14,-,,-,-,-,-23.97,-,,
.04,.009,-,-,AAL,APAC Coal,.015,-,-,.017,.025,-,,-,-,-,-.32,-,,
.026,.006,.008,.007,AXM,Apex Minerals,.007,-,42530,.007,.008,-,,-,-,-,.49,1.4,,
.008,.001,.002,.002,AXMO,  opt nov12,.002,-,1025,.002,.003,-,,-,-,-,-,-,,
