ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4303.0 at 2012-01-20T16:17:01. Report at Friday, January 20, 2012. Processed Saturday at 2012-01-21T01:00:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.275,.076,.076,.076,TDO,3D Oil,.076,-,395,.078,.09,-,,-,-,-,-.49,-,,
.062,.036,.044,.044,DDD,3D Res,.044,-,760,.044,.048,-,,-,-,-,-.33,-,,
.50,.15,-,-,ARH,A'asian Resources,.20,-,-,.19,.20,-,,-,-,-,-.07,-,,
.082,.024,.064,.062,ABU,ABM Res,.062,-,85092,.062,.064,-,,-,-,-,-.41,-,,
.185,.038,.042,.04,AJC,Acacia Coal Ltd,.04,-.1,37085,.04,.041,-,,-,-,-,-.02,-,,
.755,.165,.325,.285,ACB,A-Cap Res,.29,-.5,22343,.29,.30,-,,-,-,-,-2.30,-,,
.405,.205,.335,.32,ACS,Accent Res,.33,+.5,55968,.33,.335,-,,-,-,-,-.54,-,,
.245,.105,.14,.13,ACN,Acer Energy Ltd,.135,-,2014,.13,.135,-,,-,-,-,-5.10,-,,
.124,.02,.024,.024,AIV,ActiveX,.024,-.1,100,.025,.028,-,,-,-,-,-.95,-,,
.014,.001,-,-,AIVO,  opt jul12,.002,-,-,-,-,-,,-,-,-,-,-,,
.038,.01,.012,.012,ADD,Adavale Resources,.012,-.1,4000,.011,.013,-,,-,.01,-,-.47,-,,
.20,.064,.066,.066,ADN,Adelaide Res,.066,+.1,154,.063,.066,-,,-,-,-,-.98,-,,
