ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4325.7 at 2012-01-31T16:39:00. Report at Tuesday, January 31, 2012. Processed Wednesday at 2012-02-01T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.275,.076,-,-,TDO,3D Oil,.085,-,-,-,-,-,,-,-,-,-.49,-,,
.062,.036,.044,.044,DDD,3D Res,.044,-,981,.043,.046,-,,-,-,-,-.33,-,,
.50,.15,-,-,ARH,A'asian Resources,.185,-,5,.185,.19,-,,-,-,-,-.07,-,,
.082,.026,.06,.058,ABU,ABM Res,.06,+.3,119041,.059,.06,-,,-,-,-,-.41,-,,
.185,.038,.048,.046,AJC,Acacia Coal Ltd,.048,+.2,4769,.047,.048,-,,-,-,-,-.02,-,,
.755,.165,.28,.265,ACB,A-Cap Res,.275,-1,3602,.27,.275,-,,-,-,-,-2.30,-,,
.405,.205,.335,.33,ACS,Accent Res,.335,+.5,4620,.33,.335,-,,-,-,-,-.54,-,,
.245,.105,.13,.125,ACN,Acer Energy Ltd,.125,-1,450,.125,.135,-,,-,-,-,-5.10,-,,
.124,.02,.026,.026,AIV,ActiveX,.026,-.1,2482,.025,.027,-,,-,-,-,-.95,-,,
.014,.001,-,-,AIVO,  opt jul12,.001,-,-,-,-,-,,-,-,-,-,-,,
.038,.01,.014,.014,ADD,Adavale Resources,.014,-,4637,.013,.016,-,,-,.01,-,-.47,-,,
.20,.059,.063,.061,ADN,Adelaide Res,.061,+.1,395,.061,.065,-,,-,-,-,-.98,-,,
.80,.135,.30,.30,AAO,Adept Solutions,.30,-,200,.24,.35,-,,-,-,-,-3.04,-,,
.11,.051,-,-,AAOO,  opt apr13,-,-,-,-,-,-,,-,-,-,-,-,,
1.95,.68,.91,.87,ABY,Aditya Birla,.89,-2,1846,.89,.91,9.00,,1.41,1.67,10.11,12.66,7.0,,
.097,.032,.072,.065,ADY,Admiralty Res,.068,+.4,15248,.066,.072,-,,-,-,-,2.84,2.4,,
.035,.005,-,-,AVD,Advance Energy,.006,-,-,-,-,-,,-,-.03,-,-4.44,-,,
.01,.001,-,-,AVDOA,  opt aug12,.001,-,-,-,-,-,,-,-,-,-,-,,
.13,.062,.072,.068,ADX,ADX Energy,.072,+.1,2129,.068,.071,-,,-,-,-,-1.57,-,,
1.045,.225,.415,.38,AFR,African Energy Res cdi,.385,-,20855,.38,.385,-,,-,-,-,-1.58,-,,
.57,.175,.57,.56,AKI,African Iron,.565,+.5,41174,.565,.57,-,,-,-,-,-2.70,-,,
.37,.055,.37,.37,AKIOA,  opt dec13,.37,+.5,114000,.36,.37,-,,-,-,-,-,-,,
.024,.004,.008,.008,AAE,Agri Energy,.008,-.1,2209,.008,.009,-,,-,-,-,-.17,-,,
1.56,.405,.455,.455,AGR,Aguia Res,.455,+1,1110,.45,.49,-,,-,-,-,-4.62,-,,
12.30,7.60,9.19,8.98,AQG,Alacer Gold cdi,9.07,+7,6869,9.00,9.11,-,,-,-,-,-,-,,
.44,.23,.30,.29,AUQ,Alara Res,.30,+.5,562,.29,.30,-,,-,-,-,-3.84,-,,
.505,.114,.135,.13,ALY,Alchemy Resources,.13,-.5,632,.13,.135,-,,-,-,-,-1.58,-,,
.145,.038,.091,.087,AYN,Alcyone Res,.089,-,60087,.088,.089,-,,-,-,-,-.39,-,,
2.73,.89,.975,.945,ALK,Alkane Res,.945,-2,4816,.945,.965,-,,-,-,-,-1.22,-,,
.43,.115,.35,.305,AGS,Alliance Res,.315,-3.5,16977,.31,.325,-,,-,-,-,-2.53,-,,
4.00,.45,2.07,1.965,ALD,Allied Gold cdi,1.99,-5,2137,1.94,2.02,-,,-,-,-,-.64,-,,
.245,.076,.125,.12,AGE,Alligator Energy,.12,+.5,780,.115,.12,-,,-,-,-,-,-,,
.076,.021,.024,.024,AYR,Alloy Res,.024,-,1500,.024,.025,-,,-,-,-,-.30,-,,
.15,.06,.11,.105,AYM,Altuis Mining,.11,-,64206,.11,.115,-,,-,-,-,-,-,,
.39,.19,.275,.26,AOH,Altona Min,.265,-.5,8620,.26,.265,-,,-,-,-,-3.83,-,,
.225,.13,.18,.175,AJM,Altura Min,.175,-,15740,.17,.18,-,,-,-,-,-.59,-,,
2.72,1.085,1.305,1.275,AWC,Alumina,1.28,-2,130612,1.275,1.285,6.83,f,.28,1.14,5.34,1.88,68.1,,
.315,.19,.225,.22,AMU,Amadeus Energy,.225,-,7525,.225,.23,-,,-,.27,-,-2.23,-,,
.245,.175,.225,.22,AQO,Ambassador Oil & Gas,.22,-.5,4906,.215,.22,-,,-,-,-,-,-,,
1.50,.27,1.15,1.10,AXZ,Amex Res,1.10,-10,52,1.15,1.21,-,,-,-,-,-3.29,-,,
