AFR MINOIL MARKETS excluding fixed interest,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4085.6 at 2012-06-28T16:40:36. Report at Thursday, June 28, 2012. Processed Friday at 2012-06-29T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
.17,.06,-,-,TDO,3D Oil,.06,-,-,-,-,-,,-,-,-,-.62,-,,
.055,.029,-,-,DDD,3D Res,.03,-,-,-,-,-,,-,-,-,-.44,-,,
.335,.11,.12,.11,ARH,A'asian Resources,.11,-,695,.11,.12,-,,-,-,-,.47,23.4,,
.295,.20,.28,.245,AYC,A1 Gold,.28,+3,149,.26,.28,-,,-,-,-,-,-,,
.082,.035,.039,.037,ABU,ABM Res,.038,-,36509,.038,.039,-,,-,-,-,-.43,-,,
.11,.023,.025,.024,AJC,Acacia Coal,.025,+.1,11642,.025,.026,-,,-,-,-,-1.14,-,,
.45,.115,.125,.12,ACB,A-Cap Res,.125,+1,1400,.12,.125,-,,-,-,-,-2.06,-,,
.405,.215,.26,.24,ACS,Accent Res,.26,+4.5,582,.21,.26,-,,-,-,-,-.42,-,,
.245,.105,.125,.11,ACN,Acer Energy,.11,-1.5,18205,.11,.12,-,,-,-,-,-4.59,-,,
.055,.016,.018,.018,AIV,ActiveX,.018,-.2,6000,.017,.02,-,,-,-,-,-.78,-,,
.014,.001,-,-,AIVO,  opt jul12,.001,-,-,-,-,-,,-,-,-,-,-,,
.033,.01,.014,.014,ADD,Adavale Resources,.014,-,500,.014,.016,-,,-,.01,-,-.51,-,,
.13,.051,.052,.051,ADN,Adelaide Res,.051,-.1,1337,.048,.051,-,,-,-,-,-.95,-,,
.784,.093,.10,.10,AAO,Adept Solutions,.10,+.5,200,.10,.11,-,,-,.10,-,-9.92,-,,
.066,.066,-,-,AAOO,  opt apr13,-,-,-,-,-,-,,-,-,-,-,-,,
.005,.005,-,-,AAOR,  rts11juld,.005,-,-,.001,.005,-,,-,-,-,-,-,,
1.655,.42,.455,.44,ABY,Aditya Birla,.445,-,2647,.445,.45,5.00,,1.70,-,11.24,8.48,5.2,,
