ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4550.9 at 2012-10-17T16:57:07. Report at Wednesday, October 17, 2012. Processed Thursday at 2012-10-18T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,.13,.12,TDO,3D Oil,.125,-1,5283,.12,.125,-,,-,-,-,-3.38,-,,
.049,.023,-,-,DDD,3D Res,.03,-,-,-,-,-,,-,-,-,-.34,-,,
.28,.074,.079,.079,ARH,A'asian Resources,.079,+.3,1000,.075,.09,-,,-,-,-,-1.26,-,,
.30,.20,.27,.27,AYC,A1 Gold,.27,-1,189,.27,.29,-,,-,-,-,-,-,,
.082,.035,.055,.052,ABU,ABM Res,.055,+.5,112904,.054,.055,-,,-,-,-,-.41,-,,
.086,.016,-,-,AJC,Acacia Coal,.017,-,-,-,-,-,,-,-,-,-.29,-,,
.325,.11,.145,.13,ACB,A-Cap Res,.135,+1,13776,.13,.14,-,,-,-,-,-2.00,-,,
.40,.205,-,-,ACS,Accent Res,.21,-,-,-,-,-,,-,-,-,-.91,-,,
.295,.105,.295,.285,ACN,Acer Energy,.29,-,6601,.29,.295,-,,-,-,-,-.90,-,,
.032,.013,.018,.018,AIV,ActiveX,.018,+.3,3100,.016,.018,-,,-,-,-,-.59,-,,
.024,.01,-,-,ADD,Adavale Resources,.018,-,-,-,-,-,,-,-,-,-.58,-,,
.115,.035,.045,.045,ADN,Adelaide Res,.045,+.2,220,.046,.047,-,,-,-,-,-.68,-,,
.500,.05,.10,.09,AAO,Adept Solutions,.10,+4.5,1000,.065,.099,-,,-,.04,-,-16.11,-,,
