ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4633.2 at 2012-12-19T16:39:36. Report at Wednesday, December 19, 2012. Processed Thursday at 2012-12-20T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,.125,.125,TDO,3D Oil,.125,-,400,.105,.125,-,,-,-,-,-3.38,-,,
.047,.023,-,-,DDD,3D Res,.034,-,-,.034,.038,-,,-,-,-,-.34,-,,
.215,.06,.06,.06,ARH,A'asian Resources,.06,-.2,56,.06,.065,-,,-,-,-,-1.26,-,,
.30,.20,-,-,AYC,A1 Gold,.275,-,-,.27,.285,-,,-,-,-,-,-,,
.065,.035,.042,.039,ABU,ABM Res,.039,-.2,112652,.039,.041,-,,-,-,-,-.41,-,,
.056,.013,.015,.015,AJC,Acacia Coal,.015,-,4701,.015,.017,-,,-,-,-,-.29,-,,
.325,.10,.115,.105,ACB,A-Cap Res,.105,-1,3812,.105,.115,-,,-,-,-,-2.00,-,,
.34,.20,.22,.22,ACS,Accent Res,.22,-,565,.22,.24,-,,-,-,-,-.91,-,,
.295,.11,-,-,ACN,Acer Energy,.285,-,-,-,-,-,,-,-,-,-.90,-,,
.03,.013,-,-,AIV,ActiveX,.019,-,-,.017,.018,-,,-,-,-,-.59,-,,
.02,.01,-,-,ADD,Adavale Resources,.015,-,-,.012,.014,-,,-,-,-,-.58,-,,
.115,.035,.066,.062,ADN,Adelaide Res,.065,+.3,4950,.065,.066,-,,-,-,-,-.68,-,,
.91,.385,.50,.47,ABY,Aditya Birla,.49,+2.5,804,.49,.495,5.00,,.27,1.61,10.20,1.34,36.6,,
.071,.031,.033,.032,ADY,Admiralty Res,.033,+.1,8512,.033,.035,-,,-,-,-,-2.45,-,,
.007,.002,-,-,AVD,Advance Energy,.002,-,-,.001,.002,-,,-,-,-,-.60,-,,
.099,.015,.016,.016,ADX,ADX Energy,.016,+.1,250,.015,.016,-,,-,-,-,-3.10,-,,
.225,.06,.063,.06,AQR,AEON Metals,.063,+.3,1391,.06,.07,-,,-,-,-,-1.36,-,,
.465,.095,.125,.12,AFR,African Energy Res cdi,.125,+.5,2393,.125,.13,-,,-,-,-,-2.89,-,,
.012,.002,-,-,AAE,Agri Energy,-,-,-,-,-,-,,-,-,-,-.18,-,,
.58,.12,.165,.16,AGR,Aguia Res,.165,+.5,200,.15,.165,-,,-,-,-,-17.92,-,,
10.94,4.11,4.67,4.42,AQG,Alacer Gold cdi,4.44,-21,5785,4.43,4.44,-,,-,-,-,28.59,15.5,,
.42,.11,.15,.11,AUQ,Alara Res,.13,+1.5,12477,.12,.13,-,,-,-,-,-1.50,-,,
