ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5104.1 at 2013-05-02T16:51:36. Report at Thursday, May 2, 2013. Processed Friday at 2013-05-03T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,.14,.115,TDO,3D Oil,.12,+.5,3950,.115,.135,-,,-,-,-,-3.61,-,,
.045,.017,-,-,DDD,3D Res,.017,-,-,.02,.022,-,,-,-,-,-.10,-,,
.165,.026,-,-,ARH,A'asian Resources,.029,-,-,.024,.029,-,,-,-,-,-2.33,-,,
.30,.18,-,-,AYC,A1 Gold,.195,-,-,.19,.195,-,,-,-,-,-.47,-,,
.065,.028,.032,.03,ABU,ABM Res,.031,-.1,34072,.03,.031,-,,-,-,-,-.43,-,,
.04,.012,.014,.014,AJC,Acacia Coal,.014,+.2,10920,.012,.014,-,,-,-,-,-.42,-,,
.225,.061,.065,.061,ACB,A-Cap Res,.061,-.9,1364,.061,.065,-,,-,-,-,-1.08,-,,
.335,.15,.15,.15,ACS,Accent Res,.15,-1,111,.15,.185,-,,-,-,-,-.86,-,,
.025,.011,.019,.017,AIV,ActiveX,.018,-,36569,.017,.018,-,,-,-,-,-.48,-,,
.021,.004,.008,.008,ADD,Adavale Resources,.008,-,590,.008,.01,-,,-,-,-,-1.58,-,,
.25,.035,.185,.14,ADN,Adelaide Res,.145,-1.5,128397,.145,.15,-,,-,-,-,-3.84,-,,
.665,.335,.355,.34,ABY,Aditya Birla,.355,+1,1092,.35,.355,5.00,,.27,1.61,14.08,1.34,26.5,,
.052,.03,.031,.03,ADY,Admiralty Res,.031,+.1,417,.031,.032,-,,-,-,-,-2.52,-,,
.007,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.30,-,,
.092,.013,-,-,ADX,ADX Energy,.015,-,-,.015,.016,-,,-,-,-,-3.10,-,,
.335,.06,.24,.205,AQR,AEON Metals,.24,+6,4346,.235,.24,-,,-,-,-,-.13,-,,
.25,.095,.105,.10,AFR,African Energy Res cdi,.105,+.5,1951,.10,.105,-,,-,-,-,-3.36,-,,
.26,.076,.08,.08,AGR,Aguia Res,.08,+.4,510,.077,.08,-,,-,-,-,-11.68,-,,
6.935,2.34,2.85,2.74,AQG,Alacer Gold cdi,2.80,+1,5520,2.77,2.80,-,,-,-,-,-130.01,-,,
.40,.095,.10,.098,AUQ,Alara Res,.10,-,1500,.095,.10,-,,-,-,-,-2.58,-,,
