ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5173.3 at 2013-05-15T16:43:05. Report at Wednesday, May 15, 2013. Processed Thursday at 2013-05-16T01:00:18+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,-,-,TDO,3D Oil,.11,-,-,.11,.115,-,,-,-,-,-3.61,-,,
.045,.016,-,-,DDD,3D Res,.019,-,-,.016,.018,-,,-,-,-,-.10,-,,
.16,.026,-,-,ARH,A'asian Resources,.042,-,-,.042,.046,-,,-,-,-,-2.33,-,,
.30,.17,.22,.22,AYC,A1 Gold,.22,-,38,.21,.23,-,,-,-,-,-.47,-,,
.065,.028,.03,.029,ABU,ABM Res,.03,+.1,20638,.029,.03,-,,-,-,-,-.43,-,,
.036,.011,.012,.011,AJC,Acacia Coal,.011,-.1,4320,.011,.012,-,,-,-,-,-.42,-,,
.175,.059,.06,.06,ACB,A-Cap Res,.06,-,528,.06,.062,-,,-,-,-,-1.08,-,,
.335,.15,-,-,ACS,Accent Res,.15,-,-,.15,.17,-,,-,-,-,-.86,-,,
.022,.010,.015,.015,AIV,ActiveX,.015,-,20000,.015,.016,-,,-,-,-,-.48,-,,
.021,.004,-,-,ADD,Adavale Resources,.009,-,-,.007,.009,-,,-,-,-,-1.58,-,,
.25,.035,.115,.10,ADN,Adelaide Res,.10,-1,24653,.10,.11,-,,-,-,-,-3.84,-,,
.60,.335,.40,.385,ABY,Aditya Birla,.39,-1,1193,.385,.395,5.00,,-,1.63,12.82,-2.66,-,,
.052,.03,.033,.03,ADY,Admiralty Res,.03,-.1,1505,.03,.033,-,,-,-,-,-2.52,-,,
.007,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.30,-,,
.089,.013,.015,.015,ADX,ADX Energy,.015,-,2660,.015,.017,-,,-,-,-,-3.10,-,,
.335,.06,.22,.20,AQR,AEON Metals,.22,+2,1736,.22,.23,-,,-,-,-,-.13,-,,
.25,.09,.093,.091,AFR,African Energy Res cdi,.092,+.1,1575,.092,.094,-,,-,-,-,-3.36,-,,
.26,.069,.074,.069,AGR,Aguia Res,.069,-.5,2100,.069,.07,-,,-,-,-,-11.68,-,,
6.860,2.34,2.71,2.56,AQG,Alacer Gold cdi,2.59,-12,7744,2.59,2.60,-,,-,-,-,-130.01,-,,
.345,.07,.078,.07,AUQ,Alara Res,.078,-1.5,1700,.065,.075,-,,-,-,-,-2.58,-,,
.16,.051,-,-,ALY,Alchemy Resources,.051,-,-,.05,.055,-,,-,-,-,-.39,-,,
.018,.01,.012,.01,AWD,Aleator Energy,.01,-.1,80989,.01,.011,-,,-,-,-,-.32,-,,
.005,.002,.002,.002,AWDO,  opt jan15,.002,-.1,4358,.002,.003,-,,-,-,-,-,-,,
.26,.20,-,-,AQI,Alicanto Min,.22,-,-,.20,.22,-,,-,-,-,-1.50,-,,
1.19,.45,.555,.52,ALK,Alkane Res,.525,-1.5,2874,.525,.53,-,,-,-,-,19.00,2.8,,
.19,.035,-,-,AHQ,Allegiance Coal,.041,-,-,.035,.044,-,,-,-,-,-.29,-,,
.025,.003,-,-,AHQO,  opt mar14,.003,-,-,.001,.01,-,,-,-,-,-,-,,
.355,.135,.15,.14,AGS,Alliance Res,.145,+.5,4603,.14,.145,-,,-,-,-,-1.25,-,,
.125,.029,-,-,AGE,Alligator Energy,.035,-,-,.035,.041,-,,-,-,-,-.64,-,,
.022,.006,.009,.008,AYR,Alloy Res,.009,+.2,6006,.007,.009,-,,-,-,-,-.34,-,,
.05,.013,-,-,AYM,Altuis Mining,.017,-,-,.011,.017,-,,-,.04,-,-1.04,-,,
.33,.175,.19,.18,AOH,Altona Min,.185,-,1393,.185,.19,-,,-,-,-,.90,20.6,,
.22,.10,.115,.115,AJM,Altura Min,.115,-.5,100,.115,.12,-,,-,-,-,-.72,-,,
1.405,.625,1.06,1.022,AWC,Alumina,1.035,-3,67171,1.03,1.035,2.80,,-,.93,2.71,-2.41,-,,
.275,.075,.175,.16,AQO,Ambassador Oil & Gas,.175,-.5,6079,.175,.18,-,,-,-,-,-4.44,-,,
.05,.006,.022,.021,AQOO,  opt oct13,.021,-.1,466,.018,.025,-,,-,-,-,-,-,,
