ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4707.8 at 2013-06-26T16:46:36. Report at Wednesday, June 26, 2013. Processed Thursday at 2013-06-27T01:00:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,.086,.086,TDO,3D Oil,.086,-.4,125,.086,.095,-,,-,-,-,-3.61,-,,
.045,.014,-,-,DDD,3D Res,.03,-,-,.015,.03,-,,-,-,-,-.10,-,,
.14,.021,.025,.022,ARH,A'asian Resources,.025,+.3,4553,.024,.025,-,,-,-,-,-2.33,-,,
.30,.13,-,-,AYC,A1 Gold,.13,-,-,.13,.20,-,,-,-,-,-.47,-,,
.065,.021,.027,.024,ABU,ABM Res,.024,-,38381,.024,.025,-,,-,-,-,-.43,-,,
.032,.007,.008,.007,AJC,Acacia Coal,.008,-.1,27832,.008,.009,-,,-,-,-,-.42,-,,
.175,.045,.045,.045,ACB,A-Cap Res,.045,-,2284,.045,.046,-,,-,-,-,-1.08,-,,
.335,.15,.225,.20,ACS,Accent Res,.225,+1.5,487,.225,.25,-,,-,-,-,-.86,-,,
.022,.010,.015,.015,AIV,ActiveX,.015,-,12652,.015,.016,-,,-,-,-,-.48,-,,
.021,.002,-,-,ADD,Adavale Resources,.002,-,-,.002,.003,-,,-,-,-,-1.58,-,,
.25,.035,.091,.081,ADN,Adelaide Res,.091,+.7,3240,.09,.091,-,,-,-,-,-3.84,-,,
.60,.335,.40,.385,ABY,Aditya Birla,.39,-.5,1042,.385,.395,5.00,,-,1.63,12.82,-2.66,-,,
.052,.018,.019,.018,ADY,Admiralty Res,.019,-.1,2095,.018,.02,-,,-,-,-,-2.52,-,,
.007,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.30,-,,
.04,.012,.013,.012,ADX,ADX Energy,.013,-,601,.013,.015,-,,-,-,-,-3.10,-,,
.335,.06,-,-,AQR,AEON Metals,.205,-,-,.205,.225,-,,-,-,-,-.13,-,,
.215,.063,.07,.068,AFR,African Energy Res cdi,.069,-.1,1504,.069,.071,-,,-,-,-,-3.36,-,,
.215,.045,-,-,AGR,Aguia Res,.055,-,-,.051,.051,-,,-,-,-,-11.68,-,,
6.860,2.04,2.33,2.23,AQG,Alacer Gold cdi,2.29,-5,5031,2.29,2.33,-,,-,-,-,-130.01,-,,
.345,.04,.049,.042,AUQ,Alara Res,.049,+.8,757,.042,.054,-,,-,-,-,-2.58,-,,
.16,.028,.036,.035,ALY,Alchemy Resources,.035,-,743,.035,.044,-,,-,-,-,-.39,-,,
.018,.005,.007,.005,AWD,Aleator Energy,.006,-,766495,.005,.006,-,,-,-,-,-.32,-,,
.005,.001,.001,.001,AWDO,  opt jan15,.001,-,121767,.001,.002,-,,-,-,-,-,-,,
.26,.20,-,-,AQI,Alicanto Min,.20,-,-,.10,.19,-,,-,-,-,-1.50,-,,
1.19,.245,.295,.265,ALK,Alkane Res,.275,+.5,7887,.265,.275,-,,-,-,-,19.00,1.4,,
.10,.012,-,-,AHQ,Allegiance Coal,.012,-,-,.012,.018,-,,-,-,-,-.29,-,,
.02,.001,-,-,AHQO,  opt mar14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.355,.093,.097,.095,AGS,Alliance Res,.095,+.2,1797,.095,.097,-,,-,-,-,-1.25,-,,
.125,.025,.025,.025,AGE,Alligator Energy,.025,-.3,1100,.025,.033,-,,-,-,-,-.64,-,,
.022,.003,-,-,AYR,Alloy Res,.004,-,-,.004,.005,-,,-,-,-,-.34,-,,
.05,.005,.008,.008,AYM,Altuis Mining,.008,+.3,295,.008,.014,-,,-,.04,-,-1.04,-,,
.33,.115,.13,.125,AOH,Altona Min,.13,+.5,3131,.13,.135,-,,-,-,-,.90,14.4,,
.22,.076,.088,.088,AJM,Altura Min,.088,+.1,91,.087,.088,-,,-,-,-,-.72,-,,
1.405,.625,.965,.935,AWC,Alumina,.96,+2,79103,.955,.96,2.80,,-,.93,2.92,-2.41,-,,
.275,.075,.15,.145,AQO,Ambassador Oil & Gas,.15,+.5,3950,.135,.155,-,,-,-,-,-4.44,-,,
.05,.006,-,-,AQOO,  opt oct13,.012,-,-,.012,.02,-,,-,-,-,-,-,,
1.73,.73,1.10,1.05,AXZ,Amex Res,1.10,+2,230,1.10,1.125,-,,-,-,-,-4.67,-,,
.79,.135,.15,.135,AMX,Ampella Min,.15,+1,2709,.135,.15,-,,-,-,-,-16.08,-,,
.08,.036,.036,.036,AEK,Anatolia Energy,.036,-.3,538,.036,.045,-,,-,-,-,-1.15,-,,
.002,.002,-,-,AEKO,  opt jun17,.002,-,-,.001,-,-,,-,-,-,-,-,,
.20,.12,-,-,AHR,Anchor Res,.19,-,-,.06,.18,-,,-,-,-,-2.31,-,,
1.25,1.079,-,-,ATM,Aneka Tambang cdi,1.10,-,-,-,-,2.11,,2.67,-,1.92,5.64,19.5,,
.012,.003,.004,.003,AAR,Anglo Aust Res,.003,-,19851,.003,.004,-,,-,-,-,-1.15,-,,
7.06,2.81,2.99,2.81,AGG,Anglogold Ashanti cdi,2.81,-21,125,2.76,3.05,4.69,,44.15,14.37,1.67,207.05,1.4,,
.08,.02,.023,.02,AWV,Anova Metals,.02,-.3,3703,.02,.022,-,,-,-,-,-10.35,-,,
.60,.27,.58,.465,AZZ,Antares Energy,.48,+20,137943,.465,.48,-,,-,-,-,-3.10,-,,
.255,.035,.04,.038,AZY,Antipa Min,.038,-,1500,.041,.052,-,,-,-,-,-1.44,-,,
.155,.01,.012,.012,AZYOA,  opt dec14,.012,-,8685,.01,.029,-,,-,-,-,-,-,,
.07,.001,.015,.012,AOM,AO Energy,.015,-,5604,.015,.02,-,,-,-,-,-8.14,-,,
.006,.002,.004,.004,AAL,APAC Coal,.004,+.2,1500,.003,.018,-,,-,-,-,-.25,-,,
.127,.01,-,-,AXM,Apex Minerals,.011,-,-,.011,.01,-,,-,-,-,-46.09,-,,
.088,.03,.032,.032,AQQ,Aphrodite Gold,.032,-.1,1684,.026,.032,-,,-,-,-,-.41,-,,
.015,.001,-,-,AQQO,  opt dec13,.001,-,-,-,.001,-,,-,-,-,-,-,,
.295,.035,-,-,AOP,Apollo Cons,.037,-,-,.03,.036,-,,-,-,-,-10.32,-,,
.08,.023,-,-,AON,Apollo Minerals,.023,-,-,.023,.029,-,,-,-,-,-1.03,-,,
1.20,.475,.64,.61,AQP,Aquarius Platinum,.625,+3.5,5917,.61,.63,-,,-,-,-,-46.34,-,,
3.27,1.63,1.83,1.705,AQA,Aquila Res,1.765,+3.5,6102,1.76,1.78,-,,-,-,-,62.34,2.8,,
.26,.062,.073,.065,ARU,Arafura Resources,.07,+.5,9854,.068,.07,-,,-,-,-,-1.41,-,,
.008,.002,.003,.002,ARX,ARC Explore,.002,-.1,6190,.002,.003,-,,-,-,-,-.13,-,,
.28,.12,.13,.13,AXE,Archer Explore,.13,-,590,.125,.13,-,,-,-,-,5.30,2.5,,
.105,.035,.04,.036,ARD,Argent Minerals,.04,+.5,1137,.04,.043,-,,-,-,-,-3.07,-,,
.086,.01,.016,.016,AVK,Argentina Min,.016,-,150,.016,.018,-,,-,-,-,-7.08,-,,
.02,.001,-,-,AVKO,  opt mar15,.002,-,-,.001,.016,-,,-,-,-,-,-,,
.032,.009,.022,.022,AXT,Argo Explore,.022,+.2,1150,.015,.023,-,,-,-,-,-6.85,-,,
.093,.021,.021,.021,ARE,Argonaut Res,.021,-,1240,.021,.023,-,,-,-,-,-.20,-,,
