ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4968.6 at 2013-07-16T16:45:06. Report at Tuesday, July 16, 2013. Processed Wednesday at 2013-07-17T01:00:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,.085,.085,TDO,3D Oil,.085,-.3,175,.07,.085,-,,-,-,-,-3.61,-,,
.045,.014,-,-,DDD,3D Res,-,-,-,.016,.029,-,,-,-,-,-.10,-,,
.14,.021,-,-,ARH,A'asian Resources,.039,-,-,.036,.039,-,,-,-,-,-2.33,-,,
.30,.125,-,-,AYC,A1 Gold,.16,-,-,.15,.16,-,,-,-,-,-.47,-,,
.065,.021,.031,.03,ABU,ABM Res,.031,+.3,98578,.03,.032,-,,-,-,-,-.43,-,,
.027,.007,-,-,AJC,Acacia Coal,.01,-,-,.009,.01,-,,-,-,-,-.42,-,,
.175,.045,.049,.049,ACB,A-Cap Res,.049,+.3,500,.047,.049,-,,-,-,-,-1.08,-,,
.335,.15,-,-,ACS,Accent Res,.20,-,-,.19,.25,-,,-,-,-,-.86,-,,
.022,.010,.018,.018,AIV,ActiveX,.018,-.4,980,.016,.018,-,,-,-,-,-.48,-,,
.021,.002,-,-,ADD,Adavale Resources,-,-,-,.003,.004,-,,-,-,-,-1.58,-,,
.25,.035,.082,.073,ADN,Adelaide Res,.077,-.6,10045,.077,.08,-,,-,-,-,-3.84,-,,
.60,.335,.39,.38,ABY,Aditya Birla,.385,-,2489,.385,.39,5.00,,-,1.63,12.99,-2.66,-,,
.05,.018,.021,.021,ADY,Admiralty Res,.021,-,198,.019,.021,-,,-,-,-,-2.52,-,,
.007,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.30,-,,
.04,.012,.016,.014,ADX,ADX Energy,.016,+.3,17389,.016,.018,-,,-,-,-,-3.10,-,,
.335,.06,-,-,AQR,AEON Metals,.20,-,-,.195,.21,-,,-,-,-,-.13,-,,
.205,.063,.094,.094,AFR,African Energy Res cdi,.094,+.1,795,.094,.095,-,,-,-,-,-3.36,-,,
.215,.045,.052,.052,AGR,Aguia Res,.052,+.2,200,.05,.052,-,,-,-,-,-11.68,-,,
6.860,1.94,2.70,2.59,AQG,Alacer Gold cdi,2.61,-5,1290,2.61,2.64,-,,-,-,-,-130.01,-,,
.335,.039,.05,.047,AUQ,Alara Res,.049,+.3,1446,.047,.049,-,,-,-,-,-2.58,-,,
.16,.028,-,-,ALY,Alchemy Resources,.039,-,-,.039,.044,-,,-,-,-,-.39,-,,
.017,.004,.006,.006,AWD,Aleator Energy,.006,-,8333,.005,.006,-,,-,-,-,-.32,-,,
.005,.001,-,-,AWDO,  opt jan15,.002,-,-,.001,.002,-,,-,-,-,-,-,,
.26,.15,-,-,AQI,Alicanto Min,-,-,-,.10,.15,-,,-,-,-,-1.50,-,,
1.19,.245,.445,.42,ALK,Alkane Res,.42,-1.5,3312,.42,.43,-,,-,-,-,19.00,2.2,,
.09,.012,-,-,AHQ,Allegiance Coal,.014,-,-,.015,.017,-,,-,-,-,-.29,-,,
.02,.001,-,-,AHQO,  opt mar14,-,-,-,-,.001,-,,-,-,-,-,-,,
.355,.093,.13,.105,AGS,Alliance Res,.12,+1.5,11862,.11,.12,-,,-,-,-,-1.25,-,,
.125,.025,.032,.031,AGE,Alligator Energy,.031,+.1,4000,.031,.032,-,,-,-,-,-.64,-,,
.022,.003,.005,.005,AYR,Alloy Res,.005,-,2900,.005,.006,-,,-,-,-,-.34,-,,
.05,.005,-,-,AYM,Altuis Mining,-,-,-,.009,.014,-,,-,.04,-,-1.04,-,,
.33,.115,.14,.135,AOH,Altona Min,.14,-,830,.13,.14,-,,-,-,-,.90,15.6,,
.21,.076,-,-,AJM,Altura Min,.13,-,-,.13,.135,-,,-,-,-,-.72,-,,
1.405,.625,1.075,1.057,AWC,Alumina,1.07,+.5,95787,1.065,1.07,-,,-,.93,-,-2.41,-,,
.275,.075,.17,.17,AQO,Ambassador Oil & Gas,.17,-,629,.16,.17,-,,-,-,-,-4.44,-,,
.05,.006,-,-,AQOO,  opt oct13,.01,-,-,.012,.02,-,,-,-,-,-,-,,
1.73,.73,1.04,1.03,AXZ,Amex Res,1.03,-1,70,1.03,1.095,-,,-,-,-,-4.67,-,,
.79,.105,.115,.115,AMX,Ampella Min,.115,-.5,6320,.11,.12,-,,-,-,-,-16.08,-,,
.08,.032,.07,.07,AEK,Anatolia Energy,.07,-,33,.07,.09,-,,-,-,-,-1.15,-,,
.002,.002,-,-,AEKO,  opt jun17,-,-,-,.001,-,-,,-,-,-,-,-,,
.19,.12,-,-,AHR,Anchor Res,-,-,-,.051,.18,-,,-,-,-,-2.31,-,,
1.25,1.079,-,-,ATM,Aneka Tambang cdi,-,-,-,-,-,2.11,,2.67,-,-,5.64,-,,
.012,.003,-,-,AAR,Anglo Aust Res,.003,-,-,.003,.004,-,,-,-,-,-1.15,-,,
7.06,2.63,-,-,AGG,Anglogold Ashanti cdi,2.71,-,-,2.71,3.20,4.69,,44.15,14.37,1.73,207.05,1.3,,
.08,.02,-,-,AWV,Anova Metals,.03,-,-,.027,.03,-,,-,-,-,-10.35,-,,
.60,.27,.49,.465,AZZ,Antares Energy,.47,-1,2891,.47,.48,-,,-,-,-,-3.10,-,,
.255,.035,.041,.041,AZY,Antipa Min,.041,+.1,841,.042,.048,-,,-,-,-,-1.44,-,,
.155,.01,.013,.013,AZYOA,  opt dec14,.013,-,1000,.013,.02,-,,-,-,-,-,-,,
.07,.001,-,-,AOM,AO Energy,.023,-,-,.023,.024,-,,-,-,-,-8.14,-,,
.006,.002,-,-,AAL,APAC Coal,-,-,-,.002,.027,-,,-,-,-,-.25,-,,
.117,.01,-,-,AXM,Apex Minerals,-,-,-,-,-,-,,-,-,-,-46.09,-,,
.088,.024,.025,.024,AQQ,Aphrodite Gold,.025,+.1,3300,.024,.025,-,,-,-,-,-.41,-,,
.015,.001,-,-,AQQO,  opt dec13,-,-,-,-,.001,-,,-,-,-,-,-,,
.295,.021,.028,.028,AOP,Apollo Cons,.028,+.7,3,.028,.03,-,,-,-,-,-10.32,-,,
.08,.023,.029,.028,AON,Apollo Minerals,.028,-,672,.028,.03,-,,-,-,-,-1.03,-,,
1.20,.475,.757,.695,AQP,Aquarius Platinum,.725,+1.5,570,.68,.725,-,,-,-,-,-46.34,-,,
3.27,1.63,2.09,1.965,AQA,Aquila Res,1.97,-11,3880,1.97,1.98,-,,-,-,-,62.34,3.2,,
.245,.062,.099,.09,ARU,Arafura Resources,.095,-.1,2315,.091,.096,-,,-,-,-,-1.41,-,,
.008,.002,.003,.003,ARX,ARC Explore,.003,-.1,1,.003,.004,-,,-,-,-,-.13,-,,
.28,.12,.13,.13,AXE,Archer Explore,.13,+.5,444,.13,.14,-,,-,-,-,5.30,2.5,,
.105,.027,.051,.051,ARD,Argent Minerals,.051,+.6,110,.046,.072,-,,-,-,-,-3.07,-,,
.086,.01,-,-,AVK,Argentina Min,-,-,-,.012,.018,-,,-,-,-,-7.08,-,,
.02,.001,-,-,AVKO,  opt mar15,-,-,-,.001,.016,-,,-,-,-,-,-,,
.032,.009,-,-,AXT,Argo Explore,.018,-,-,.018,.024,-,,-,-,-,-6.85,-,,
.093,.02,-,-,ARE,Argonaut Res,.02,-,-,.02,.022,-,,-,-,-,-.20,-,,
.145,.042,-,-,AGY,Argosy Minerals,-,-,-,.039,.059,-,,-,-,-,-.78,-,,
.14,.05,-,-,AHK,Ark Mines,-,-,-,.068,.084,-,,-,-,-,-4.10,-,,
.41,.165,.26,.25,AJQ,Armour Energy,.25,-1,3014,.25,.255,-,,-,-,-,-.50,-,,
.14,.03,-,-,AJQO,  opt aug14,.075,-,-,.055,.06,-,,-,-,-,-,-,,
.024,.006,.01,.01,ARV,Artemis Res,.01,-,2000,.01,.011,-,,-,-,-,-.17,-,,
.097,.032,-,-,AAJ,Aruma Res,.032,-,-,.015,.035,-,,-,-,-,-1.72,-,,
.24,.20,-,-,AJY,Asaplus Res cdi,.24,-,-,-,.245,-,,-,-,-,-,-,,
.19,.06,-,-,AZQ,Ascot Res,.06,-,-,.04,.065,-,,-,-,-,-3.60,-,,
.005,.001,-,-,ATN,Ashburton Min,.002,-,-,.002,.003,-,,-,-,-,-.15,-,,
.001,.001,-,-,ATNO,  opt apr14,-,-,-,-,.001,-,,-,-,-,-,-,,
.18,.035,.054,.053,AKM,Aspire Min,.053,+.1,655,.053,.058,-,,-,-,-,-1.34,-,,
.002,.001,-,-,ARO,Astro Res,.001,-,-,-,.001,-,,-,-,-,-.07,-,,
.001,.001,-,-,AROOA,  opt jun14,-,-,-,-,.001,-,,-,-,-,-,-,,
.07,.015,-,-,AHN,Athena Res,.015,-,-,.018,.022,-,,-,-,-,-.08,-,,
